CKG|BKI,|BKI|SZX|CKG|
CKG|AKU,|AKU|URC|CKG|
CKG|ALA,|ALA|URC|CKG|
CKG|ASB,|ASB|URC|CKG|
CKG|DNH,|DNH|XIY|CKG|
CKG|DYU,|DYU|URC|CKG|
CKG|FRU,|FRU|URC|CKG|
CKG|GYD,|GYD|URC|CKG|
CKG|HTN,|HTN|URC|CKG|
CKG|IKA,|IKA|URC|CKG|
CKG|KCA,|KCA|URC|CKG|
CKG|KHG,|KHG|URC|CKG|
CKG|KRL,|KRL|URC|CKG|
CKG|KRY,|KRY|URC|CKG|
CKG|LBD,|LBD|URC|CKG|
CKG|NLT,|NLT|URC|CKG|
CKG|OSS,|OSS|URC|CKG|
CKG|OVB,|OVB|URC|CKG|
CKG|TBS,|TBS|URC|CKG|
CKG|TCG,|TCG|URC|CKG|
CKG|TSE,|TSE|URC|CKG|
CKG|YIN,|YIN|URC|CKG|
CKG|ENH,|ENH|WUH|CKG|
CKG|ENY,|ENY|XIY|CKG|
CKG|WXN,|WXN|XIY|CKG|
CKG|BLL,|BLL|IST|URC|CKG|
CKG|ESB,|ESB|SAW|TBS|URC|CKG|
CKG|SAW,|SAW|TBS|URC|CKG|
CKG|HAM,|HAM|IST|URC|CKG|
CKG|HRE,|HRE|ADD|IST|URC|CKG|
CKG|JUB,|JUB|CAI|IST|URC|CKG|
CKG|SSG,|SSG|DLA|IST|URC|CKG|
CKG|BGW,|BGW|ESB|SAW|TBS|URC|CKG|
CKG|EBL,|EBL|IST|URC|CKG|
CKG|VKO,|VKO|IST|URC|CKG|
CKG|MCT,|MCT|IST|URC|CKG|
CKG|AYT,|AYT|IST|URC|CKG|
CKG|SCQ,|SCQ|BIO|IST|URC|CKG|
CKG|AAL,|AAL|IST|URC|CKG|
CKG|AOE,|AOE|BRU|IST|URC|CKG|
CKG|JNB,|JNB|IST|URC|CKG|
CKG|LBV,|LBV|DLA|IST|URC|CKG|
CKG|ADA,|ADA|SAW|TBS|URC|CKG|
CKG|ADB,|ADB|IST|URC|CKG|
CKG|ADF,|ADF|ESB|SAW|TBS|URC|CKG|
CKG|AJI,|AJI|ESB|SAW|TBS|URC|CKG|
CKG|BAL,|BAL|ESB|SAW|TBS|URC|CKG|
CKG|BJV,|BJV|IST|URC|CKG|
CKG|CKZ,|CKZ|ESB|SAW|TBS|URC|CKG|
CKG|DIY,|DIY|SAW|TBS|URC|CKG|
CKG|ECN,|ECN|SAW|TBS|URC|CKG|
CKG|ERC,|ERC|ESB|SAW|TBS|URC|CKG|
CKG|ERZ,|ERZ|SAW|TBS|URC|CKG|
CKG|EZS,|EZS|SAW|TBS|URC|CKG|
CKG|GNY,|GNY|ESB|SAW|TBS|URC|CKG|
CKG|GZP,|GZP|ESB|SAW|TBS|URC|CKG|
CKG|GZT,|GZT|SAW|TBS|URC|CKG|
CKG|HTY,|HTY|SAW|TBS|URC|CKG|
CKG|KCM,|KCM|ESB|SAW|TBS|URC|CKG|
CKG|KSY,|KSY|SAW|TBS|URC|CKG|
CKG|MLX,|MLX|ESB|SAW|TBS|URC|CKG|
CKG|MQM,|MQM|SAW|TBS|URC|CKG|
CKG|MSR,|MSR|ESB|SAW|TBS|URC|CKG|
CKG|TEQ,|TEQ|ESB|SAW|TBS|URC|CKG|
CKG|TZX,|TZX|SAW|TBS|URC|CKG|
CKG|VAN,|VAN|SAW|TBS|URC|CKG|
CKG|ULN,|ULN|FRU|URC|CKG|
CKG|HIJ,|HIJ|ICN|CGO|CKG|
CKG|VVO,|VVO|ICN|CGO|CKG|
CKG|ACC,|ACC|IST|URC|CKG|
CKG|AER,|AER|IST|URC|CKG|
CKG|AGP,|AGP|IST|URC|CKG|
CKG|ALG,|ALG|IST|URC|CKG|
CKG|AMM,|AMM|IST|URC|CKG|
CKG|AQJ,|AQJ|IST|URC|CKG|
CKG|ARN,|ARN|IST|URC|CKG|
CKG|ASR,|ASR|SAW|TBS|URC|CKG|
CKG|ATH,|ATH|IST|URC|CKG|
CKG|BAH,|BAH|KWI|SAW|TBS|URC|CKG|
CKG|BEG,|BEG|IST|URC|CKG|
CKG|BEN,|BEN|IST|URC|CKG|
CKG|BEY,|BEY|IST|URC|CKG|
CKG|BHX,|BHX|IST|URC|CKG|
CKG|BIO,|BIO|IST|URC|CKG|
CKG|BLQ,|BLQ|IST|URC|CKG|
CKG|BOM,|BOM|IST|URC|CKG|
CKG|BRE,|BRE|IST|URC|CKG|
CKG|BSL,|BSL|IST|URC|CKG|
CKG|BSR,|BSR|IST|URC|CKG|
CKG|BUD,|BUD|IST|URC|CKG|
CKG|BUS,|BUS|IST|URC|CKG|
CKG|CAI,|CAI|IST|URC|CKG|
CKG|CGN,|CGN|IST|URC|CKG|
CKG|CMN,|CMN|IST|URC|CKG|
CKG|CND,|CND|IST|URC|CKG|
CKG|DAR,|DAR|NBO|BKK|NNG|CKG|
CKG|DLM,|DLM|IST|URC|CKG|
CKG|DMM,|DMM|IST|URC|CKG|
CKG|DNK,|DNK|IST|URC|CKG|
CKG|DNZ,|DNZ|IST|URC|CKG|
CKG|DOK,|DOK|IST|URC|CKG|
CKG|DUS,|DUS|IST|URC|CKG|
CKG|EDI,|EDI|IST|URC|CKG|
CKG|ELQ,|ELQ|IST|URC|CKG|
CKG|FDH,|FDH|IST|URC|CKG|
CKG|GOA,|GOA|IST|URC|CKG|
CKG|GOT,|GOT|IST|URC|CKG|
CKG|HAJ,|HAJ|IST|URC|CKG|
CKG|HBE,|HBE|IST|URC|CKG|
CKG|HEL,|HEL|IST|URC|CKG|
CKG|HRG,|HRG|IST|URC|CKG|
CKG|IFN,|IFN|IST|URC|CKG|
CKG|ISE,|ISE|IST|URC|CKG|
CKG|ISU,|ISU|IST|URC|CKG|
CKG|JIB,|JIB|IST|URC|CKG|
CKG|JRO,|JRO|IST|URC|CKG|
CKG|KAN,|KAN|IST|URC|CKG|
CKG|KBL,|KBL|IST|URC|CKG|
CKG|KBP,|KBP|IST|URC|CKG|
CKG|KFS,|KFS|IST|URC|CKG|
CKG|KHI,|KHI|IST|URC|CKG|
CKG|KIV,|KIV|IST|URC|CKG|
CKG|KRT,|KRT|IST|URC|CKG|
CKG|KSH,|KSH|IST|URC|CKG|
CKG|KVD,|KVD|IST|URC|CKG|
CKG|KWI,|KWI|SAW|TBS|URC|CKG|
CKG|KYA,|KYA|SAW|TBS|URC|CKG|
CKG|KZN,|KZN|IST|URC|CKG|
CKG|KZR,|KZR|IST|URC|CKG|
CKG|LED,|LED|IST|URC|CKG|
CKG|LEJ,|LEJ|IST|URC|CKG|
CKG|LGW,|LGW|IST|URC|CKG|
CKG|LHE,|LHE|IST|URC|CKG|
CKG|LIS,|LIS|IST|URC|CKG|
CKG|LJU,|LJU|IST|URC|CKG|
CKG|LOS,|LOS|IST|URC|CKG|
CKG|LUX,|LUX|IST|URC|CKG|
CKG|LWO,|LWO|IST|URC|CKG|
CKG|LYS,|LYS|IST|URC|CKG|
CKG|MAD,|MAD|IST|URC|CKG|
CKG|MAN,|MAN|IST|URC|CKG|
CKG|MED,|MED|IST|URC|CKG|
CKG|MHD,|MHD|IST|URC|CKG|
CKG|MLA,|MLA|IST|URC|CKG|
CKG|MRS,|MRS|IST|URC|CKG|
CKG|MSQ,|MSQ|IST|URC|CKG|
CKG|MXP,|MXP|IST|URC|CKG|
CKG|MZH,|MZH|IST|URC|CKG|
CKG|MZR,|MZR|IST|URC|CKG|
CKG|NAJ,|NAJ|IST|URC|CKG|
CKG|NAV,|NAV|IST|URC|CKG|
CKG|NCE,|NCE|IST|URC|CKG|
CKG|NIM,|NIM|IST|URC|CKG|
CKG|NJF,|NJF|IST|URC|CKG|
CKG|NSI,|NSI|IST|URC|CKG|
CKG|NUE,|NUE|IST|URC|CKG|
CKG|ODS,|ODS|IST|URC|CKG|
CKG|ORN,|ORN|IST|URC|CKG|
CKG|OTP,|OTP|IST|URC|CKG|
CKG|PRG,|PRG|IST|URC|CKG|
CKG|PRN,|PRN|IST|URC|CKG|
CKG|RIX,|RIX|IST|URC|CKG|
CKG|ROV,|ROV|IST|URC|CKG|
CKG|RTM,|RTM|IST|URC|CKG|
CKG|RUH,|RUH|IST|URC|CKG|
CKG|SAH,|SAH|IST|URC|CKG|
CKG|SJJ,|SJJ|IST|URC|CKG|
CKG|SKG,|SKG|IST|URC|CKG|
