PSP|YQZ,|YQZ|YVR|PSP|
PSP|YXC,|YXC|YYC|PSP|
PSP|YXJ,|YXJ|YVR|PSP|
PSP|YXS,|YXS|YVR|PSP|
PSP|YXT,|YXT|YVR|PSP|
PSP|YXY,|YXY|YVR|PSP|
PSP|YYD,|YYD|YVR|PSP|
PSP|YYF,|YYF|YVR|PSP|
PSP|YZP,|YZP|YVR|PSP|
PSP|YQT,|YQT|YWG|LAS|PSP|
PSP|SJD,|SJD|LAX|PSP|
PSP|YQF,|YQF|YYC|PSP|
PSP|YQL,|YQL|YYC|PSP|
PSP|YXH,|YXH|YYC|PSP|
PSP|YWK,|YWK|YZV|YUL|DEN|PSP|
PSP|ANU,|ANU|EWR|DEN|PSP|
PSP|AUA,|AUA|ATL|LAS|PSP|
PSP|AUH,|AUH|FRA|DEN|PSP|
PSP|BCN,|BCN|YYZ|DEN|PSP|
PSP|BDA,|BDA|EWR|DEN|PSP|
PSP|BGI,|BGI|YYZ|DEN|PSP|
PSP|BNA,|BNA|LAS|PSP|
PSP|BOG,|BOG|IAH|PSP|
PSP|BWI,|BWI|DEN|PSP|
PSP|CLE,|CLE|DEN|PSP|
PSP|CLT,|CLT|IAH|PSP|
PSP|CMH,|CMH|DEN|PSP|
PSP|CVG,|CVG|DEN|PSP|
PSP|DFW,|DFW|LAX|PSP|
PSP|DTW,|DTW|DEN|PSP|
PSP|DUB,|DUB|ORD|DEN|PSP|
PSP|FCO,|FCO|YYZ|DEN|PSP|
PSP|GCM,|GCM|IAH|PSP|
PSP|GGT,|GGT|FLL|IAH|PSP|
PSP|GND,|GND|YYZ|DEN|PSP|
PSP|GRU,|GRU|IAH|PSP|
PSP|HAV,|HAV|YYZ|DEN|PSP|
PSP|IND,|IND|DEN|PSP|
PSP|JFK,|JFK|IAD|DEN|PSP|
PSP|KIN,|KIN|YYZ|DEN|PSP|
PSP|LIM,|LIM|IAH|PSP|
PSP|LIR,|LIR|IAH|PSP|
PSP|MCI,|MCI|DEN|PSP|
PSP|MDT,|MDT|ORD|DEN|PSP|
PSP|MIA,|MIA|IAH|PSP|
PSP|MKE,|MKE|DEN|PSP|
PSP|MSP,|MSP|DEN|PSP|
PSP|NAS,|NAS|IAH|PSP|
PSP|PHL,|PHL|DEN|PSP|
PSP|PHX,|PHX|LAS|PSP|
PSP|PIT,|PIT|DEN|PSP|
PSP|PLS,|PLS|YYZ|DEN|PSP|
PSP|POP,|POP|YYZ|DEN|PSP|
PSP|RDU,|RDU|LAS|PSP|
PSP|ROC,|ROC|ORD|DEN|PSP|
PSP|RSW,|RSW|IAH|PSP|
PSP|SAN,|SAN|LAX|PSP|
PSP|SJO,|SJO|IAH|PSP|
PSP|STL,|STL|LAS|PSP|
PSP|SYR,|SYR|ORD|DEN|PSP|
PSP|TLV,|TLV|IST|FRA|DEN|PSP|
PSP|TPA,|TPA|IAH|PSP|
PSP|UVF,|UVF|EWR|DEN|PSP|
PSP|VIE,|VIE|ORD|DEN|PSP|
PSP|YAM,|YAM|YYZ|DEN|PSP|
PSP|YGK,|YGK|YYZ|DEN|PSP|
PSP|YQG,|YQG|YYZ|DEN|PSP|
PSP|YSB,|YSB|YYZ|DEN|PSP|
PSP|YTS,|YTS|YYZ|DEN|PSP|
PSP|YYB,|YYB|YYZ|DEN|PSP|
PSP|YZR,|YZR|YYZ|DEN|PSP|
PSP|CAN,|CAN|PVG|SFO|PSP|
PSP|URC,|URC|PEK|SFO|PSP|
PSP|CTU,|CTU|PEK|SFO|PSP|
PSP|HGH,|HGH|DLC|ICN|SFO|PSP|
PSP|XMN,|XMN|YNZ|DLC|ICN|SFO|PSP|
PSP|CGO,|CGO|PEK|SFO|PSP|
PSP|CSX,|CSX|ICN|SFO|PSP|
PSP|SHE,|SHE|ICN|SFO|PSP|
PSP|SJW,|SJW|DLC|ICN|SFO|PSP|
PSP|WUH,|WUH|ICN|SFO|PSP|
PSP|SZX,|SZX|PVG|SFO|PSP|
PSP|CKG,|CKG|PEK|SFO|PSP|
PSP|KMG,|KMG|PEK|SFO|PSP|
PSP|FOC,|FOC|HGH|DLC|ICN|SFO|PSP|
PSP|NNG,|NNG|CSX|ICN|SFO|PSP|
PSP|SWA,|SWA|WUH|ICN|SFO|PSP|
PSP|ACX,|ACX|CAN|PVG|SFO|PSP|
PSP|AQG,|AQG|CAN|PVG|SFO|PSP|
PSP|AVA,|AVA|CAN|PVG|SFO|PSP|
PSP|BFJ,|BFJ|CAN|PVG|SFO|PSP|
PSP|BHY,|BHY|CSX|ICN|SFO|PSP|
PSP|BNE,|BNE|CAN|PVG|SFO|PSP|
PSP|CGD,|CGD|PEK|SFO|PSP|
PSP|CGK,|CGK|CAN|PVG|SFO|PSP|
PSP|CGQ,|CGQ|NRT|SFO|PSP|
PSP|CIH,|CIH|PEK|SFO|PSP|
PSP|CNX,|CNX|CAN|PVG|SFO|PSP|
PSP|CZX,|CZX|SHE|ICN|SFO|PSP|
PSP|DAC,|DAC|CAN|PVG|SFO|PSP|
PSP|DAD,|DAD|CAN|PVG|SFO|PSP|
PSP|DEL,|DEL|CAN|PVG|SFO|PSP|
PSP|DIG,|DIG|KMG|PEK|SFO|PSP|
PSP|DLC,|DLC|ICN|SFO|PSP|
PSP|DPS,|DPS|SZX|PVG|SFO|PSP|
PSP|DXB,|DXB|IST|FRA|DEN|PSP|
PSP|DYG,|DYG|PEK|SFO|PSP|
PSP|FUG,|FUG|CAN|PVG|SFO|PSP|
PSP|FUK,|FUK|ICN|SFO|PSP|
PSP|HAK,|HAK|PVG|SFO|PSP|
PSP|HAN,|HAN|PEK|SFO|PSP|
PSP|HDG,|HDG|CAN|PVG|SFO|PSP|
PSP|HET,|HET|DLC|ICN|SFO|PSP|
PSP|HFE,|HFE|TYN|DLC|ICN|SFO|PSP|
PSP|HJJ,|HJJ|CSX|ICN|SFO|PSP|
PSP|HKT,|HKT|CAN|PVG|SFO|PSP|
PSP|HRB,|HRB|ICN|SFO|PSP|
PSP|HZH,|HZH|CAN|PVG|SFO|PSP|
PSP|JIU,|JIU|CAN|PVG|SFO|PSP|
PSP|JJN,|JJN|HGH|DLC|ICN|SFO|PSP|
PSP|JNG,|JNG|CAN|PVG|SFO|PSP|
PSP|KHN,|KHN|DLC|ICN|SFO|PSP|
PSP|KIX,|KIX|SFO|PSP|
PSP|KOW,|KOW|PEK|SFO|PSP|
PSP|KTM,|KTM|CAN|PVG|SFO|PSP|
PSP|KUL,|KUL|PVG|SFO|PSP|
PSP|KWE,|KWE|PEK|SFO|PSP|
PSP|KWL,|KWL|WUH|ICN|SFO|PSP|
PSP|LHW,|LHW|CGO|PEK|SFO|PSP|
