SZX|SAW,|SAW|TBS|URC|CKG|SZX|
SZX|HAM,|HAM|IST|URC|CKG|SZX|
SZX|HRE,|HRE|ADD|IST|URC|CKG|SZX|
SZX|JUB,|JUB|CAI|IST|URC|CKG|SZX|
SZX|SSG,|SSG|DLA|IST|URC|CKG|SZX|
SZX|BGW,|BGW|ESB|SAW|TBS|URC|CKG|SZX|
SZX|EBL,|EBL|IST|URC|CKG|SZX|
SZX|VKO,|VKO|IST|URC|CKG|SZX|
SZX|MCT,|MCT|IST|URC|CKG|SZX|
SZX|AYT,|AYT|IST|URC|CKG|SZX|
SZX|SCQ,|SCQ|BIO|IST|URC|CKG|SZX|
SZX|AAL,|AAL|IST|URC|CKG|SZX|
SZX|AOE,|AOE|BRU|IST|URC|CKG|SZX|
SZX|JNB,|JNB|IST|URC|CKG|SZX|
SZX|LBV,|LBV|DLA|IST|URC|CKG|SZX|
SZX|ADA,|ADA|SAW|TBS|URC|CKG|SZX|
SZX|ADB,|ADB|IST|URC|CKG|SZX|
SZX|ADF,|ADF|ESB|SAW|TBS|URC|CKG|SZX|
SZX|AJI,|AJI|ESB|SAW|TBS|URC|CKG|SZX|
SZX|BAL,|BAL|ESB|SAW|TBS|URC|CKG|SZX|
SZX|BJV,|BJV|IST|URC|CKG|SZX|
SZX|CKZ,|CKZ|ESB|SAW|TBS|URC|CKG|SZX|
SZX|DIY,|DIY|SAW|TBS|URC|CKG|SZX|
SZX|ECN,|ECN|SAW|TBS|URC|CKG|SZX|
SZX|ERC,|ERC|ESB|SAW|TBS|URC|CKG|SZX|
SZX|ERZ,|ERZ|SAW|TBS|URC|CKG|SZX|
SZX|EZS,|EZS|SAW|TBS|URC|CKG|SZX|
SZX|GNY,|GNY|ESB|SAW|TBS|URC|CKG|SZX|
SZX|GZP,|GZP|ESB|SAW|TBS|URC|CKG|SZX|
SZX|GZT,|GZT|SAW|TBS|URC|CKG|SZX|
SZX|HTY,|HTY|SAW|TBS|URC|CKG|SZX|
SZX|KCM,|KCM|ESB|SAW|TBS|URC|CKG|SZX|
SZX|KSY,|KSY|SAW|TBS|URC|CKG|SZX|
SZX|MLX,|MLX|ESB|SAW|TBS|URC|CKG|SZX|
SZX|MQM,|MQM|SAW|TBS|URC|CKG|SZX|
SZX|MSR,|MSR|ESB|SAW|TBS|URC|CKG|SZX|
SZX|TEQ,|TEQ|ESB|SAW|TBS|URC|CKG|SZX|
SZX|TZX,|TZX|SAW|TBS|URC|CKG|SZX|
SZX|VAN,|VAN|SAW|TBS|URC|CKG|SZX|
SZX|ULN,|ULN|FRU|URC|CKG|SZX|
SZX|HIJ,|HIJ|ICN|PVG|SZX|
SZX|VVO,|VVO|ICN|PVG|SZX|
SZX|ACC,|ACC|IST|URC|CKG|SZX|
SZX|AER,|AER|IST|URC|CKG|SZX|
SZX|AGP,|AGP|IST|URC|CKG|SZX|
SZX|ALG,|ALG|IST|URC|CKG|SZX|
SZX|AMM,|AMM|IST|URC|CKG|SZX|
SZX|AQJ,|AQJ|IST|URC|CKG|SZX|
SZX|ARN,|ARN|IST|URC|CKG|SZX|
SZX|ASR,|ASR|SAW|TBS|URC|CKG|SZX|
SZX|ATH,|ATH|IST|URC|CKG|SZX|
SZX|BAH,|BAH|KWI|SAW|TBS|URC|CKG|SZX|
SZX|BEG,|BEG|IST|URC|CKG|SZX|
SZX|BEN,|BEN|IST|URC|CKG|SZX|
SZX|BEY,|BEY|IST|URC|CKG|SZX|
SZX|BHX,|BHX|IST|URC|CKG|SZX|
SZX|BIO,|BIO|IST|URC|CKG|SZX|
SZX|BLQ,|BLQ|IST|URC|CKG|SZX|
SZX|BOM,|BOM|IST|URC|CKG|SZX|
SZX|BRE,|BRE|IST|URC|CKG|SZX|
SZX|BSL,|BSL|IST|URC|CKG|SZX|
SZX|BSR,|BSR|IST|URC|CKG|SZX|
SZX|BUD,|BUD|IST|URC|CKG|SZX|
SZX|BUS,|BUS|IST|URC|CKG|SZX|
SZX|CAI,|CAI|IST|URC|CKG|SZX|
SZX|CGN,|CGN|IST|URC|CKG|SZX|
SZX|CMN,|CMN|IST|URC|CKG|SZX|
SZX|CND,|CND|IST|URC|CKG|SZX|
SZX|DAR,|DAR|NBO|BKK|NNG|SZX|
SZX|DLM,|DLM|IST|URC|CKG|SZX|
SZX|DMM,|DMM|IST|URC|CKG|SZX|
SZX|DNK,|DNK|IST|URC|CKG|SZX|
SZX|DNZ,|DNZ|IST|URC|CKG|SZX|
SZX|DOK,|DOK|IST|URC|CKG|SZX|
SZX|DUS,|DUS|IST|URC|CKG|SZX|
SZX|EDI,|EDI|IST|URC|CKG|SZX|
SZX|ELQ,|ELQ|IST|URC|CKG|SZX|
SZX|FDH,|FDH|IST|URC|CKG|SZX|
SZX|GOA,|GOA|IST|URC|CKG|SZX|
SZX|GOT,|GOT|IST|URC|CKG|SZX|
SZX|HAJ,|HAJ|IST|URC|CKG|SZX|
SZX|HBE,|HBE|IST|URC|CKG|SZX|
SZX|HEL,|HEL|IST|URC|CKG|SZX|
SZX|HRG,|HRG|IST|URC|CKG|SZX|
SZX|IFN,|IFN|IST|URC|CKG|SZX|
SZX|ISE,|ISE|IST|URC|CKG|SZX|
SZX|ISU,|ISU|IST|URC|CKG|SZX|
SZX|JIB,|JIB|IST|URC|CKG|SZX|
SZX|JRO,|JRO|IST|URC|CKG|SZX|
SZX|KAN,|KAN|IST|URC|CKG|SZX|
SZX|KBL,|KBL|IST|URC|CKG|SZX|
SZX|KBP,|KBP|IST|URC|CKG|SZX|
SZX|KFS,|KFS|IST|URC|CKG|SZX|
SZX|KHI,|KHI|IST|URC|CKG|SZX|
SZX|KIV,|KIV|IST|URC|CKG|SZX|
SZX|KRT,|KRT|IST|URC|CKG|SZX|
SZX|KSH,|KSH|IST|URC|CKG|SZX|
SZX|KVD,|KVD|IST|URC|CKG|SZX|
SZX|KWI,|KWI|SAW|TBS|URC|CKG|SZX|
SZX|KYA,|KYA|SAW|TBS|URC|CKG|SZX|
SZX|KZN,|KZN|IST|URC|CKG|SZX|
SZX|KZR,|KZR|IST|URC|CKG|SZX|
SZX|LED,|LED|IST|URC|CKG|SZX|
SZX|LEJ,|LEJ|IST|URC|CKG|SZX|
SZX|LGW,|LGW|IST|URC|CKG|SZX|
SZX|LHE,|LHE|IST|URC|CKG|SZX|
SZX|LIS,|LIS|IST|URC|CKG|SZX|
SZX|LJU,|LJU|IST|URC|CKG|SZX|
SZX|LOS,|LOS|IST|URC|CKG|SZX|
SZX|LUX,|LUX|IST|URC|CKG|SZX|
SZX|LWO,|LWO|IST|URC|CKG|SZX|
SZX|LYS,|LYS|IST|URC|CKG|SZX|
SZX|MAD,|MAD|IST|URC|CKG|SZX|
SZX|MAN,|MAN|IST|URC|CKG|SZX|
SZX|MED,|MED|IST|URC|CKG|SZX|
SZX|MHD,|MHD|IST|URC|CKG|SZX|
SZX|MLA,|MLA|IST|URC|CKG|SZX|
SZX|MRS,|MRS|IST|URC|CKG|SZX|
SZX|MSQ,|MSQ|IST|URC|CKG|SZX|
SZX|MXP,|MXP|IST|URC|CKG|SZX|
SZX|MZH,|MZH|IST|URC|CKG|SZX|
SZX|MZR,|MZR|IST|URC|CKG|SZX|
SZX|NAJ,|NAJ|IST|URC|CKG|SZX|
SZX|NAV,|NAV|IST|URC|CKG|SZX|
SZX|NCE,|NCE|IST|URC|CKG|SZX|
