IDA|MSP,|MSP|DEN|IDA|
IDA|NAS,|NAS|ATL|DEN|IDA|
IDA|PHL,|PHL|DEN|IDA|
IDA|PHX,|PHX|DEN|IDA|
IDA|PIT,|PIT|DEN|IDA|
IDA|PLS,|PLS|YYZ|DEN|IDA|
IDA|POP,|POP|YYZ|DEN|IDA|
IDA|RDU,|RDU|DEN|IDA|
IDA|ROC,|ROC|ORD|DEN|IDA|
IDA|RSW,|RSW|DEN|IDA|
IDA|SAN,|SAN|DEN|IDA|
IDA|SJO,|SJO|IAH|DEN|IDA|
IDA|STL,|STL|DEN|IDA|
IDA|SYR,|SYR|ORD|DEN|IDA|
IDA|TLV,|TLV|IST|FRA|DEN|IDA|
IDA|TPA,|TPA|DEN|IDA|
IDA|UVF,|UVF|EWR|DEN|IDA|
IDA|VIE,|VIE|ORD|DEN|IDA|
IDA|YAM,|YAM|YYZ|DEN|IDA|
IDA|YGK,|YGK|YYZ|DEN|IDA|
IDA|YQG,|YQG|YYZ|DEN|IDA|
IDA|YSB,|YSB|YYZ|DEN|IDA|
IDA|YTS,|YTS|YYZ|DEN|IDA|
IDA|YYB,|YYB|YYZ|DEN|IDA|
IDA|YZR,|YZR|YYZ|DEN|IDA|
IDA|CAN,|CAN|YVR|DEN|IDA|
IDA|URC,|URC|PEK|YVR|DEN|IDA|
IDA|CTU,|CTU|PEK|YVR|DEN|IDA|
IDA|HGH,|HGH|DLC|ICN|YVR|DEN|IDA|
IDA|XMN,|XMN|PEK|YVR|DEN|IDA|
IDA|CGO,|CGO|PEK|YVR|DEN|IDA|
IDA|CSX,|CSX|ICN|YVR|DEN|IDA|
IDA|SHE,|SHE|ICN|YVR|DEN|IDA|
IDA|SJW,|SJW|DLC|ICN|YVR|DEN|IDA|
IDA|WUH,|WUH|ICN|YVR|DEN|IDA|
IDA|SZX,|SZX|PVG|YVR|DEN|IDA|
IDA|CKG,|CKG|PEK|YVR|DEN|IDA|
IDA|KMG,|KMG|PEK|YVR|DEN|IDA|
IDA|FOC,|FOC|PEK|YVR|DEN|IDA|
IDA|NNG,|NNG|PEK|YVR|DEN|IDA|
IDA|SWA,|SWA|PEK|YVR|DEN|IDA|
IDA|ACX,|ACX|CAN|YVR|DEN|IDA|
IDA|AQG,|AQG|CAN|YVR|DEN|IDA|
