SXM|RSW,|RSW|MCO|IAD|SXM|
SXM|SAN,|SAN|ORD|SXM|
SXM|SJO,|SJO|IAD|SXM|
SXM|STL,|STL|IAD|SXM|
SXM|SYR,|SYR|EWR|SXM|
SXM|TLV,|TLV|EWR|SXM|
SXM|TPA,|TPA|IAD|SXM|
SXM|UVF,|UVF|EWR|SXM|
SXM|VIE,|VIE|IAD|SXM|
SXM|YAM,|YAM|YYZ|SXM|
SXM|YGK,|YGK|YYZ|SXM|
SXM|YQG,|YQG|YYZ|SXM|
SXM|YSB,|YSB|YYZ|SXM|
SXM|YTS,|YTS|YYZ|SXM|
SXM|YYB,|YYB|YYZ|SXM|
SXM|YZR,|YZR|YYZ|SXM|
SXM|CAN,|CAN|PEK|EWR|SXM|
SXM|URC,|URC|TSE|FRA|EWR|SXM|
SXM|CTU,|CTU|PEK|EWR|SXM|
SXM|HGH,|HGH|PEK|EWR|SXM|
SXM|XMN,|XMN|PEK|EWR|SXM|
SXM|CGO,|CGO|PEK|EWR|SXM|
SXM|CSX,|CSX|PEK|EWR|SXM|
SXM|SHE,|SHE|PEK|EWR|SXM|
SXM|SJW,|SJW|DLC|PEK|EWR|SXM|
SXM|WUH,|WUH|PEK|EWR|SXM|
SXM|SZX,|SZX|PEK|EWR|SXM|
SXM|CKG,|CKG|PEK|EWR|SXM|
SXM|KMG,|KMG|PEK|EWR|SXM|
SXM|FOC,|FOC|PEK|EWR|SXM|
SXM|NNG,|NNG|PEK|EWR|SXM|
SXM|SWA,|SWA|PEK|EWR|SXM|
SXM|ACX,|ACX|CAN|PEK|EWR|SXM|
SXM|AQG,|AQG|CAN|PEK|EWR|SXM|
SXM|AVA,|AVA|CAN|PEK|EWR|SXM|
SXM|BFJ,|BFJ|CAN|PEK|EWR|SXM|
SXM|BHY,|BHY|CGO|PEK|EWR|SXM|
SXM|BNE,|BNE|CAN|PEK|EWR|SXM|
SXM|CGD,|CGD|PEK|EWR|SXM|
SXM|CGK,|CGK|CAN|PEK|EWR|SXM|
SXM|CGQ,|CGQ|PEK|EWR|SXM|
SXM|CIH,|CIH|PEK|EWR|SXM|
SXM|CNX,|CNX|CAN|PEK|EWR|SXM|
SXM|CZX,|CZX|SHE|PEK|EWR|SXM|
SXM|DAC,|DAC|IST|BHX|EWR|SXM|
SXM|DAD,|DAD|CAN|PEK|EWR|SXM|
SXM|DEL,|DEL|EWR|SXM|
SXM|DIG,|DIG|KMG|PEK|EWR|SXM|
SXM|DLC,|DLC|PEK|EWR|SXM|
SXM|DPS,|DPS|SZX|PEK|EWR|SXM|
SXM|DXB,|DXB|IST|BHX|EWR|SXM|
SXM|DYG,|DYG|PEK|EWR|SXM|
