GDL|CGQ,|CGQ|NRT|LAX|GDL|
GDL|CIH,|CIH|PEK|SFO|GDL|
GDL|CNX,|CNX|CAN|LAX|GDL|
GDL|CZX,|CZX|SHE|ICN|SFO|GDL|
GDL|DAC,|DAC|CAN|LAX|GDL|
GDL|DAD,|DAD|CAN|LAX|GDL|
GDL|DEL,|DEL|EWR|IAH|GDL|
GDL|DIG,|DIG|KMG|PEK|SFO|GDL|
GDL|DLC,|DLC|ICN|SFO|GDL|
GDL|DPS,|DPS|SZX|PVG|LAX|GDL|
GDL|DXB,|DXB|IST|IAH|GDL|
GDL|DYG,|DYG|PEK|SFO|GDL|
GDL|FUG,|FUG|CAN|LAX|GDL|
GDL|FUK,|FUK|ICN|SFO|GDL|
GDL|HAK,|HAK|PVG|LAX|GDL|
GDL|HAN,|HAN|PEK|SFO|GDL|
GDL|HDG,|HDG|CAN|LAX|GDL|
GDL|HET,|HET|DLC|ICN|SFO|GDL|
GDL|HFE,|HFE|TYN|DLC|ICN|SFO|GDL|
GDL|HJJ,|HJJ|CSX|ICN|SFO|GDL|
GDL|HKT,|HKT|CAN|LAX|GDL|
GDL|HRB,|HRB|ICN|SFO|GDL|
GDL|HZH,|HZH|CAN|LAX|GDL|
GDL|JIU,|JIU|CAN|LAX|GDL|
GDL|JJN,|JJN|HGH|DLC|ICN|SFO|GDL|
GDL|JNG,|JNG|CAN|LAX|GDL|
GDL|KHN,|KHN|DLC|ICN|SFO|GDL|
GDL|KIX,|KIX|SFO|GDL|
GDL|KOW,|KOW|PEK|SFO|GDL|
GDL|KTM,|KTM|CAN|LAX|GDL|
GDL|KUL,|KUL|PVG|LAX|GDL|
GDL|KWE,|KWE|PEK|SFO|GDL|
GDL|KWL,|KWL|WUH|ICN|SFO|GDL|
GDL|LHW,|LHW|CGO|PEK|SFO|GDL|
GDL|LYA,|LYA|KHN|DLC|ICN|SFO|GDL|
GDL|LYG,|LYG|HSN|PEK|SFO|GDL|
GDL|LZH,|LZH|CAN|LAX|GDL|
GDL|MEL,|MEL|SYD|LAX|GDL|
GDL|MIG,|MIG|CSX|ICN|SFO|GDL|
GDL|MLE,|MLE|IST|IAH|GDL|
GDL|MNL,|MNL|GUM|HNL|LAX|GDL|
GDL|MXZ,|MXZ|CAN|LAX|GDL|
GDL|NAO,|NAO|PEK|SFO|GDL|
GDL|NGB,|NGB|DLC|ICN|SFO|GDL|
GDL|NKG,|NKG|DLC|ICN|SFO|GDL|
