WUX|YTZ,|YTZ|YUL|YYZ|PEK|CAN|WUX|
WUX|YUY,|YUY|YUL|YYZ|PEK|CAN|WUX|
WUX|YVO,|YVO|YUL|YYZ|PEK|CAN|WUX|
WUX|ZBF,|ZBF|YUL|YYZ|PEK|CAN|WUX|
WUX|ZRH,|ZRH|IST|CAN|WUX|
WUX|ZSA,|ZSA|YUL|YYZ|PEK|CAN|WUX|
WUX|AKL,|AKL|CAN|WUX|
WUX|HKG,|HKG|CAN|WUX|
WUX|HND,|HND|HNL|NRT|CAN|WUX|
WUX|HNL,|HNL|NRT|CAN|WUX|
WUX|MEX,|MEX|SFO|PVG|CAN|WUX|
WUX|OGG,|OGG|HNL|NRT|CAN|WUX|
WUX|PDX,|PDX|SEA|ICN|CAN|WUX|
WUX|PEK,|PEK|CAN|WUX|
WUX|PVG,|PVG|CAN|WUX|
WUX|PVR,|PVR|LAX|CAN|WUX|
WUX|SEA,|SEA|ICN|CAN|WUX|
WUX|SYD,|SYD|CAN|WUX|
WUX|YBL,|YBL|YVR|CAN|WUX|
WUX|YCD,|YCD|YVR|CAN|WUX|
WUX|YCG,|YCG|YVR|CAN|WUX|
WUX|YKA,|YKA|YVR|CAN|WUX|
WUX|YPR,|YPR|YVR|CAN|WUX|
WUX|YQZ,|YQZ|YVR|CAN|WUX|
WUX|YXC,|YXC|YVR|CAN|WUX|
WUX|YXJ,|YXJ|YVR|CAN|WUX|
WUX|YXS,|YXS|YVR|CAN|WUX|
WUX|YXT,|YXT|YVR|CAN|WUX|
WUX|YXY,|YXY|YVR|CAN|WUX|
WUX|YYD,|YYD|YVR|CAN|WUX|
WUX|YYF,|YYF|YVR|CAN|WUX|
WUX|YZP,|YZP|YVR|CAN|WUX|
WUX|YQT,|YQT|YWG|YVR|CAN|WUX|
WUX|SJD,|SJD|LAX|CAN|WUX|
WUX|YQF,|YQF|YYC|YVR|CAN|WUX|
WUX|YQL,|YQL|YYC|YVR|CAN|WUX|
WUX|YXH,|YXH|YYC|YVR|CAN|WUX|
WUX|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|WUX|
WUX|ANU,|ANU|EWR|PEK|CAN|WUX|
WUX|AUA,|AUA|EWR|PEK|CAN|WUX|
WUX|AUH,|AUH|IST|CAN|WUX|
WUX|BCN,|BCN|IST|CAN|WUX|
WUX|BDA,|BDA|EWR|PEK|CAN|WUX|
WUX|BGI,|BGI|YYZ|PEK|CAN|WUX|
WUX|BNA,|BNA|ORD|PEK|CAN|WUX|
WUX|BOG,|BOG|MIA|ORD|PEK|CAN|WUX|
WUX|BWI,|BWI|YYZ|PEK|CAN|WUX|
WUX|CLE,|CLE|YYZ|PEK|CAN|WUX|
WUX|CLT,|CLT|YYZ|PEK|CAN|WUX|
WUX|CMH,|CMH|ORD|PEK|CAN|WUX|
WUX|CVG,|CVG|ORD|PEK|CAN|WUX|
WUX|DFW,|DFW|YVR|CAN|WUX|
WUX|DTW,|DTW|PEK|CAN|WUX|
WUX|DUB,|DUB|IST|CAN|WUX|
WUX|FCO,|FCO|IST|CAN|WUX|
WUX|GCM,|GCM|YYZ|PEK|CAN|WUX|
WUX|GGT,|GGT|YYZ|PEK|CAN|WUX|
WUX|GND,|GND|YYZ|PEK|CAN|WUX|
WUX|GRU,|GRU|IST|CAN|WUX|
WUX|HAV,|HAV|YYZ|PEK|CAN|WUX|
WUX|IND,|IND|ORD|PEK|CAN|WUX|
WUX|JFK,|JFK|PEK|CAN|WUX|
WUX|KIN,|KIN|YYZ|PEK|CAN|WUX|
WUX|LIM,|LIM|IAH|YVR|CAN|WUX|
WUX|LIR,|LIR|IAH|YVR|CAN|WUX|
WUX|MCI,|MCI|DEN|YVR|CAN|WUX|
WUX|MDT,|MDT|YYZ|PEK|CAN|WUX|
WUX|MIA,|MIA|ORD|PEK|CAN|WUX|
WUX|MKE,|MKE|ORD|PEK|CAN|WUX|
WUX|MSP,|MSP|ORD|PEK|CAN|WUX|
WUX|NAS,|NAS|YYZ|PEK|CAN|WUX|
WUX|PHL,|PHL|YYZ|PEK|CAN|WUX|
WUX|PHX,|PHX|SFO|PVG|CAN|WUX|
WUX|PIT,|PIT|YYZ|PEK|CAN|WUX|
WUX|PLS,|PLS|EWR|PEK|CAN|WUX|
WUX|POP,|POP|EWR|PEK|CAN|WUX|
WUX|RDU,|RDU|YYZ|PEK|CAN|WUX|
WUX|ROC,|ROC|YYZ|PEK|CAN|WUX|
