IKA|DTW,|DTW|YYZ|VIE|SAW|IKA|
IKA|DUB,|DUB|IST|IKA|
IKA|FCO,|FCO|IST|IKA|
IKA|GCM,|GCM|EWR|FRA|SAW|IKA|
IKA|GGT,|GGT|FLL|MCO|FRA|SAW|IKA|
IKA|GND,|GND|YYZ|VIE|SAW|IKA|
IKA|GRU,|GRU|IST|IKA|
IKA|HAV,|HAV|YYZ|VIE|SAW|IKA|
IKA|IND,|IND|YYZ|VIE|SAW|IKA|
IKA|JFK,|JFK|FRA|SAW|IKA|
IKA|KIN,|KIN|YYZ|VIE|SAW|IKA|
IKA|LIM,|LIM|MIA|ZRH|IST|IKA|
IKA|LIR,|LIR|EWR|FRA|SAW|IKA|
IKA|MCI,|MCI|ORD|VIE|SAW|IKA|
IKA|MDT,|MDT|IAD|FRA|SAW|IKA|
IKA|MIA,|MIA|ZRH|IST|IKA|
IKA|MKE,|MKE|YYZ|VIE|SAW|IKA|
IKA|MSP,|MSP|YUL|FRA|SAW|IKA|
IKA|NAS,|NAS|EWR|FRA|SAW|IKA|
IKA|PHL,|PHL|IAD|FRA|SAW|IKA|
IKA|PHX,|PHX|DEN|FRA|SAW|IKA|
IKA|PIT,|PIT|YYZ|VIE|SAW|IKA|
IKA|PLS,|PLS|EWR|FRA|SAW|IKA|
IKA|POP,|POP|EWR|FRA|SAW|IKA|
IKA|RDU,|RDU|EWR|FRA|SAW|IKA|
IKA|ROC,|ROC|YYZ|VIE|SAW|IKA|
IKA|RSW,|RSW|MCO|FRA|SAW|IKA|
IKA|SAN,|SAN|LAX|IST|IKA|
IKA|SJO,|SJO|EWR|FRA|SAW|IKA|
IKA|STL,|STL|ORD|VIE|SAW|IKA|
IKA|SYR,|SYR|EWR|FRA|SAW|IKA|
IKA|TLV,|TLV|SAW|IKA|
IKA|TPA,|TPA|EWR|FRA|SAW|IKA|
IKA|UVF,|UVF|EWR|FRA|SAW|IKA|
IKA|VIE,|VIE|SAW|IKA|
IKA|YAM,|YAM|YYZ|VIE|SAW|IKA|
IKA|YGK,|YGK|YYZ|VIE|SAW|IKA|
IKA|YQG,|YQG|YYZ|VIE|SAW|IKA|
IKA|YSB,|YSB|YYZ|VIE|SAW|IKA|
IKA|YTS,|YTS|YYZ|VIE|SAW|IKA|
IKA|YYB,|YYB|YYZ|VIE|SAW|IKA|
IKA|YZR,|YZR|YYZ|VIE|SAW|IKA|
IKA|CAN,|CAN|URC|IKA|
IKA|URC,|URC|IKA|
IKA|CTU,|CTU|URC|IKA|
IKA|HGH,|HGH|URC|IKA|
IKA|XMN,|XMN|CSX|URC|IKA|
IKA|CGO,|CGO|URC|IKA|
IKA|CSX,|CSX|URC|IKA|
IKA|SHE,|SHE|HET|URC|IKA|
IKA|SJW,|SJW|URC|IKA|
IKA|WUH,|WUH|URC|IKA|
IKA|SZX,|SZX|CKG|URC|IKA|
IKA|CKG,|CKG|URC|IKA|
IKA|KMG,|KMG|CTU|URC|IKA|
IKA|FOC,|FOC|XIY|URC|IKA|
IKA|NNG,|NNG|KWE|URC|IKA|
IKA|SWA,|SWA|CSX|URC|IKA|
IKA|ACX,|ACX|CAN|URC|IKA|
IKA|AQG,|AQG|CAN|URC|IKA|
IKA|AVA,|AVA|CAN|URC|IKA|
IKA|BFJ,|BFJ|CAN|URC|IKA|
IKA|BHY,|BHY|CKG|URC|IKA|
IKA|BNE,|BNE|CAN|URC|IKA|
IKA|CGD,|CGD|PEK|URC|IKA|
IKA|CGK,|CGK|CAN|URC|IKA|
IKA|CGQ,|CGQ|HET|URC|IKA|
IKA|CIH,|CIH|DAT|TYN|URC|IKA|
IKA|CNX,|CNX|CAN|URC|IKA|
IKA|CZX,|CZX|TYN|URC|IKA|
IKA|DAC,|DAC|IST|IKA|
IKA|DAD,|DAD|CAN|URC|IKA|
IKA|DEL,|DEL|IST|IKA|
IKA|DIG,|DIG|KMG|CTU|URC|IKA|
IKA|DLC,|DLC|PEK|URC|IKA|
IKA|DPS,|DPS|CAN|URC|IKA|
IKA|DXB,|DXB|IST|IKA|
IKA|DYG,|DYG|CSX|URC|IKA|
IKA|FUG,|FUG|CAN|URC|IKA|
IKA|FUK,|FUK|ICN|PEK|URC|IKA|
IKA|HAK,|HAK|CTU|URC|IKA|
IKA|HAN,|HAN|CAN|URC|IKA|
IKA|HDG,|HDG|CAN|URC|IKA|
IKA|HET,|HET|URC|IKA|
IKA|HFE,|HFE|XIY|URC|IKA|
IKA|HJJ,|HJJ|CSX|URC|IKA|
IKA|HKT,|HKT|KWE|URC|IKA|
IKA|HRB,|HRB|PEK|URC|IKA|
IKA|HZH,|HZH|CAN|URC|IKA|
IKA|JIU,|JIU|CAN|URC|IKA|
IKA|JJN,|JJN|CSX|URC|IKA|
IKA|JNG,|JNG|CAN|URC|IKA|
IKA|KHN,|KHN|XIY|URC|IKA|
IKA|KIX,|KIX|DLC|PEK|URC|IKA|
IKA|KOW,|KOW|CAN|URC|IKA|
IKA|KTM,|KTM|IST|IKA|
IKA|KUL,|KUL|BKK|NNG|KWE|URC|IKA|
IKA|KWE,|KWE|URC|IKA|
IKA|KWL,|KWL|CKG|URC|IKA|
IKA|LHW,|LHW|URC|IKA|
IKA|LYA,|LYA|KHN|XIY|URC|IKA|
IKA|LYG,|LYG|XUZ|INC|URC|IKA|
IKA|LZH,|LZH|CAN|URC|IKA|
IKA|MEL,|MEL|CAN|URC|IKA|
IKA|MIG,|MIG|CSX|URC|IKA|
IKA|MLE,|MLE|IST|IKA|
IKA|MNL,|MNL|CAN|URC|IKA|
IKA|MXZ,|MXZ|CAN|URC|IKA|
IKA|NAO,|NAO|PEK|URC|IKA|
IKA|NGB,|NGB|WUH|URC|IKA|
IKA|NKG,|NKG|URC|IKA|
IKA|NNY,|NNY|CGO|URC|IKA|
IKA|PEN,|PEN|CAN|URC|IKA|
IKA|PER,|PER|CAN|URC|IKA|
IKA|PNH,|PNH|CAN|URC|IKA|
IKA|REP,|REP|CAN|URC|IKA|
IKA|RGN,|RGN|CAN|URC|IKA|
IKA|SGN,|SGN|CAN|URC|IKA|
IKA|SHA,|SHA|URC|IKA|
IKA|SIN,|SIN|CAN|URC|IKA|
IKA|SVO,|SVO|URC|IKA|
IKA|SYX,|SYX|CKG|URC|IKA|
IKA|TAO,|TAO|TYN|URC|IKA|
IKA|TEN,|TEN|CAN|URC|IKA|
IKA|TNA,|TNA|URC|IKA|
IKA|TPE,|TPE|URC|IKA|
IKA|TSN,|TSN|HET|URC|IKA|
IKA|TXN,|TXN|TYN|URC|IKA|
IKA|TYN,|TYN|URC|IKA|
IKA|WNZ,|WNZ|XIY|URC|IKA|
IKA|WUX,|WUX|CAN|URC|IKA|
IKA|XFN,|XFN|CAN|URC|IKA|
IKA|XIY,|XIY|URC|IKA|
IKA|XUZ,|XUZ|INC|URC|IKA|
IKA|YIH,|YIH|CKG|URC|IKA|
IKA|YIW,|YIW|URC|IKA|
