SDJ|YXH,|YXH|YYC|NRT|GUM|SDJ|
SDJ|YWK,|YWK|YZV|YQB|YYZ|NRT|GUM|SDJ|
SDJ|ANU,|ANU|EWR|NRT|GUM|SDJ|
SDJ|AUA,|AUA|ATL|LAX|HNL|GUM|SDJ|
SDJ|AUH,|AUH|IST|ICN|FUK|GUM|SDJ|
SDJ|BCN,|BCN|IST|ICN|FUK|GUM|SDJ|
SDJ|BDA,|BDA|EWR|NRT|GUM|SDJ|
SDJ|BGI,|BGI|YYZ|NRT|GUM|SDJ|
SDJ|BNA,|BNA|LAX|HNL|GUM|SDJ|
SDJ|BOG,|BOG|IAH|HNL|GUM|SDJ|
SDJ|BWI,|BWI|YYZ|NRT|GUM|SDJ|
SDJ|CLE,|CLE|ORD|NRT|GUM|SDJ|
SDJ|CLT,|CLT|ORD|NRT|GUM|SDJ|
SDJ|CMH,|CMH|ORD|NRT|GUM|SDJ|
SDJ|CVG,|CVG|ORD|NRT|GUM|SDJ|
SDJ|DFW,|DFW|LAX|HNL|GUM|SDJ|
SDJ|DTW,|DTW|ORD|NRT|GUM|SDJ|
SDJ|DUB,|DUB|IST|ICN|FUK|GUM|SDJ|
SDJ|FCO,|FCO|IST|ICN|FUK|GUM|SDJ|
SDJ|GCM,|GCM|IAH|HNL|GUM|SDJ|
SDJ|GGT,|GGT|FLL|IAH|HNL|GUM|SDJ|
SDJ|GND,|GND|YYZ|NRT|GUM|SDJ|
SDJ|GRU,|GRU|IAH|HNL|GUM|SDJ|
SDJ|HAV,|HAV|YYZ|NRT|GUM|SDJ|
SDJ|IND,|IND|ORD|NRT|GUM|SDJ|
SDJ|JFK,|JFK|NRT|GUM|SDJ|
SDJ|KIN,|KIN|YYZ|NRT|GUM|SDJ|
SDJ|LIM,|LIM|IAH|HNL|GUM|SDJ|
SDJ|LIR,|LIR|IAH|HNL|GUM|SDJ|
SDJ|MCI,|MCI|SFO|HNL|GUM|SDJ|
SDJ|MDT,|MDT|YYZ|NRT|GUM|SDJ|
SDJ|MIA,|MIA|IAH|HNL|GUM|SDJ|
SDJ|MKE,|MKE|ORD|NRT|GUM|SDJ|
SDJ|MSP,|MSP|SFO|HNL|GUM|SDJ|
SDJ|NAS,|NAS|IAH|HNL|GUM|SDJ|
SDJ|PHL,|PHL|YYZ|NRT|GUM|SDJ|
SDJ|PHX,|PHX|LAX|HNL|GUM|SDJ|
SDJ|PIT,|PIT|YYZ|NRT|GUM|SDJ|
SDJ|PLS,|PLS|YYZ|NRT|GUM|SDJ|
SDJ|POP,|POP|YYZ|NRT|GUM|SDJ|
SDJ|RDU,|RDU|ORD|NRT|GUM|SDJ|
SDJ|ROC,|ROC|YYZ|NRT|GUM|SDJ|
SDJ|RSW,|RSW|IAH|HNL|GUM|SDJ|
SDJ|SAN,|SAN|LAX|HNL|GUM|SDJ|
