ISE|HDG,|HDG|CAN|IST|ISE|
ISE|HET,|HET|URC|IST|ISE|
ISE|HFE,|HFE|XIY|URC|IST|ISE|
ISE|HJJ,|HJJ|CSX|URC|IST|ISE|
ISE|HKT,|HKT|KWE|URC|IST|ISE|
ISE|HRB,|HRB|PEK|IST|ISE|
ISE|HZH,|HZH|CAN|IST|ISE|
ISE|JIU,|JIU|CAN|IST|ISE|
ISE|JJN,|JJN|CSX|URC|IST|ISE|
ISE|JNG,|JNG|CAN|IST|ISE|
ISE|KHN,|KHN|XIY|URC|IST|ISE|
ISE|KIX,|KIX|IST|ISE|
ISE|KOW,|KOW|CAN|IST|ISE|
ISE|KTM,|KTM|IST|ISE|
ISE|KUL,|KUL|IST|ISE|
ISE|KWE,|KWE|URC|IST|ISE|
ISE|KWL,|KWL|CKG|URC|IST|ISE|
ISE|LHW,|LHW|URC|IST|ISE|
ISE|LYA,|LYA|KHN|XIY|URC|IST|ISE|
ISE|LYG,|LYG|XUZ|INC|URC|IST|ISE|
ISE|LZH,|LZH|CAN|IST|ISE|
ISE|MEL,|MEL|BKK|IST|ISE|
ISE|MIG,|MIG|CSX|URC|IST|ISE|
ISE|MLE,|MLE|IST|ISE|
ISE|MNL,|MNL|CAN|IST|ISE|
ISE|MXZ,|MXZ|CAN|IST|ISE|
ISE|NAO,|NAO|PEK|IST|ISE|
ISE|NGB,|NGB|WUH|URC|IST|ISE|
ISE|NKG,|NKG|URC|IST|ISE|
ISE|NNY,|NNY|CGO|URC|IST|ISE|
ISE|PEN,|PEN|CAN|IST|ISE|
ISE|PER,|PER|BKK|IST|ISE|
ISE|PNH,|PNH|CAN|IST|ISE|
ISE|REP,|REP|CAN|IST|ISE|
ISE|RGN,|RGN|CAN|IST|ISE|
ISE|SGN,|SGN|BKK|IST|ISE|
ISE|SHA,|SHA|URC|IST|ISE|
ISE|SIN,|SIN|IST|ISE|
ISE|SVO,|SVO|URC|IST|ISE|
ISE|SYX,|SYX|CKG|URC|IST|ISE|
ISE|TAO,|TAO|TYN|URC|IST|ISE|
ISE|TEN,|TEN|CAN|IST|ISE|
ISE|TNA,|TNA|URC|IST|ISE|
ISE|TPE,|TPE|URC|IST|ISE|
ISE|TSN,|TSN|HET|URC|IST|ISE|
ISE|TXN,|TXN|TYN|URC|IST|ISE|
ISE|TYN,|TYN|URC|IST|ISE|
ISE|WNZ,|WNZ|XIY|URC|IST|ISE|
ISE|WUX,|WUX|CAN|IST|ISE|
ISE|XFN,|XFN|CAN|IST|ISE|
ISE|XIY,|XIY|URC|IST|ISE|
ISE|XUZ,|XUZ|INC|URC|IST|ISE|
ISE|YIH,|YIH|CKG|URC|IST|ISE|
ISE|YIW,|YIW|URC|IST|ISE|
ISE|YNT,|YNT|SHE|PEK|IST|ISE|
ISE|YNZ,|YNZ|WUH|URC|IST|ISE|
ISE|YTY,|YTY|CGO|URC|IST|ISE|
ISE|ZHA,|ZHA|CAN|IST|ISE|
ISE|ZYI,|ZYI|CAN|IST|ISE|
ISE|BAV,|BAV|URC|IST|ISE|
ISE|CJU,|CJU|DLC|PEK|IST|ISE|
ISE|DSN,|DSN|CGO|URC|IST|ISE|
ISE|HMI,|HMI|URC|IST|ISE|
ISE|INC,|INC|URC|IST|ISE|
ISE|KHH,|KHH|WUH|URC|IST|ISE|
ISE|UYN,|UYN|XIY|URC|IST|ISE|
ISE|XNN,|XNN|URC|IST|ISE|
ISE|ZUH,|ZUH|KWE|URC|IST|ISE|
ISE|YNJ,|YNJ|PEK|IST|ISE|
ISE|DAT,|DAT|TYN|URC|IST|ISE|
ISE|JHG,|JHG|KMG|CTU|URC|IST|ISE|
ISE|LJG,|LJG|KMG|CTU|URC|IST|ISE|
ISE|LXA,|LXA|CKG|URC|IST|ISE|
ISE|YCU,|YCU|CKG|URC|IST|ISE|
ISE|LZO,|LZO|CSX|URC|IST|ISE|
ISE|MDG,|MDG|DLC|PEK|IST|ISE|
ISE|NGO,|NGO|ICN|IST|ISE|
ISE|TOY,|TOY|DLC|PEK|IST|ISE|
ISE|MFM,|MFM|XMN|CSX|URC|IST|ISE|
ISE|TGO,|TGO|HET|URC|IST|ISE|
ISE|XIL,|XIL|HET|URC|IST|ISE|
ISE|HEK,|HEK|HRB|PEK|IST|ISE|
ISE|KIJ,|KIJ|HRB|PEK|IST|ISE|
ISE|LDS,|LDS|HRB|PEK|IST|ISE|
ISE|OHE,|OHE|HRB|PEK|IST|ISE|
ISE|HSN,|HSN|LYG|XUZ|INC|URC|IST|ISE|
ISE|DLU,|DLU|KMG|CTU|URC|IST|ISE|
ISE|SYM,|SYM|KMG|CTU|URC|IST|ISE|
ISE|ZAT,|ZAT|KMG|CTU|URC|IST|ISE|
ISE|LUN,|LUN|NBO|IST|ISE|
ISE|AOG,|AOG|PEK|IST|ISE|
ISE|GMP,|GMP|PEK|IST|ISE|
ISE|ISB,|ISB|IST|ISE|
ISE|TAS,|TAS|IST|ISE|
ISE|WUS,|WUS|PEK|IST|ISE|
ISE|JMU,|JMU|PVG|IST|ISE|
ISE|NDG,|NDG|PVG|IST|ISE|
ISE|JXA,|JXA|SHE|PEK|IST|ISE|
ISE|PUS,|PUS|SHE|PEK|IST|ISE|
ISE|BKI,|BKI|SZX|CKG|URC|IST|ISE|
ISE|AKU,|AKU|URC|IST|ISE|
ISE|ALA,|ALA|IST|ISE|
ISE|ASB,|ASB|IST|ISE|
ISE|DNH,|DNH|URC|IST|ISE|
ISE|DYU,|DYU|IST|ISE|
