YSJ|WUH,|WUH|PEK|YYZ|YSJ|
YSJ|SZX,|SZX|PEK|YYZ|YSJ|
YSJ|CKG,|CKG|PEK|YYZ|YSJ|
YSJ|KMG,|KMG|PEK|YYZ|YSJ|
YSJ|FOC,|FOC|PEK|YYZ|YSJ|
YSJ|NNG,|NNG|PEK|YYZ|YSJ|
YSJ|SWA,|SWA|PEK|YYZ|YSJ|
YSJ|ACX,|ACX|CAN|PEK|YYZ|YSJ|
YSJ|AQG,|AQG|CAN|PEK|YYZ|YSJ|
YSJ|AVA,|AVA|CAN|PEK|YYZ|YSJ|
YSJ|BFJ,|BFJ|CAN|PEK|YYZ|YSJ|
YSJ|BHY,|BHY|CGO|PEK|YYZ|YSJ|
YSJ|BNE,|BNE|CAN|PEK|YYZ|YSJ|
YSJ|CGD,|CGD|PEK|YYZ|YSJ|
YSJ|CGK,|CGK|SIN|IST|LHR|YHZ|YSJ|
YSJ|CGQ,|CGQ|PEK|YYZ|YSJ|
YSJ|CIH,|CIH|PEK|YYZ|YSJ|
YSJ|CNX,|CNX|CAN|PEK|YYZ|YSJ|
YSJ|CZX,|CZX|SHE|PEK|YYZ|YSJ|
YSJ|DAC,|DAC|IST|LHR|YHZ|YSJ|
YSJ|DAD,|DAD|CAN|PEK|YYZ|YSJ|
YSJ|DEL,|DEL|IST|LHR|YHZ|YSJ|
YSJ|DIG,|DIG|KMG|PEK|YYZ|YSJ|
YSJ|DLC,|DLC|PEK|YYZ|YSJ|
YSJ|DPS,|DPS|SZX|PEK|YYZ|YSJ|
YSJ|DXB,|DXB|IST|LHR|YHZ|YSJ|
YSJ|DYG,|DYG|PEK|YYZ|YSJ|
YSJ|FUG,|FUG|CAN|PEK|YYZ|YSJ|
YSJ|FUK,|FUK|ICN|JFK|YUL|YSJ|
YSJ|HAK,|HAK|PEK|YYZ|YSJ|
YSJ|HAN,|HAN|PEK|YYZ|YSJ|
YSJ|HDG,|HDG|CAN|PEK|YYZ|YSJ|
YSJ|HET,|HET|DLC|PEK|YYZ|YSJ|
YSJ|HFE,|HFE|XIY|PEK|YYZ|YSJ|
YSJ|HJJ,|HJJ|CSX|PEK|YYZ|YSJ|
YSJ|HKT,|HKT|KWE|PEK|YYZ|YSJ|
YSJ|HRB,|HRB|PEK|YYZ|YSJ|
YSJ|HZH,|HZH|CAN|PEK|YYZ|YSJ|
YSJ|JIU,|JIU|CAN|PEK|YYZ|YSJ|
YSJ|JJN,|JJN|PEK|YYZ|YSJ|
YSJ|JNG,|JNG|CAN|PEK|YYZ|YSJ|
YSJ|KHN,|KHN|DLC|PEK|YYZ|YSJ|
YSJ|KIX,|KIX|SFO|YUL|YSJ|
YSJ|KOW,|KOW|PEK|YYZ|YSJ|
YSJ|KTM,|KTM|IST|LHR|YHZ|YSJ|
YSJ|KUL,|KUL|IST|LHR|YHZ|YSJ|
YSJ|KWE,|KWE|PEK|YYZ|YSJ|
YSJ|KWL,|KWL|PEK|YYZ|YSJ|
YSJ|LHW,|LHW|CGO|PEK|YYZ|YSJ|
YSJ|LYA,|LYA|KHN|DLC|PEK|YYZ|YSJ|
YSJ|LYG,|LYG|HSN|PEK|YYZ|YSJ|
YSJ|LZH,|LZH|CAN|PEK|YYZ|YSJ|
YSJ|MEL,|MEL|SYD|SFO|YUL|YSJ|
YSJ|MIG,|MIG|CSX|PEK|YYZ|YSJ|
YSJ|MLE,|MLE|IST|LHR|YHZ|YSJ|
YSJ|MNL,|MNL|XMN|PEK|YYZ|YSJ|
YSJ|MXZ,|MXZ|CAN|PEK|YYZ|YSJ|
YSJ|NAO,|NAO|PEK|YYZ|YSJ|
YSJ|NGB,|NGB|PEK|YYZ|YSJ|
YSJ|NKG,|NKG|DLC|PEK|YYZ|YSJ|
YSJ|NNY,|NNY|CGO|PEK|YYZ|YSJ|
YSJ|PEN,|PEN|CAN|PEK|YYZ|YSJ|
YSJ|PER,|PER|CAN|PEK|YYZ|YSJ|
YSJ|PNH,|PNH|CAN|PEK|YYZ|YSJ|
YSJ|REP,|REP|CAN|PEK|YYZ|YSJ|
YSJ|RGN,|RGN|CAN|PEK|YYZ|YSJ|
YSJ|SGN,|SGN|CAN|PEK|YYZ|YSJ|
YSJ|SHA,|SHA|PEK|YYZ|YSJ|
YSJ|SIN,|SIN|IST|LHR|YHZ|YSJ|
YSJ|SVO,|SVO|URC|IST|LHR|YHZ|YSJ|
YSJ|SYX,|SYX|PEK|YYZ|YSJ|
YSJ|TAO,|TAO|DLC|PEK|YYZ|YSJ|
YSJ|TEN,|TEN|PEK|YYZ|YSJ|
YSJ|TNA,|TNA|DLC|PEK|YYZ|YSJ|
YSJ|TPE,|TPE|PVG|YYZ|YSJ|
YSJ|TSN,|TSN|DLC|PEK|YYZ|YSJ|
YSJ|TXN,|TXN|DLC|PEK|YYZ|YSJ|
YSJ|TYN,|TYN|DAT|CIH|PEK|YYZ|YSJ|
YSJ|WNZ,|WNZ|CGO|PEK|YYZ|YSJ|
YSJ|WUX,|WUX|CAN|PEK|YYZ|YSJ|
YSJ|XFN,|XFN|XMN|PEK|YYZ|YSJ|
YSJ|XIY,|XIY|PEK|YYZ|YSJ|
YSJ|XUZ,|XUZ|LYG|HSN|PEK|YYZ|YSJ|
YSJ|YIH,|YIH|CKG|PEK|YYZ|YSJ|
YSJ|YIW,|YIW|PEK|YYZ|YSJ|
YSJ|YNT,|YNT|SHE|PEK|YYZ|YSJ|
YSJ|YNZ,|YNZ|DLC|PEK|YYZ|YSJ|
YSJ|YTY,|YTY|DLC|PEK|YYZ|YSJ|
YSJ|ZHA,|ZHA|CAN|PEK|YYZ|YSJ|
YSJ|ZYI,|ZYI|PEK|YYZ|YSJ|
YSJ|BAV,|BAV|CGO|PEK|YYZ|YSJ|
YSJ|CJU,|CJU|DLC|PEK|YYZ|YSJ|
YSJ|DSN,|DSN|CGO|PEK|YYZ|YSJ|
YSJ|HMI,|HMI|URC|IST|LHR|YHZ|YSJ|
YSJ|INC,|INC|PEK|YYZ|YSJ|
YSJ|KHH,|KHH|CGO|PEK|YYZ|YSJ|
YSJ|UYN,|UYN|CGO|PEK|YYZ|YSJ|
YSJ|XNN,|XNN|PEK|YYZ|YSJ|
YSJ|ZUH,|ZUH|PEK|YYZ|YSJ|
YSJ|YNJ,|YNJ|PEK|YYZ|YSJ|
YSJ|DAT,|DAT|CIH|PEK|YYZ|YSJ|
YSJ|JHG,|JHG|CKG|PEK|YYZ|YSJ|
YSJ|LJG,|LJG|CKG|PEK|YYZ|YSJ|
YSJ|LXA,|LXA|XIY|PEK|YYZ|YSJ|
YSJ|YCU,|YCU|CSX|PEK|YYZ|YSJ|
YSJ|LZO,|LZO|CSX|PEK|YYZ|YSJ|
YSJ|MDG,|MDG|DLC|PEK|YYZ|YSJ|
YSJ|NGO,|NGO|ICN|JFK|YUL|YSJ|
YSJ|TOY,|TOY|DLC|PEK|YYZ|YSJ|
YSJ|MFM,|MFM|XMN|PEK|YYZ|YSJ|
YSJ|TGO,|TGO|HET|DLC|PEK|YYZ|YSJ|
YSJ|XIL,|XIL|HET|DLC|PEK|YYZ|YSJ|
YSJ|HEK,|HEK|HRB|PEK|YYZ|YSJ|
YSJ|KIJ,|KIJ|HRB|PEK|YYZ|YSJ|
YSJ|LDS,|LDS|HRB|PEK|YYZ|YSJ|
YSJ|OHE,|OHE|HRB|PEK|YYZ|YSJ|
YSJ|HSN,|HSN|PEK|YYZ|YSJ|
YSJ|DLU,|DLU|KMG|PEK|YYZ|YSJ|
YSJ|SYM,|SYM|KMG|PEK|YYZ|YSJ|
YSJ|ZAT,|ZAT|KMG|PEK|YYZ|YSJ|
YSJ|LUN,|LUN|NBO|IST|LHR|YHZ|YSJ|
YSJ|AOG,|AOG|PEK|YYZ|YSJ|
YSJ|GMP,|GMP|PEK|YYZ|YSJ|
YSJ|ISB,|ISB|IST|LHR|YHZ|YSJ|
YSJ|TAS,|TAS|IST|LHR|YHZ|YSJ|
YSJ|WUS,|WUS|PEK|YYZ|YSJ|
YSJ|JMU,|JMU|PVG|YYZ|YSJ|
YSJ|NDG,|NDG|PVG|YYZ|YSJ|
YSJ|JXA,|JXA|SHE|PEK|YYZ|YSJ|
YSJ|PUS,|PUS|SHE|PEK|YYZ|YSJ|
YSJ|BKI,|BKI|SZX|PEK|YYZ|YSJ|
YSJ|AKU,|AKU|URC|IST|LHR|YHZ|YSJ|
YSJ|ALA,|ALA|IST|LHR|YHZ|YSJ|
YSJ|ASB,|ASB|IST|LHR|YHZ|YSJ|
YSJ|DNH,|DNH|URC|IST|LHR|YHZ|YSJ|
YSJ|DYU,|DYU|IST|LHR|YHZ|YSJ|
YSJ|FRU,|FRU|IST|LHR|YHZ|YSJ|
YSJ|GYD,|GYD|IST|LHR|YHZ|YSJ|
YSJ|HTN,|HTN|URC|IST|LHR|YHZ|YSJ|
YSJ|IKA,|IKA|IST|LHR|YHZ|YSJ|
YSJ|KCA,|KCA|URC|IST|LHR|YHZ|YSJ|
YSJ|KHG,|KHG|URC|IST|LHR|YHZ|YSJ|
YSJ|KRL,|KRL|URC|IST|LHR|YHZ|YSJ|
YSJ|KRY,|KRY|URC|IST|LHR|YHZ|YSJ|
YSJ|LBD,|LBD|URC|IST|LHR|YHZ|YSJ|
YSJ|NLT,|NLT|URC|IST|LHR|YHZ|YSJ|
YSJ|OSS,|OSS|IST|LHR|YHZ|YSJ|
YSJ|OVB,|OVB|IST|LHR|YHZ|YSJ|
YSJ|TBS,|TBS|IST|LHR|YHZ|YSJ|
YSJ|TCG,|TCG|URC|IST|LHR|YHZ|YSJ|
YSJ|TSE,|TSE|IST|LHR|YHZ|YSJ|
YSJ|YIN,|YIN|URC|IST|LHR|YHZ|YSJ|
YSJ|ENH,|ENH|WUH|PEK|YYZ|YSJ|
YSJ|ENY,|ENY|XIY|PEK|YYZ|YSJ|
YSJ|WXN,|WXN|XIY|PEK|YYZ|YSJ|
YSJ|BLL,|BLL|IST|LHR|YHZ|YSJ|
YSJ|ESB,|ESB|IST|LHR|YHZ|YSJ|
YSJ|SAW,|SAW|ADB|IST|LHR|YHZ|YSJ|
YSJ|HAM,|HAM|EWR|YUL|YSJ|
YSJ|HRE,|HRE|ADD|IST|LHR|YHZ|YSJ|
YSJ|JUB,|JUB|CAI|IST|LHR|YHZ|YSJ|
YSJ|SSG,|SSG|DLA|BRU|YUL|YSJ|
YSJ|BGW,|BGW|IST|LHR|YHZ|YSJ|
YSJ|EBL,|EBL|IST|LHR|YHZ|YSJ|
YSJ|VKO,|VKO|IST|LHR|YHZ|YSJ|
YSJ|MCT,|MCT|IST|LHR|YHZ|YSJ|
YSJ|AYT,|AYT|IST|LHR|YHZ|YSJ|
YSJ|SCQ,|SCQ|BIO|IST|LHR|YHZ|YSJ|
YSJ|AAL,|AAL|IST|LHR|YHZ|YSJ|
YSJ|AOE,|AOE|BRU|YUL|YSJ|
YSJ|JNB,|JNB|JFK|YUL|YSJ|
YSJ|LBV,|LBV|DLA|BRU|YUL|YSJ|
YSJ|ADA,|ADA|IST|LHR|YHZ|YSJ|
YSJ|ADB,|ADB|IST|LHR|YHZ|YSJ|
YSJ|ADF,|ADF|IST|LHR|YHZ|YSJ|
YSJ|AJI,|AJI|IST|LHR|YHZ|YSJ|
YSJ|BAL,|BAL|IST|LHR|YHZ|YSJ|
YSJ|BJV,|BJV|IST|LHR|YHZ|YSJ|
YSJ|CKZ,|CKZ|ESB|IST|LHR|YHZ|YSJ|
YSJ|DIY,|DIY|IST|LHR|YHZ|YSJ|
YSJ|ECN,|ECN|IST|LHR|YHZ|YSJ|
YSJ|ERC,|ERC|IST|LHR|YHZ|YSJ|
YSJ|ERZ,|ERZ|IST|LHR|YHZ|YSJ|
YSJ|EZS,|EZS|IST|LHR|YHZ|YSJ|
YSJ|GNY,|GNY|IST|LHR|YHZ|YSJ|
YSJ|GZP,|GZP|ESB|IST|LHR|YHZ|YSJ|
YSJ|GZT,|GZT|IST|LHR|YHZ|YSJ|
YSJ|HTY,|HTY|IST|LHR|YHZ|YSJ|
YSJ|KCM,|KCM|IST|LHR|YHZ|YSJ|
