MEM|XMN,|XMN|PEK|ORD|MEM|
MEM|CGO,|CGO|PEK|ORD|MEM|
MEM|CSX,|CSX|PEK|ORD|MEM|
MEM|SHE,|SHE|ICN|YVR|DEN|MEM|
MEM|SJW,|SJW|DLC|PEK|ORD|MEM|
MEM|WUH,|WUH|PEK|ORD|MEM|
MEM|SZX,|SZX|PEK|ORD|MEM|
MEM|CKG,|CKG|PEK|ORD|MEM|
MEM|KMG,|KMG|PEK|ORD|MEM|
MEM|FOC,|FOC|PEK|ORD|MEM|
MEM|NNG,|NNG|PEK|ORD|MEM|
MEM|SWA,|SWA|PEK|ORD|MEM|
MEM|ACX,|ACX|CAN|PEK|ORD|MEM|
MEM|AQG,|AQG|CAN|PEK|ORD|MEM|
MEM|AVA,|AVA|CAN|PEK|ORD|MEM|
MEM|BFJ,|BFJ|CAN|PEK|ORD|MEM|
MEM|BHY,|BHY|CGO|PEK|ORD|MEM|
MEM|BNE,|BNE|CAN|PEK|ORD|MEM|
MEM|CGD,|CGD|PEK|ORD|MEM|
MEM|CGK,|CGK|CAN|PEK|ORD|MEM|
MEM|CGQ,|CGQ|ICN|YVR|DEN|MEM|
MEM|CIH,|CIH|PEK|ORD|MEM|
MEM|CNX,|CNX|CAN|PEK|ORD|MEM|
MEM|CZX,|CZX|SHE|ICN|YVR|DEN|MEM|
MEM|DAC,|DAC|IST|BHX|EWR|MEM|
MEM|DAD,|DAD|CAN|PEK|ORD|MEM|
MEM|DEL,|DEL|EWR|MEM|
MEM|DIG,|DIG|KMG|PEK|ORD|MEM|
MEM|DLC,|DLC|PEK|ORD|MEM|
MEM|DPS,|DPS|SZX|PEK|ORD|MEM|
MEM|DXB,|DXB|IST|BHX|EWR|MEM|
MEM|DYG,|DYG|PEK|ORD|MEM|
MEM|FUG,|FUG|CAN|PEK|ORD|MEM|
MEM|FUK,|FUK|ICN|YVR|DEN|MEM|
MEM|HAK,|HAK|PEK|ORD|MEM|
MEM|HAN,|HAN|PEK|ORD|MEM|
MEM|HDG,|HDG|CAN|PEK|ORD|MEM|
MEM|HET,|HET|DLC|PEK|ORD|MEM|
MEM|HFE,|HFE|XIY|PEK|ORD|MEM|
MEM|HJJ,|HJJ|CSX|PEK|ORD|MEM|
MEM|HKT,|HKT|KWE|PEK|ORD|MEM|
MEM|HRB,|HRB|ICN|YVR|DEN|MEM|
MEM|HZH,|HZH|CAN|PEK|ORD|MEM|
MEM|JIU,|JIU|CAN|PEK|ORD|MEM|
MEM|JJN,|JJN|PEK|ORD|MEM|
MEM|JNG,|JNG|CAN|PEK|ORD|MEM|
MEM|KHN,|KHN|DLC|PEK|ORD|MEM|
MEM|KIX,|KIX|SFO|DEN|MEM|
MEM|KOW,|KOW|PEK|ORD|MEM|
MEM|KTM,|KTM|IST|BHX|EWR|MEM|
MEM|KUL,|KUL|CAN|PEK|ORD|MEM|
MEM|KWE,|KWE|PEK|ORD|MEM|
MEM|KWL,|KWL|PEK|ORD|MEM|
MEM|LHW,|LHW|CGO|PEK|ORD|MEM|
MEM|LYA,|LYA|KHN|DLC|PEK|ORD|MEM|
MEM|LYG,|LYG|HSN|PEK|ORD|MEM|
MEM|LZH,|LZH|CAN|PEK|ORD|MEM|
MEM|MEL,|MEL|SYD|LAX|DEN|MEM|
MEM|MIG,|MIG|CSX|PEK|ORD|MEM|
MEM|MLE,|MLE|IST|BHX|EWR|MEM|
MEM|MNL,|MNL|XMN|PEK|ORD|MEM|
MEM|MXZ,|MXZ|CAN|PEK|ORD|MEM|
MEM|NAO,|NAO|PEK|ORD|MEM|
MEM|NGB,|NGB|PEK|ORD|MEM|
MEM|NKG,|NKG|DLC|PEK|ORD|MEM|
MEM|NNY,|NNY|CGO|PEK|ORD|MEM|
MEM|PEN,|PEN|CAN|PEK|ORD|MEM|
MEM|PER,|PER|CAN|PEK|ORD|MEM|
MEM|PNH,|PNH|CAN|PEK|ORD|MEM|
MEM|REP,|REP|CAN|PEK|ORD|MEM|
MEM|RGN,|RGN|CAN|PEK|ORD|MEM|
MEM|SGN,|SGN|CAN|PEK|ORD|MEM|
MEM|SHA,|SHA|PEK|ORD|MEM|
MEM|SIN,|SIN|HKG|ORD|MEM|
MEM|SVO,|SVO|URC|TSE|FRA|EWR|MEM|
MEM|SYX,|SYX|PEK|ORD|MEM|
MEM|TAO,|TAO|DLC|PEK|ORD|MEM|
MEM|TEN,|TEN|PEK|ORD|MEM|
MEM|TNA,|TNA|DLC|PEK|ORD|MEM|
MEM|TPE,|TPE|PVG|ORD|MEM|
MEM|TSN,|TSN|DLC|PEK|ORD|MEM|
MEM|TXN,|TXN|DLC|PEK|ORD|MEM|
MEM|TYN,|TYN|DAT|CIH|PEK|ORD|MEM|
MEM|WNZ,|WNZ|CGO|PEK|ORD|MEM|
MEM|WUX,|WUX|CAN|PEK|ORD|MEM|
MEM|XFN,|XFN|XMN|PEK|ORD|MEM|
MEM|XIY,|XIY|PEK|ORD|MEM|
MEM|XUZ,|XUZ|LYG|HSN|PEK|ORD|MEM|
MEM|YIH,|YIH|CKG|PEK|ORD|MEM|
MEM|YIW,|YIW|PEK|ORD|MEM|
MEM|YNT,|YNT|SHE|ICN|YVR|DEN|MEM|
MEM|YNZ,|YNZ|DLC|PEK|ORD|MEM|
MEM|YTY,|YTY|DLC|PEK|ORD|MEM|
MEM|ZHA,|ZHA|CAN|PEK|ORD|MEM|
MEM|ZYI,|ZYI|PEK|ORD|MEM|
MEM|BAV,|BAV|CGO|PEK|ORD|MEM|
MEM|CJU,|CJU|DLC|PEK|ORD|MEM|
MEM|DSN,|DSN|CGO|PEK|ORD|MEM|
MEM|HMI,|HMI|URC|TSE|FRA|EWR|MEM|
MEM|INC,|INC|PEK|ORD|MEM|
MEM|KHH,|KHH|CGO|PEK|ORD|MEM|
MEM|UYN,|UYN|CGO|PEK|ORD|MEM|
MEM|XNN,|XNN|PEK|ORD|MEM|
MEM|ZUH,|ZUH|PEK|ORD|MEM|
MEM|YNJ,|YNJ|ICN|YVR|DEN|MEM|
MEM|DAT,|DAT|CIH|PEK|ORD|MEM|
MEM|JHG,|JHG|CKG|PEK|ORD|MEM|
MEM|LJG,|LJG|CKG|PEK|ORD|MEM|
MEM|LXA,|LXA|XIY|PEK|ORD|MEM|
MEM|YCU,|YCU|CSX|PEK|ORD|MEM|
MEM|LZO,|LZO|CSX|PEK|ORD|MEM|
MEM|MDG,|MDG|ICN|YVR|DEN|MEM|
MEM|NGO,|NGO|ICN|YVR|DEN|MEM|
MEM|TOY,|TOY|DLC|PEK|ORD|MEM|
MEM|MFM,|MFM|XMN|PEK|ORD|MEM|
MEM|TGO,|TGO|HET|DLC|PEK|ORD|MEM|
MEM|XIL,|XIL|HET|DLC|PEK|ORD|MEM|
MEM|HEK,|HEK|HRB|ICN|YVR|DEN|MEM|
MEM|KIJ,|KIJ|HRB|ICN|YVR|DEN|MEM|
MEM|LDS,|LDS|HRB|ICN|YVR|DEN|MEM|
MEM|OHE,|OHE|HRB|ICN|YVR|DEN|MEM|
MEM|HSN,|HSN|PEK|ORD|MEM|
MEM|DLU,|DLU|KMG|PEK|ORD|MEM|
MEM|SYM,|SYM|KMG|PEK|ORD|MEM|
MEM|ZAT,|ZAT|KMG|PEK|ORD|MEM|
MEM|LUN,|LUN|NBO|ZRH|EWR|MEM|
MEM|AOG,|AOG|PEK|ORD|MEM|
MEM|GMP,|GMP|PEK|ORD|MEM|
MEM|ISB,|ISB|IST|BHX|EWR|MEM|
MEM|TAS,|TAS|IST|BHX|EWR|MEM|
MEM|WUS,|WUS|PEK|ORD|MEM|
MEM|JMU,|JMU|PVG|ORD|MEM|
MEM|NDG,|NDG|PVG|ORD|MEM|
MEM|JXA,|JXA|SHE|ICN|YVR|DEN|MEM|
MEM|PUS,|PUS|SHE|ICN|YVR|DEN|MEM|
MEM|BKI,|BKI|SZX|PEK|ORD|MEM|
MEM|AKU,|AKU|URC|TSE|FRA|EWR|MEM|
MEM|ALA,|ALA|TSE|FRA|EWR|MEM|
MEM|ASB,|ASB|GYD|FRA|EWR|MEM|
MEM|DNH,|DNH|XIY|PEK|ORD|MEM|
MEM|DYU,|DYU|IST|BHX|EWR|MEM|
MEM|FRU,|FRU|IST|BHX|EWR|MEM|
MEM|GYD,|GYD|FRA|EWR|MEM|
MEM|HTN,|HTN|URC|TSE|FRA|EWR|MEM|
MEM|IKA,|IKA|SAW|FRA|EWR|MEM|
