ISU|KWE,|KWE|URC|IST|ISU|
ISU|KWL,|KWL|CKG|URC|IST|ISU|
ISU|LHW,|LHW|URC|IST|ISU|
ISU|LYA,|LYA|KHN|XIY|URC|IST|ISU|
ISU|LYG,|LYG|XUZ|INC|URC|IST|ISU|
ISU|LZH,|LZH|CAN|IST|ISU|
ISU|MEL,|MEL|BKK|IST|ISU|
ISU|MIG,|MIG|CSX|URC|IST|ISU|
ISU|MLE,|MLE|IST|ISU|
ISU|MNL,|MNL|CAN|IST|ISU|
ISU|MXZ,|MXZ|CAN|IST|ISU|
ISU|NAO,|NAO|PEK|IST|ISU|
ISU|NGB,|NGB|WUH|URC|IST|ISU|
ISU|NKG,|NKG|URC|IST|ISU|
ISU|NNY,|NNY|CGO|URC|IST|ISU|
ISU|PEN,|PEN|CAN|IST|ISU|
ISU|PER,|PER|BKK|IST|ISU|
ISU|PNH,|PNH|CAN|IST|ISU|
ISU|REP,|REP|CAN|IST|ISU|
ISU|RGN,|RGN|CAN|IST|ISU|
ISU|SGN,|SGN|BKK|IST|ISU|
ISU|SHA,|SHA|URC|IST|ISU|
ISU|SIN,|SIN|IST|ISU|
ISU|SVO,|SVO|URC|IST|ISU|
ISU|SYX,|SYX|CKG|URC|IST|ISU|
ISU|TAO,|TAO|TYN|URC|IST|ISU|
ISU|TEN,|TEN|CAN|IST|ISU|
ISU|TNA,|TNA|URC|IST|ISU|
ISU|TPE,|TPE|URC|IST|ISU|
ISU|TSN,|TSN|HET|URC|IST|ISU|
ISU|TXN,|TXN|TYN|URC|IST|ISU|
ISU|TYN,|TYN|URC|IST|ISU|
ISU|WNZ,|WNZ|XIY|URC|IST|ISU|
ISU|WUX,|WUX|CAN|IST|ISU|
ISU|XFN,|XFN|CAN|IST|ISU|
ISU|XIY,|XIY|URC|IST|ISU|
ISU|XUZ,|XUZ|INC|URC|IST|ISU|
ISU|YIH,|YIH|CKG|URC|IST|ISU|
ISU|YIW,|YIW|URC|IST|ISU|
ISU|YNT,|YNT|SHE|PEK|IST|ISU|
ISU|YNZ,|YNZ|WUH|URC|IST|ISU|
ISU|YTY,|YTY|CGO|URC|IST|ISU|
ISU|ZHA,|ZHA|CAN|IST|ISU|
ISU|ZYI,|ZYI|CAN|IST|ISU|
ISU|BAV,|BAV|URC|IST|ISU|
ISU|CJU,|CJU|DLC|PEK|IST|ISU|
ISU|DSN,|DSN|CGO|URC|IST|ISU|
ISU|HMI,|HMI|URC|IST|ISU|
ISU|INC,|INC|URC|IST|ISU|
ISU|KHH,|KHH|WUH|URC|IST|ISU|
ISU|UYN,|UYN|XIY|URC|IST|ISU|
ISU|XNN,|XNN|URC|IST|ISU|
ISU|ZUH,|ZUH|KWE|URC|IST|ISU|
