AMS|NNG,|NNG|KWE|CTU|AMS|
AMS|SWA,|SWA|CTU|AMS|
AMS|ACX,|ACX|CAN|AMS|
AMS|AQG,|AQG|CAN|AMS|
AMS|AVA,|AVA|CAN|AMS|
AMS|BFJ,|BFJ|CAN|AMS|
AMS|BHY,|BHY|KMG|CTU|AMS|
AMS|BNE,|BNE|CAN|AMS|
AMS|CGD,|CGD|PEK|AMS|
AMS|CGK,|CGK|SIN|IST|AMS|
AMS|CGQ,|CGQ|PEK|AMS|
AMS|CIH,|CIH|PEK|AMS|
AMS|CNX,|CNX|CAN|AMS|
AMS|CZX,|CZX|SHE|PEK|AMS|
AMS|DAC,|DAC|IST|AMS|
AMS|DAD,|DAD|CAN|AMS|
AMS|DEL,|DEL|IST|AMS|
AMS|DIG,|DIG|KMG|CTU|AMS|
AMS|DLC,|DLC|PEK|AMS|
AMS|DPS,|DPS|CAN|AMS|
AMS|DXB,|DXB|IST|AMS|
AMS|DYG,|DYG|CSX|CTU|AMS|
AMS|FUG,|FUG|CAN|AMS|
AMS|FUK,|FUK|ICN|PEK|AMS|
AMS|HAK,|HAK|CTU|AMS|
AMS|HAN,|HAN|CAN|AMS|
AMS|HDG,|HDG|CAN|AMS|
AMS|HET,|HET|URC|IST|AMS|
AMS|HFE,|HFE|XIY|CTU|AMS|
AMS|HJJ,|HJJ|CSX|CTU|AMS|
AMS|HKT,|HKT|KWE|CTU|AMS|
AMS|HRB,|HRB|PEK|AMS|
AMS|HZH,|HZH|CAN|AMS|
AMS|JIU,|JIU|CAN|AMS|
AMS|JJN,|JJN|CSX|CTU|AMS|
AMS|JNG,|JNG|CAN|AMS|
AMS|KHN,|KHN|XIY|CTU|AMS|
AMS|KIX,|KIX|DLC|PEK|AMS|
AMS|KOW,|KOW|PEK|AMS|
AMS|KTM,|KTM|IST|AMS|
AMS|KUL,|KUL|IST|AMS|
AMS|KWE,|KWE|CTU|AMS|
AMS|KWL,|KWL|CTU|AMS|
AMS|LHW,|LHW|URC|IST|AMS|
AMS|LYA,|LYA|KHN|XIY|CTU|AMS|
AMS|LYG,|LYG|HSN|PEK|AMS|
AMS|LZH,|LZH|CAN|AMS|
AMS|MEL,|MEL|CAN|AMS|
AMS|MIG,|MIG|CSX|CTU|AMS|
AMS|MLE,|MLE|IST|AMS|
AMS|MNL,|MNL|CAN|AMS|
AMS|MXZ,|MXZ|CAN|AMS|
AMS|NAO,|NAO|PEK|AMS|
AMS|NGB,|NGB|PEK|AMS|
AMS|NKG,|NKG|DLC|PEK|AMS|
AMS|NNY,|NNY|CGO|PEK|AMS|
AMS|PEN,|PEN|CAN|AMS|
AMS|PER,|PER|BKK|IST|AMS|
AMS|PNH,|PNH|CAN|AMS|
AMS|REP,|REP|CAN|AMS|
AMS|RGN,|RGN|CAN|AMS|
AMS|SGN,|SGN|BKK|IST|AMS|
AMS|SHA,|SHA|PEK|AMS|
AMS|SIN,|SIN|IST|AMS|
