SNA|AVA,|AVA|CAN|PVG|SFO|SNA|
SNA|BFJ,|BFJ|CAN|PVG|SFO|SNA|
SNA|BHY,|BHY|CSX|ICN|SFO|SNA|
SNA|BNE,|BNE|CAN|PVG|SFO|SNA|
SNA|CGD,|CGD|PEK|SFO|SNA|
SNA|CGK,|CGK|CAN|PVG|SFO|SNA|
SNA|CGQ,|CGQ|NRT|SFO|SNA|
SNA|CIH,|CIH|PEK|SFO|SNA|
SNA|CNX,|CNX|CAN|PVG|SFO|SNA|
SNA|CZX,|CZX|SHE|ICN|SFO|SNA|
SNA|DAC,|DAC|CAN|PVG|SFO|SNA|
SNA|DAD,|DAD|CAN|PVG|SFO|SNA|
SNA|DEL,|DEL|CAN|PVG|SFO|SNA|
SNA|DIG,|DIG|KMG|PEK|SFO|SNA|
SNA|DLC,|DLC|ICN|SFO|SNA|
SNA|DPS,|DPS|SZX|PVG|SFO|SNA|
SNA|DXB,|DXB|IST|FRA|DEN|SNA|
SNA|DYG,|DYG|PEK|SFO|SNA|
SNA|FUG,|FUG|CAN|PVG|SFO|SNA|
SNA|FUK,|FUK|ICN|SFO|SNA|
SNA|HAK,|HAK|PVG|SFO|SNA|
SNA|HAN,|HAN|PEK|SFO|SNA|
SNA|HDG,|HDG|CAN|PVG|SFO|SNA|
SNA|HET,|HET|DLC|ICN|SFO|SNA|
SNA|HFE,|HFE|TYN|DLC|ICN|SFO|SNA|
SNA|HJJ,|HJJ|CSX|ICN|SFO|SNA|
SNA|HKT,|HKT|CAN|PVG|SFO|SNA|
SNA|HRB,|HRB|ICN|SFO|SNA|
SNA|HZH,|HZH|CAN|PVG|SFO|SNA|
SNA|JIU,|JIU|CAN|PVG|SFO|SNA|
SNA|JJN,|JJN|HGH|DLC|ICN|SFO|SNA|
SNA|JNG,|JNG|CAN|PVG|SFO|SNA|
SNA|KHN,|KHN|DLC|ICN|SFO|SNA|
SNA|KIX,|KIX|SFO|SNA|
SNA|KOW,|KOW|PEK|SFO|SNA|
SNA|KTM,|KTM|CAN|PVG|SFO|SNA|
SNA|KUL,|KUL|PVG|SFO|SNA|
SNA|KWE,|KWE|PEK|SFO|SNA|
SNA|KWL,|KWL|WUH|ICN|SFO|SNA|
SNA|LHW,|LHW|CGO|PEK|SFO|SNA|
SNA|LYA,|LYA|KHN|DLC|ICN|SFO|SNA|
SNA|LYG,|LYG|HSN|PEK|SFO|SNA|
SNA|LZH,|LZH|CAN|PVG|SFO|SNA|
SNA|MEL,|MEL|SYD|SFO|SNA|
SNA|MIG,|MIG|CSX|ICN|SFO|SNA|
SNA|MLE,|MLE|CAN|PVG|SFO|SNA|
SNA|MNL,|MNL|XMN|YNZ|DLC|ICN|SFO|SNA|
SNA|MXZ,|MXZ|CAN|PVG|SFO|SNA|
SNA|NAO,|NAO|PEK|SFO|SNA|
SNA|NGB,|NGB|DLC|ICN|SFO|SNA|
SNA|NKG,|NKG|DLC|ICN|SFO|SNA|
SNA|NNY,|NNY|CGO|PEK|SFO|SNA|
SNA|PEN,|PEN|CAN|PVG|SFO|SNA|
SNA|PER,|PER|CAN|PVG|SFO|SNA|
SNA|PNH,|PNH|CAN|PVG|SFO|SNA|
SNA|REP,|REP|CAN|PVG|SFO|SNA|
SNA|RGN,|RGN|CAN|PVG|SFO|SNA|
SNA|SGN,|SGN|HKG|SFO|SNA|
SNA|SHA,|SHA|PEK|SFO|SNA|
SNA|SIN,|SIN|NRT|SFO|SNA|
SNA|SVO,|SVO|URC|PEK|SFO|SNA|
SNA|SYX,|SYX|PVG|SFO|SNA|
SNA|TAO,|TAO|DLC|ICN|SFO|SNA|
SNA|TEN,|TEN|PEK|SFO|SNA|
SNA|TNA,|TNA|DLC|ICN|SFO|SNA|
SNA|TPE,|TPE|SFO|SNA|
SNA|TSN,|TSN|DLC|ICN|SFO|SNA|
SNA|TXN,|TXN|DLC|ICN|SFO|SNA|
SNA|TYN,|TYN|DLC|ICN|SFO|SNA|
SNA|WNZ,|WNZ|CGO|PEK|SFO|SNA|
SNA|WUX,|WUX|CAN|PVG|SFO|SNA|
