DAL|YGK,|YGK|YYZ|STL|DAL|
DAL|YQG,|YQG|YYZ|STL|DAL|
DAL|YSB,|YSB|YYZ|STL|DAL|
DAL|YTS,|YTS|YYZ|STL|DAL|
DAL|YYB,|YYB|YYZ|STL|DAL|
DAL|YZR,|YZR|YYZ|STL|DAL|
DAL|CAN,|CAN|YVR|DEN|OKC|DAL|
DAL|URC,|URC|PEK|YVR|DEN|OKC|DAL|
DAL|CTU,|CTU|PEK|YVR|DEN|OKC|DAL|
DAL|HGH,|HGH|DLC|ICN|YVR|DEN|OKC|DAL|
DAL|XMN,|XMN|PEK|YVR|DEN|OKC|DAL|
DAL|CGO,|CGO|PEK|YVR|DEN|OKC|DAL|
DAL|CSX,|CSX|ICN|YVR|DEN|OKC|DAL|
DAL|SHE,|SHE|ICN|YVR|DEN|OKC|DAL|
DAL|SJW,|SJW|DLC|ICN|YVR|DEN|OKC|DAL|
DAL|WUH,|WUH|ICN|YVR|DEN|OKC|DAL|
DAL|SZX,|SZX|PVG|YVR|DEN|OKC|DAL|
DAL|CKG,|CKG|PEK|YVR|DEN|OKC|DAL|
DAL|KMG,|KMG|PEK|YVR|DEN|OKC|DAL|
DAL|FOC,|FOC|PEK|YVR|DEN|OKC|DAL|
DAL|NNG,|NNG|PEK|YVR|DEN|OKC|DAL|
DAL|SWA,|SWA|PEK|YVR|DEN|OKC|DAL|
DAL|ACX,|ACX|CAN|YVR|DEN|OKC|DAL|
DAL|AQG,|AQG|CAN|YVR|DEN|OKC|DAL|
DAL|AVA,|AVA|CAN|YVR|DEN|OKC|DAL|
DAL|BFJ,|BFJ|CAN|YVR|DEN|OKC|DAL|
DAL|BHY,|BHY|CSX|ICN|YVR|DEN|OKC|DAL|
DAL|BNE,|BNE|CAN|YVR|DEN|OKC|DAL|
DAL|CGD,|CGD|PEK|YVR|DEN|OKC|DAL|
DAL|CGK,|CGK|CAN|YVR|DEN|OKC|DAL|
DAL|CGQ,|CGQ|ICN|YVR|DEN|OKC|DAL|
DAL|CIH,|CIH|PEK|YVR|DEN|OKC|DAL|
DAL|CNX,|CNX|CAN|YVR|DEN|OKC|DAL|
DAL|CZX,|CZX|SHE|ICN|YVR|DEN|OKC|DAL|
DAL|DAC,|DAC|CAN|YVR|DEN|OKC|DAL|
DAL|DAD,|DAD|CAN|YVR|DEN|OKC|DAL|
DAL|DEL,|DEL|EWR|BWI|LIT|DAL|
