KIJ|HAV,|HAV|YYZ|PEK|HRB|KIJ|
KIJ|IND,|IND|ORD|PEK|HRB|KIJ|
KIJ|JFK,|JFK|PEK|HRB|KIJ|
KIJ|KIN,|KIN|YYZ|PEK|HRB|KIJ|
KIJ|LIM,|LIM|IAH|YVR|ICN|HRB|KIJ|
KIJ|LIR,|LIR|IAH|YVR|ICN|HRB|KIJ|
KIJ|MCI,|MCI|DEN|YVR|ICN|HRB|KIJ|
KIJ|MDT,|MDT|YYZ|PEK|HRB|KIJ|
KIJ|MIA,|MIA|ORD|PEK|HRB|KIJ|
KIJ|MKE,|MKE|ORD|PEK|HRB|KIJ|
KIJ|MSP,|MSP|DEN|YVR|ICN|HRB|KIJ|
KIJ|NAS,|NAS|YYZ|PEK|HRB|KIJ|
KIJ|PHL,|PHL|YYZ|PEK|HRB|KIJ|
KIJ|PHX,|PHX|SFO|ICN|HRB|KIJ|
KIJ|PIT,|PIT|YYZ|PEK|HRB|KIJ|
KIJ|PLS,|PLS|EWR|PEK|HRB|KIJ|
KIJ|POP,|POP|EWR|PEK|HRB|KIJ|
KIJ|RDU,|RDU|YYZ|PEK|HRB|KIJ|
KIJ|ROC,|ROC|YYZ|PEK|HRB|KIJ|
KIJ|RSW,|RSW|ORD|PEK|HRB|KIJ|
KIJ|SAN,|SAN|LAX|ICN|HRB|KIJ|
KIJ|SJO,|SJO|IAH|YVR|ICN|HRB|KIJ|
KIJ|STL,|STL|ORD|PEK|HRB|KIJ|
KIJ|SYR,|SYR|YYZ|PEK|HRB|KIJ|
KIJ|TLV,|TLV|IST|PEK|HRB|KIJ|
KIJ|TPA,|TPA|ORD|PEK|HRB|KIJ|
KIJ|UVF,|UVF|EWR|PEK|HRB|KIJ|
KIJ|VIE,|VIE|IST|PEK|HRB|KIJ|
KIJ|YAM,|YAM|YYZ|PEK|HRB|KIJ|
KIJ|YGK,|YGK|YYZ|PEK|HRB|KIJ|
KIJ|YQG,|YQG|YYZ|PEK|HRB|KIJ|
KIJ|YSB,|YSB|YYZ|PEK|HRB|KIJ|
KIJ|YTS,|YTS|YYZ|PEK|HRB|KIJ|
KIJ|YYB,|YYB|YYZ|PEK|HRB|KIJ|
KIJ|YZR,|YZR|YYZ|PEK|HRB|KIJ|
KIJ|CAN,|CAN|HRB|KIJ|
KIJ|URC,|URC|PEK|HRB|KIJ|
KIJ|CTU,|CTU|PEK|HRB|KIJ|
KIJ|HGH,|HGH|HRB|KIJ|
KIJ|XMN,|XMN|YIW|HRB|KIJ|
KIJ|CGO,|CGO|HRB|KIJ|
KIJ|CSX,|CSX|HRB|KIJ|
KIJ|SHE,|SHE|ICN|HRB|KIJ|
KIJ|SJW,|SJW|HRB|KIJ|
KIJ|WUH,|WUH|TNA|HRB|KIJ|
KIJ|SZX,|SZX|HRB|KIJ|
KIJ|CKG,|CKG|TSN|HRB|KIJ|
KIJ|KMG,|KMG|CKG|TSN|HRB|KIJ|
KIJ|FOC,|FOC|HRB|KIJ|
KIJ|NNG,|NNG|KWL|TNA|HRB|KIJ|
KIJ|SWA,|SWA|NKG|HRB|KIJ|
KIJ|ACX,|ACX|CAN|HRB|KIJ|
KIJ|AQG,|AQG|CAN|HRB|KIJ|
KIJ|AVA,|AVA|CAN|HRB|KIJ|
KIJ|BFJ,|BFJ|CAN|HRB|KIJ|
KIJ|BHY,|BHY|CSX|HRB|KIJ|
KIJ|BNE,|BNE|CAN|HRB|KIJ|
KIJ|CGD,|CGD|PEK|HRB|KIJ|
KIJ|CGK,|CGK|XMN|YIW|HRB|KIJ|
KIJ|CGQ,|CGQ|ICN|HRB|KIJ|
KIJ|CIH,|CIH|PEK|HRB|KIJ|
KIJ|CNX,|CNX|CAN|HRB|KIJ|
KIJ|CZX,|CZX|SHE|ICN|HRB|KIJ|
KIJ|DAC,|DAC|CAN|HRB|KIJ|
KIJ|DAD,|DAD|CAN|HRB|KIJ|
KIJ|DEL,|DEL|CAN|HRB|KIJ|
KIJ|DIG,|DIG|KMG|CKG|TSN|HRB|KIJ|
KIJ|DLC,|DLC|ICN|HRB|KIJ|
KIJ|DPS,|DPS|SZX|HRB|KIJ|
KIJ|DXB,|DXB|CAN|HRB|KIJ|
KIJ|DYG,|DYG|PEK|HRB|KIJ|
KIJ|FUG,|FUG|CAN|HRB|KIJ|
