YXS|LBD,|LBD|URC|PEK|YVR|YXS|
YXS|NLT,|NLT|URC|PEK|YVR|YXS|
YXS|OSS,|OSS|URC|PEK|YVR|YXS|
YXS|OVB,|OVB|URC|PEK|YVR|YXS|
YXS|TBS,|TBS|SAW|FRA|YYC|YXS|
YXS|TCG,|TCG|URC|PEK|YVR|YXS|
YXS|TSE,|TSE|FRA|YYC|YXS|
YXS|YIN,|YIN|URC|PEK|YVR|YXS|
YXS|ENH,|ENH|WUH|ICN|YVR|YXS|
YXS|ENY,|ENY|XIY|PEK|YVR|YXS|
YXS|WXN,|WXN|XIY|PEK|YVR|YXS|
YXS|BLL,|BLL|IST|FRA|YYC|YXS|
YXS|ESB,|ESB|FRA|YYC|YXS|
YXS|SAW,|SAW|FRA|YYC|YXS|
YXS|HAM,|HAM|EWR|YYC|YXS|
YXS|HRE,|HRE|ADD|JED|FRA|YYC|YXS|
YXS|JUB,|JUB|CAI|IST|FRA|YYC|YXS|
YXS|SSG,|SSG|DLA|BRU|YUL|YYC|YXS|
YXS|BGW,|BGW|ESB|FRA|YYC|YXS|
YXS|EBL,|EBL|IST|FRA|YYC|YXS|
YXS|VKO,|VKO|IST|FRA|YYC|YXS|
YXS|MCT,|MCT|IST|FRA|YYC|YXS|
YXS|AYT,|AYT|IST|FRA|YYC|YXS|
YXS|SCQ,|SCQ|BIO|IST|FRA|YYC|YXS|
YXS|AAL,|AAL|IST|FRA|YYC|YXS|
YXS|AOE,|AOE|BRU|YUL|YYC|YXS|
YXS|JNB,|JNB|JFK|YYC|YXS|
YXS|LBV,|LBV|DLA|BRU|YUL|YYC|YXS|
YXS|ADA,|ADA|SAW|FRA|YYC|YXS|
YXS|ADB,|ADB|IST|FRA|YYC|YXS|
YXS|ADF,|ADF|ESB|FRA|YYC|YXS|
YXS|AJI,|AJI|ESB|FRA|YYC|YXS|
YXS|BAL,|BAL|ESB|FRA|YYC|YXS|
YXS|BJV,|BJV|IST|FRA|YYC|YXS|
YXS|CKZ,|CKZ|ESB|FRA|YYC|YXS|
YXS|DIY,|DIY|ESB|FRA|YYC|YXS|
YXS|ECN,|ECN|IST|FRA|YYC|YXS|
YXS|ERC,|ERC|ESB|FRA|YYC|YXS|
YXS|ERZ,|ERZ|ESB|FRA|YYC|YXS|
YXS|EZS,|EZS|ESB|FRA|YYC|YXS|
YXS|GNY,|GNY|ESB|FRA|YYC|YXS|
YXS|GZP,|GZP|ESB|FRA|YYC|YXS|
YXS|GZT,|GZT|ESB|FRA|YYC|YXS|
YXS|HTY,|HTY|SAW|FRA|YYC|YXS|
YXS|KCM,|KCM|ESB|FRA|YYC|YXS|
YXS|KSY,|KSY|ESB|FRA|YYC|YXS|
YXS|MLX,|MLX|ESB|FRA|YYC|YXS|
YXS|MQM,|MQM|ESB|FRA|YYC|YXS|
YXS|MSR,|MSR|ESB|FRA|YYC|YXS|
YXS|TEQ,|TEQ|ESB|FRA|YYC|YXS|
YXS|TZX,|TZX|ESB|FRA|YYC|YXS|
YXS|VAN,|VAN|ESB|FRA|YYC|YXS|
YXS|ULN,|ULN|FRU|URC|PEK|YVR|YXS|
YXS|HIJ,|HIJ|ICN|YVR|YXS|
YXS|VVO,|VVO|ICN|YVR|YXS|
YXS|ACC,|ACC|IST|FRA|YYC|YXS|
YXS|AER,|AER|IST|FRA|YYC|YXS|
YXS|AGP,|AGP|IST|FRA|YYC|YXS|
YXS|ALG,|ALG|IST|FRA|YYC|YXS|
YXS|AMM,|AMM|IST|FRA|YYC|YXS|
YXS|AQJ,|AQJ|IST|FRA|YYC|YXS|
YXS|ARN,|ARN|EWR|YYC|YXS|
YXS|ASR,|ASR|SAW|FRA|YYC|YXS|
YXS|ATH,|ATH|IST|FRA|YYC|YXS|
YXS|BAH,|BAH|IST|FRA|YYC|YXS|
YXS|BEG,|BEG|IST|FRA|YYC|YXS|
YXS|BEN,|BEN|IST|FRA|YYC|YXS|
YXS|BEY,|BEY|IST|FRA|YYC|YXS|
YXS|BHX,|BHX|EWR|YYC|YXS|
YXS|BIO,|BIO|IST|FRA|YYC|YXS|
YXS|BLQ,|BLQ|IST|FRA|YYC|YXS|
YXS|BOM,|BOM|IST|FRA|YYC|YXS|
YXS|BRE,|BRE|IST|FRA|YYC|YXS|
YXS|BSL,|BSL|IST|FRA|YYC|YXS|
YXS|BSR,|BSR|IST|FRA|YYC|YXS|
YXS|BUD,|BUD|IST|FRA|YYC|YXS|
YXS|BUS,|BUS|IST|FRA|YYC|YXS|
YXS|CAI,|CAI|IST|FRA|YYC|YXS|
YXS|CGN,|CGN|IST|FRA|YYC|YXS|
YXS|CMN,|CMN|IST|FRA|YYC|YXS|
YXS|CND,|CND|IST|FRA|YYC|YXS|
YXS|DAR,|DAR|IST|FRA|YYC|YXS|
YXS|DLM,|DLM|IST|FRA|YYC|YXS|
YXS|DMM,|DMM|IST|FRA|YYC|YXS|
YXS|DNK,|DNK|IST|FRA|YYC|YXS|
YXS|DNZ,|DNZ|IST|FRA|YYC|YXS|
YXS|DOK,|DOK|IST|FRA|YYC|YXS|
YXS|DUS,|DUS|ORD|YYC|YXS|
YXS|EDI,|EDI|EWR|YYC|YXS|
YXS|ELQ,|ELQ|IST|FRA|YYC|YXS|
YXS|FDH,|FDH|IST|FRA|YYC|YXS|
YXS|GOA,|GOA|IST|FRA|YYC|YXS|
YXS|GOT,|GOT|BRU|YUL|YYC|YXS|
YXS|HAJ,|HAJ|BRU|YUL|YYC|YXS|
YXS|HBE,|HBE|IST|FRA|YYC|YXS|
YXS|HEL,|HEL|IST|FRA|YYC|YXS|
YXS|HRG,|HRG|IST|FRA|YYC|YXS|
YXS|IFN,|IFN|IST|FRA|YYC|YXS|
YXS|ISE,|ISE|IST|FRA|YYC|YXS|
YXS|ISU,|ISU|IST|FRA|YYC|YXS|
YXS|JIB,|JIB|IST|FRA|YYC|YXS|
YXS|JRO,|JRO|IST|FRA|YYC|YXS|
YXS|KAN,|KAN|IST|FRA|YYC|YXS|
YXS|KBL,|KBL|IST|FRA|YYC|YXS|
YXS|KBP,|KBP|IST|FRA|YYC|YXS|
YXS|KFS,|KFS|IST|FRA|YYC|YXS|
YXS|KHI,|KHI|IST|FRA|YYC|YXS|
YXS|KIV,|KIV|IST|FRA|YYC|YXS|
YXS|KRT,|KRT|IST|FRA|YYC|YXS|
YXS|KSH,|KSH|IST|FRA|YYC|YXS|
YXS|KVD,|KVD|IST|FRA|YYC|YXS|
YXS|KWI,|KWI|SAW|FRA|YYC|YXS|
YXS|KYA,|KYA|IST|FRA|YYC|YXS|
YXS|KZN,|KZN|IST|FRA|YYC|YXS|
YXS|KZR,|KZR|IST|FRA|YYC|YXS|
YXS|LED,|LED|VIE|YYZ|YYC|YXS|
YXS|LEJ,|LEJ|IST|FRA|YYC|YXS|
YXS|LGW,|LGW|IST|FRA|YYC|YXS|
YXS|LHE,|LHE|IST|FRA|YYC|YXS|
YXS|LIS,|LIS|EWR|YYC|YXS|
YXS|LJU,|LJU|IST|FRA|YYC|YXS|
YXS|LOS,|LOS|FRA|YYC|YXS|
YXS|LUX,|LUX|IST|FRA|YYC|YXS|
YXS|LWO,|LWO|IST|FRA|YYC|YXS|
YXS|LYS,|LYS|IST|FRA|YYC|YXS|
YXS|MAD,|MAD|EWR|YYC|YXS|
YXS|MAN,|MAN|EWR|YYC|YXS|
YXS|MED,|MED|IST|FRA|YYC|YXS|
YXS|MHD,|MHD|IST|FRA|YYC|YXS|
YXS|MLA,|MLA|IST|FRA|YYC|YXS|
YXS|MRS,|MRS|IST|FRA|YYC|YXS|
YXS|MSQ,|MSQ|IST|FRA|YYC|YXS|
YXS|MXP,|MXP|EWR|YYC|YXS|
YXS|MZH,|MZH|IST|FRA|YYC|YXS|
YXS|MZR,|MZR|IST|FRA|YYC|YXS|
YXS|NAJ,|NAJ|IST|FRA|YYC|YXS|
YXS|NAV,|NAV|IST|FRA|YYC|YXS|
YXS|NCE,|NCE|IST|FRA|YYC|YXS|
YXS|NIM,|NIM|IST|FRA|YYC|YXS|
YXS|NJF,|NJF|IST|FRA|YYC|YXS|
YXS|NSI,|NSI|BRU|YUL|YYC|YXS|
YXS|NUE,|NUE|IST|FRA|YYC|YXS|
YXS|ODS,|ODS|IST|FRA|YYC|YXS|
YXS|ORN,|ORN|IST|FRA|YYC|YXS|
