FOE|YXT,|YXT|YVR|ORD|FOE|
FOE|YXY,|YXY|YVR|ORD|FOE|
FOE|YYD,|YYD|YVR|ORD|FOE|
FOE|YYF,|YYF|YVR|ORD|FOE|
FOE|YZP,|YZP|YVR|ORD|FOE|
FOE|YQT,|YQT|YYZ|ORD|FOE|
FOE|SJD,|SJD|ORD|FOE|
FOE|YQF,|YQF|YYC|ORD|FOE|
FOE|YQL,|YQL|YYC|ORD|FOE|
FOE|YXH,|YXH|YYC|ORD|FOE|
FOE|YWK,|YWK|YZV|YQB|ORD|FOE|
FOE|ANU,|ANU|EWR|ORD|FOE|
FOE|AUA,|AUA|ATL|ORD|FOE|
FOE|AUH,|AUH|YYZ|ORD|FOE|
FOE|BCN,|BCN|YYZ|ORD|FOE|
FOE|BDA,|BDA|EWR|ORD|FOE|
FOE|BGI,|BGI|YYZ|ORD|FOE|
FOE|BNA,|BNA|ORD|FOE|
FOE|BOG,|BOG|MIA|ORD|FOE|
FOE|BWI,|BWI|ORD|FOE|
FOE|CLE,|CLE|ORD|FOE|
FOE|CLT,|CLT|ORD|FOE|
FOE|CMH,|CMH|ORD|FOE|
FOE|CVG,|CVG|ORD|FOE|
FOE|DFW,|DFW|ORD|FOE|
FOE|DTW,|DTW|ORD|FOE|
FOE|DUB,|DUB|ORD|FOE|
FOE|FCO,|FCO|YYZ|ORD|FOE|
FOE|GCM,|GCM|IAD|ORD|FOE|
FOE|GGT,|GGT|FLL|ORD|FOE|
FOE|GND,|GND|YYZ|ORD|FOE|
FOE|GRU,|GRU|ORD|FOE|
FOE|HAV,|HAV|YYZ|ORD|FOE|
FOE|IND,|IND|ORD|FOE|
FOE|JFK,|JFK|YYZ|ORD|FOE|
FOE|KIN,|KIN|YYZ|ORD|FOE|
FOE|LIM,|LIM|MIA|ORD|FOE|
FOE|LIR,|LIR|IAH|ORD|FOE|
FOE|MCI,|MCI|ORD|FOE|
FOE|MDT,|MDT|ORD|FOE|
FOE|MIA,|MIA|ORD|FOE|
FOE|MKE,|MKE|ORD|FOE|
FOE|MSP,|MSP|ORD|FOE|
FOE|NAS,|NAS|ORD|FOE|
FOE|PHL,|PHL|ORD|FOE|
FOE|PHX,|PHX|ORD|FOE|
FOE|PIT,|PIT|ORD|FOE|
FOE|PLS,|PLS|YYZ|ORD|FOE|
FOE|POP,|POP|YYZ|ORD|FOE|
FOE|RDU,|RDU|ORD|FOE|
FOE|ROC,|ROC|ORD|FOE|
FOE|RSW,|RSW|ORD|FOE|
FOE|SAN,|SAN|ORD|FOE|
FOE|SJO,|SJO|ORD|FOE|
FOE|STL,|STL|ORD|FOE|
FOE|SYR,|SYR|ORD|FOE|
FOE|TLV,|TLV|IST|ORD|FOE|
FOE|TPA,|TPA|ORD|FOE|
FOE|UVF,|UVF|EWR|ORD|FOE|
FOE|VIE,|VIE|ORD|FOE|
FOE|YAM,|YAM|YYZ|ORD|FOE|
FOE|YGK,|YGK|YYZ|ORD|FOE|
FOE|YQG,|YQG|YYZ|ORD|FOE|
FOE|YSB,|YSB|YYZ|ORD|FOE|
FOE|YTS,|YTS|YYZ|ORD|FOE|
FOE|YYB,|YYB|YYZ|ORD|FOE|
FOE|YZR,|YZR|YYZ|ORD|FOE|
FOE|CAN,|CAN|PEK|ORD|FOE|
FOE|URC,|URC|TSE|FRA|ORD|FOE|
FOE|CTU,|CTU|PEK|ORD|FOE|
FOE|HGH,|HGH|PEK|ORD|FOE|
FOE|XMN,|XMN|PEK|ORD|FOE|
