MSR|VIE,|VIE|ESB|MSR|
MSR|YAM,|YAM|YYZ|VIE|ESB|MSR|
MSR|YGK,|YGK|YYZ|VIE|ESB|MSR|
MSR|YQG,|YQG|YYZ|VIE|ESB|MSR|
MSR|YSB,|YSB|YYZ|VIE|ESB|MSR|
MSR|YTS,|YTS|YYZ|VIE|ESB|MSR|
MSR|YYB,|YYB|YYZ|VIE|ESB|MSR|
MSR|YZR,|YZR|YYZ|VIE|ESB|MSR|
MSR|CAN,|CAN|IST|MSR|
MSR|URC,|URC|TBS|SAW|ESB|MSR|
MSR|CTU,|CTU|URC|TBS|SAW|ESB|MSR|
MSR|HGH,|HGH|URC|TBS|SAW|ESB|MSR|
MSR|XMN,|XMN|CSX|URC|TBS|SAW|ESB|MSR|
MSR|CGO,|CGO|URC|TBS|SAW|ESB|MSR|
MSR|CSX,|CSX|URC|TBS|SAW|ESB|MSR|
MSR|SHE,|SHE|PEK|IST|MSR|
MSR|SJW,|SJW|URC|TBS|SAW|ESB|MSR|
MSR|WUH,|WUH|URC|TBS|SAW|ESB|MSR|
MSR|SZX,|SZX|CKG|URC|TBS|SAW|ESB|MSR|
MSR|CKG,|CKG|URC|TBS|SAW|ESB|MSR|
MSR|KMG,|KMG|CTU|URC|TBS|SAW|ESB|MSR|
MSR|FOC,|FOC|XIY|URC|TBS|SAW|ESB|MSR|
MSR|NNG,|NNG|KWE|URC|TBS|SAW|ESB|MSR|
MSR|SWA,|SWA|CSX|URC|TBS|SAW|ESB|MSR|
MSR|ACX,|ACX|CAN|IST|MSR|
MSR|AQG,|AQG|CAN|IST|MSR|
MSR|AVA,|AVA|CAN|IST|MSR|
MSR|BFJ,|BFJ|CAN|IST|MSR|
MSR|BHY,|BHY|CKG|URC|TBS|SAW|ESB|MSR|
MSR|BNE,|BNE|BKK|IST|MSR|
MSR|CGD,|CGD|PEK|IST|MSR|
MSR|CGK,|CGK|SIN|IST|MSR|
MSR|CGQ,|CGQ|HET|URC|TBS|SAW|ESB|MSR|
MSR|CIH,|CIH|PEK|IST|MSR|
MSR|CNX,|CNX|CAN|IST|MSR|
MSR|CZX,|CZX|TYN|URC|TBS|SAW|ESB|MSR|
MSR|DAC,|DAC|IST|MSR|
MSR|DAD,|DAD|CAN|IST|MSR|
MSR|DEL,|DEL|IST|MSR|
MSR|DIG,|DIG|KMG|CTU|URC|TBS|SAW|ESB|MSR|
MSR|DLC,|DLC|PEK|IST|MSR|
MSR|DPS,|DPS|CAN|IST|MSR|
MSR|DXB,|DXB|IST|MSR|
MSR|DYG,|DYG|CSX|URC|TBS|SAW|ESB|MSR|
MSR|FUG,|FUG|CAN|IST|MSR|
MSR|FUK,|FUK|ICN|IST|MSR|
MSR|HAK,|HAK|CTU|URC|TBS|SAW|ESB|MSR|
MSR|HAN,|HAN|CAN|IST|MSR|
MSR|HDG,|HDG|CAN|IST|MSR|
MSR|HET,|HET|URC|TBS|SAW|ESB|MSR|
MSR|HFE,|HFE|XIY|URC|TBS|SAW|ESB|MSR|
MSR|HJJ,|HJJ|CSX|URC|TBS|SAW|ESB|MSR|
MSR|HKT,|HKT|KWE|URC|TBS|SAW|ESB|MSR|
MSR|HRB,|HRB|PEK|IST|MSR|
MSR|HZH,|HZH|CAN|IST|MSR|
MSR|JIU,|JIU|CAN|IST|MSR|
MSR|JJN,|JJN|CSX|URC|TBS|SAW|ESB|MSR|
MSR|JNG,|JNG|CAN|IST|MSR|
MSR|KHN,|KHN|XIY|URC|TBS|SAW|ESB|MSR|
MSR|KIX,|KIX|IST|MSR|
MSR|KOW,|KOW|CAN|IST|MSR|
MSR|KTM,|KTM|IST|MSR|
MSR|KUL,|KUL|IST|MSR|
MSR|KWE,|KWE|URC|TBS|SAW|ESB|MSR|
MSR|KWL,|KWL|CKG|URC|TBS|SAW|ESB|MSR|
MSR|LHW,|LHW|URC|TBS|SAW|ESB|MSR|
MSR|LYA,|LYA|KHN|XIY|URC|TBS|SAW|ESB|MSR|
MSR|LYG,|LYG|XUZ|INC|URC|TBS|SAW|ESB|MSR|
MSR|LZH,|LZH|CAN|IST|MSR|
MSR|MEL,|MEL|BKK|IST|MSR|
MSR|MIG,|MIG|CSX|URC|TBS|SAW|ESB|MSR|
MSR|MLE,|MLE|IST|MSR|
MSR|MNL,|MNL|CAN|IST|MSR|
MSR|MXZ,|MXZ|CAN|IST|MSR|
MSR|NAO,|NAO|PEK|IST|MSR|
MSR|NGB,|NGB|WUH|URC|TBS|SAW|ESB|MSR|
MSR|NKG,|NKG|URC|TBS|SAW|ESB|MSR|
MSR|NNY,|NNY|CGO|URC|TBS|SAW|ESB|MSR|
MSR|PEN,|PEN|CAN|IST|MSR|
MSR|PER,|PER|BKK|IST|MSR|
MSR|PNH,|PNH|CAN|IST|MSR|
MSR|REP,|REP|CAN|IST|MSR|
MSR|RGN,|RGN|CAN|IST|MSR|
MSR|SGN,|SGN|BKK|IST|MSR|
MSR|SHA,|SHA|URC|TBS|SAW|ESB|MSR|
MSR|SIN,|SIN|IST|MSR|
MSR|SVO,|SVO|URC|TBS|SAW|ESB|MSR|
MSR|SYX,|SYX|CKG|URC|TBS|SAW|ESB|MSR|
MSR|TAO,|TAO|TYN|URC|TBS|SAW|ESB|MSR|
MSR|TEN,|TEN|CAN|IST|MSR|
MSR|TNA,|TNA|URC|TBS|SAW|ESB|MSR|
MSR|TPE,|TPE|URC|TBS|SAW|ESB|MSR|
MSR|TSN,|TSN|HET|URC|TBS|SAW|ESB|MSR|
MSR|TXN,|TXN|TYN|URC|TBS|SAW|ESB|MSR|
MSR|TYN,|TYN|URC|TBS|SAW|ESB|MSR|
MSR|WNZ,|WNZ|XIY|URC|TBS|SAW|ESB|MSR|
MSR|WUX,|WUX|CAN|IST|MSR|
MSR|XFN,|XFN|CAN|IST|MSR|
MSR|XIY,|XIY|URC|TBS|SAW|ESB|MSR|
MSR|XUZ,|XUZ|INC|URC|TBS|SAW|ESB|MSR|
MSR|YIH,|YIH|CKG|URC|TBS|SAW|ESB|MSR|
MSR|YIW,|YIW|URC|TBS|SAW|ESB|MSR|
MSR|YNT,|YNT|SHE|PEK|IST|MSR|
MSR|YNZ,|YNZ|WUH|URC|TBS|SAW|ESB|MSR|
MSR|YTY,|YTY|CGO|URC|TBS|SAW|ESB|MSR|
MSR|ZHA,|ZHA|CAN|IST|MSR|
MSR|ZYI,|ZYI|CAN|IST|MSR|
MSR|BAV,|BAV|URC|TBS|SAW|ESB|MSR|
MSR|CJU,|CJU|DLC|PEK|IST|MSR|
MSR|DSN,|DSN|CGO|URC|TBS|SAW|ESB|MSR|
MSR|HMI,|HMI|URC|TBS|SAW|ESB|MSR|
MSR|INC,|INC|URC|TBS|SAW|ESB|MSR|
MSR|KHH,|KHH|WUH|URC|TBS|SAW|ESB|MSR|
MSR|UYN,|UYN|XIY|URC|TBS|SAW|ESB|MSR|
MSR|XNN,|XNN|URC|TBS|SAW|ESB|MSR|
MSR|ZUH,|ZUH|KWE|URC|TBS|SAW|ESB|MSR|
MSR|YNJ,|YNJ|PEK|IST|MSR|
MSR|DAT,|DAT|TYN|URC|TBS|SAW|ESB|MSR|
MSR|JHG,|JHG|KMG|CTU|URC|TBS|SAW|ESB|MSR|
MSR|LJG,|LJG|KMG|CTU|URC|TBS|SAW|ESB|MSR|
MSR|LXA,|LXA|CKG|URC|TBS|SAW|ESB|MSR|
MSR|YCU,|YCU|CKG|URC|TBS|SAW|ESB|MSR|
MSR|LZO,|LZO|CSX|URC|TBS|SAW|ESB|MSR|
MSR|MDG,|MDG|DLC|PEK|IST|MSR|
MSR|NGO,|NGO|ICN|IST|MSR|
MSR|TOY,|TOY|DLC|PEK|IST|MSR|
MSR|MFM,|MFM|XMN|CSX|URC|TBS|SAW|ESB|MSR|
MSR|TGO,|TGO|HET|URC|TBS|SAW|ESB|MSR|
MSR|XIL,|XIL|HET|URC|TBS|SAW|ESB|MSR|
MSR|HEK,|HEK|HRB|PEK|IST|MSR|
MSR|KIJ,|KIJ|HRB|PEK|IST|MSR|
MSR|LDS,|LDS|HRB|PEK|IST|MSR|
MSR|OHE,|OHE|HRB|PEK|IST|MSR|
MSR|HSN,|HSN|LYG|XUZ|INC|URC|TBS|SAW|ESB|MSR|
MSR|DLU,|DLU|KMG|CTU|URC|TBS|SAW|ESB|MSR|
MSR|SYM,|SYM|KMG|CTU|URC|TBS|SAW|ESB|MSR|
MSR|ZAT,|ZAT|KMG|CTU|URC|TBS|SAW|ESB|MSR|
MSR|LUN,|LUN|NBO|IST|MSR|
MSR|AOG,|AOG|PEK|IST|MSR|
MSR|GMP,|GMP|PEK|IST|MSR|
MSR|ISB,|ISB|IST|MSR|
MSR|TAS,|TAS|IST|MSR|
MSR|WUS,|WUS|PEK|IST|MSR|
MSR|JMU,|JMU|PVG|URC|TBS|SAW|ESB|MSR|
MSR|NDG,|NDG|PVG|URC|TBS|SAW|ESB|MSR|
MSR|JXA,|JXA|SHE|PEK|IST|MSR|
MSR|PUS,|PUS|SHE|PEK|IST|MSR|
MSR|BKI,|BKI|SZX|CKG|URC|TBS|SAW|ESB|MSR|
MSR|AKU,|AKU|URC|TBS|SAW|ESB|MSR|
MSR|ALA,|ALA|IST|MSR|
MSR|ASB,|ASB|IST|MSR|
MSR|DNH,|DNH|URC|TBS|SAW|ESB|MSR|
MSR|DYU,|DYU|IST|MSR|
MSR|FRU,|FRU|IST|MSR|
MSR|GYD,|GYD|IST|MSR|
MSR|HTN,|HTN|URC|TBS|SAW|ESB|MSR|
MSR|IKA,|IKA|SAW|ESB|MSR|
MSR|KCA,|KCA|URC|TBS|SAW|ESB|MSR|
MSR|KHG,|KHG|URC|TBS|SAW|ESB|MSR|
MSR|KRL,|KRL|URC|TBS|SAW|ESB|MSR|
MSR|KRY,|KRY|URC|TBS|SAW|ESB|MSR|
MSR|LBD,|LBD|URC|TBS|SAW|ESB|MSR|
MSR|NLT,|NLT|URC|TBS|SAW|ESB|MSR|
MSR|OSS,|OSS|IST|MSR|
MSR|OVB,|OVB|IST|MSR|
MSR|TBS,|TBS|SAW|ESB|MSR|
MSR|TCG,|TCG|URC|TBS|SAW|ESB|MSR|
MSR|TSE,|TSE|IST|MSR|
MSR|YIN,|YIN|URC|TBS|SAW|ESB|MSR|
MSR|ENH,|ENH|WUH|URC|TBS|SAW|ESB|MSR|
MSR|ENY,|ENY|XIY|URC|TBS|SAW|ESB|MSR|
MSR|WXN,|WXN|XIY|URC|TBS|SAW|ESB|MSR|
MSR|BLL,|BLL|IST|MSR|
MSR|ESB,|ESB|MSR|
MSR|SAW,|SAW|ESB|MSR|
MSR|HAM,|HAM|IST|MSR|
MSR|HRE,|HRE|ADD|IST|MSR|
MSR|JUB,|JUB|CAI|IST|MSR|
MSR|SSG,|SSG|DLA|IST|MSR|
MSR|BGW,|BGW|ESB|MSR|
MSR|EBL,|EBL|AYT|ESB|MSR|
MSR|VKO,|VKO|ESB|MSR|
MSR|MCT,|MCT|BAH|KWI|SAW|ESB|MSR|
MSR|AYT,|AYT|ESB|MSR|
MSR|SCQ,|SCQ|BIO|IST|MSR|
MSR|AAL,|AAL|IST|MSR|
MSR|AOE,|AOE|BRU|SAW|ESB|MSR|
MSR|JNB,|JNB|IST|MSR|
MSR|LBV,|LBV|DLA|IST|MSR|
MSR|ADA,|ADA|ESB|MSR|
MSR|ADB,|ADB|ESB|MSR|
MSR|ADF,|ADF|ESB|MSR|
MSR|AJI,|AJI|ESB|MSR|
MSR|BAL,|BAL|ESB|MSR|
MSR|BJV,|BJV|ESB|MSR|
MSR|CKZ,|CKZ|ESB|MSR|
MSR|DIY,|DIY|ESB|MSR|
MSR|ECN,|ECN|ESB|MSR|
MSR|ERC,|ERC|ESB|MSR|
MSR|ERZ,|ERZ|ESB|MSR|
MSR|EZS,|EZS|ESB|MSR|
MSR|GNY,|GNY|ESB|MSR|
MSR|GZP,|GZP|ESB|MSR|
MSR|GZT,|GZT|ESB|MSR|
MSR|HTY,|HTY|ESB|MSR|
MSR|KCM,|KCM|ESB|MSR|
MSR|KSY,|KSY|ESB|MSR|
MSR|MLX,|MLX|ESB|MSR|
MSR|MQM,|MQM|ESB|MSR|
MSR|TEQ,|TEQ|ESB|MSR|
MSR|TZX,|TZX|ESB|MSR|
MSR|VAN,|VAN|ESB|MSR|
MSR|ULN,|ULN|FRU|IST|MSR|
MSR|HIJ,|HIJ|ICN|IST|MSR|
MSR|VVO,|VVO|ICN|IST|MSR|
MSR|ACC,|ACC|IST|MSR|
MSR|AER,|AER|IST|MSR|
MSR|AGP,|AGP|IST|MSR|
MSR|ALG,|ALG|IST|MSR|
MSR|AMM,|AMM|IST|MSR|
MSR|AQJ,|AQJ|IST|MSR|
MSR|ARN,|ARN|IST|MSR|
MSR|ASR,|ASR|SAW|ESB|MSR|
MSR|ATH,|ATH|IST|MSR|
MSR|BAH,|BAH|KWI|SAW|ESB|MSR|
MSR|BEG,|BEG|IST|MSR|
MSR|BEN,|BEN|IST|MSR|
MSR|BEY,|BEY|IST|MSR|
MSR|BHX,|BHX|BRU|SAW|ESB|MSR|
MSR|BIO,|BIO|IST|MSR|
MSR|BLQ,|BLQ|IST|MSR|
MSR|BOM,|BOM|IST|MSR|
MSR|BRE,|BRE|IST|MSR|
MSR|BSL,|BSL|IST|MSR|
MSR|BSR,|BSR|IST|MSR|
MSR|BUD,|BUD|IST|MSR|
MSR|BUS,|BUS|IST|MSR|
MSR|CAI,|CAI|IST|MSR|
MSR|CGN,|CGN|IST|MSR|
MSR|CMN,|CMN|IST|MSR|
MSR|CND,|CND|IST|MSR|
MSR|DAR,|DAR|IST|MSR|
MSR|DLM,|DLM|IST|MSR|
MSR|DMM,|DMM|IST|MSR|
MSR|DNK,|DNK|IST|MSR|
MSR|DNZ,|DNZ|IST|MSR|
MSR|DOK,|DOK|IST|MSR|
MSR|DUS,|DUS|SAW|ESB|MSR|
MSR|EDI,|EDI|IST|MSR|
MSR|ELQ,|ELQ|IST|MSR|
MSR|FDH,|FDH|IST|MSR|
MSR|GOA,|GOA|IST|MSR|
MSR|GOT,|GOT|IST|MSR|
MSR|HAJ,|HAJ|IST|MSR|
MSR|HBE,|HBE|IST|MSR|
