MLA|KIN,|KIN|YYZ|IST|MLA|
MLA|LIM,|LIM|MIA|ZRH|IST|MLA|
MLA|LIR,|LIR|EWR|BHX|IST|MLA|
MLA|MCI,|MCI|ORD|IST|MLA|
MLA|MDT,|MDT|IAD|IST|MLA|
MLA|MIA,|MIA|ZRH|IST|MLA|
MLA|MKE,|MKE|YYZ|IST|MLA|
MLA|MSP,|MSP|YUL|FRA|IST|MLA|
MLA|NAS,|NAS|EWR|BHX|IST|MLA|
MLA|PHL,|PHL|IAD|IST|MLA|
MLA|PHX,|PHX|DEN|FRA|IST|MLA|
MLA|PIT,|PIT|YYZ|IST|MLA|
MLA|PLS,|PLS|EWR|BHX|IST|MLA|
MLA|POP,|POP|EWR|BHX|IST|MLA|
MLA|RDU,|RDU|EWR|BHX|IST|MLA|
MLA|ROC,|ROC|YYZ|IST|MLA|
MLA|RSW,|RSW|MCO|FRA|IST|MLA|
MLA|SAN,|SAN|LAX|IST|MLA|
MLA|SJO,|SJO|EWR|BHX|IST|MLA|
MLA|STL,|STL|ORD|IST|MLA|
MLA|SYR,|SYR|EWR|BHX|IST|MLA|
MLA|TLV,|TLV|IST|MLA|
MLA|TPA,|TPA|EWR|BHX|IST|MLA|
MLA|UVF,|UVF|EWR|BHX|IST|MLA|
MLA|VIE,|VIE|IST|MLA|
MLA|YAM,|YAM|YYZ|IST|MLA|
MLA|YGK,|YGK|YYZ|IST|MLA|
MLA|YQG,|YQG|YYZ|IST|MLA|
MLA|YSB,|YSB|YYZ|IST|MLA|
MLA|YTS,|YTS|YYZ|IST|MLA|
MLA|YYB,|YYB|YYZ|IST|MLA|
MLA|YZR,|YZR|YYZ|IST|MLA|
MLA|CAN,|CAN|IST|MLA|
MLA|URC,|URC|IST|MLA|
MLA|CTU,|CTU|URC|IST|MLA|
MLA|HGH,|HGH|URC|IST|MLA|
MLA|XMN,|XMN|CSX|URC|IST|MLA|
MLA|CGO,|CGO|URC|IST|MLA|
MLA|CSX,|CSX|URC|IST|MLA|
MLA|SHE,|SHE|PEK|IST|MLA|
MLA|SJW,|SJW|URC|IST|MLA|
MLA|WUH,|WUH|URC|IST|MLA|
MLA|SZX,|SZX|CKG|URC|IST|MLA|
MLA|CKG,|CKG|URC|IST|MLA|
MLA|KMG,|KMG|CTU|URC|IST|MLA|
MLA|FOC,|FOC|XIY|URC|IST|MLA|
MLA|NNG,|NNG|KWE|URC|IST|MLA|
MLA|SWA,|SWA|CAN|IST|MLA|
MLA|ACX,|ACX|CAN|IST|MLA|
MLA|AQG,|AQG|CAN|IST|MLA|
MLA|AVA,|AVA|CAN|IST|MLA|
MLA|BFJ,|BFJ|CAN|IST|MLA|
MLA|BHY,|BHY|CKG|URC|IST|MLA|
MLA|BNE,|BNE|BKK|IST|MLA|
MLA|CGD,|CGD|PEK|IST|MLA|
MLA|CGK,|CGK|SIN|IST|MLA|
MLA|CGQ,|CGQ|HET|URC|IST|MLA|
MLA|CIH,|CIH|PEK|IST|MLA|
MLA|CNX,|CNX|CAN|IST|MLA|
MLA|CZX,|CZX|TYN|URC|IST|MLA|
MLA|DAC,|DAC|IST|MLA|
MLA|DAD,|DAD|CAN|IST|MLA|
MLA|DEL,|DEL|IST|MLA|
MLA|DIG,|DIG|KMG|CTU|URC|IST|MLA|
MLA|DLC,|DLC|PEK|IST|MLA|
MLA|DPS,|DPS|CAN|IST|MLA|
MLA|DXB,|DXB|IST|MLA|
MLA|DYG,|DYG|CSX|URC|IST|MLA|
MLA|FUG,|FUG|CAN|IST|MLA|
MLA|FUK,|FUK|ICN|IST|MLA|
MLA|HAK,|HAK|CTU|URC|IST|MLA|
MLA|HAN,|HAN|CAN|IST|MLA|
MLA|HDG,|HDG|CAN|IST|MLA|
MLA|HET,|HET|URC|IST|MLA|
MLA|HFE,|HFE|XIY|URC|IST|MLA|
MLA|HJJ,|HJJ|CSX|URC|IST|MLA|
MLA|HKT,|HKT|KWE|URC|IST|MLA|
MLA|HRB,|HRB|PEK|IST|MLA|
MLA|HZH,|HZH|CAN|IST|MLA|
MLA|JIU,|JIU|CAN|IST|MLA|
MLA|JJN,|JJN|CSX|URC|IST|MLA|
MLA|JNG,|JNG|CAN|IST|MLA|
MLA|KHN,|KHN|XIY|URC|IST|MLA|
MLA|KIX,|KIX|IST|MLA|
MLA|KOW,|KOW|CAN|IST|MLA|
MLA|KTM,|KTM|IST|MLA|
MLA|KUL,|KUL|IST|MLA|
MLA|KWE,|KWE|URC|IST|MLA|
MLA|KWL,|KWL|CKG|URC|IST|MLA|
MLA|LHW,|LHW|URC|IST|MLA|
MLA|LYA,|LYA|KHN|XIY|URC|IST|MLA|
MLA|LYG,|LYG|XUZ|INC|URC|IST|MLA|
MLA|LZH,|LZH|CAN|IST|MLA|
MLA|MEL,|MEL|BKK|IST|MLA|
MLA|MIG,|MIG|CSX|URC|IST|MLA|
MLA|MLE,|MLE|IST|MLA|
MLA|MNL,|MNL|CAN|IST|MLA|
MLA|MXZ,|MXZ|CAN|IST|MLA|
MLA|NAO,|NAO|PEK|IST|MLA|
MLA|NGB,|NGB|WUH|URC|IST|MLA|
MLA|NKG,|NKG|URC|IST|MLA|
MLA|NNY,|NNY|CGO|URC|IST|MLA|
MLA|PEN,|PEN|CAN|IST|MLA|
MLA|PER,|PER|BKK|IST|MLA|
MLA|PNH,|PNH|CAN|IST|MLA|
MLA|REP,|REP|CAN|IST|MLA|
MLA|RGN,|RGN|CAN|IST|MLA|
MLA|SGN,|SGN|BKK|IST|MLA|
MLA|SHA,|SHA|URC|IST|MLA|
MLA|SIN,|SIN|IST|MLA|
MLA|SVO,|SVO|URC|IST|MLA|
MLA|SYX,|SYX|CKG|URC|IST|MLA|
MLA|TAO,|TAO|TYN|URC|IST|MLA|
MLA|TEN,|TEN|CAN|IST|MLA|
MLA|TNA,|TNA|URC|IST|MLA|
MLA|TPE,|TPE|URC|IST|MLA|
MLA|TSN,|TSN|HET|URC|IST|MLA|
MLA|TXN,|TXN|TYN|URC|IST|MLA|
MLA|TYN,|TYN|URC|IST|MLA|
MLA|WNZ,|WNZ|XIY|URC|IST|MLA|
MLA|WUX,|WUX|CAN|IST|MLA|
MLA|XFN,|XFN|CAN|IST|MLA|
MLA|XIY,|XIY|URC|IST|MLA|
MLA|XUZ,|XUZ|INC|URC|IST|MLA|
MLA|YIH,|YIH|CKG|URC|IST|MLA|
MLA|YIW,|YIW|URC|IST|MLA|
MLA|YNT,|YNT|SHE|PEK|IST|MLA|
MLA|YNZ,|YNZ|WUH|URC|IST|MLA|
MLA|YTY,|YTY|CGO|URC|IST|MLA|
MLA|ZHA,|ZHA|CAN|IST|MLA|
MLA|ZYI,|ZYI|CAN|IST|MLA|
MLA|BAV,|BAV|URC|IST|MLA|
MLA|CJU,|CJU|DLC|PEK|IST|MLA|
MLA|DSN,|DSN|CGO|URC|IST|MLA|
MLA|HMI,|HMI|URC|IST|MLA|
MLA|INC,|INC|URC|IST|MLA|
MLA|KHH,|KHH|WUH|URC|IST|MLA|
MLA|UYN,|UYN|XIY|URC|IST|MLA|
MLA|XNN,|XNN|URC|IST|MLA|
MLA|ZUH,|ZUH|KWE|URC|IST|MLA|
MLA|YNJ,|YNJ|PEK|IST|MLA|
MLA|DAT,|DAT|TYN|URC|IST|MLA|
MLA|JHG,|JHG|KMG|CTU|URC|IST|MLA|
MLA|LJG,|LJG|KMG|CTU|URC|IST|MLA|
MLA|LXA,|LXA|CKG|URC|IST|MLA|
MLA|YCU,|YCU|CKG|URC|IST|MLA|
MLA|LZO,|LZO|CSX|URC|IST|MLA|
