MUC|CGO,|CGO|URC|IST|MUC|
MUC|CSX,|CSX|URC|IST|MUC|
MUC|SHE,|SHE|PEK|IST|MUC|
MUC|SJW,|SJW|URC|IST|MUC|
MUC|WUH,|WUH|URC|IST|MUC|
MUC|SZX,|SZX|CKG|URC|IST|MUC|
MUC|CKG,|CKG|URC|IST|MUC|
MUC|KMG,|KMG|CTU|URC|IST|MUC|
MUC|FOC,|FOC|XIY|URC|IST|MUC|
MUC|NNG,|NNG|KWE|URC|IST|MUC|
MUC|SWA,|SWA|CAN|IST|MUC|
MUC|ACX,|ACX|CAN|IST|MUC|
MUC|AQG,|AQG|CAN|IST|MUC|
MUC|AVA,|AVA|CAN|IST|MUC|
MUC|BFJ,|BFJ|CAN|IST|MUC|
MUC|BHY,|BHY|CKG|URC|IST|MUC|
MUC|BNE,|BNE|BKK|IST|MUC|
MUC|CGD,|CGD|PEK|IST|MUC|
MUC|CGK,|CGK|SIN|IST|MUC|
MUC|CGQ,|CGQ|HET|URC|IST|MUC|
MUC|CIH,|CIH|PEK|IST|MUC|
MUC|CNX,|CNX|CAN|IST|MUC|
MUC|CZX,|CZX|TYN|URC|IST|MUC|
MUC|DAC,|DAC|IST|MUC|
MUC|DAD,|DAD|CAN|IST|MUC|
MUC|DEL,|DEL|IST|MUC|
MUC|DIG,|DIG|KMG|CTU|URC|IST|MUC|
MUC|DLC,|DLC|PEK|IST|MUC|
MUC|DPS,|DPS|CAN|IST|MUC|
MUC|DXB,|DXB|IST|MUC|
MUC|DYG,|DYG|CSX|URC|IST|MUC|
MUC|FUG,|FUG|CAN|IST|MUC|
MUC|FUK,|FUK|ICN|IST|MUC|
MUC|HAK,|HAK|CTU|URC|IST|MUC|
MUC|HAN,|HAN|CAN|IST|MUC|
MUC|HDG,|HDG|CAN|IST|MUC|
MUC|HET,|HET|URC|IST|MUC|
MUC|HFE,|HFE|XIY|URC|IST|MUC|
MUC|HJJ,|HJJ|CSX|URC|IST|MUC|
MUC|HKT,|HKT|KWE|URC|IST|MUC|
MUC|HRB,|HRB|PEK|IST|MUC|
MUC|HZH,|HZH|CAN|IST|MUC|
MUC|JIU,|JIU|CAN|IST|MUC|
MUC|JJN,|JJN|CSX|URC|IST|MUC|
MUC|JNG,|JNG|CAN|IST|MUC|
MUC|KHN,|KHN|XIY|URC|IST|MUC|
MUC|KIX,|KIX|IST|MUC|
MUC|KOW,|KOW|CAN|IST|MUC|
MUC|KTM,|KTM|IST|MUC|
MUC|KUL,|KUL|IST|MUC|
MUC|KWE,|KWE|URC|IST|MUC|
MUC|KWL,|KWL|CKG|URC|IST|MUC|
MUC|LHW,|LHW|URC|IST|MUC|
MUC|LYA,|LYA|KHN|XIY|URC|IST|MUC|
MUC|LYG,|LYG|XUZ|INC|URC|IST|MUC|
MUC|LZH,|LZH|CAN|IST|MUC|
MUC|MEL,|MEL|BKK|IST|MUC|
MUC|MIG,|MIG|CSX|URC|IST|MUC|
MUC|MLE,|MLE|IST|MUC|
MUC|MNL,|MNL|CAN|IST|MUC|
MUC|MXZ,|MXZ|CAN|IST|MUC|
MUC|NAO,|NAO|PEK|IST|MUC|
MUC|NGB,|NGB|WUH|URC|IST|MUC|
MUC|NKG,|NKG|URC|IST|MUC|
MUC|NNY,|NNY|CGO|URC|IST|MUC|
MUC|PEN,|PEN|CAN|IST|MUC|
MUC|PER,|PER|BKK|IST|MUC|
MUC|PNH,|PNH|CAN|IST|MUC|
MUC|REP,|REP|CAN|IST|MUC|
MUC|RGN,|RGN|CAN|IST|MUC|
MUC|SGN,|SGN|BKK|IST|MUC|
MUC|SHA,|SHA|URC|IST|MUC|
MUC|SIN,|SIN|IST|MUC|
MUC|SVO,|SVO|URC|IST|MUC|
MUC|SYX,|SYX|CKG|URC|IST|MUC|
