DUS|BFD,|BFD|CLE|EWR|DUS|
DUS|BUF,|BUF|EWR|DUS|
DUS|CHS,|CHS|EWR|DUS|
DUS|DAY,|DAY|EWR|DUS|
DUS|DUJ,|DUJ|CLE|EWR|DUS|
DUS|ERI,|ERI|CLE|EWR|DUS|
DUS|FKL,|FKL|CLE|EWR|DUS|
DUS|FNT,|FNT|CLE|EWR|DUS|
DUS|GRR,|GRR|ORD|DUS|
DUS|GSP,|GSP|EWR|DUS|
DUS|PBI,|PBI|EWR|DUS|
DUS|PKB,|PKB|CLE|EWR|DUS|
DUS|RIC,|RIC|EWR|DUS|
DUS|SDF,|SDF|EWR|DUS|
DUS|GUM,|GUM|FUK|ICN|IST|DUS|
DUS|WRL,|WRL|CYS|DEN|ORD|DUS|
DUS|LBL,|DUS|
DUS|ABQ,|ABQ|ORD|DUS|
DUS|AIA,|AIA|DEN|ORD|DUS|
DUS|ALS,|ALS|DEN|ORD|DUS|
DUS|AMA,|AMA|DAL|STL|ORD|DUS|
DUS|ANC,|ANC|ORD|DUS|
DUS|ASE,|ASE|DEN|ORD|DUS|
DUS|BFL,|BFL|DEN|ORD|DUS|
DUS|BHM,|BHM|BWI|EWR|DUS|
DUS|BIL,|BIL|DEN|ORD|DUS|
DUS|BIS,|BIS|DEN|ORD|DUS|
DUS|BOI,|BOI|ORD|DUS|
DUS|BUR,|BUR|LAS|ORD|DUS|
DUS|BZN,|BZN|ORD|DUS|
DUS|CID,|CID|ORD|DUS|
DUS|COD,|COD|DEN|ORD|DUS|
DUS|COS,|COS|ORD|DUS|
DUS|CPR,|CPR|DEN|ORD|DUS|
DUS|CYS,|CYS|DEN|ORD|DUS|
DUS|DIK,|DIK|DEN|ORD|DUS|
DUS|DRO,|DRO|DEN|ORD|DUS|
DUS|DSM,|DSM|ORD|DUS|
DUS|EGE,|EGE|DEN|ORD|DUS|
DUS|ELP,|ELP|DAL|STL|ORD|DUS|
DUS|EUG,|EUG|PDX|ORD|DUS|
DUS|FAR,|FAR|ORD|DUS|
DUS|FAT,|FAT|DEN|ORD|DUS|
DUS|FCA,|FCA|DEN|ORD|DUS|
