CLT|KYA,|KYA|IST|BHX|EWR|CLT|
CLT|KZN,|KZN|IST|BHX|EWR|CLT|
CLT|KZR,|KZR|IST|BHX|EWR|CLT|
CLT|LED,|LED|VIE|IAD|CLT|
CLT|LEJ,|LEJ|IST|BHX|EWR|CLT|
CLT|LGW,|LGW|IST|BHX|EWR|CLT|
CLT|LHE,|LHE|IST|BHX|EWR|CLT|
CLT|LIS,|LIS|EWR|CLT|
CLT|LJU,|LJU|IST|BHX|EWR|CLT|
CLT|LOS,|LOS|FRA|EWR|CLT|
CLT|LUX,|LUX|IST|BHX|EWR|CLT|
CLT|LWO,|LWO|IST|BHX|EWR|CLT|
CLT|LYS,|LYS|IST|BHX|EWR|CLT|
CLT|MAD,|MAD|EWR|CLT|
CLT|MAN,|MAN|EWR|CLT|
CLT|MED,|MED|IST|BHX|EWR|CLT|
CLT|MHD,|MHD|IST|BHX|EWR|CLT|
CLT|MLA,|MLA|IST|BHX|EWR|CLT|
CLT|MRS,|MRS|IST|BHX|EWR|CLT|
CLT|MSQ,|MSQ|IST|BHX|EWR|CLT|
CLT|MXP,|MXP|EWR|CLT|
CLT|MZH,|MZH|IST|BHX|EWR|CLT|
CLT|MZR,|MZR|IST|BHX|EWR|CLT|
CLT|NAJ,|NAJ|IST|BHX|EWR|CLT|
CLT|NAV,|NAV|IST|BHX|EWR|CLT|
CLT|NCE,|NCE|IST|BHX|EWR|CLT|
CLT|NIM,|NIM|IST|BHX|EWR|CLT|
CLT|NJF,|NJF|IST|BHX|EWR|CLT|
CLT|NSI,|NSI|BRU|EWR|CLT|
CLT|NUE,|NUE|IST|BHX|EWR|CLT|
CLT|ODS,|ODS|IST|BHX|EWR|CLT|
CLT|ORN,|ORN|IST|BHX|EWR|CLT|
CLT|OTP,|OTP|IST|BHX|EWR|CLT|
CLT|PRG,|PRG|BRU|EWR|CLT|
CLT|PRN,|PRN|IST|BHX|EWR|CLT|
