GSO|PLS,|PLS|EWR|GSO|
GSO|POP,|POP|EWR|GSO|
GSO|RDU,|RDU|IAD|GSO|
GSO|ROC,|ROC|IAD|GSO|
GSO|RSW,|RSW|MCO|IAD|GSO|
GSO|SAN,|SAN|ORD|GSO|
GSO|SJO,|SJO|IAD|GSO|
GSO|STL,|STL|ORD|GSO|
GSO|SYR,|SYR|IAD|GSO|
GSO|TLV,|TLV|EWR|GSO|
GSO|TPA,|TPA|IAD|GSO|
GSO|UVF,|UVF|EWR|GSO|
GSO|VIE,|VIE|IAD|GSO|
GSO|YAM,|YAM|YYZ|IAD|GSO|
GSO|YGK,|YGK|YYZ|IAD|GSO|
GSO|YQG,|YQG|YYZ|IAD|GSO|
GSO|YSB,|YSB|YYZ|IAD|GSO|
GSO|YTS,|YTS|YYZ|IAD|GSO|
GSO|YYB,|YYB|YYZ|IAD|GSO|
GSO|YZR,|YZR|YYZ|IAD|GSO|
GSO|CAN,|CAN|PEK|IAD|GSO|
GSO|URC,|URC|TSE|FRA|EWR|GSO|
GSO|CTU,|CTU|PEK|IAD|GSO|
GSO|HGH,|HGH|PEK|IAD|GSO|
GSO|XMN,|XMN|PEK|IAD|GSO|
GSO|CGO,|CGO|PEK|IAD|GSO|
GSO|CSX,|CSX|PEK|IAD|GSO|
GSO|SHE,|SHE|PEK|IAD|GSO|
GSO|SJW,|SJW|DLC|PEK|IAD|GSO|
GSO|WUH,|WUH|PEK|IAD|GSO|
GSO|SZX,|SZX|PEK|IAD|GSO|
GSO|CKG,|CKG|PEK|IAD|GSO|
GSO|KMG,|KMG|PEK|IAD|GSO|
GSO|FOC,|FOC|PEK|IAD|GSO|
GSO|NNG,|NNG|PEK|IAD|GSO|
GSO|SWA,|SWA|PEK|IAD|GSO|
GSO|ACX,|ACX|CAN|PEK|IAD|GSO|
GSO|AQG,|AQG|CAN|PEK|IAD|GSO|
GSO|AVA,|AVA|CAN|PEK|IAD|GSO|
GSO|BFJ,|BFJ|CAN|PEK|IAD|GSO|
GSO|BHY,|BHY|CGO|PEK|IAD|GSO|
GSO|BNE,|BNE|CAN|PEK|IAD|GSO|
GSO|CGD,|CGD|PEK|IAD|GSO|
GSO|CGK,|CGK|CAN|PEK|IAD|GSO|
GSO|CGQ,|CGQ|PEK|IAD|GSO|
GSO|CIH,|CIH|PEK|IAD|GSO|
GSO|CNX,|CNX|CAN|PEK|IAD|GSO|
GSO|CZX,|CZX|SHE|PEK|IAD|GSO|
GSO|DAC,|DAC|IST|BHX|EWR|GSO|
GSO|DAD,|DAD|CAN|PEK|IAD|GSO|
GSO|DEL,|DEL|EWR|GSO|
GSO|DIG,|DIG|KMG|PEK|IAD|GSO|
GSO|DLC,|DLC|PEK|IAD|GSO|
GSO|DPS,|DPS|SZX|PEK|IAD|GSO|
GSO|DXB,|DXB|IAD|GSO|
GSO|DYG,|DYG|PEK|IAD|GSO|
GSO|FUG,|FUG|CAN|PEK|IAD|GSO|
GSO|FUK,|FUK|ICN|JFK|IAD|GSO|
GSO|HAK,|HAK|PEK|IAD|GSO|
GSO|HAN,|HAN|PEK|IAD|GSO|
GSO|HDG,|HDG|CAN|PEK|IAD|GSO|
GSO|HET,|HET|DLC|PEK|IAD|GSO|
GSO|HFE,|HFE|XIY|PEK|IAD|GSO|
GSO|HJJ,|HJJ|CSX|PEK|IAD|GSO|
GSO|HKT,|HKT|KWE|PEK|IAD|GSO|
GSO|HRB,|HRB|PEK|IAD|GSO|
GSO|HZH,|HZH|CAN|PEK|IAD|GSO|
GSO|JIU,|JIU|CAN|PEK|IAD|GSO|
GSO|JJN,|JJN|PEK|IAD|GSO|
GSO|JNG,|JNG|CAN|PEK|IAD|GSO|
GSO|KHN,|KHN|DLC|PEK|IAD|GSO|
GSO|KIX,|KIX|SFO|ORD|GSO|
GSO|KOW,|KOW|PEK|IAD|GSO|
GSO|KTM,|KTM|IST|BHX|EWR|GSO|
GSO|KUL,|KUL|CAN|PEK|IAD|GSO|
GSO|KWE,|KWE|PEK|IAD|GSO|
