EZS|XMN,|XMN|CSX|URC|TBS|SAW|EZS|
EZS|CGO,|CGO|URC|TBS|SAW|EZS|
EZS|CSX,|CSX|URC|TBS|SAW|EZS|
EZS|SHE,|SHE|PEK|IST|EZS|
EZS|SJW,|SJW|URC|TBS|SAW|EZS|
EZS|WUH,|WUH|URC|TBS|SAW|EZS|
EZS|SZX,|SZX|CKG|URC|TBS|SAW|EZS|
EZS|CKG,|CKG|URC|TBS|SAW|EZS|
EZS|KMG,|KMG|CTU|URC|TBS|SAW|EZS|
EZS|FOC,|FOC|XIY|URC|TBS|SAW|EZS|
EZS|NNG,|NNG|KWE|URC|TBS|SAW|EZS|
EZS|SWA,|SWA|CSX|URC|TBS|SAW|EZS|
EZS|ACX,|ACX|CAN|IST|EZS|
EZS|AQG,|AQG|CAN|IST|EZS|
EZS|AVA,|AVA|CAN|IST|EZS|
EZS|BFJ,|BFJ|CAN|IST|EZS|
EZS|BHY,|BHY|CKG|URC|TBS|SAW|EZS|
EZS|BNE,|BNE|BKK|IST|EZS|
EZS|CGD,|CGD|PEK|IST|EZS|
EZS|CGK,|CGK|SIN|IST|EZS|
EZS|CGQ,|CGQ|HET|URC|TBS|SAW|EZS|
EZS|CIH,|CIH|PEK|IST|EZS|
EZS|CNX,|CNX|CAN|IST|EZS|
EZS|CZX,|CZX|TYN|URC|TBS|SAW|EZS|
EZS|DAC,|DAC|IST|EZS|
EZS|DAD,|DAD|CAN|IST|EZS|
EZS|DEL,|DEL|IST|EZS|
EZS|DIG,|DIG|KMG|CTU|URC|TBS|SAW|EZS|
EZS|DLC,|DLC|PEK|IST|EZS|
EZS|DPS,|DPS|CAN|IST|EZS|
EZS|DXB,|DXB|IST|EZS|
EZS|DYG,|DYG|CSX|URC|TBS|SAW|EZS|
EZS|FUG,|FUG|CAN|IST|EZS|
EZS|FUK,|FUK|ICN|IST|EZS|
EZS|HAK,|HAK|CTU|URC|TBS|SAW|EZS|
EZS|HAN,|HAN|CAN|IST|EZS|
EZS|HDG,|HDG|CAN|IST|EZS|
EZS|HET,|HET|URC|TBS|SAW|EZS|
EZS|HFE,|HFE|XIY|URC|TBS|SAW|EZS|
EZS|HJJ,|HJJ|CSX|URC|TBS|SAW|EZS|
EZS|HKT,|HKT|KWE|URC|TBS|SAW|EZS|
EZS|HRB,|HRB|PEK|IST|EZS|
EZS|HZH,|HZH|CAN|IST|EZS|
EZS|JIU,|JIU|CAN|IST|EZS|
EZS|JJN,|JJN|CSX|URC|TBS|SAW|EZS|
EZS|JNG,|JNG|CAN|IST|EZS|
EZS|KHN,|KHN|XIY|URC|TBS|SAW|EZS|
EZS|KIX,|KIX|IST|EZS|
EZS|KOW,|KOW|CAN|IST|EZS|
EZS|KTM,|KTM|IST|EZS|
EZS|KUL,|KUL|IST|EZS|
EZS|KWE,|KWE|URC|TBS|SAW|EZS|
EZS|KWL,|KWL|CKG|URC|TBS|SAW|EZS|
EZS|LHW,|LHW|URC|TBS|SAW|EZS|
EZS|LYA,|LYA|KHN|XIY|URC|TBS|SAW|EZS|
EZS|LYG,|LYG|XUZ|INC|URC|TBS|SAW|EZS|
