FUK|DYG,|DYG|CSX|ICN|FUK|
FUK|FUG,|FUG|CAN|FUK|
FUK|HAK,|HAK|CAN|FUK|
FUK|HAN,|HAN|CAN|FUK|
FUK|HDG,|HDG|CAN|FUK|
FUK|HET,|HET|DLC|ICN|FUK|
FUK|HFE,|HFE|TYN|DLC|ICN|FUK|
FUK|HJJ,|HJJ|CSX|ICN|FUK|
FUK|HKT,|HKT|CAN|FUK|
FUK|HRB,|HRB|ICN|FUK|
FUK|HZH,|HZH|CAN|FUK|
FUK|JIU,|JIU|CAN|FUK|
FUK|JJN,|JJN|CAN|FUK|
FUK|JNG,|JNG|CAN|FUK|
FUK|KHN,|KHN|DLC|ICN|FUK|
FUK|KIX,|KIX|DLC|ICN|FUK|
FUK|KOW,|KOW|CAN|FUK|
FUK|KTM,|KTM|CAN|FUK|
FUK|KUL,|KUL|CAN|FUK|
FUK|KWE,|KWE|CAN|FUK|
FUK|KWL,|KWL|CAN|FUK|
FUK|LHW,|LHW|TNA|DLC|ICN|FUK|
FUK|LYA,|LYA|KHN|DLC|ICN|FUK|
FUK|LYG,|LYG|HSN|PEK|ICN|FUK|
FUK|LZH,|LZH|CAN|FUK|
FUK|MEL,|MEL|CAN|FUK|
FUK|MIG,|MIG|CSX|ICN|FUK|
FUK|MLE,|MLE|CAN|FUK|
FUK|MNL,|MNL|CAN|FUK|
FUK|MXZ,|MXZ|CAN|FUK|
FUK|NAO,|NAO|PEK|ICN|FUK|
FUK|NGB,|NGB|DLC|ICN|FUK|
FUK|NKG,|NKG|DLC|ICN|FUK|
FUK|NNY,|NNY|CGO|ICN|FUK|
FUK|PEN,|PEN|CAN|FUK|
FUK|PER,|PER|CAN|FUK|
FUK|PNH,|PNH|CAN|FUK|
FUK|REP,|REP|CAN|FUK|
FUK|RGN,|RGN|CAN|FUK|
FUK|SGN,|SGN|CAN|FUK|
FUK|SHA,|SHA|CGO|ICN|FUK|
FUK|SIN,|SIN|CAN|FUK|
FUK|SVO,|SVO|URC|PEK|ICN|FUK|
FUK|SYX,|SYX|CAN|FUK|
FUK|TAO,|TAO|DLC|ICN|FUK|
FUK|TEN,|TEN|CAN|FUK|
FUK|TNA,|TNA|DLC|ICN|FUK|
FUK|TPE,|TPE|PVG|ICN|FUK|
FUK|TSN,|TSN|DLC|ICN|FUK|
FUK|TXN,|TXN|DLC|ICN|FUK|
FUK|TYN,|TYN|DLC|ICN|FUK|
FUK|WNZ,|WNZ|WUH|ICN|FUK|
FUK|WUX,|WUX|CAN|FUK|
FUK|XFN,|XFN|CAN|FUK|
FUK|XIY,|XIY|DLC|ICN|FUK|
FUK|XUZ,|XUZ|CAN|FUK|
FUK|YIH,|YIH|CAN|FUK|
FUK|YIW,|YIW|SHE|FUK|
FUK|YNT,|YNT|SHE|FUK|
FUK|YNZ,|YNZ|DLC|ICN|FUK|
FUK|YTY,|YTY|DLC|ICN|FUK|
FUK|ZHA,|ZHA|CAN|FUK|
FUK|ZYI,|ZYI|CAN|FUK|
FUK|BAV,|BAV|SJW|DLC|ICN|FUK|
FUK|CJU,|CJU|DLC|ICN|FUK|
FUK|DSN,|DSN|CGO|ICN|FUK|
