BOG|FOC,|FOC|PEK|ORD|MIA|BOG|
BOG|NNG,|NNG|PEK|ORD|MIA|BOG|
BOG|SWA,|SWA|PEK|ORD|MIA|BOG|
BOG|ACX,|ACX|CAN|PEK|ORD|MIA|BOG|
BOG|AQG,|AQG|CAN|PEK|ORD|MIA|BOG|
BOG|AVA,|AVA|CAN|PEK|ORD|MIA|BOG|
BOG|BFJ,|BFJ|CAN|PEK|ORD|MIA|BOG|
BOG|BHY,|BHY|CGO|PEK|ORD|MIA|BOG|
BOG|BNE,|BNE|CAN|PEK|ORD|MIA|BOG|
BOG|CGD,|CGD|PEK|ORD|MIA|BOG|
BOG|CGK,|CGK|CAN|PEK|ORD|MIA|BOG|
BOG|CGQ,|CGQ|ICN|YVR|IAH|BOG|
BOG|CIH,|CIH|PEK|ORD|MIA|BOG|
BOG|CNX,|CNX|CAN|PEK|ORD|MIA|BOG|
BOG|CZX,|CZX|SHE|ICN|YVR|IAH|BOG|
BOG|DAC,|DAC|IST|ZRH|MIA|BOG|
BOG|DAD,|DAD|CAN|PEK|ORD|MIA|BOG|
BOG|DEL,|DEL|EWR|BOG|
BOG|DIG,|DIG|KMG|PEK|ORD|MIA|BOG|
BOG|DLC,|DLC|PEK|ORD|MIA|BOG|
BOG|DPS,|DPS|SZX|PEK|ORD|MIA|BOG|
BOG|DXB,|DXB|IST|ZRH|MIA|BOG|
BOG|DYG,|DYG|PEK|ORD|MIA|BOG|
BOG|FUG,|FUG|CAN|PEK|ORD|MIA|BOG|
BOG|FUK,|FUK|ICN|YVR|IAH|BOG|
BOG|HAK,|HAK|PEK|ORD|MIA|BOG|
BOG|HAN,|HAN|PEK|ORD|MIA|BOG|
BOG|HDG,|HDG|CAN|PEK|ORD|MIA|BOG|
BOG|HET,|HET|DLC|PEK|ORD|MIA|BOG|
BOG|HFE,|HFE|XIY|PEK|ORD|MIA|BOG|
BOG|HJJ,|HJJ|CSX|PEK|ORD|MIA|BOG|
BOG|HKT,|HKT|KWE|PEK|ORD|MIA|BOG|
BOG|HRB,|HRB|ICN|YVR|IAH|BOG|
BOG|HZH,|HZH|CAN|PEK|ORD|MIA|BOG|
BOG|JIU,|JIU|CAN|PEK|ORD|MIA|BOG|
BOG|JJN,|JJN|PEK|ORD|MIA|BOG|
BOG|JNG,|JNG|CAN|PEK|ORD|MIA|BOG|
BOG|KHN,|KHN|DLC|PEK|ORD|MIA|BOG|
BOG|KIX,|KIX|SFO|IAH|BOG|
BOG|KOW,|KOW|PEK|ORD|MIA|BOG|
BOG|KTM,|KTM|IST|ZRH|MIA|BOG|
BOG|KUL,|KUL|CAN|PEK|ORD|MIA|BOG|
BOG|KWE,|KWE|PEK|ORD|MIA|BOG|
BOG|KWL,|KWL|PEK|ORD|MIA|BOG|
BOG|LHW,|LHW|CGO|PEK|ORD|MIA|BOG|
BOG|LYA,|LYA|KHN|DLC|PEK|ORD|MIA|BOG|
BOG|LYG,|LYG|HSN|PEK|ORD|MIA|BOG|
BOG|LZH,|LZH|CAN|PEK|ORD|MIA|BOG|
BOG|MEL,|MEL|SYD|LAX|IAH|BOG|
BOG|MIG,|MIG|CSX|PEK|ORD|MIA|BOG|
BOG|MLE,|MLE|IST|ZRH|MIA|BOG|
BOG|MNL,|MNL|XMN|PEK|ORD|MIA|BOG|
BOG|MXZ,|MXZ|CAN|PEK|ORD|MIA|BOG|
BOG|NAO,|NAO|PEK|ORD|MIA|BOG|
BOG|NGB,|NGB|PEK|ORD|MIA|BOG|
BOG|NKG,|NKG|DLC|PEK|ORD|MIA|BOG|
BOG|NNY,|NNY|CGO|PEK|ORD|MIA|BOG|
BOG|PEN,|PEN|CAN|PEK|ORD|MIA|BOG|
BOG|PER,|PER|CAN|PEK|ORD|MIA|BOG|
BOG|PNH,|PNH|CAN|PEK|ORD|MIA|BOG|
BOG|REP,|REP|CAN|PEK|ORD|MIA|BOG|
BOG|RGN,|RGN|CAN|PEK|ORD|MIA|BOG|
BOG|SGN,|SGN|CAN|PEK|ORD|MIA|BOG|
BOG|SHA,|SHA|PEK|ORD|MIA|BOG|
BOG|SIN,|SIN|HKG|ORD|MIA|BOG|
BOG|SVO,|SVO|URC|TSE|FRA|JFK|BOG|
BOG|SYX,|SYX|PEK|ORD|MIA|BOG|
BOG|TAO,|TAO|DLC|PEK|ORD|MIA|BOG|
BOG|TEN,|TEN|PEK|ORD|MIA|BOG|
BOG|TNA,|TNA|DLC|PEK|ORD|MIA|BOG|
BOG|TPE,|TPE|PVG|ORD|MIA|BOG|
BOG|TSN,|TSN|DLC|PEK|ORD|MIA|BOG|
BOG|TXN,|TXN|DLC|PEK|ORD|MIA|BOG|
BOG|TYN,|TYN|DAT|CIH|PEK|ORD|MIA|BOG|
BOG|WNZ,|WNZ|CGO|PEK|ORD|MIA|BOG|
BOG|WUX,|WUX|CAN|PEK|ORD|MIA|BOG|
BOG|XFN,|XFN|XMN|PEK|ORD|MIA|BOG|
BOG|XIY,|XIY|PEK|ORD|MIA|BOG|
BOG|XUZ,|XUZ|LYG|HSN|PEK|ORD|MIA|BOG|
BOG|YIH,|YIH|CKG|PEK|ORD|MIA|BOG|
BOG|YIW,|YIW|PEK|ORD|MIA|BOG|
BOG|YNT,|YNT|SHE|ICN|YVR|IAH|BOG|
BOG|YNZ,|YNZ|DLC|PEK|ORD|MIA|BOG|
BOG|YTY,|YTY|DLC|PEK|ORD|MIA|BOG|
BOG|ZHA,|ZHA|CAN|PEK|ORD|MIA|BOG|
BOG|ZYI,|ZYI|PEK|ORD|MIA|BOG|
BOG|BAV,|BAV|CGO|PEK|ORD|MIA|BOG|
BOG|CJU,|CJU|DLC|PEK|ORD|MIA|BOG|
BOG|DSN,|DSN|CGO|PEK|ORD|MIA|BOG|
BOG|HMI,|HMI|URC|TSE|FRA|JFK|BOG|
BOG|INC,|INC|PEK|ORD|MIA|BOG|
BOG|KHH,|KHH|CGO|PEK|ORD|MIA|BOG|
BOG|UYN,|UYN|CGO|PEK|ORD|MIA|BOG|
BOG|XNN,|XNN|PEK|ORD|MIA|BOG|
BOG|ZUH,|ZUH|PEK|ORD|MIA|BOG|
BOG|YNJ,|YNJ|ICN|YVR|IAH|BOG|
BOG|DAT,|DAT|CIH|PEK|ORD|MIA|BOG|
BOG|JHG,|JHG|CKG|PEK|ORD|MIA|BOG|
BOG|LJG,|LJG|CKG|PEK|ORD|MIA|BOG|
BOG|LXA,|LXA|XIY|PEK|ORD|MIA|BOG|
BOG|YCU,|YCU|CSX|PEK|ORD|MIA|BOG|
BOG|LZO,|LZO|CSX|PEK|ORD|MIA|BOG|
BOG|MDG,|MDG|ICN|YVR|IAH|BOG|
BOG|NGO,|NGO|ICN|YVR|IAH|BOG|
BOG|TOY,|TOY|DLC|PEK|ORD|MIA|BOG|
BOG|MFM,|MFM|XMN|PEK|ORD|MIA|BOG|
BOG|TGO,|TGO|HET|DLC|PEK|ORD|MIA|BOG|
BOG|XIL,|XIL|HET|DLC|PEK|ORD|MIA|BOG|
BOG|HEK,|HEK|HRB|ICN|YVR|IAH|BOG|
BOG|KIJ,|KIJ|HRB|ICN|YVR|IAH|BOG|
BOG|LDS,|LDS|HRB|ICN|YVR|IAH|BOG|
BOG|OHE,|OHE|HRB|ICN|YVR|IAH|BOG|
BOG|HSN,|HSN|PEK|ORD|MIA|BOG|
BOG|DLU,|DLU|KMG|PEK|ORD|MIA|BOG|
BOG|SYM,|SYM|KMG|PEK|ORD|MIA|BOG|
BOG|ZAT,|ZAT|KMG|PEK|ORD|MIA|BOG|
BOG|LUN,|LUN|NBO|ZRH|MIA|BOG|
BOG|AOG,|AOG|PEK|ORD|MIA|BOG|
BOG|GMP,|GMP|PEK|ORD|MIA|BOG|
BOG|ISB,|ISB|IST|ZRH|MIA|BOG|
BOG|TAS,|TAS|IST|ZRH|MIA|BOG|
BOG|WUS,|WUS|PEK|ORD|MIA|BOG|
BOG|JMU,|JMU|PVG|ORD|MIA|BOG|
BOG|NDG,|NDG|PVG|ORD|MIA|BOG|
BOG|JXA,|JXA|SHE|ICN|YVR|IAH|BOG|
BOG|PUS,|PUS|SHE|ICN|YVR|IAH|BOG|
BOG|BKI,|BKI|SZX|PEK|ORD|MIA|BOG|
BOG|AKU,|AKU|URC|TSE|FRA|JFK|BOG|
BOG|ALA,|ALA|TSE|FRA|JFK|BOG|
BOG|ASB,|ASB|GYD|FRA|JFK|BOG|
BOG|DNH,|DNH|URC|TSE|FRA|JFK|BOG|
BOG|DYU,|DYU|IST|ZRH|MIA|BOG|
BOG|FRU,|FRU|IST|ZRH|MIA|BOG|
BOG|GYD,|GYD|FRA|JFK|BOG|
BOG|HTN,|HTN|URC|TSE|FRA|JFK|BOG|
BOG|IKA,|IKA|IST|ZRH|MIA|BOG|
BOG|KCA,|KCA|URC|TSE|FRA|JFK|BOG|
BOG|KHG,|KHG|URC|TSE|FRA|JFK|BOG|
BOG|KRL,|KRL|URC|TSE|FRA|JFK|BOG|
BOG|KRY,|KRY|URC|TSE|FRA|JFK|BOG|
BOG|LBD,|LBD|URC|TSE|FRA|JFK|BOG|
BOG|NLT,|NLT|URC|TSE|FRA|JFK|BOG|
BOG|OSS,|OSS|IST|ZRH|MIA|BOG|
BOG|OVB,|OVB|IST|ZRH|MIA|BOG|
BOG|TBS,|TBS|IST|ZRH|MIA|BOG|
BOG|TCG,|TCG|URC|TSE|FRA|JFK|BOG|
BOG|TSE,|TSE|FRA|JFK|BOG|
BOG|YIN,|YIN|URC|TSE|FRA|JFK|BOG|
BOG|ENH,|ENH|WUH|PEK|ORD|MIA|BOG|
BOG|ENY,|ENY|XIY|PEK|ORD|MIA|BOG|
BOG|WXN,|WXN|XIY|PEK|ORD|MIA|BOG|
BOG|BLL,|BLL|IST|ZRH|MIA|BOG|
BOG|ESB,|ESB|VIE|JFK|BOG|
BOG|SAW,|SAW|FRA|JFK|BOG|
BOG|HAM,|HAM|EWR|BOG|
BOG|HRE,|HRE|ADD|JED|FRA|JFK|BOG|
BOG|JUB,|JUB|CAI|JFK|BOG|
BOG|SSG,|SSG|DLA|BRU|JFK|BOG|
BOG|BGW,|BGW|ESB|VIE|JFK|BOG|
BOG|EBL,|EBL|IST|ZRH|MIA|BOG|
BOG|VKO,|VKO|IST|ZRH|MIA|BOG|
BOG|MCT,|MCT|IST|ZRH|MIA|BOG|
BOG|AYT,|AYT|IST|ZRH|MIA|BOG|
BOG|SCQ,|SCQ|BIO|IST|ZRH|MIA|BOG|
BOG|AAL,|AAL|IST|ZRH|MIA|BOG|
BOG|AOE,|AOE|BRU|JFK|BOG|
BOG|JNB,|JNB|JFK|BOG|
BOG|LBV,|LBV|DLA|BRU|JFK|BOG|
BOG|ADA,|ADA|IST|ZRH|MIA|BOG|
BOG|ADB,|ADB|HAM|EWR|BOG|
BOG|ADF,|ADF|ESB|VIE|JFK|BOG|
BOG|AJI,|AJI|ESB|VIE|JFK|BOG|
BOG|BAL,|BAL|ESB|VIE|JFK|BOG|
BOG|BJV,|BJV|IST|ZRH|MIA|BOG|
BOG|CKZ,|CKZ|ESB|VIE|JFK|BOG|
BOG|DIY,|DIY|ESB|VIE|JFK|BOG|
BOG|ECN,|ECN|IST|ZRH|MIA|BOG|
BOG|ERC,|ERC|ESB|VIE|JFK|BOG|
BOG|ERZ,|ERZ|ESB|VIE|JFK|BOG|
BOG|EZS,|EZS|ESB|VIE|JFK|BOG|
BOG|GNY,|GNY|ESB|VIE|JFK|BOG|
BOG|GZP,|GZP|ESB|VIE|JFK|BOG|
BOG|GZT,|GZT|ESB|VIE|JFK|BOG|
BOG|HTY,|HTY|IST|ZRH|MIA|BOG|
BOG|KCM,|KCM|ESB|VIE|JFK|BOG|
BOG|KSY,|KSY|ESB|VIE|JFK|BOG|
BOG|MLX,|MLX|ESB|VIE|JFK|BOG|
BOG|MQM,|MQM|ESB|VIE|JFK|BOG|
BOG|MSR,|MSR|ESB|VIE|JFK|BOG|
BOG|TEQ,|TEQ|ESB|VIE|JFK|BOG|
BOG|TZX,|TZX|ESB|VIE|JFK|BOG|
BOG|VAN,|VAN|ESB|VIE|JFK|BOG|
BOG|ULN,|ULN|FRU|IST|ZRH|MIA|BOG|
BOG|HIJ,|HIJ|ICN|YVR|IAH|BOG|
BOG|VVO,|VVO|ICN|YVR|IAH|BOG|
