MBA|YXC,|YXC|YYC|FRA|IST|MBA|
MBA|YXJ,|YXJ|YYC|FRA|IST|MBA|
MBA|YXS,|YXS|YYC|FRA|IST|MBA|
MBA|YXT,|YXT|YVR|MUC|IST|MBA|
MBA|YXY,|YXY|YVR|MUC|IST|MBA|
MBA|YYD,|YYD|YVR|MUC|IST|MBA|
MBA|YYF,|YYF|YVR|MUC|IST|MBA|
MBA|YZP,|YZP|YVR|MUC|IST|MBA|
MBA|YQT,|YQT|YYZ|IST|MBA|
MBA|SJD,|SJD|ORD|IST|MBA|
MBA|YQF,|YQF|YYC|FRA|IST|MBA|
MBA|YQL,|YQL|YYC|FRA|IST|MBA|
MBA|YXH,|YXH|YYC|FRA|IST|MBA|
MBA|YWK,|YWK|YYR|YYT|LHR|IST|MBA|
MBA|ANU,|ANU|EWR|BHX|IST|MBA|
MBA|AUA,|AUA|EWR|BHX|IST|MBA|
MBA|AUH,|AUH|IST|MBA|
MBA|BCN,|BCN|IST|MBA|
MBA|BDA,|BDA|EWR|BHX|IST|MBA|
MBA|BGI,|BGI|YYZ|IST|MBA|
MBA|BNA,|BNA|YYZ|IST|MBA|
MBA|BOG,|BOG|MIA|ZRH|IST|MBA|
MBA|BWI,|BWI|EWR|BHX|IST|MBA|
MBA|CLE,|CLE|YYZ|IST|MBA|
MBA|CLT,|CLT|EWR|BHX|IST|MBA|
MBA|CMH,|CMH|YYZ|IST|MBA|
MBA|CVG,|CVG|YYZ|IST|MBA|
MBA|DFW,|DFW|ORD|IST|MBA|
MBA|DTW,|DTW|FRA|IST|MBA|
MBA|DUB,|DUB|IST|MBA|
MBA|FCO,|FCO|IST|MBA|
MBA|GCM,|GCM|EWR|BHX|IST|MBA|
MBA|GGT,|GGT|FLL|MCO|FRA|IST|MBA|
MBA|GND,|GND|YYZ|IST|MBA|
MBA|GRU,|GRU|IST|MBA|
MBA|HAV,|HAV|YYZ|IST|MBA|
MBA|IND,|IND|YYZ|IST|MBA|
MBA|JFK,|JFK|IST|MBA|
MBA|KIN,|KIN|YYZ|IST|MBA|
MBA|LIM,|LIM|MIA|ZRH|IST|MBA|
MBA|LIR,|LIR|EWR|BHX|IST|MBA|
MBA|MCI,|MCI|ORD|IST|MBA|
MBA|MDT,|MDT|IAD|IST|MBA|
MBA|MIA,|MIA|ZRH|IST|MBA|
MBA|MKE,|MKE|YYZ|IST|MBA|
MBA|MSP,|MSP|YUL|FRA|IST|MBA|
MBA|NAS,|NAS|EWR|BHX|IST|MBA|
MBA|PHL,|PHL|IAD|IST|MBA|
MBA|PHX,|PHX|DEN|FRA|IST|MBA|
MBA|PIT,|PIT|YYZ|IST|MBA|
MBA|PLS,|PLS|EWR|BHX|IST|MBA|
MBA|POP,|POP|EWR|BHX|IST|MBA|
MBA|RDU,|RDU|EWR|BHX|IST|MBA|
MBA|ROC,|ROC|YYZ|IST|MBA|
MBA|RSW,|RSW|MCO|FRA|IST|MBA|
