TRD|BDA,|BDA|EWR|OSL|CPH|TRD|
TRD|BGI,|BGI|YYZ|CPH|TRD|
TRD|BNA,|BNA|YYZ|CPH|TRD|
TRD|BOG,|BOG|EWR|OSL|CPH|TRD|
TRD|BWI,|BWI|EWR|OSL|CPH|TRD|
TRD|CLE,|CLE|YYZ|CPH|TRD|
TRD|CLT,|CLT|YYZ|CPH|TRD|
TRD|CMH,|CMH|YYZ|CPH|TRD|
TRD|CVG,|CVG|YYZ|CPH|TRD|
TRD|DFW,|DFW|YYZ|CPH|TRD|
TRD|DTW,|DTW|YYZ|CPH|TRD|
TRD|DUB,|DUB|IST|CPH|TRD|
TRD|FCO,|FCO|IST|CPH|TRD|
TRD|GCM,|GCM|EWR|OSL|CPH|TRD|
TRD|GGT,|GGT|YYZ|CPH|TRD|
TRD|GND,|GND|YYZ|CPH|TRD|
TRD|GRU,|GRU|IST|CPH|TRD|
TRD|HAV,|HAV|YYZ|CPH|TRD|
TRD|IND,|IND|YYZ|CPH|TRD|
TRD|JFK,|JFK|YYZ|CPH|TRD|
TRD|KIN,|KIN|YYZ|CPH|TRD|
TRD|LIM,|LIM|EWR|OSL|CPH|TRD|
TRD|LIR,|LIR|EWR|OSL|CPH|TRD|
TRD|MCI,|MCI|YYZ|CPH|TRD|
TRD|MDT,|MDT|YYZ|CPH|TRD|
TRD|MIA,|MIA|EWR|OSL|CPH|TRD|
TRD|MKE,|MKE|YYZ|CPH|TRD|
TRD|MSP,|MSP|YYZ|CPH|TRD|
TRD|NAS,|NAS|EWR|OSL|CPH|TRD|
TRD|PHL,|PHL|YYZ|CPH|TRD|
TRD|PHX,|PHX|YYZ|CPH|TRD|
TRD|PIT,|PIT|YYZ|CPH|TRD|
TRD|PLS,|PLS|EWR|OSL|CPH|TRD|
TRD|POP,|POP|EWR|OSL|CPH|TRD|
TRD|RDU,|RDU|EWR|OSL|CPH|TRD|
TRD|ROC,|ROC|YYZ|CPH|TRD|
TRD|RSW,|RSW|EWR|OSL|CPH|TRD|
TRD|SAN,|SAN|YYZ|CPH|TRD|
TRD|SJO,|SJO|EWR|OSL|CPH|TRD|
TRD|STL,|STL|YYZ|CPH|TRD|
TRD|SYR,|SYR|YYZ|CPH|TRD|
TRD|TLV,|TLV|IST|CPH|TRD|
TRD|TPA,|TPA|YYZ|CPH|TRD|
TRD|UVF,|UVF|EWR|OSL|CPH|TRD|
TRD|VIE,|VIE|IST|CPH|TRD|
TRD|YAM,|YAM|YYZ|CPH|TRD|
TRD|YGK,|YGK|YYZ|CPH|TRD|
TRD|YQG,|YQG|YYZ|CPH|TRD|
TRD|YSB,|YSB|YYZ|CPH|TRD|
TRD|YTS,|YTS|YYZ|CPH|TRD|
TRD|YYB,|YYB|YYZ|CPH|TRD|
TRD|YZR,|YZR|YYZ|CPH|TRD|
TRD|CAN,|CAN|AMS|CPH|TRD|
TRD|URC,|URC|IST|CPH|TRD|
TRD|CTU,|CTU|AMS|CPH|TRD|
TRD|HGH,|HGH|AMS|CPH|TRD|
TRD|XMN,|XMN|AMS|CPH|TRD|
TRD|CGO,|CGO|PEK|AMS|CPH|TRD|
TRD|CSX,|CSX|CTU|AMS|CPH|TRD|
TRD|SHE,|SHE|PEK|AMS|CPH|TRD|
TRD|SJW,|SJW|URC|IST|CPH|TRD|
TRD|WUH,|WUH|URC|IST|CPH|TRD|
TRD|SZX,|SZX|CTU|AMS|CPH|TRD|
TRD|CKG,|CKG|URC|IST|CPH|TRD|
TRD|KMG,|KMG|CTU|AMS|CPH|TRD|
TRD|FOC,|FOC|HGH|AMS|CPH|TRD|
TRD|NNG,|NNG|KWE|CTU|AMS|CPH|TRD|
TRD|SWA,|SWA|CTU|AMS|CPH|TRD|
TRD|ACX,|ACX|CAN|AMS|CPH|TRD|
TRD|AQG,|AQG|CAN|AMS|CPH|TRD|
TRD|AVA,|AVA|CAN|AMS|CPH|TRD|
TRD|BFJ,|BFJ|CAN|AMS|CPH|TRD|
TRD|BHY,|BHY|KMG|CTU|AMS|CPH|TRD|
TRD|BNE,|BNE|BKK|IST|CPH|TRD|
TRD|CGD,|CGD|PEK|AMS|CPH|TRD|
TRD|CGK,|CGK|SIN|IST|CPH|TRD|
TRD|CGQ,|CGQ|PEK|AMS|CPH|TRD|
TRD|CIH,|CIH|PEK|AMS|CPH|TRD|
TRD|CNX,|CNX|CAN|AMS|CPH|TRD|
TRD|CZX,|CZX|TYN|URC|IST|CPH|TRD|
TRD|DAC,|DAC|IST|CPH|TRD|
TRD|DAD,|DAD|CAN|AMS|CPH|TRD|
TRD|DEL,|DEL|IST|CPH|TRD|
TRD|DIG,|DIG|KMG|CTU|AMS|CPH|TRD|
TRD|DLC,|DLC|PEK|AMS|CPH|TRD|
TRD|DPS,|DPS|CAN|AMS|CPH|TRD|
TRD|DXB,|DXB|IST|CPH|TRD|
TRD|DYG,|DYG|CSX|CTU|AMS|CPH|TRD|
TRD|FUG,|FUG|CAN|AMS|CPH|TRD|
TRD|FUK,|FUK|ICN|PEK|AMS|CPH|TRD|
TRD|HAK,|HAK|CTU|AMS|CPH|TRD|
