MED|RDU,|RDU|EWR|BHX|IST|MED|
MED|ROC,|ROC|YYZ|IST|MED|
MED|RSW,|RSW|MCO|FRA|IST|MED|
MED|SAN,|SAN|LAX|IST|MED|
MED|SJO,|SJO|EWR|BHX|IST|MED|
MED|STL,|STL|ORD|IST|MED|
MED|SYR,|SYR|EWR|BHX|IST|MED|
MED|TLV,|TLV|IST|MED|
MED|TPA,|TPA|EWR|BHX|IST|MED|
MED|UVF,|UVF|EWR|BHX|IST|MED|
MED|VIE,|VIE|IST|MED|
MED|YAM,|YAM|YYZ|IST|MED|
MED|YGK,|YGK|YYZ|IST|MED|
MED|YQG,|YQG|YYZ|IST|MED|
MED|YSB,|YSB|YYZ|IST|MED|
MED|YTS,|YTS|YYZ|IST|MED|
MED|YYB,|YYB|YYZ|IST|MED|
MED|YZR,|YZR|YYZ|IST|MED|
MED|CAN,|CAN|IST|MED|
MED|URC,|URC|IST|MED|
MED|CTU,|CTU|URC|IST|MED|
MED|HGH,|HGH|URC|IST|MED|
MED|XMN,|XMN|CSX|URC|IST|MED|
MED|CGO,|CGO|URC|IST|MED|
MED|CSX,|CSX|URC|IST|MED|
MED|SHE,|SHE|PEK|IST|MED|
MED|SJW,|SJW|URC|IST|MED|
MED|WUH,|WUH|URC|IST|MED|
MED|SZX,|SZX|CKG|URC|IST|MED|
MED|CKG,|CKG|URC|IST|MED|
MED|KMG,|KMG|CTU|URC|IST|MED|
MED|FOC,|FOC|XIY|URC|IST|MED|
MED|NNG,|NNG|KWE|URC|IST|MED|
MED|SWA,|SWA|CAN|IST|MED|
MED|ACX,|ACX|CAN|IST|MED|
MED|AQG,|AQG|CAN|IST|MED|
MED|AVA,|AVA|CAN|IST|MED|
MED|BFJ,|BFJ|CAN|IST|MED|
MED|BHY,|BHY|CKG|URC|IST|MED|
MED|BNE,|BNE|BKK|IST|MED|
MED|CGD,|CGD|PEK|IST|MED|
MED|CGK,|CGK|SIN|IST|MED|
MED|CGQ,|CGQ|HET|URC|IST|MED|
MED|CIH,|CIH|PEK|IST|MED|
MED|CNX,|CNX|CAN|IST|MED|
MED|CZX,|CZX|TYN|URC|IST|MED|
MED|DAC,|DAC|IST|MED|
MED|DAD,|DAD|CAN|IST|MED|
MED|DEL,|DEL|IST|MED|
MED|DIG,|DIG|KMG|CTU|URC|IST|MED|
MED|DLC,|DLC|PEK|IST|MED|
MED|DPS,|DPS|CAN|IST|MED|
MED|DXB,|DXB|IST|MED|
MED|DYG,|DYG|CSX|URC|IST|MED|
MED|FUG,|FUG|CAN|IST|MED|
MED|FUK,|FUK|ICN|IST|MED|
MED|HAK,|HAK|CTU|URC|IST|MED|
MED|HAN,|HAN|CAN|IST|MED|
MED|HDG,|HDG|CAN|IST|MED|
MED|HET,|HET|URC|IST|MED|
MED|HFE,|HFE|XIY|URC|IST|MED|
MED|HJJ,|HJJ|CSX|URC|IST|MED|
MED|HKT,|HKT|KWE|URC|IST|MED|
MED|HRB,|HRB|PEK|IST|MED|
MED|HZH,|HZH|CAN|IST|MED|
MED|JIU,|JIU|CAN|IST|MED|
MED|JJN,|JJN|CSX|URC|IST|MED|
MED|JNG,|JNG|CAN|IST|MED|
MED|KHN,|KHN|XIY|URC|IST|MED|
MED|KIX,|KIX|IST|MED|
MED|KOW,|KOW|CAN|IST|MED|
MED|KTM,|KTM|IST|MED|
MED|KUL,|KUL|IST|MED|
MED|KWE,|KWE|URC|IST|MED|
MED|KWL,|KWL|CKG|URC|IST|MED|
MED|LHW,|LHW|URC|IST|MED|
MED|LYA,|LYA|KHN|XIY|URC|IST|MED|
MED|LYG,|LYG|XUZ|INC|URC|IST|MED|
MED|LZH,|LZH|CAN|IST|MED|
MED|MEL,|MEL|BKK|IST|MED|
MED|MIG,|MIG|CSX|URC|IST|MED|
MED|MLE,|MLE|IST|MED|
MED|MNL,|MNL|CAN|IST|MED|
MED|MXZ,|MXZ|CAN|IST|MED|
MED|NAO,|NAO|PEK|IST|MED|
MED|NGB,|NGB|WUH|URC|IST|MED|
MED|NKG,|NKG|URC|IST|MED|
MED|NNY,|NNY|CGO|URC|IST|MED|
MED|PEN,|PEN|CAN|IST|MED|
MED|PER,|PER|BKK|IST|MED|
MED|PNH,|PNH|CAN|IST|MED|
MED|REP,|REP|CAN|IST|MED|
MED|RGN,|RGN|CAN|IST|MED|
MED|SGN,|SGN|BKK|IST|MED|
MED|SHA,|SHA|URC|IST|MED|
MED|SIN,|SIN|IST|MED|
MED|SVO,|SVO|URC|IST|MED|
MED|SYX,|SYX|CKG|URC|IST|MED|
MED|TAO,|TAO|TYN|URC|IST|MED|
MED|TEN,|TEN|CAN|IST|MED|
MED|TNA,|TNA|URC|IST|MED|
MED|TPE,|TPE|URC|IST|MED|
MED|TSN,|TSN|HET|URC|IST|MED|
MED|TXN,|TXN|TYN|URC|IST|MED|
MED|TYN,|TYN|URC|IST|MED|
MED|WNZ,|WNZ|XIY|URC|IST|MED|
MED|WUX,|WUX|CAN|IST|MED|
MED|XFN,|XFN|CAN|IST|MED|
MED|XIY,|XIY|URC|IST|MED|
MED|XUZ,|XUZ|INC|URC|IST|MED|
MED|YIH,|YIH|CKG|URC|IST|MED|
MED|YIW,|YIW|URC|IST|MED|
MED|YNT,|YNT|SHE|PEK|IST|MED|
MED|YNZ,|YNZ|WUH|URC|IST|MED|
MED|YTY,|YTY|CGO|URC|IST|MED|
MED|ZHA,|ZHA|CAN|IST|MED|
