ELH|JFK,|JFK|IAD|FLL|ELH|
ELH|KIN,|KIN|YYZ|FLL|ELH|
ELH|LIM,|LIM|MIA|MSY|TPA|PBI|ELH|
ELH|LIR,|LIR|IAH|PBI|ELH|
ELH|MCI,|MCI|TPA|PBI|ELH|
ELH|MDT,|MDT|IAD|FLL|ELH|
ELH|MIA,|MIA|MSY|TPA|PBI|ELH|
ELH|MKE,|MKE|ATL|PBI|ELH|
ELH|MSP,|MSP|ATL|PBI|ELH|
ELH|NAS,|NAS|ATL|PBI|ELH|
ELH|PHL,|PHL|FLL|ELH|
ELH|PHX,|PHX|TPA|PBI|ELH|
ELH|PIT,|PIT|FLL|ELH|
ELH|PLS,|PLS|EWR|PBI|ELH|
ELH|POP,|POP|EWR|PBI|ELH|
ELH|RDU,|RDU|FLL|ELH|
ELH|ROC,|ROC|BWI|PBI|ELH|
ELH|RSW,|RSW|EYW|FLL|ELH|
ELH|SAN,|SAN|IAH|PBI|ELH|
ELH|SJO,|SJO|IAH|PBI|ELH|
ELH|STL,|STL|ATL|PBI|ELH|
ELH|SYR,|SYR|IAD|FLL|ELH|
ELH|TLV,|TLV|EWR|PBI|ELH|
ELH|TPA,|TPA|PBI|ELH|
ELH|UVF,|UVF|EWR|PBI|ELH|
ELH|VIE,|VIE|IAD|FLL|ELH|
ELH|YAM,|YAM|YYZ|FLL|ELH|
ELH|YGK,|YGK|YYZ|FLL|ELH|
ELH|YQG,|YQG|YYZ|FLL|ELH|
ELH|YSB,|YSB|YYZ|FLL|ELH|
ELH|YTS,|YTS|YYZ|FLL|ELH|
ELH|YYB,|YYB|YYZ|FLL|ELH|
ELH|YZR,|YZR|YYZ|FLL|ELH|
ELH|CAN,|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|URC,|URC|TSE|FRA|EWR|PBI|ELH|
ELH|CTU,|CTU|PEK|ORD|ATL|PBI|ELH|
ELH|HGH,|HGH|PEK|ORD|ATL|PBI|ELH|
ELH|XMN,|XMN|PEK|ORD|ATL|PBI|ELH|
ELH|CGO,|CGO|PEK|ORD|ATL|PBI|ELH|
ELH|CSX,|CSX|PEK|ORD|ATL|PBI|ELH|
ELH|SHE,|SHE|PEK|ORD|ATL|PBI|ELH|
ELH|SJW,|SJW|DLC|PEK|ORD|ATL|PBI|ELH|
ELH|WUH,|WUH|PEK|ORD|ATL|PBI|ELH|
ELH|SZX,|SZX|PEK|ORD|ATL|PBI|ELH|
ELH|CKG,|CKG|PEK|ORD|ATL|PBI|ELH|
ELH|KMG,|KMG|PEK|ORD|ATL|PBI|ELH|
ELH|FOC,|FOC|PEK|ORD|ATL|PBI|ELH|
ELH|NNG,|NNG|PEK|ORD|ATL|PBI|ELH|
ELH|SWA,|SWA|PEK|ORD|ATL|PBI|ELH|
ELH|ACX,|ACX|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|AQG,|AQG|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|AVA,|AVA|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|BFJ,|BFJ|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|BHY,|BHY|CGO|PEK|ORD|ATL|PBI|ELH|
ELH|BNE,|BNE|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|CGD,|CGD|PEK|ORD|ATL|PBI|ELH|
ELH|CGK,|CGK|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|CGQ,|CGQ|PEK|ORD|ATL|PBI|ELH|
ELH|CIH,|CIH|PEK|ORD|ATL|PBI|ELH|
ELH|CNX,|CNX|CAN|PEK|ORD|ATL|PBI|ELH|
ELH|CZX,|CZX|SHE|PEK|ORD|ATL|PBI|ELH|
