TGO|STL,|STL|ORD|PEK|DLC|HET|TGO|
TGO|SYR,|SYR|YYZ|PEK|DLC|HET|TGO|
TGO|TLV,|TLV|SAW|TBS|URC|HET|TGO|
TGO|TPA,|TPA|ORD|PEK|DLC|HET|TGO|
TGO|UVF,|UVF|EWR|PEK|DLC|HET|TGO|
TGO|VIE,|VIE|IST|URC|HET|TGO|
TGO|YAM,|YAM|YYZ|PEK|DLC|HET|TGO|
TGO|YGK,|YGK|YYZ|PEK|DLC|HET|TGO|
TGO|YQG,|YQG|YYZ|PEK|DLC|HET|TGO|
TGO|YSB,|YSB|YYZ|PEK|DLC|HET|TGO|
TGO|YTS,|YTS|YYZ|PEK|DLC|HET|TGO|
TGO|YYB,|YYB|YYZ|PEK|DLC|HET|TGO|
TGO|YZR,|YZR|YYZ|PEK|DLC|HET|TGO|
TGO|CAN,|CAN|HET|TGO|
TGO|URC,|URC|HET|TGO|
TGO|CTU,|CTU|XIY|INC|HET|TGO|
TGO|HGH,|HGH|HET|TGO|
TGO|XMN,|XMN|NKG|HET|TGO|
TGO|CGO,|CGO|INC|HET|TGO|
TGO|CSX,|CSX|HET|TGO|
TGO|SHE,|SHE|HET|TGO|
TGO|SJW,|SJW|DLC|HET|TGO|
TGO|WUH,|WUH|TNA|HET|TGO|
TGO|SZX,|SZX|CSX|HET|TGO|
TGO|CKG,|CKG|XIY|INC|HET|TGO|
TGO|KMG,|KMG|XIY|INC|HET|TGO|
TGO|FOC,|FOC|NKG|HET|TGO|
TGO|NNG,|NNG|CSX|HET|TGO|
TGO|SWA,|SWA|CSX|HET|TGO|
TGO|ACX,|ACX|CAN|HET|TGO|
TGO|AQG,|AQG|CAN|HET|TGO|
TGO|AVA,|AVA|CAN|HET|TGO|
TGO|BFJ,|BFJ|CAN|HET|TGO|
TGO|BHY,|BHY|CSX|HET|TGO|
TGO|BNE,|BNE|CAN|HET|TGO|
TGO|CGD,|CGD|CAN|HET|TGO|
TGO|CGK,|CGK|CAN|HET|TGO|
TGO|CGQ,|CGQ|HET|TGO|
TGO|CIH,|CIH|PEK|DLC|HET|TGO|
TGO|CNX,|CNX|CAN|HET|TGO|
TGO|CZX,|CZX|TYN|INC|HET|TGO|
TGO|DAC,|DAC|CAN|HET|TGO|
TGO|DAD,|DAD|CAN|HET|TGO|
TGO|DEL,|DEL|CAN|HET|TGO|
TGO|DIG,|DIG|KMG|XIY|INC|HET|TGO|
TGO|DLC,|DLC|HET|TGO|
TGO|DPS,|DPS|CAN|HET|TGO|
TGO|DXB,|DXB|CAN|HET|TGO|
TGO|DYG,|DYG|CSX|HET|TGO|
TGO|FUG,|FUG|CAN|HET|TGO|
TGO|FUK,|FUK|ICN|DLC|HET|TGO|
TGO|HAK,|HAK|CSX|HET|TGO|
TGO|HAN,|HAN|CAN|HET|TGO|
TGO|HDG,|HDG|CAN|HET|TGO|
TGO|HET,|HET|TGO|
TGO|HFE,|HFE|XIY|INC|HET|TGO|
TGO|HJJ,|HJJ|CSX|HET|TGO|
TGO|HKT,|HKT|KWE|XIY|INC|HET|TGO|
TGO|HRB,|HRB|TSN|HET|TGO|
TGO|HZH,|HZH|CAN|HET|TGO|
TGO|JIU,|JIU|CAN|HET|TGO|
TGO|JJN,|JJN|NKG|HET|TGO|
TGO|JNG,|JNG|CAN|HET|TGO|
TGO|KHN,|KHN|NKG|HET|TGO|
TGO|KIX,|KIX|DLC|HET|TGO|
TGO|KOW,|KOW|CAN|HET|TGO|
TGO|KTM,|KTM|CAN|HET|TGO|
TGO|KUL,|KUL|CAN|HET|TGO|
TGO|KWE,|KWE|XIY|INC|HET|TGO|
TGO|KWL,|KWL|TNA|HET|TGO|
TGO|LHW,|LHW|TNA|HET|TGO|
TGO|LYA,|LYA|KHN|NKG|HET|TGO|
TGO|LYG,|LYG|XUZ|INC|HET|TGO|
TGO|LZH,|LZH|CAN|HET|TGO|
TGO|MEL,|MEL|CAN|HET|TGO|
TGO|MIG,|MIG|CSX|HET|TGO|
TGO|MLE,|MLE|CAN|HET|TGO|
TGO|MNL,|MNL|XMN|NKG|HET|TGO|
TGO|MXZ,|MXZ|CAN|HET|TGO|
TGO|NAO,|NAO|PEK|DLC|HET|TGO|
TGO|NGB,|NGB|TAO|HET|TGO|
TGO|NKG,|NKG|HET|TGO|
TGO|NNY,|NNY|CGO|INC|HET|TGO|
TGO|PEN,|PEN|CAN|HET|TGO|
TGO|PER,|PER|CAN|HET|TGO|
TGO|PNH,|PNH|CAN|HET|TGO|
TGO|REP,|REP|CAN|HET|TGO|
TGO|RGN,|RGN|CAN|HET|TGO|
TGO|SGN,|SGN|CAN|HET|TGO|
TGO|SHA,|SHA|WUH|TNA|HET|TGO|
TGO|SIN,|SIN|CAN|HET|TGO|
TGO|SVO,|SVO|URC|HET|TGO|
TGO|SYX,|SYX|CSX|HET|TGO|
TGO|TAO,|TAO|HET|TGO|
TGO|TEN,|TEN|CAN|HET|TGO|
TGO|TNA,|TNA|HET|TGO|
TGO|TPE,|TPE|PVG|TAO|HET|TGO|
TGO|TSN,|TSN|HET|TGO|
TGO|TXN,|TXN|TAO|HET|TGO|
TGO|TYN,|TYN|INC|HET|TGO|
TGO|WNZ,|WNZ|WUH|TNA|HET|TGO|
TGO|WUX,|WUX|CAN|HET|TGO|
