AQJ|DFW,|DFW|ORD|IST|AQJ|
AQJ|DTW,|DTW|FRA|IST|AQJ|
AQJ|DUB,|DUB|IST|AQJ|
AQJ|FCO,|FCO|IST|AQJ|
AQJ|GCM,|GCM|EWR|BHX|IST|AQJ|
AQJ|GGT,|GGT|FLL|MCO|FRA|IST|AQJ|
AQJ|GND,|GND|YYZ|IST|AQJ|
AQJ|GRU,|GRU|IST|AQJ|
AQJ|HAV,|HAV|YYZ|IST|AQJ|
AQJ|IND,|IND|YYZ|IST|AQJ|
AQJ|JFK,|JFK|IST|AQJ|
AQJ|KIN,|KIN|YYZ|IST|AQJ|
AQJ|LIM,|LIM|MIA|ZRH|IST|AQJ|
AQJ|LIR,|LIR|EWR|BHX|IST|AQJ|
AQJ|MCI,|MCI|ORD|IST|AQJ|
AQJ|MDT,|MDT|IAD|IST|AQJ|
AQJ|MIA,|MIA|ZRH|IST|AQJ|
AQJ|MKE,|MKE|YYZ|IST|AQJ|
AQJ|MSP,|MSP|YUL|FRA|IST|AQJ|
AQJ|NAS,|NAS|EWR|BHX|IST|AQJ|
AQJ|PHL,|PHL|IAD|IST|AQJ|
AQJ|PHX,|PHX|DEN|FRA|IST|AQJ|
AQJ|PIT,|PIT|YYZ|IST|AQJ|
AQJ|PLS,|PLS|EWR|BHX|IST|AQJ|
AQJ|POP,|POP|EWR|BHX|IST|AQJ|
AQJ|RDU,|RDU|EWR|BHX|IST|AQJ|
AQJ|ROC,|ROC|YYZ|IST|AQJ|
AQJ|RSW,|RSW|MCO|FRA|IST|AQJ|
AQJ|SAN,|SAN|LAX|IST|AQJ|
AQJ|SJO,|SJO|EWR|BHX|IST|AQJ|
AQJ|STL,|STL|ORD|IST|AQJ|
AQJ|SYR,|SYR|EWR|BHX|IST|AQJ|
AQJ|TLV,|TLV|IST|AQJ|
AQJ|TPA,|TPA|EWR|BHX|IST|AQJ|
AQJ|UVF,|UVF|EWR|BHX|IST|AQJ|
AQJ|VIE,|VIE|IST|AQJ|
AQJ|YAM,|YAM|YYZ|IST|AQJ|
AQJ|YGK,|YGK|YYZ|IST|AQJ|
AQJ|YQG,|YQG|YYZ|IST|AQJ|
AQJ|YSB,|YSB|YYZ|IST|AQJ|
AQJ|YTS,|YTS|YYZ|IST|AQJ|
AQJ|YYB,|YYB|YYZ|IST|AQJ|
AQJ|YZR,|YZR|YYZ|IST|AQJ|
AQJ|CAN,|CAN|IST|AQJ|
AQJ|URC,|URC|IST|AQJ|
AQJ|CTU,|CTU|URC|IST|AQJ|
AQJ|HGH,|HGH|URC|IST|AQJ|
AQJ|XMN,|XMN|CSX|URC|IST|AQJ|
AQJ|CGO,|CGO|URC|IST|AQJ|
AQJ|CSX,|CSX|URC|IST|AQJ|
AQJ|SHE,|SHE|PEK|IST|AQJ|
AQJ|SJW,|SJW|URC|IST|AQJ|
AQJ|WUH,|WUH|URC|IST|AQJ|
AQJ|SZX,|SZX|CKG|URC|IST|AQJ|
AQJ|CKG,|CKG|URC|IST|AQJ|
AQJ|KMG,|KMG|CTU|URC|IST|AQJ|
AQJ|FOC,|FOC|XIY|URC|IST|AQJ|
AQJ|NNG,|NNG|KWE|URC|IST|AQJ|
AQJ|SWA,|SWA|CAN|IST|AQJ|
AQJ|ACX,|ACX|CAN|IST|AQJ|
AQJ|AQG,|AQG|CAN|IST|AQJ|
AQJ|AVA,|AVA|CAN|IST|AQJ|
AQJ|BFJ,|BFJ|CAN|IST|AQJ|
AQJ|BHY,|BHY|CKG|URC|IST|AQJ|
AQJ|BNE,|BNE|BKK|IST|AQJ|
AQJ|CGD,|CGD|PEK|IST|AQJ|
AQJ|CGK,|CGK|SIN|IST|AQJ|
AQJ|CGQ,|CGQ|HET|URC|IST|AQJ|
AQJ|CIH,|CIH|PEK|IST|AQJ|
AQJ|CNX,|CNX|CAN|IST|AQJ|
AQJ|CZX,|CZX|TYN|URC|IST|AQJ|
AQJ|DAC,|DAC|IST|AQJ|
AQJ|DAD,|DAD|CAN|IST|AQJ|
AQJ|DEL,|DEL|IST|AQJ|
AQJ|DIG,|DIG|KMG|CTU|URC|IST|AQJ|
AQJ|DLC,|DLC|PEK|IST|AQJ|
AQJ|DPS,|DPS|CAN|IST|AQJ|
AQJ|DXB,|DXB|IST|AQJ|
AQJ|DYG,|DYG|CSX|URC|IST|AQJ|
AQJ|FUG,|FUG|CAN|IST|AQJ|
AQJ|FUK,|FUK|ICN|IST|AQJ|
AQJ|HAK,|HAK|CTU|URC|IST|AQJ|
AQJ|HAN,|HAN|CAN|IST|AQJ|
AQJ|HDG,|HDG|CAN|IST|AQJ|
AQJ|HET,|HET|URC|IST|AQJ|
AQJ|HFE,|HFE|XIY|URC|IST|AQJ|
AQJ|HJJ,|HJJ|CSX|URC|IST|AQJ|
AQJ|HKT,|HKT|KWE|URC|IST|AQJ|
AQJ|HRB,|HRB|PEK|IST|AQJ|
AQJ|HZH,|HZH|CAN|IST|AQJ|
AQJ|JIU,|JIU|CAN|IST|AQJ|
AQJ|JJN,|JJN|CSX|URC|IST|AQJ|
AQJ|JNG,|JNG|CAN|IST|AQJ|
AQJ|KHN,|KHN|XIY|URC|IST|AQJ|
AQJ|KIX,|KIX|IST|AQJ|
AQJ|KOW,|KOW|CAN|IST|AQJ|
AQJ|KTM,|KTM|IST|AQJ|
AQJ|KUL,|KUL|IST|AQJ|
AQJ|KWE,|KWE|URC|IST|AQJ|
AQJ|KWL,|KWL|CKG|URC|IST|AQJ|
AQJ|LHW,|LHW|URC|IST|AQJ|
AQJ|LYA,|LYA|KHN|XIY|URC|IST|AQJ|
AQJ|LYG,|LYG|XUZ|INC|URC|IST|AQJ|
AQJ|LZH,|LZH|CAN|IST|AQJ|
AQJ|MEL,|MEL|BKK|IST|AQJ|
AQJ|MIG,|MIG|CSX|URC|IST|AQJ|
AQJ|MLE,|MLE|IST|AQJ|
AQJ|MNL,|MNL|CAN|IST|AQJ|
AQJ|MXZ,|MXZ|CAN|IST|AQJ|
AQJ|NAO,|NAO|PEK|IST|AQJ|
AQJ|NGB,|NGB|WUH|URC|IST|AQJ|
AQJ|NKG,|NKG|URC|IST|AQJ|
AQJ|NNY,|NNY|CGO|URC|IST|AQJ|
AQJ|PEN,|PEN|CAN|IST|AQJ|
AQJ|PER,|PER|BKK|IST|AQJ|
AQJ|PNH,|PNH|CAN|IST|AQJ|
AQJ|REP,|REP|CAN|IST|AQJ|
AQJ|RGN,|RGN|CAN|IST|AQJ|
AQJ|SGN,|SGN|BKK|IST|AQJ|
AQJ|SHA,|SHA|URC|IST|AQJ|
AQJ|SIN,|SIN|IST|AQJ|
AQJ|SVO,|SVO|URC|IST|AQJ|
AQJ|SYX,|SYX|CKG|URC|IST|AQJ|
AQJ|TAO,|TAO|TYN|URC|IST|AQJ|
AQJ|TEN,|TEN|CAN|IST|AQJ|
AQJ|TNA,|TNA|URC|IST|AQJ|
AQJ|TPE,|TPE|URC|IST|AQJ|
AQJ|TSN,|TSN|HET|URC|IST|AQJ|
AQJ|TXN,|TXN|TYN|URC|IST|AQJ|
AQJ|TYN,|TYN|URC|IST|AQJ|
AQJ|WNZ,|WNZ|XIY|URC|IST|AQJ|
AQJ|WUX,|WUX|CAN|IST|AQJ|
AQJ|XFN,|XFN|CAN|IST|AQJ|
AQJ|XIY,|XIY|URC|IST|AQJ|
AQJ|XUZ,|XUZ|INC|URC|IST|AQJ|
AQJ|YIH,|YIH|CKG|URC|IST|AQJ|
AQJ|YIW,|YIW|URC|IST|AQJ|
AQJ|YNT,|YNT|SHE|PEK|IST|AQJ|
AQJ|YNZ,|YNZ|WUH|URC|IST|AQJ|
AQJ|YTY,|YTY|CGO|URC|IST|AQJ|
AQJ|ZHA,|ZHA|CAN|IST|AQJ|
AQJ|ZYI,|ZYI|CAN|IST|AQJ|
AQJ|BAV,|BAV|URC|IST|AQJ|
AQJ|CJU,|CJU|DLC|PEK|IST|AQJ|
AQJ|DSN,|DSN|CGO|URC|IST|AQJ|
AQJ|HMI,|HMI|URC|IST|AQJ|
AQJ|INC,|INC|URC|IST|AQJ|
AQJ|KHH,|KHH|WUH|URC|IST|AQJ|
AQJ|UYN,|UYN|XIY|URC|IST|AQJ|
AQJ|XNN,|XNN|URC|IST|AQJ|
AQJ|ZUH,|ZUH|KWE|URC|IST|AQJ|
AQJ|YNJ,|YNJ|PEK|IST|AQJ|
AQJ|DAT,|DAT|TYN|URC|IST|AQJ|
AQJ|JHG,|JHG|KMG|CTU|URC|IST|AQJ|
AQJ|LJG,|LJG|KMG|CTU|URC|IST|AQJ|
AQJ|LXA,|LXA|CKG|URC|IST|AQJ|
AQJ|YCU,|YCU|CKG|URC|IST|AQJ|
AQJ|LZO,|LZO|CSX|URC|IST|AQJ|
AQJ|MDG,|MDG|DLC|PEK|IST|AQJ|
AQJ|NGO,|NGO|ICN|IST|AQJ|
AQJ|TOY,|TOY|DLC|PEK|IST|AQJ|
AQJ|MFM,|MFM|XMN|CSX|URC|IST|AQJ|
AQJ|TGO,|TGO|HET|URC|IST|AQJ|
AQJ|XIL,|XIL|HET|URC|IST|AQJ|
AQJ|HEK,|HEK|HRB|PEK|IST|AQJ|
AQJ|KIJ,|KIJ|HRB|PEK|IST|AQJ|
AQJ|LDS,|LDS|HRB|PEK|IST|AQJ|
AQJ|OHE,|OHE|HRB|PEK|IST|AQJ|
AQJ|HSN,|HSN|LYG|XUZ|INC|URC|IST|AQJ|
AQJ|DLU,|DLU|KMG|CTU|URC|IST|AQJ|
AQJ|SYM,|SYM|KMG|CTU|URC|IST|AQJ|
AQJ|ZAT,|ZAT|KMG|CTU|URC|IST|AQJ|
AQJ|LUN,|LUN|NBO|IST|AQJ|
AQJ|AOG,|AOG|PEK|IST|AQJ|
AQJ|GMP,|GMP|PEK|IST|AQJ|
AQJ|ISB,|ISB|IST|AQJ|
AQJ|TAS,|TAS|IST|AQJ|
AQJ|WUS,|WUS|PEK|IST|AQJ|
AQJ|JMU,|JMU|PVG|IST|AQJ|
AQJ|NDG,|NDG|PVG|IST|AQJ|
AQJ|JXA,|JXA|SHE|PEK|IST|AQJ|
AQJ|PUS,|PUS|SHE|PEK|IST|AQJ|
AQJ|BKI,|BKI|SZX|CKG|URC|IST|AQJ|
AQJ|AKU,|AKU|URC|IST|AQJ|
AQJ|ALA,|ALA|IST|AQJ|
AQJ|ASB,|ASB|IST|AQJ|
AQJ|DNH,|DNH|URC|IST|AQJ|
AQJ|DYU,|DYU|IST|AQJ|
AQJ|FRU,|FRU|IST|AQJ|
AQJ|GYD,|GYD|IST|AQJ|
AQJ|HTN,|HTN|URC|IST|AQJ|
AQJ|IKA,|IKA|IST|AQJ|
AQJ|KCA,|KCA|URC|IST|AQJ|
AQJ|KHG,|KHG|URC|IST|AQJ|
AQJ|KRL,|KRL|URC|IST|AQJ|
AQJ|KRY,|KRY|URC|IST|AQJ|
AQJ|LBD,|LBD|URC|IST|AQJ|
AQJ|NLT,|NLT|URC|IST|AQJ|
AQJ|OSS,|OSS|IST|AQJ|
AQJ|OVB,|OVB|IST|AQJ|
AQJ|TBS,|TBS|IST|AQJ|
AQJ|TCG,|TCG|URC|IST|AQJ|
AQJ|TSE,|TSE|IST|AQJ|
AQJ|YIN,|YIN|URC|IST|AQJ|
AQJ|ENH,|ENH|WUH|URC|IST|AQJ|
AQJ|ENY,|ENY|XIY|URC|IST|AQJ|
AQJ|WXN,|WXN|XIY|URC|IST|AQJ|
AQJ|BLL,|BLL|IST|AQJ|
AQJ|ESB,|ESB|IST|AQJ|
AQJ|SAW,|SAW|ADB|IST|AQJ|
AQJ|HAM,|HAM|IST|AQJ|
AQJ|HRE,|HRE|ADD|IST|AQJ|
AQJ|JUB,|JUB|CAI|IST|AQJ|
AQJ|SSG,|SSG|DLA|IST|AQJ|
AQJ|BGW,|BGW|IST|AQJ|
AQJ|EBL,|EBL|IST|AQJ|
AQJ|VKO,|VKO|IST|AQJ|
AQJ|MCT,|MCT|IST|AQJ|
AQJ|AYT,|AYT|IST|AQJ|
AQJ|SCQ,|SCQ|BIO|IST|AQJ|
AQJ|AAL,|AAL|IST|AQJ|
AQJ|AOE,|AOE|BRU|IST|AQJ|
AQJ|JNB,|JNB|IST|AQJ|
AQJ|LBV,|LBV|DLA|IST|AQJ|
AQJ|ADA,|ADA|IST|AQJ|
AQJ|ADB,|ADB|IST|AQJ|
AQJ|ADF,|ADF|IST|AQJ|
AQJ|AJI,|AJI|IST|AQJ|
AQJ|BAL,|BAL|IST|AQJ|
AQJ|BJV,|BJV|IST|AQJ|
AQJ|CKZ,|CKZ|ESB|IST|AQJ|
AQJ|DIY,|DIY|IST|AQJ|
AQJ|ECN,|ECN|IST|AQJ|
AQJ|ERC,|ERC|IST|AQJ|
AQJ|ERZ,|ERZ|IST|AQJ|
AQJ|EZS,|EZS|IST|AQJ|
AQJ|GNY,|GNY|IST|AQJ|
AQJ|GZP,|GZP|ESB|IST|AQJ|
AQJ|GZT,|GZT|IST|AQJ|
AQJ|HTY,|HTY|IST|AQJ|
AQJ|KCM,|KCM|IST|AQJ|
AQJ|KSY,|KSY|IST|AQJ|
AQJ|MLX,|MLX|IST|AQJ|
AQJ|MQM,|MQM|IST|AQJ|
AQJ|MSR,|MSR|IST|AQJ|
AQJ|TEQ,|TEQ|ESB|IST|AQJ|
AQJ|TZX,|TZX|IST|AQJ|
AQJ|VAN,|VAN|IST|AQJ|
AQJ|ULN,|ULN|FRU|IST|AQJ|
AQJ|HIJ,|HIJ|ICN|IST|AQJ|
AQJ|VVO,|VVO|ICN|IST|AQJ|
AQJ|ACC,|ACC|IST|AQJ|
AQJ|AER,|AER|IST|AQJ|
AQJ|AGP,|AGP|IST|AQJ|
AQJ|ALG,|ALG|IST|AQJ|
AQJ|AMM,|AMM|IST|AQJ|
AQJ|ARN,|ARN|IST|AQJ|
AQJ|ASR,|ASR|IST|AQJ|
AQJ|ATH,|ATH|IST|AQJ|
AQJ|BAH,|BAH|IST|AQJ|
AQJ|BEG,|BEG|IST|AQJ|
AQJ|BEN,|BEN|IST|AQJ|
AQJ|BEY,|BEY|IST|AQJ|
AQJ|BHX,|BHX|IST|AQJ|
AQJ|BIO,|BIO|IST|AQJ|
AQJ|BLQ,|BLQ|IST|AQJ|
AQJ|BOM,|BOM|IST|AQJ|
AQJ|BRE,|BRE|IST|AQJ|
AQJ|BSL,|BSL|IST|AQJ|
AQJ|BSR,|BSR|IST|AQJ|
AQJ|BUD,|BUD|IST|AQJ|
AQJ|BUS,|BUS|IST|AQJ|
AQJ|CAI,|CAI|IST|AQJ|
AQJ|CGN,|CGN|IST|AQJ|
AQJ|CMN,|CMN|IST|AQJ|
AQJ|CND,|CND|IST|AQJ|
AQJ|DAR,|DAR|IST|AQJ|
AQJ|DLM,|DLM|IST|AQJ|
AQJ|DMM,|DMM|IST|AQJ|
