YNJ|HAK,|HAK|CAN|ICN|YNJ|
YNJ|HAN,|HAN|PEK|YNJ|
YNJ|HDG,|HDG|CAN|ICN|YNJ|
YNJ|HET,|HET|CGQ|YNJ|
YNJ|HFE,|HFE|CGQ|YNJ|
YNJ|HJJ,|HJJ|CSX|DLC|YNJ|
YNJ|HKT,|HKT|KWE|CGO|DLC|YNJ|
YNJ|HRB,|HRB|ICN|YNJ|
YNJ|HZH,|HZH|CAN|ICN|YNJ|
YNJ|JIU,|JIU|CAN|ICN|YNJ|
YNJ|JJN,|JJN|HGH|DLC|YNJ|
YNJ|JNG,|JNG|CAN|ICN|YNJ|
YNJ|KHN,|KHN|DLC|YNJ|
YNJ|KIX,|KIX|DLC|YNJ|
YNJ|KOW,|KOW|PEK|YNJ|
YNJ|KTM,|KTM|CAN|ICN|YNJ|
YNJ|KUL,|KUL|PVG|YNJ|
YNJ|KWE,|KWE|CGO|DLC|YNJ|
YNJ|KWL,|KWL|WUH|DLC|YNJ|
YNJ|LHW,|LHW|TNA|DLC|YNJ|
YNJ|LYA,|LYA|KHN|DLC|YNJ|
YNJ|LYG,|LYG|HSN|PEK|YNJ|
YNJ|LZH,|LZH|CAN|ICN|YNJ|
YNJ|MEL,|MEL|SYD|ICN|YNJ|
YNJ|MIG,|MIG|CSX|DLC|YNJ|
YNJ|MLE,|MLE|CAN|ICN|YNJ|
YNJ|MNL,|MNL|XMN|YNZ|DLC|YNJ|
YNJ|MXZ,|MXZ|CAN|ICN|YNJ|
YNJ|NAO,|NAO|PEK|YNJ|
YNJ|NGB,|NGB|DLC|YNJ|
YNJ|NKG,|NKG|DLC|YNJ|
YNJ|NNY,|NNY|CGO|DLC|YNJ|
YNJ|PEN,|PEN|CAN|ICN|YNJ|
YNJ|PER,|PER|CAN|ICN|YNJ|
YNJ|PNH,|PNH|CAN|ICN|YNJ|
YNJ|REP,|REP|ICN|YNJ|
YNJ|RGN,|RGN|CAN|ICN|YNJ|
YNJ|SGN,|SGN|CAN|ICN|YNJ|
YNJ|SHA,|SHA|PEK|YNJ|
YNJ|SIN,|SIN|CAN|ICN|YNJ|
YNJ|SVO,|SVO|URC|HET|CGQ|YNJ|
YNJ|SYX,|SYX|CAN|ICN|YNJ|
YNJ|TAO,|TAO|DLC|YNJ|
YNJ|TEN,|TEN|PEK|YNJ|
YNJ|TNA,|TNA|DLC|YNJ|
YNJ|TPE,|TPE|PVG|YNJ|
YNJ|TSN,|TSN|DLC|YNJ|
YNJ|TXN,|TXN|DLC|YNJ|
YNJ|TYN,|TYN|DLC|YNJ|
YNJ|WNZ,|WNZ|CGO|DLC|YNJ|
YNJ|WUX,|WUX|CAN|ICN|YNJ|
YNJ|XFN,|XFN|XMN|YNZ|DLC|YNJ|
YNJ|XIY,|XIY|DLC|YNJ|
YNJ|XUZ,|XUZ|LYG|HSN|PEK|YNJ|
YNJ|YIH,|YIH|CKG|CGO|DLC|YNJ|
YNJ|YIW,|YIW|PEK|YNJ|
YNJ|YNT,|YNT|SHE|ICN|YNJ|
YNJ|YNZ,|YNZ|DLC|YNJ|
YNJ|YTY,|YTY|DLC|YNJ|
YNJ|ZHA,|ZHA|CAN|ICN|YNJ|
YNJ|ZYI,|ZYI|PEK|YNJ|
YNJ|BAV,|BAV|SJW|DLC|YNJ|
YNJ|CJU,|CJU|CGQ|YNJ|
YNJ|DSN,|DSN|CGO|DLC|YNJ|
YNJ|HMI,|HMI|CGO|DLC|YNJ|
YNJ|INC,|INC|PEK|YNJ|
YNJ|KHH,|KHH|WUH|DLC|YNJ|
YNJ|UYN,|UYN|CGO|DLC|YNJ|
YNJ|XNN,|XNN|PEK|YNJ|
YNJ|ZUH,|ZUH|PVG|YNJ|
YNJ|DAT,|DAT|TYN|DLC|YNJ|
YNJ|JHG,|JHG|KMG|CGO|DLC|YNJ|
YNJ|LJG,|LJG|CKG|CGO|DLC|YNJ|
YNJ|LXA,|LXA|XIY|DLC|YNJ|
YNJ|YCU,|YCU|CSX|DLC|YNJ|
YNJ|LZO,|LZO|CSX|DLC|YNJ|
YNJ|MDG,|MDG|ICN|YNJ|
YNJ|NGO,|NGO|ICN|YNJ|
YNJ|TOY,|TOY|DLC|YNJ|
YNJ|MFM,|MFM|HGH|DLC|YNJ|
YNJ|TGO,|TGO|HET|CGQ|YNJ|
YNJ|XIL,|XIL|HET|CGQ|YNJ|
YNJ|HEK,|HEK|HRB|ICN|YNJ|
YNJ|KIJ,|KIJ|HRB|ICN|YNJ|
YNJ|LDS,|LDS|HRB|ICN|YNJ|
YNJ|OHE,|OHE|HRB|ICN|YNJ|
YNJ|HSN,|HSN|PEK|YNJ|
YNJ|DLU,|DLU|KMG|CGO|DLC|YNJ|
YNJ|SYM,|SYM|KMG|CGO|DLC|YNJ|
YNJ|ZAT,|ZAT|KMG|CGO|DLC|YNJ|
