CCS|PLS,|PLS|EWR|IAH|CCS|
CCS|POP,|POP|EWR|IAH|CCS|
CCS|RDU,|RDU|IAH|CCS|
CCS|ROC,|ROC|CLE|IAH|CCS|
CCS|RSW,|RSW|IAH|CCS|
CCS|SAN,|SAN|IAH|CCS|
CCS|SJO,|SJO|IAH|CCS|
CCS|STL,|STL|IAH|CCS|
CCS|SYR,|SYR|CLE|IAH|CCS|
CCS|TLV,|TLV|YYZ|IAH|CCS|
CCS|TPA,|TPA|IAH|CCS|
CCS|UVF,|UVF|EWR|IAH|CCS|
CCS|VIE,|VIE|YYZ|IAH|CCS|
CCS|YAM,|YAM|YYZ|IAH|CCS|
CCS|YGK,|YGK|YYZ|IAH|CCS|
CCS|YQG,|YQG|YYZ|IAH|CCS|
CCS|YSB,|YSB|YYZ|IAH|CCS|
CCS|YTS,|YTS|YYZ|IAH|CCS|
CCS|YYB,|YYB|YYZ|IAH|CCS|
CCS|YZR,|YZR|YYZ|IAH|CCS|
CCS|CAN,|CAN|YVR|IAH|CCS|
CCS|URC,|URC|PEK|IAH|CCS|
CCS|CTU,|CTU|PEK|IAH|CCS|
CCS|HGH,|HGH|PEK|IAH|CCS|
CCS|XMN,|XMN|PEK|IAH|CCS|
CCS|CGO,|CGO|PEK|IAH|CCS|
CCS|CSX,|CSX|PEK|IAH|CCS|
CCS|SHE,|SHE|ICN|YVR|IAH|CCS|
CCS|SJW,|SJW|DLC|ICN|YVR|IAH|CCS|
CCS|WUH,|WUH|PEK|IAH|CCS|
CCS|SZX,|SZX|PVG|YVR|IAH|CCS|
CCS|CKG,|CKG|PEK|IAH|CCS|
CCS|KMG,|KMG|PEK|IAH|CCS|
CCS|FOC,|FOC|PEK|IAH|CCS|
CCS|NNG,|NNG|PEK|IAH|CCS|
CCS|SWA,|SWA|PEK|IAH|CCS|
CCS|ACX,|ACX|CAN|YVR|IAH|CCS|
CCS|AQG,|AQG|CAN|YVR|IAH|CCS|
CCS|AVA,|AVA|CAN|YVR|IAH|CCS|
CCS|BFJ,|BFJ|CAN|YVR|IAH|CCS|
CCS|BHY,|BHY|CGO|PEK|IAH|CCS|
CCS|BNE,|BNE|CAN|YVR|IAH|CCS|
CCS|CGD,|CGD|PEK|IAH|CCS|
