MNL|HBE,|HBE|IST|CAN|MNL|
MNL|HEL,|HEL|IST|CAN|MNL|
MNL|HRG,|HRG|IST|CAN|MNL|
MNL|IFN,|IFN|IST|CAN|MNL|
MNL|ISE,|ISE|IST|CAN|MNL|
MNL|ISU,|ISU|IST|CAN|MNL|
MNL|JIB,|JIB|IST|CAN|MNL|
MNL|JRO,|JRO|IST|CAN|MNL|
MNL|KAN,|KAN|IST|CAN|MNL|
MNL|KBL,|KBL|IST|CAN|MNL|
MNL|KBP,|KBP|IST|CAN|MNL|
MNL|KFS,|KFS|IST|CAN|MNL|
MNL|KHI,|KHI|IST|CAN|MNL|
MNL|KIV,|KIV|IST|CAN|MNL|
MNL|KRT,|KRT|IST|CAN|MNL|
MNL|KSH,|KSH|IST|CAN|MNL|
MNL|KVD,|KVD|IST|CAN|MNL|
MNL|KWI,|KWI|IST|CAN|MNL|
MNL|KYA,|KYA|IST|CAN|MNL|
MNL|KZN,|KZN|IST|CAN|MNL|
MNL|KZR,|KZR|IST|CAN|MNL|
MNL|LED,|LED|IST|CAN|MNL|
MNL|LEJ,|LEJ|IST|CAN|MNL|
MNL|LGW,|LGW|IST|CAN|MNL|
MNL|LHE,|LHE|IST|CAN|MNL|
MNL|LIS,|LIS|IST|CAN|MNL|
MNL|LJU,|LJU|IST|CAN|MNL|
MNL|LOS,|LOS|IST|CAN|MNL|
MNL|LUX,|LUX|IST|CAN|MNL|
MNL|LWO,|LWO|IST|CAN|MNL|
MNL|LYS,|LYS|IST|CAN|MNL|
MNL|MAD,|MAD|IST|CAN|MNL|
MNL|MAN,|MAN|IST|CAN|MNL|
MNL|MED,|MED|IST|CAN|MNL|
MNL|MHD,|MHD|IST|CAN|MNL|
MNL|MLA,|MLA|IST|CAN|MNL|
MNL|MRS,|MRS|IST|CAN|MNL|
MNL|MSQ,|MSQ|IST|CAN|MNL|
MNL|MXP,|MXP|IST|CAN|MNL|
MNL|MZH,|MZH|IST|CAN|MNL|
MNL|MZR,|MZR|IST|CAN|MNL|
MNL|NAJ,|NAJ|IST|CAN|MNL|
MNL|NAV,|NAV|IST|CAN|MNL|
MNL|NCE,|NCE|IST|CAN|MNL|
MNL|NIM,|NIM|IST|CAN|MNL|
MNL|NJF,|NJF|IST|CAN|MNL|
MNL|NSI,|NSI|IST|CAN|MNL|
MNL|NUE,|NUE|IST|CAN|MNL|
MNL|ODS,|ODS|IST|CAN|MNL|
