MEL|DEL,|DEL|CAN|MEL|
MEL|DIG,|DIG|CAN|MEL|
MEL|DLC,|DLC|CAN|MEL|
MEL|DPS,|DPS|CAN|MEL|
MEL|DXB,|DXB|CAN|MEL|
MEL|DYG,|DYG|CAN|MEL|
MEL|FUG,|FUG|CAN|MEL|
MEL|FUK,|FUK|CAN|MEL|
MEL|HAK,|HAK|CAN|MEL|
MEL|HAN,|HAN|CAN|MEL|
MEL|HDG,|HDG|CAN|MEL|
MEL|HET,|HET|CAN|MEL|
MEL|HFE,|HFE|CAN|MEL|
MEL|HJJ,|HJJ|CAN|MEL|
MEL|HKT,|HKT|CAN|MEL|
MEL|HRB,|HRB|ICN|SYD|MEL|
MEL|HZH,|HZH|CAN|MEL|
MEL|JIU,|JIU|CAN|MEL|
MEL|JJN,|JJN|CAN|MEL|
MEL|JNG,|JNG|CAN|MEL|
MEL|KHN,|KHN|CAN|MEL|
MEL|KIX,|KIX|CAN|MEL|
MEL|KOW,|KOW|CAN|MEL|
MEL|KTM,|KTM|CAN|MEL|
MEL|KUL,|KUL|BKK|MEL|
MEL|KWE,|KWE|CAN|MEL|
MEL|KWL,|KWL|CAN|MEL|
MEL|LHW,|LHW|CAN|MEL|
MEL|LYA,|LYA|CAN|MEL|
MEL|LYG,|LYG|CAN|MEL|
MEL|LZH,|LZH|CAN|MEL|
MEL|MIG,|MIG|CAN|MEL|
MEL|MLE,|MLE|CAN|MEL|
MEL|MNL,|MNL|CAN|MEL|
MEL|MXZ,|MXZ|CAN|MEL|
MEL|NAO,|NAO|CAN|MEL|
MEL|NGB,|NGB|CAN|MEL|
MEL|NKG,|NKG|CAN|MEL|
MEL|NNY,|NNY|CAN|MEL|
MEL|PEN,|PEN|CAN|MEL|
MEL|PER,|PER|BKK|MEL|
MEL|PNH,|PNH|CAN|MEL|
MEL|REP,|REP|CAN|MEL|
MEL|RGN,|RGN|CAN|MEL|
MEL|SGN,|SGN|BKK|MEL|
MEL|SHA,|SHA|CAN|MEL|
MEL|SIN,|SIN|CAN|MEL|
MEL|SVO,|SVO|CAN|MEL|
MEL|SYX,|SYX|CAN|MEL|
MEL|TAO,|TAO|CAN|MEL|
MEL|TEN,|TEN|CAN|MEL|
MEL|TNA,|TNA|CAN|MEL|
