HKT|MSR,|MSR|ESB|SAW|TBS|URC|KWE|HKT|
HKT|TEQ,|TEQ|ESB|SAW|TBS|URC|KWE|HKT|
HKT|TZX,|TZX|SAW|TBS|URC|KWE|HKT|
HKT|VAN,|VAN|SAW|TBS|URC|KWE|HKT|
HKT|ULN,|ULN|FRU|URC|KWE|HKT|
HKT|HIJ,|HIJ|ICN|CAN|HKT|
HKT|VVO,|VVO|ICN|CAN|HKT|
HKT|ACC,|ACC|IST|URC|KWE|HKT|
HKT|AER,|AER|IST|URC|KWE|HKT|
HKT|AGP,|AGP|IST|URC|KWE|HKT|
HKT|ALG,|ALG|IST|URC|KWE|HKT|
HKT|AMM,|AMM|IST|URC|KWE|HKT|
HKT|AQJ,|AQJ|IST|URC|KWE|HKT|
HKT|ARN,|ARN|IST|URC|KWE|HKT|
HKT|ASR,|ASR|SAW|TBS|URC|KWE|HKT|
HKT|ATH,|ATH|IST|URC|KWE|HKT|
HKT|BAH,|BAH|KWI|SAW|TBS|URC|KWE|HKT|
HKT|BEG,|BEG|IST|URC|KWE|HKT|
HKT|BEN,|BEN|IST|URC|KWE|HKT|
HKT|BEY,|BEY|IST|URC|KWE|HKT|
HKT|BHX,|BHX|IST|URC|KWE|HKT|
HKT|BIO,|BIO|IST|URC|KWE|HKT|
HKT|BLQ,|BLQ|IST|URC|KWE|HKT|
HKT|BOM,|BOM|IST|URC|KWE|HKT|
HKT|BRE,|BRE|IST|URC|KWE|HKT|
HKT|BSL,|BSL|IST|URC|KWE|HKT|
HKT|BSR,|BSR|IST|URC|KWE|HKT|
HKT|BUD,|BUD|IST|URC|KWE|HKT|
HKT|BUS,|BUS|IST|URC|KWE|HKT|
HKT|CAI,|CAI|IST|URC|KWE|HKT|
HKT|CGN,|CGN|IST|URC|KWE|HKT|
HKT|CMN,|CMN|IST|URC|KWE|HKT|
HKT|CND,|CND|IST|URC|KWE|HKT|
HKT|DAR,|DAR|NBO|CAN|HKT|
HKT|DLM,|DLM|IST|URC|KWE|HKT|
HKT|DMM,|DMM|IST|URC|KWE|HKT|
