TCG|MDT,|MDT|IAD|FRA|TSE|URC|TCG|
TCG|MIA,|MIA|FRA|TSE|URC|TCG|
TCG|MKE,|MKE|YYZ|FRA|TSE|URC|TCG|
TCG|MSP,|MSP|YUL|FRA|TSE|URC|TCG|
TCG|NAS,|NAS|EWR|FRA|TSE|URC|TCG|
TCG|PHL,|PHL|IAD|FRA|TSE|URC|TCG|
TCG|PHX,|PHX|SEA|PEK|URC|TCG|
TCG|PIT,|PIT|YYZ|FRA|TSE|URC|TCG|
TCG|PLS,|PLS|EWR|FRA|TSE|URC|TCG|
TCG|POP,|POP|EWR|FRA|TSE|URC|TCG|
TCG|RDU,|RDU|EWR|FRA|TSE|URC|TCG|
TCG|ROC,|ROC|YYZ|FRA|TSE|URC|TCG|
TCG|RSW,|RSW|MCO|FRA|TSE|URC|TCG|
TCG|SAN,|SAN|LAX|PEK|URC|TCG|
TCG|SJO,|SJO|EWR|FRA|TSE|URC|TCG|
TCG|STL,|STL|DTW|FRA|TSE|URC|TCG|
TCG|SYR,|SYR|EWR|FRA|TSE|URC|TCG|
TCG|TLV,|TLV|SAW|TBS|URC|TCG|
TCG|TPA,|TPA|EWR|FRA|TSE|URC|TCG|
TCG|UVF,|UVF|EWR|FRA|TSE|URC|TCG|
TCG|VIE,|VIE|IST|URC|TCG|
TCG|YAM,|YAM|YYZ|FRA|TSE|URC|TCG|
TCG|YGK,|YGK|YYZ|FRA|TSE|URC|TCG|
TCG|YQG,|YQG|YYZ|FRA|TSE|URC|TCG|
TCG|YSB,|YSB|YYZ|FRA|TSE|URC|TCG|
TCG|YTS,|YTS|YYZ|FRA|TSE|URC|TCG|
TCG|YYB,|YYB|YYZ|FRA|TSE|URC|TCG|
TCG|YZR,|YZR|YYZ|FRA|TSE|URC|TCG|
TCG|CAN,|CAN|URC|TCG|
TCG|URC,|URC|TCG|
TCG|CTU,|CTU|URC|TCG|
TCG|HGH,|HGH|URC|TCG|
TCG|XMN,|XMN|CSX|URC|TCG|
TCG|CGO,|CGO|URC|TCG|
TCG|CSX,|CSX|URC|TCG|
TCG|SHE,|SHE|HET|URC|TCG|
TCG|SJW,|SJW|URC|TCG|
TCG|WUH,|WUH|URC|TCG|
TCG|SZX,|SZX|CKG|URC|TCG|
TCG|CKG,|CKG|URC|TCG|
TCG|KMG,|KMG|CTU|URC|TCG|
TCG|FOC,|FOC|XIY|URC|TCG|
TCG|NNG,|NNG|KWE|URC|TCG|
TCG|SWA,|SWA|CSX|URC|TCG|
TCG|ACX,|ACX|CAN|URC|TCG|
TCG|AQG,|AQG|CAN|URC|TCG|
TCG|AVA,|AVA|CAN|URC|TCG|
TCG|BFJ,|BFJ|CAN|URC|TCG|
TCG|BHY,|BHY|CKG|URC|TCG|
TCG|BNE,|BNE|CAN|URC|TCG|
TCG|CGD,|CGD|PEK|URC|TCG|
TCG|CGK,|CGK|CAN|URC|TCG|
TCG|CGQ,|CGQ|HET|URC|TCG|
TCG|CIH,|CIH|DAT|TYN|URC|TCG|
TCG|CNX,|CNX|CAN|URC|TCG|
TCG|CZX,|CZX|TYN|URC|TCG|
TCG|DAC,|DAC|CAN|URC|TCG|
TCG|DAD,|DAD|CAN|URC|TCG|
TCG|DEL,|DEL|CAN|URC|TCG|
TCG|DIG,|DIG|KMG|CTU|URC|TCG|
TCG|DLC,|DLC|PEK|URC|TCG|
TCG|DPS,|DPS|CAN|URC|TCG|
TCG|DXB,|DXB|IST|URC|TCG|
TCG|DYG,|DYG|CSX|URC|TCG|
TCG|FUG,|FUG|CAN|URC|TCG|
TCG|FUK,|FUK|ICN|PEK|URC|TCG|
TCG|HAK,|HAK|CTU|URC|TCG|
TCG|HAN,|HAN|CAN|URC|TCG|
TCG|HDG,|HDG|CAN|URC|TCG|
TCG|HET,|HET|URC|TCG|
TCG|HFE,|HFE|XIY|URC|TCG|
TCG|HJJ,|HJJ|CSX|URC|TCG|
TCG|HKT,|HKT|KWE|URC|TCG|
TCG|HRB,|HRB|PEK|URC|TCG|
TCG|HZH,|HZH|CAN|URC|TCG|
TCG|JIU,|JIU|CAN|URC|TCG|
TCG|JJN,|JJN|CSX|URC|TCG|
TCG|JNG,|JNG|CAN|URC|TCG|
TCG|KHN,|KHN|XIY|URC|TCG|
TCG|KIX,|KIX|DLC|PEK|URC|TCG|
TCG|KOW,|KOW|CAN|URC|TCG|
TCG|KTM,|KTM|CAN|URC|TCG|
TCG|KUL,|KUL|BKK|NNG|KWE|URC|TCG|
TCG|KWE,|KWE|URC|TCG|
TCG|KWL,|KWL|CKG|URC|TCG|
TCG|LHW,|LHW|URC|TCG|
TCG|LYA,|LYA|KHN|XIY|URC|TCG|
TCG|LYG,|LYG|XUZ|INC|URC|TCG|
TCG|LZH,|LZH|CAN|URC|TCG|
TCG|MEL,|MEL|CAN|URC|TCG|
TCG|MIG,|MIG|CSX|URC|TCG|
TCG|MLE,|MLE|CAN|URC|TCG|
TCG|MNL,|MNL|CAN|URC|TCG|
TCG|MXZ,|MXZ|CAN|URC|TCG|
TCG|NAO,|NAO|PEK|URC|TCG|
TCG|NGB,|NGB|WUH|URC|TCG|
TCG|NKG,|NKG|URC|TCG|
TCG|NNY,|NNY|CGO|URC|TCG|
TCG|PEN,|PEN|CAN|URC|TCG|
TCG|PER,|PER|CAN|URC|TCG|
TCG|PNH,|PNH|CAN|URC|TCG|
TCG|REP,|REP|CAN|URC|TCG|
TCG|RGN,|RGN|CAN|URC|TCG|
TCG|SGN,|SGN|CAN|URC|TCG|
TCG|SHA,|SHA|URC|TCG|
TCG|SIN,|SIN|CAN|URC|TCG|
TCG|SVO,|SVO|URC|TCG|
TCG|SYX,|SYX|CKG|URC|TCG|
TCG|TAO,|TAO|TYN|URC|TCG|
TCG|TEN,|TEN|CAN|URC|TCG|
TCG|TNA,|TNA|URC|TCG|
TCG|TPE,|TPE|URC|TCG|
TCG|TSN,|TSN|HET|URC|TCG|
TCG|TXN,|TXN|TYN|URC|TCG|
TCG|TYN,|TYN|URC|TCG|
