BFS|PVR,|PVR|EWR|BFS|
BFS|SEA,|SEA|EWR|BFS|
BFS|SYD,|SYD|LAX|EWR|BFS|
BFS|YBL,|YBL|YVR|EWR|BFS|
BFS|YCD,|YCD|YVR|EWR|BFS|
BFS|YCG,|YCG|YYC|EWR|BFS|
BFS|YKA,|YKA|YYC|EWR|BFS|
BFS|YPR,|YPR|YVR|EWR|BFS|
BFS|YQZ,|YQZ|YVR|EWR|BFS|
BFS|YXC,|YXC|YYC|EWR|BFS|
BFS|YXJ,|YXJ|YYC|EWR|BFS|
BFS|YXS,|YXS|YYC|EWR|BFS|
BFS|YXT,|YXT|YVR|EWR|BFS|
BFS|YXY,|YXY|YVR|EWR|BFS|
BFS|YYD,|YYD|YVR|EWR|BFS|
BFS|YYF,|YYF|YVR|EWR|BFS|
BFS|YZP,|YZP|YVR|EWR|BFS|
BFS|YQT,|YQT|YYZ|EWR|BFS|
BFS|SJD,|SJD|EWR|BFS|
BFS|YQF,|YQF|YYC|EWR|BFS|
BFS|YQL,|YQL|YYC|EWR|BFS|
BFS|YXH,|YXH|YYC|EWR|BFS|
BFS|YWK,|YWK|YZV|YQB|EWR|BFS|
BFS|ANU,|ANU|EWR|BFS|
BFS|AUA,|AUA|EWR|BFS|
BFS|AUH,|AUH|FRA|EWR|BFS|
BFS|BCN,|BCN|EWR|BFS|
BFS|BDA,|BDA|EWR|BFS|
BFS|BGI,|BGI|YYZ|EWR|BFS|
BFS|BNA,|BNA|EWR|BFS|
BFS|BOG,|BOG|EWR|BFS|
BFS|BWI,|BWI|EWR|BFS|
BFS|CLE,|CLE|EWR|BFS|
BFS|CLT,|CLT|EWR|BFS|
BFS|CMH,|CMH|EWR|BFS|
BFS|CVG,|CVG|EWR|BFS|
BFS|DFW,|DFW|EWR|BFS|
BFS|DTW,|DTW|EWR|BFS|
BFS|DUB,|DUB|EWR|BFS|
BFS|FCO,|FCO|EWR|BFS|
BFS|GCM,|GCM|EWR|BFS|
BFS|GGT,|GGT|FLL|EWR|BFS|
BFS|GND,|GND|YYZ|EWR|BFS|
BFS|GRU,|GRU|EWR|BFS|
BFS|HAV,|HAV|YYZ|EWR|BFS|
BFS|IND,|IND|EWR|BFS|
BFS|JFK,|JFK|IAD|EWR|BFS|
BFS|KIN,|KIN|YYZ|EWR|BFS|
BFS|LIM,|LIM|EWR|BFS|
BFS|LIR,|LIR|EWR|BFS|
BFS|MCI,|MCI|EWR|BFS|
BFS|MDT,|MDT|IAD|EWR|BFS|
BFS|MIA,|MIA|EWR|BFS|
BFS|MKE,|MKE|EWR|BFS|
BFS|MSP,|MSP|EWR|BFS|
BFS|NAS,|NAS|EWR|BFS|
BFS|PHL,|PHL|IAD|EWR|BFS|
BFS|PHX,|PHX|EWR|BFS|
BFS|PIT,|PIT|EWR|BFS|
BFS|PLS,|PLS|EWR|BFS|
BFS|POP,|POP|EWR|BFS|
BFS|RDU,|RDU|EWR|BFS|
BFS|ROC,|ROC|EWR|BFS|
BFS|RSW,|RSW|EWR|BFS|
BFS|SAN,|SAN|EWR|BFS|
BFS|SJO,|SJO|EWR|BFS|
BFS|STL,|STL|EWR|BFS|
BFS|SYR,|SYR|EWR|BFS|
BFS|TLV,|TLV|EWR|BFS|
BFS|TPA,|TPA|EWR|BFS|
BFS|UVF,|UVF|EWR|BFS|
BFS|VIE,|VIE|IAD|EWR|BFS|
BFS|YAM,|YAM|YYZ|EWR|BFS|
BFS|YGK,|YGK|YYZ|EWR|BFS|
BFS|YQG,|YQG|YYZ|EWR|BFS|
BFS|YSB,|YSB|YYZ|EWR|BFS|
BFS|YTS,|YTS|YYZ|EWR|BFS|
BFS|YYB,|YYB|YYZ|EWR|BFS|
BFS|YZR,|YZR|YYZ|EWR|BFS|
BFS|CAN,|CAN|PEK|EWR|BFS|
BFS|URC,|URC|TSE|FRA|EWR|BFS|
BFS|CTU,|CTU|PEK|EWR|BFS|
BFS|HGH,|HGH|PEK|EWR|BFS|
BFS|XMN,|XMN|PEK|EWR|BFS|
BFS|CGO,|CGO|PEK|EWR|BFS|
BFS|CSX,|CSX|PEK|EWR|BFS|
BFS|SHE,|SHE|PEK|EWR|BFS|
BFS|SJW,|SJW|DLC|PEK|EWR|BFS|
BFS|WUH,|WUH|PEK|EWR|BFS|
BFS|SZX,|SZX|PEK|EWR|BFS|
BFS|CKG,|CKG|PEK|EWR|BFS|
BFS|KMG,|KMG|PEK|EWR|BFS|
BFS|FOC,|FOC|PEK|EWR|BFS|
BFS|NNG,|NNG|PEK|EWR|BFS|
BFS|SWA,|SWA|PEK|EWR|BFS|
BFS|ACX,|ACX|CAN|PEK|EWR|BFS|
BFS|AQG,|AQG|CAN|PEK|EWR|BFS|
BFS|AVA,|AVA|CAN|PEK|EWR|BFS|
BFS|BFJ,|BFJ|CAN|PEK|EWR|BFS|
BFS|BHY,|BHY|CGO|PEK|EWR|BFS|
BFS|BNE,|BNE|CAN|PEK|EWR|BFS|
BFS|CGD,|CGD|PEK|EWR|BFS|
BFS|CGK,|CGK|CAN|PEK|EWR|BFS|
BFS|CGQ,|CGQ|PEK|EWR|BFS|
BFS|CIH,|CIH|PEK|EWR|BFS|
BFS|CNX,|CNX|CAN|PEK|EWR|BFS|
BFS|CZX,|CZX|SHE|PEK|EWR|BFS|
BFS|DAC,|DAC|IST|BHX|EWR|BFS|
BFS|DAD,|DAD|CAN|PEK|EWR|BFS|
BFS|DEL,|DEL|EWR|BFS|
BFS|DIG,|DIG|KMG|PEK|EWR|BFS|
BFS|DLC,|DLC|PEK|EWR|BFS|
BFS|DPS,|DPS|SZX|PEK|EWR|BFS|
BFS|DXB,|DXB|IST|BHX|EWR|BFS|
BFS|DYG,|DYG|PEK|EWR|BFS|
BFS|FUG,|FUG|CAN|PEK|EWR|BFS|
BFS|FUK,|FUK|ICN|JFK|IAD|EWR|BFS|
BFS|HAK,|HAK|PEK|EWR|BFS|
BFS|HAN,|HAN|PEK|EWR|BFS|
BFS|HDG,|HDG|CAN|PEK|EWR|BFS|
BFS|HET,|HET|DLC|PEK|EWR|BFS|
BFS|HFE,|HFE|XIY|PEK|EWR|BFS|
BFS|HJJ,|HJJ|CSX|PEK|EWR|BFS|
BFS|HKT,|HKT|KWE|PEK|EWR|BFS|
BFS|HRB,|HRB|PEK|EWR|BFS|
BFS|HZH,|HZH|CAN|PEK|EWR|BFS|
BFS|JIU,|JIU|CAN|PEK|EWR|BFS|
BFS|JJN,|JJN|PEK|EWR|BFS|
BFS|JNG,|JNG|CAN|PEK|EWR|BFS|
BFS|KHN,|KHN|DLC|PEK|EWR|BFS|
BFS|KIX,|KIX|DLC|PEK|EWR|BFS|
BFS|KOW,|KOW|PEK|EWR|BFS|
BFS|KTM,|KTM|IST|BHX|EWR|BFS|
BFS|KUL,|KUL|CAN|PEK|EWR|BFS|
BFS|KWE,|KWE|PEK|EWR|BFS|
BFS|KWL,|KWL|PEK|EWR|BFS|
BFS|LHW,|LHW|CGO|PEK|EWR|BFS|
BFS|LYA,|LYA|KHN|DLC|PEK|EWR|BFS|
BFS|LYG,|LYG|HSN|PEK|EWR|BFS|
BFS|LZH,|LZH|CAN|PEK|EWR|BFS|
BFS|MEL,|MEL|SYD|LAX|EWR|BFS|
BFS|MIG,|MIG|CSX|PEK|EWR|BFS|
BFS|MLE,|MLE|IST|BHX|EWR|BFS|
BFS|MNL,|MNL|XMN|PEK|EWR|BFS|
BFS|MXZ,|MXZ|CAN|PEK|EWR|BFS|
BFS|NAO,|NAO|PEK|EWR|BFS|
BFS|NGB,|NGB|PEK|EWR|BFS|
BFS|NKG,|NKG|DLC|PEK|EWR|BFS|
BFS|NNY,|NNY|CGO|PEK|EWR|BFS|
BFS|PEN,|PEN|CAN|PEK|EWR|BFS|
BFS|PER,|PER|CAN|PEK|EWR|BFS|
BFS|PNH,|PNH|CAN|PEK|EWR|BFS|
BFS|REP,|REP|CAN|PEK|EWR|BFS|
BFS|RGN,|RGN|CAN|PEK|EWR|BFS|
BFS|SGN,|SGN|CAN|PEK|EWR|BFS|
BFS|SHA,|SHA|PEK|EWR|BFS|
BFS|SIN,|SIN|CAN|PEK|EWR|BFS|
BFS|SVO,|SVO|URC|TSE|FRA|EWR|BFS|
BFS|SYX,|SYX|PEK|EWR|BFS|
BFS|TAO,|TAO|DLC|PEK|EWR|BFS|
BFS|TEN,|TEN|PEK|EWR|BFS|
BFS|TNA,|TNA|DLC|PEK|EWR|BFS|
BFS|TPE,|TPE|PVG|EWR|BFS|
BFS|TSN,|TSN|DLC|PEK|EWR|BFS|
BFS|TXN,|TXN|DLC|PEK|EWR|BFS|
BFS|TYN,|TYN|DAT|CIH|PEK|EWR|BFS|
BFS|WNZ,|WNZ|CGO|PEK|EWR|BFS|
BFS|WUX,|WUX|CAN|PEK|EWR|BFS|
BFS|XFN,|XFN|XMN|PEK|EWR|BFS|
BFS|XIY,|XIY|PEK|EWR|BFS|
BFS|XUZ,|XUZ|LYG|HSN|PEK|EWR|BFS|
BFS|YIH,|YIH|CKG|PEK|EWR|BFS|
BFS|YIW,|YIW|PEK|EWR|BFS|
BFS|YNT,|YNT|SHE|PEK|EWR|BFS|
BFS|YNZ,|YNZ|DLC|PEK|EWR|BFS|
BFS|YTY,|YTY|DLC|PEK|EWR|BFS|
BFS|ZHA,|ZHA|CAN|PEK|EWR|BFS|
BFS|ZYI,|ZYI|PEK|EWR|BFS|
BFS|BAV,|BAV|CGO|PEK|EWR|BFS|
BFS|CJU,|CJU|DLC|PEK|EWR|BFS|
BFS|DSN,|DSN|CGO|PEK|EWR|BFS|
BFS|HMI,|HMI|URC|TSE|FRA|EWR|BFS|
BFS|INC,|INC|PEK|EWR|BFS|
BFS|KHH,|KHH|CGO|PEK|EWR|BFS|
BFS|UYN,|UYN|CGO|PEK|EWR|BFS|
BFS|XNN,|XNN|PEK|EWR|BFS|
BFS|ZUH,|ZUH|PEK|EWR|BFS|
BFS|YNJ,|YNJ|PEK|EWR|BFS|
BFS|DAT,|DAT|CIH|PEK|EWR|BFS|
BFS|JHG,|JHG|CKG|PEK|EWR|BFS|
BFS|LJG,|LJG|CKG|PEK|EWR|BFS|
BFS|LXA,|LXA|XIY|PEK|EWR|BFS|
BFS|YCU,|YCU|CSX|PEK|EWR|BFS|
BFS|LZO,|LZO|CSX|PEK|EWR|BFS|
BFS|MDG,|MDG|DLC|PEK|EWR|BFS|
BFS|NGO,|NGO|ICN|JFK|IAD|EWR|BFS|
BFS|TOY,|TOY|DLC|PEK|EWR|BFS|
BFS|MFM,|MFM|XMN|PEK|EWR|BFS|
BFS|TGO,|TGO|HET|DLC|PEK|EWR|BFS|
BFS|XIL,|XIL|HET|DLC|PEK|EWR|BFS|
BFS|HEK,|HEK|HRB|PEK|EWR|BFS|
BFS|KIJ,|KIJ|HRB|PEK|EWR|BFS|
BFS|LDS,|LDS|HRB|PEK|EWR|BFS|
BFS|OHE,|OHE|HRB|PEK|EWR|BFS|
BFS|HSN,|HSN|PEK|EWR|BFS|
BFS|DLU,|DLU|KMG|PEK|EWR|BFS|
BFS|SYM,|SYM|KMG|PEK|EWR|BFS|
BFS|ZAT,|ZAT|KMG|PEK|EWR|BFS|
BFS|LUN,|LUN|NBO|ZRH|EWR|BFS|
BFS|AOG,|AOG|PEK|EWR|BFS|
BFS|GMP,|GMP|PEK|EWR|BFS|
BFS|ISB,|ISB|IST|BHX|EWR|BFS|
BFS|TAS,|TAS|IST|BHX|EWR|BFS|
BFS|WUS,|WUS|PEK|EWR|BFS|
BFS|JMU,|JMU|PVG|EWR|BFS|
BFS|NDG,|NDG|PVG|EWR|BFS|
BFS|JXA,|JXA|SHE|PEK|EWR|BFS|
BFS|PUS,|PUS|SHE|PEK|EWR|BFS|
BFS|BKI,|BKI|SZX|PEK|EWR|BFS|
BFS|AKU,|AKU|URC|TSE|FRA|EWR|BFS|
BFS|ALA,|ALA|TSE|FRA|EWR|BFS|
BFS|ASB,|ASB|GYD|FRA|EWR|BFS|
BFS|DNH,|DNH|URC|TSE|FRA|EWR|BFS|
BFS|DYU,|DYU|IST|BHX|EWR|BFS|
BFS|FRU,|FRU|IST|BHX|EWR|BFS|
BFS|GYD,|GYD|FRA|EWR|BFS|
BFS|HTN,|HTN|URC|TSE|FRA|EWR|BFS|
BFS|IKA,|IKA|SAW|FRA|EWR|BFS|
BFS|KCA,|KCA|URC|TSE|FRA|EWR|BFS|
BFS|KHG,|KHG|URC|TSE|FRA|EWR|BFS|
BFS|KRL,|KRL|URC|TSE|FRA|EWR|BFS|
BFS|KRY,|KRY|URC|TSE|FRA|EWR|BFS|
BFS|LBD,|LBD|URC|TSE|FRA|EWR|BFS|
BFS|NLT,|NLT|URC|TSE|FRA|EWR|BFS|
BFS|OSS,|OSS|IST|BHX|EWR|BFS|
BFS|OVB,|OVB|IST|BHX|EWR|BFS|
BFS|TBS,|TBS|SAW|FRA|EWR|BFS|
BFS|TCG,|TCG|URC|TSE|FRA|EWR|BFS|
BFS|TSE,|TSE|FRA|EWR|BFS|
BFS|YIN,|YIN|URC|TSE|FRA|EWR|BFS|
BFS|ENH,|ENH|WUH|PEK|EWR|BFS|
BFS|ENY,|ENY|XIY|PEK|EWR|BFS|
BFS|WXN,|WXN|XIY|PEK|EWR|BFS|
BFS|BLL,|BLL|IST|BHX|EWR|BFS|
BFS|ESB,|ESB|FRA|EWR|BFS|
BFS|SAW,|SAW|FRA|EWR|BFS|
BFS|HAM,|HAM|EWR|BFS|
BFS|HRE,|HRE|ADD|JED|FRA|EWR|BFS|
BFS|JUB,|JUB|CAI|IST|BHX|EWR|BFS|
BFS|SSG,|SSG|DLA|BRU|EWR|BFS|
BFS|BGW,|BGW|ESB|FRA|EWR|BFS|
BFS|EBL,|EBL|IST|BHX|EWR|BFS|
BFS|VKO,|VKO|IST|BHX|EWR|BFS|
BFS|MCT,|MCT|IST|BHX|EWR|BFS|
BFS|AYT,|AYT|IST|BHX|EWR|BFS|
BFS|SCQ,|SCQ|BIO|IST|BHX|EWR|BFS|
BFS|AAL,|AAL|IST|BHX|EWR|BFS|
BFS|AOE,|AOE|BRU|EWR|BFS|
BFS|JNB,|JNB|DKR|IAD|EWR|BFS|
BFS|LBV,|LBV|DLA|BRU|EWR|BFS|
BFS|ADA,|ADA|SAW|FRA|EWR|BFS|
BFS|ADB,|ADB|HAM|EWR|BFS|
BFS|ADF,|ADF|ESB|FRA|EWR|BFS|
BFS|AJI,|AJI|ESB|FRA|EWR|BFS|
BFS|BAL,|BAL|ESB|FRA|EWR|BFS|
BFS|BJV,|BJV|IST|BHX|EWR|BFS|
BFS|CKZ,|CKZ|ESB|FRA|EWR|BFS|
BFS|DIY,|DIY|ESB|FRA|EWR|BFS|
BFS|ECN,|ECN|IST|BHX|EWR|BFS|
BFS|ERC,|ERC|ESB|FRA|EWR|BFS|
BFS|ERZ,|ERZ|ESB|FRA|EWR|BFS|
BFS|EZS,|EZS|ESB|FRA|EWR|BFS|
BFS|GNY,|GNY|ESB|FRA|EWR|BFS|
BFS|GZP,|GZP|ESB|FRA|EWR|BFS|
BFS|GZT,|GZT|ESB|FRA|EWR|BFS|
BFS|HTY,|HTY|SAW|FRA|EWR|BFS|
BFS|KCM,|KCM|ESB|FRA|EWR|BFS|
BFS|KSY,|KSY|ESB|FRA|EWR|BFS|
BFS|MLX,|MLX|ESB|FRA|EWR|BFS|
BFS|MQM,|MQM|ESB|FRA|EWR|BFS|
BFS|MSR,|MSR|ESB|FRA|EWR|BFS|
BFS|TEQ,|TEQ|ESB|FRA|EWR|BFS|
BFS|TZX,|TZX|ESB|FRA|EWR|BFS|
BFS|VAN,|VAN|ESB|FRA|EWR|BFS|
BFS|ULN,|ULN|FRU|IST|BHX|EWR|BFS|
BFS|HIJ,|HIJ|ICN|JFK|IAD|EWR|BFS|
BFS|VVO,|VVO|ICN|JFK|IAD|EWR|BFS|
BFS|ACC,|ACC|IST|BHX|EWR|BFS|
BFS|AER,|AER|IST|BHX|EWR|BFS|
BFS|AGP,|AGP|IST|BHX|EWR|BFS|
BFS|ALG,|ALG|IST|BHX|EWR|BFS|
BFS|AMM,|AMM|IST|BHX|EWR|BFS|
BFS|AQJ,|AQJ|IST|BHX|EWR|BFS|
BFS|ARN,|ARN|EWR|BFS|
BFS|ASR,|ASR|SAW|FRA|EWR|BFS|
BFS|ATH,|ATH|IST|BHX|EWR|BFS|
BFS|BAH,|BAH|IST|BHX|EWR|BFS|
BFS|BEG,|BEG|IST|BHX|EWR|BFS|
BFS|BEN,|BEN|IST|BHX|EWR|BFS|
BFS|BEY,|BEY|IST|BHX|EWR|BFS|
BFS|BHX,|BHX|EWR|BFS|
BFS|BIO,|BIO|IST|BHX|EWR|BFS|
BFS|BLQ,|BLQ|IST|BHX|EWR|BFS|
BFS|BOM,|BOM|EWR|BFS|
BFS|BRE,|BRE|IST|BHX|EWR|BFS|
BFS|BSL,|BSL|IST|BHX|EWR|BFS|
BFS|BSR,|BSR|IST|BHX|EWR|BFS|
BFS|BUD,|BUD|IST|BHX|EWR|BFS|
BFS|BUS,|BUS|IST|BHX|EWR|BFS|
BFS|CAI,|CAI|IST|BHX|EWR|BFS|
BFS|CGN,|CGN|IST|BHX|EWR|BFS|
BFS|CMN,|CMN|IST|BHX|EWR|BFS|
BFS|CND,|CND|IST|BHX|EWR|BFS|
BFS|DAR,|DAR|NBO|ZRH|EWR|BFS|
BFS|DLM,|DLM|IST|BHX|EWR|BFS|
BFS|DMM,|DMM|IST|BHX|EWR|BFS|
BFS|DNK,|DNK|IST|BHX|EWR|BFS|
BFS|DNZ,|DNZ|IST|BHX|EWR|BFS|
BFS|DOK,|DOK|IST|BHX|EWR|BFS|
BFS|DUS,|DUS|EWR|BFS|
BFS|EDI,|EDI|EWR|BFS|
BFS|ELQ,|ELQ|IST|BHX|EWR|BFS|
BFS|FDH,|FDH|IST|BHX|EWR|BFS|
BFS|GOA,|GOA|IST|BHX|EWR|BFS|
BFS|GOT,|GOT|BRU|EWR|BFS|
BFS|HAJ,|HAJ|BRU|EWR|BFS|
BFS|HBE,|HBE|IST|BHX|EWR|BFS|
BFS|HEL,|HEL|IST|BHX|EWR|BFS|
BFS|HRG,|HRG|IST|BHX|EWR|BFS|
BFS|IFN,|IFN|IST|BHX|EWR|BFS|
BFS|ISE,|ISE|IST|BHX|EWR|BFS|
BFS|ISU,|ISU|IST|BHX|EWR|BFS|
BFS|JIB,|JIB|IST|BHX|EWR|BFS|
BFS|JRO,|JRO|IST|BHX|EWR|BFS|
BFS|KAN,|KAN|IST|BHX|EWR|BFS|
BFS|KBL,|KBL|IST|BHX|EWR|BFS|
BFS|KBP,|KBP|IST|BHX|EWR|BFS|
BFS|KFS,|KFS|IST|BHX|EWR|BFS|
BFS|KHI,|KHI|IST|BHX|EWR|BFS|
BFS|KIV,|KIV|IST|BHX|EWR|BFS|
