JAX|YSB,|YSB|YYZ|IAD|JAX|
JAX|YTS,|YTS|YYZ|IAD|JAX|
JAX|YYB,|YYB|YYZ|IAD|JAX|
JAX|YZR,|YZR|YYZ|IAD|JAX|
JAX|CAN,|CAN|PEK|ORD|JAX|
JAX|URC,|URC|TSE|FRA|EWR|JAX|
JAX|CTU,|CTU|PEK|ORD|JAX|
JAX|HGH,|HGH|PEK|ORD|JAX|
JAX|XMN,|XMN|PEK|ORD|JAX|
JAX|CGO,|CGO|PEK|ORD|JAX|
JAX|CSX,|CSX|PEK|ORD|JAX|
JAX|SHE,|SHE|PEK|ORD|JAX|
JAX|SJW,|SJW|DLC|PEK|ORD|JAX|
JAX|WUH,|WUH|PEK|ORD|JAX|
JAX|SZX,|SZX|PEK|ORD|JAX|
JAX|CKG,|CKG|PEK|ORD|JAX|
JAX|KMG,|KMG|PEK|ORD|JAX|
JAX|FOC,|FOC|PEK|ORD|JAX|
JAX|NNG,|NNG|PEK|ORD|JAX|
JAX|SWA,|SWA|PEK|ORD|JAX|
JAX|ACX,|ACX|CAN|PEK|ORD|JAX|
JAX|AQG,|AQG|CAN|PEK|ORD|JAX|
JAX|AVA,|AVA|CAN|PEK|ORD|JAX|
JAX|BFJ,|BFJ|CAN|PEK|ORD|JAX|
JAX|BHY,|BHY|CGO|PEK|ORD|JAX|
JAX|BNE,|BNE|CAN|PEK|ORD|JAX|
JAX|CGD,|CGD|PEK|ORD|JAX|
JAX|CGK,|CGK|CAN|PEK|ORD|JAX|
JAX|CGQ,|CGQ|PEK|ORD|JAX|
JAX|CIH,|CIH|PEK|ORD|JAX|
JAX|CNX,|CNX|CAN|PEK|ORD|JAX|
JAX|CZX,|CZX|SHE|PEK|ORD|JAX|
JAX|DAC,|DAC|IST|BHX|EWR|JAX|
JAX|DAD,|DAD|CAN|PEK|ORD|JAX|
JAX|DEL,|DEL|EWR|JAX|
JAX|DIG,|DIG|KMG|PEK|ORD|JAX|
JAX|DLC,|DLC|PEK|ORD|JAX|
JAX|DPS,|DPS|SZX|PEK|ORD|JAX|
JAX|DXB,|DXB|IAD|JAX|
JAX|DYG,|DYG|PEK|ORD|JAX|
JAX|FUG,|FUG|CAN|PEK|ORD|JAX|
JAX|FUK,|FUK|ICN|YVR|DEN|JAX|
JAX|HAK,|HAK|PEK|ORD|JAX|
JAX|HAN,|HAN|PEK|ORD|JAX|
JAX|HDG,|HDG|CAN|PEK|ORD|JAX|
JAX|HET,|HET|DLC|PEK|ORD|JAX|
JAX|HFE,|HFE|XIY|PEK|ORD|JAX|
JAX|HJJ,|HJJ|CSX|PEK|ORD|JAX|
JAX|HKT,|HKT|KWE|PEK|ORD|JAX|
JAX|HRB,|HRB|PEK|ORD|JAX|
JAX|HZH,|HZH|CAN|PEK|ORD|JAX|
JAX|JIU,|JIU|CAN|PEK|ORD|JAX|
JAX|JJN,|JJN|PEK|ORD|JAX|
JAX|JNG,|JNG|CAN|PEK|ORD|JAX|
JAX|KHN,|KHN|DLC|PEK|ORD|JAX|
JAX|KIX,|KIX|SFO|LAS|JAX|
JAX|KOW,|KOW|PEK|ORD|JAX|
