HTY|MKE,|MKE|YYZ|VIE|SAW|HTY|
HTY|MSP,|MSP|YUL|FRA|SAW|HTY|
HTY|NAS,|NAS|EWR|FRA|SAW|HTY|
HTY|PHL,|PHL|IAD|FRA|SAW|HTY|
HTY|PHX,|PHX|DEN|FRA|SAW|HTY|
HTY|PIT,|PIT|YYZ|VIE|SAW|HTY|
HTY|PLS,|PLS|EWR|FRA|SAW|HTY|
HTY|POP,|POP|EWR|FRA|SAW|HTY|
HTY|RDU,|RDU|EWR|FRA|SAW|HTY|
HTY|ROC,|ROC|YYZ|VIE|SAW|HTY|
HTY|RSW,|RSW|MCO|FRA|SAW|HTY|
HTY|SAN,|SAN|LAX|IST|HTY|
HTY|SJO,|SJO|EWR|FRA|SAW|HTY|
HTY|STL,|STL|ORD|IST|HTY|
HTY|SYR,|SYR|EWR|FRA|SAW|HTY|
HTY|TLV,|TLV|SAW|HTY|
HTY|TPA,|TPA|EWR|FRA|SAW|HTY|
HTY|UVF,|UVF|EWR|FRA|SAW|HTY|
HTY|VIE,|VIE|SAW|HTY|
HTY|YAM,|YAM|YYZ|VIE|SAW|HTY|
HTY|YGK,|YGK|YYZ|VIE|SAW|HTY|
HTY|YQG,|YQG|YYZ|VIE|SAW|HTY|
HTY|YSB,|YSB|YYZ|VIE|SAW|HTY|
HTY|YTS,|YTS|YYZ|VIE|SAW|HTY|
HTY|YYB,|YYB|YYZ|VIE|SAW|HTY|
HTY|YZR,|YZR|YYZ|VIE|SAW|HTY|
HTY|CAN,|CAN|IST|HTY|
HTY|URC,|URC|TBS|SAW|HTY|
HTY|CTU,|CTU|URC|TBS|SAW|HTY|
HTY|HGH,|HGH|URC|TBS|SAW|HTY|
HTY|XMN,|XMN|CSX|URC|TBS|SAW|HTY|
HTY|CGO,|CGO|URC|TBS|SAW|HTY|
HTY|CSX,|CSX|URC|TBS|SAW|HTY|
HTY|SHE,|SHE|PEK|IST|HTY|
HTY|SJW,|SJW|URC|TBS|SAW|HTY|
HTY|WUH,|WUH|URC|TBS|SAW|HTY|
HTY|SZX,|SZX|CKG|URC|TBS|SAW|HTY|
HTY|CKG,|CKG|URC|TBS|SAW|HTY|
HTY|KMG,|KMG|CTU|URC|TBS|SAW|HTY|
HTY|FOC,|FOC|XIY|URC|TBS|SAW|HTY|
HTY|NNG,|NNG|KWE|URC|TBS|SAW|HTY|
HTY|SWA,|SWA|CSX|URC|TBS|SAW|HTY|
HTY|ACX,|ACX|CAN|IST|HTY|
HTY|AQG,|AQG|CAN|IST|HTY|
HTY|AVA,|AVA|CAN|IST|HTY|
