ONT|RSW,|RSW|IAH|PHX|ONT|
ONT|SAN,|SAN|LAS|ONT|
ONT|SJO,|SJO|IAH|PHX|ONT|
ONT|STL,|STL|LAS|ONT|
ONT|SYR,|SYR|ORD|DEN|ONT|
ONT|TLV,|TLV|IST|FRA|DEN|ONT|
ONT|TPA,|TPA|PHX|ONT|
ONT|UVF,|UVF|EWR|MDW|ONT|
ONT|VIE,|VIE|ORD|DEN|ONT|
ONT|YAM,|YAM|YYZ|DEN|ONT|
ONT|YGK,|YGK|YYZ|DEN|ONT|
ONT|YQG,|YQG|YYZ|DEN|ONT|
ONT|YSB,|YSB|YYZ|DEN|ONT|
ONT|YTS,|YTS|YYZ|DEN|ONT|
ONT|YYB,|YYB|YYZ|DEN|ONT|
ONT|YZR,|YZR|YYZ|DEN|ONT|
ONT|CAN,|CAN|PVG|SFO|ONT|
ONT|URC,|URC|PEK|SFO|ONT|
ONT|CTU,|CTU|PEK|SFO|ONT|
ONT|HGH,|HGH|DLC|ICN|SFO|ONT|
ONT|XMN,|XMN|YNZ|DLC|ICN|SFO|ONT|
ONT|CGO,|CGO|PEK|SFO|ONT|
ONT|CSX,|CSX|ICN|SFO|ONT|
ONT|SHE,|SHE|ICN|SFO|ONT|
ONT|SJW,|SJW|DLC|ICN|SFO|ONT|
ONT|WUH,|WUH|ICN|SFO|ONT|
ONT|SZX,|SZX|PVG|SFO|ONT|
ONT|CKG,|CKG|PEK|SFO|ONT|
ONT|KMG,|KMG|PEK|SFO|ONT|
ONT|FOC,|FOC|HGH|DLC|ICN|SFO|ONT|
ONT|NNG,|NNG|CSX|ICN|SFO|ONT|
ONT|SWA,|SWA|WUH|ICN|SFO|ONT|
ONT|ACX,|ACX|CAN|PVG|SFO|ONT|
ONT|AQG,|AQG|CAN|PVG|SFO|ONT|
ONT|AVA,|AVA|CAN|PVG|SFO|ONT|
ONT|BFJ,|BFJ|CAN|PVG|SFO|ONT|
ONT|BHY,|BHY|CSX|ICN|SFO|ONT|
ONT|BNE,|BNE|CAN|PVG|SFO|ONT|
ONT|CGD,|CGD|PEK|SFO|ONT|
ONT|CGK,|CGK|CAN|PVG|SFO|ONT|
ONT|CGQ,|CGQ|NRT|SFO|ONT|
ONT|CIH,|CIH|PEK|SFO|ONT|
ONT|CNX,|CNX|CAN|PVG|SFO|ONT|
ONT|CZX,|CZX|SHE|ICN|SFO|ONT|
ONT|DAC,|DAC|CAN|PVG|SFO|ONT|
ONT|DAD,|DAD|CAN|PVG|SFO|ONT|
ONT|DEL,|DEL|CAN|PVG|SFO|ONT|
ONT|DIG,|DIG|KMG|PEK|SFO|ONT|
ONT|DLC,|DLC|ICN|SFO|ONT|
ONT|DPS,|DPS|SZX|PVG|SFO|ONT|
ONT|DXB,|DXB|IST|FRA|DEN|ONT|
ONT|DYG,|DYG|PEK|SFO|ONT|
ONT|FUG,|FUG|CAN|PVG|SFO|ONT|
ONT|FUK,|FUK|ICN|SFO|ONT|
ONT|HAK,|HAK|PVG|SFO|ONT|
ONT|HAN,|HAN|PEK|SFO|ONT|
ONT|HDG,|HDG|CAN|PVG|SFO|ONT|
ONT|HET,|HET|DLC|ICN|SFO|ONT|
ONT|HFE,|HFE|TYN|DLC|ICN|SFO|ONT|
ONT|HJJ,|HJJ|CSX|ICN|SFO|ONT|
ONT|HKT,|HKT|CAN|PVG|SFO|ONT|
ONT|HRB,|HRB|ICN|SFO|ONT|
ONT|HZH,|HZH|CAN|PVG|SFO|ONT|
ONT|JIU,|JIU|CAN|PVG|SFO|ONT|
ONT|JJN,|JJN|HGH|DLC|ICN|SFO|ONT|
ONT|JNG,|JNG|CAN|PVG|SFO|ONT|
ONT|KHN,|KHN|DLC|ICN|SFO|ONT|
ONT|KIX,|KIX|SFO|ONT|
ONT|KOW,|KOW|PEK|SFO|ONT|
ONT|KTM,|KTM|CAN|PVG|SFO|ONT|
ONT|KUL,|KUL|PVG|SFO|ONT|
ONT|KWE,|KWE|PEK|SFO|ONT|
ONT|KWL,|KWL|WUH|ICN|SFO|ONT|
ONT|LHW,|LHW|CGO|PEK|SFO|ONT|
ONT|LYA,|LYA|KHN|DLC|ICN|SFO|ONT|
ONT|LYG,|LYG|HSN|PEK|SFO|ONT|
ONT|LZH,|LZH|CAN|PVG|SFO|ONT|
ONT|MEL,|MEL|SYD|SFO|ONT|
ONT|MIG,|MIG|CSX|ICN|SFO|ONT|
ONT|MLE,|MLE|CAN|PVG|SFO|ONT|
ONT|MNL,|MNL|XMN|YNZ|DLC|ICN|SFO|ONT|
ONT|MXZ,|MXZ|CAN|PVG|SFO|ONT|
ONT|NAO,|NAO|PEK|SFO|ONT|
ONT|NGB,|NGB|DLC|ICN|SFO|ONT|
ONT|NKG,|NKG|DLC|ICN|SFO|ONT|
ONT|NNY,|NNY|CGO|PEK|SFO|ONT|
ONT|PEN,|PEN|CAN|PVG|SFO|ONT|
ONT|PER,|PER|CAN|PVG|SFO|ONT|
ONT|PNH,|PNH|CAN|PVG|SFO|ONT|
