DIG|WUX,|WUX|CAN|DIG|
DIG|XFN,|XFN|CAN|DIG|
DIG|XIY,|XIY|KMG|DIG|
DIG|XUZ,|XUZ|CAN|DIG|
DIG|YIH,|YIH|CKG|KMG|DIG|
DIG|YIW,|YIW|KMG|DIG|
DIG|YNT,|YNT|CSX|KMG|DIG|
DIG|YNZ,|YNZ|WUH|KMG|DIG|
DIG|YTY,|YTY|CSX|KMG|DIG|
DIG|ZHA,|ZHA|SYX|KMG|DIG|
DIG|ZYI,|ZYI|CAN|DIG|
DIG|BAV,|BAV|CTU|KMG|DIG|
DIG|CJU,|CJU|CSX|KMG|DIG|
DIG|DSN,|DSN|CGO|KMG|DIG|
DIG|HMI,|HMI|URC|CTU|KMG|DIG|
DIG|INC,|INC|XIY|KMG|DIG|
DIG|KHH,|KHH|WUH|KMG|DIG|
DIG|UYN,|UYN|XIY|KMG|DIG|
DIG|XNN,|XNN|CKG|KMG|DIG|
DIG|ZUH,|ZUH|KMG|DIG|
DIG|YNJ,|YNJ|DLC|CGO|KMG|DIG|
DIG|DAT,|DAT|TYN|XIY|KMG|DIG|
DIG|JHG,|JHG|KMG|DIG|
DIG|LJG,|LJG|KMG|DIG|
DIG|LXA,|LXA|CKG|KMG|DIG|
DIG|YCU,|YCU|CKG|KMG|DIG|
DIG|LZO,|LZO|CSX|KMG|DIG|
DIG|MDG,|MDG|DLC|CGO|KMG|DIG|
DIG|NGO,|NGO|PVG|KWE|KMG|DIG|
DIG|TOY,|TOY|DLC|CGO|KMG|DIG|
DIG|MFM,|MFM|XMN|CAN|DIG|
DIG|TGO,|TGO|HET|INC|XIY|KMG|DIG|
DIG|XIL,|XIL|HET|INC|XIY|KMG|DIG|
DIG|HEK,|HEK|HRB|TSN|CKG|KMG|DIG|
DIG|KIJ,|KIJ|HRB|TSN|CKG|KMG|DIG|
DIG|LDS,|LDS|HRB|TSN|CKG|KMG|DIG|
DIG|OHE,|OHE|HRB|TSN|CKG|KMG|DIG|
DIG|HSN,|HSN|XMN|CAN|DIG|
DIG|DLU,|DLU|KMG|DIG|
DIG|SYM,|SYM|KMG|DIG|
DIG|ZAT,|ZAT|KMG|DIG|
DIG|LUN,|LUN|NBO|BKK|NNG|KMG|DIG|
DIG|AOG,|AOG|PEK|KMG|DIG|
DIG|GMP,|GMP|PEK|KMG|DIG|
DIG|ISB,|ISB|URC|CTU|KMG|DIG|
DIG|TAS,|TAS|URC|CTU|KMG|DIG|
DIG|WUS,|WUS|PEK|KMG|DIG|
DIG|JMU,|JMU|PVG|KWE|KMG|DIG|
DIG|NDG,|NDG|PVG|KWE|KMG|DIG|
DIG|JXA,|JXA|SHE|CGO|KMG|DIG|
DIG|PUS,|PUS|SHE|CGO|KMG|DIG|
DIG|BKI,|BKI|SZX|KMG|DIG|
DIG|AKU,|AKU|URC|CTU|KMG|DIG|
DIG|ALA,|ALA|URC|CTU|KMG|DIG|
DIG|ASB,|ASB|URC|CTU|KMG|DIG|
DIG|DNH,|DNH|XIY|KMG|DIG|
DIG|DYU,|DYU|URC|CTU|KMG|DIG|
DIG|FRU,|FRU|URC|CTU|KMG|DIG|
DIG|GYD,|GYD|URC|CTU|KMG|DIG|
DIG|HTN,|HTN|URC|CTU|KMG|DIG|
DIG|IKA,|IKA|URC|CTU|KMG|DIG|
DIG|KCA,|KCA|URC|CTU|KMG|DIG|
DIG|KHG,|KHG|URC|CTU|KMG|DIG|
DIG|KRL,|KRL|URC|CTU|KMG|DIG|
DIG|KRY,|KRY|URC|CTU|KMG|DIG|
DIG|LBD,|LBD|URC|CTU|KMG|DIG|
DIG|NLT,|NLT|URC|CTU|KMG|DIG|
DIG|OSS,|OSS|URC|CTU|KMG|DIG|
DIG|OVB,|OVB|URC|CTU|KMG|DIG|
DIG|TBS,|TBS|URC|CTU|KMG|DIG|
DIG|TCG,|TCG|URC|CTU|KMG|DIG|
DIG|TSE,|TSE|URC|CTU|KMG|DIG|
DIG|YIN,|YIN|URC|CTU|KMG|DIG|
DIG|ENH,|ENH|WUH|KMG|DIG|
DIG|ENY,|ENY|XIY|KMG|DIG|
DIG|WXN,|WXN|XIY|KMG|DIG|
DIG|BLL,|BLL|IST|URC|CTU|KMG|DIG|
DIG|ESB,|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|SAW,|SAW|TBS|URC|CTU|KMG|DIG|
DIG|HAM,|HAM|IST|URC|CTU|KMG|DIG|
DIG|HRE,|HRE|ADD|IST|URC|CTU|KMG|DIG|
DIG|JUB,|JUB|CAI|IST|URC|CTU|KMG|DIG|
DIG|SSG,|SSG|DLA|IST|URC|CTU|KMG|DIG|
DIG|BGW,|BGW|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|EBL,|EBL|IST|URC|CTU|KMG|DIG|
DIG|VKO,|VKO|IST|URC|CTU|KMG|DIG|
DIG|MCT,|MCT|IST|URC|CTU|KMG|DIG|
DIG|AYT,|AYT|IST|URC|CTU|KMG|DIG|
DIG|SCQ,|SCQ|BIO|IST|URC|CTU|KMG|DIG|
DIG|AAL,|AAL|IST|URC|CTU|KMG|DIG|
DIG|AOE,|AOE|BRU|IST|URC|CTU|KMG|DIG|
DIG|JNB,|JNB|IST|URC|CTU|KMG|DIG|
DIG|LBV,|LBV|DLA|IST|URC|CTU|KMG|DIG|
DIG|ADA,|ADA|SAW|TBS|URC|CTU|KMG|DIG|
DIG|ADB,|ADB|IST|URC|CTU|KMG|DIG|
DIG|ADF,|ADF|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|AJI,|AJI|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|BAL,|BAL|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|BJV,|BJV|IST|URC|CTU|KMG|DIG|
DIG|CKZ,|CKZ|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|DIY,|DIY|SAW|TBS|URC|CTU|KMG|DIG|
DIG|ECN,|ECN|SAW|TBS|URC|CTU|KMG|DIG|
DIG|ERC,|ERC|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|ERZ,|ERZ|SAW|TBS|URC|CTU|KMG|DIG|
DIG|EZS,|EZS|SAW|TBS|URC|CTU|KMG|DIG|
DIG|GNY,|GNY|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|GZP,|GZP|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|GZT,|GZT|SAW|TBS|URC|CTU|KMG|DIG|
DIG|HTY,|HTY|SAW|TBS|URC|CTU|KMG|DIG|
DIG|KCM,|KCM|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|KSY,|KSY|SAW|TBS|URC|CTU|KMG|DIG|
DIG|MLX,|MLX|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|MQM,|MQM|SAW|TBS|URC|CTU|KMG|DIG|
DIG|MSR,|MSR|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|TEQ,|TEQ|ESB|SAW|TBS|URC|CTU|KMG|DIG|
DIG|TZX,|TZX|SAW|TBS|URC|CTU|KMG|DIG|
DIG|VAN,|VAN|SAW|TBS|URC|CTU|KMG|DIG|
DIG|ULN,|ULN|FRU|URC|CTU|KMG|DIG|
DIG|HIJ,|HIJ|ICN|WUH|KMG|DIG|
DIG|VVO,|VVO|ICN|WUH|KMG|DIG|
DIG|ACC,|ACC|IST|URC|CTU|KMG|DIG|
DIG|AER,|AER|IST|URC|CTU|KMG|DIG|
DIG|AGP,|AGP|IST|URC|CTU|KMG|DIG|
DIG|ALG,|ALG|IST|URC|CTU|KMG|DIG|
DIG|AMM,|AMM|IST|URC|CTU|KMG|DIG|
DIG|AQJ,|AQJ|IST|URC|CTU|KMG|DIG|
DIG|ARN,|ARN|IST|URC|CTU|KMG|DIG|
DIG|ASR,|ASR|SAW|TBS|URC|CTU|KMG|DIG|
DIG|ATH,|ATH|IST|URC|CTU|KMG|DIG|
DIG|BAH,|BAH|KWI|SAW|TBS|URC|CTU|KMG|DIG|
DIG|BEG,|BEG|IST|URC|CTU|KMG|DIG|
DIG|BEN,|BEN|IST|URC|CTU|KMG|DIG|
DIG|BEY,|BEY|IST|URC|CTU|KMG|DIG|
DIG|BHX,|BHX|IST|URC|CTU|KMG|DIG|
DIG|BIO,|BIO|IST|URC|CTU|KMG|DIG|
DIG|BLQ,|BLQ|IST|URC|CTU|KMG|DIG|
DIG|BOM,|BOM|IST|URC|CTU|KMG|DIG|
DIG|BRE,|BRE|IST|URC|CTU|KMG|DIG|
DIG|BSL,|BSL|IST|URC|CTU|KMG|DIG|
DIG|BSR,|BSR|IST|URC|CTU|KMG|DIG|
DIG|BUD,|BUD|IST|URC|CTU|KMG|DIG|
DIG|BUS,|BUS|IST|URC|CTU|KMG|DIG|
DIG|CAI,|CAI|IST|URC|CTU|KMG|DIG|
DIG|CGN,|CGN|IST|URC|CTU|KMG|DIG|
DIG|CMN,|CMN|IST|URC|CTU|KMG|DIG|
DIG|CND,|CND|IST|URC|CTU|KMG|DIG|
DIG|DAR,|DAR|NBO|BKK|NNG|KMG|DIG|
DIG|DLM,|DLM|IST|URC|CTU|KMG|DIG|
DIG|DMM,|DMM|IST|URC|CTU|KMG|DIG|
DIG|DNK,|DNK|IST|URC|CTU|KMG|DIG|
DIG|DNZ,|DNZ|IST|URC|CTU|KMG|DIG|
DIG|DOK,|DOK|IST|URC|CTU|KMG|DIG|
DIG|DUS,|DUS|IST|URC|CTU|KMG|DIG|
DIG|EDI,|EDI|IST|URC|CTU|KMG|DIG|
DIG|ELQ,|ELQ|IST|URC|CTU|KMG|DIG|
DIG|FDH,|FDH|IST|URC|CTU|KMG|DIG|
DIG|GOA,|GOA|IST|URC|CTU|KMG|DIG|
DIG|GOT,|GOT|IST|URC|CTU|KMG|DIG|
DIG|HAJ,|HAJ|IST|URC|CTU|KMG|DIG|
DIG|HBE,|HBE|IST|URC|CTU|KMG|DIG|
DIG|HEL,|HEL|IST|URC|CTU|KMG|DIG|
DIG|HRG,|HRG|IST|URC|CTU|KMG|DIG|
DIG|IFN,|IFN|IST|URC|CTU|KMG|DIG|
DIG|ISE,|ISE|IST|URC|CTU|KMG|DIG|
DIG|ISU,|ISU|IST|URC|CTU|KMG|DIG|
DIG|JIB,|JIB|IST|URC|CTU|KMG|DIG|
DIG|JRO,|JRO|IST|URC|CTU|KMG|DIG|
DIG|KAN,|KAN|IST|URC|CTU|KMG|DIG|
DIG|KBL,|KBL|IST|URC|CTU|KMG|DIG|
DIG|KBP,|KBP|IST|URC|CTU|KMG|DIG|
DIG|KFS,|KFS|IST|URC|CTU|KMG|DIG|
DIG|KHI,|KHI|IST|URC|CTU|KMG|DIG|
DIG|KIV,|KIV|IST|URC|CTU|KMG|DIG|
DIG|KRT,|KRT|IST|URC|CTU|KMG|DIG|
DIG|KSH,|KSH|IST|URC|CTU|KMG|DIG|
DIG|KVD,|KVD|IST|URC|CTU|KMG|DIG|
DIG|KWI,|KWI|SAW|TBS|URC|CTU|KMG|DIG|
DIG|KYA,|KYA|SAW|TBS|URC|CTU|KMG|DIG|
DIG|KZN,|KZN|IST|URC|CTU|KMG|DIG|
DIG|KZR,|KZR|IST|URC|CTU|KMG|DIG|
DIG|LED,|LED|IST|URC|CTU|KMG|DIG|
DIG|LEJ,|LEJ|IST|URC|CTU|KMG|DIG|
DIG|LGW,|LGW|IST|URC|CTU|KMG|DIG|
DIG|LHE,|LHE|IST|URC|CTU|KMG|DIG|
DIG|LIS,|LIS|IST|URC|CTU|KMG|DIG|
DIG|LJU,|LJU|IST|URC|CTU|KMG|DIG|
DIG|LOS,|LOS|IST|URC|CTU|KMG|DIG|
DIG|LUX,|LUX|IST|URC|CTU|KMG|DIG|
