SYM|FUK,|FUK|CAN|KMG|SYM|
SYM|HAK,|HAK|KMG|SYM|
SYM|HAN,|HAN|CAN|KMG|SYM|
SYM|HDG,|HDG|CAN|KMG|SYM|
SYM|HET,|HET|INC|XIY|KMG|SYM|
SYM|HFE,|HFE|KMG|SYM|
SYM|HJJ,|HJJ|CSX|KMG|SYM|
SYM|HKT,|HKT|KWE|KMG|SYM|
SYM|HRB,|HRB|TSN|CKG|KMG|SYM|
SYM|HZH,|HZH|CAN|KMG|SYM|
SYM|JIU,|JIU|CAN|KMG|SYM|
SYM|JJN,|JJN|KWE|KMG|SYM|
SYM|JNG,|JNG|CAN|KMG|SYM|
SYM|KHN,|KHN|KMG|SYM|
SYM|KIX,|KIX|CAN|KMG|SYM|
SYM|KOW,|KOW|CAN|KMG|SYM|
SYM|KTM,|KTM|CAN|KMG|SYM|
SYM|KUL,|KUL|BKK|NNG|KMG|SYM|
SYM|KWE,|KWE|KMG|SYM|
SYM|KWL,|KWL|KMG|SYM|
SYM|LHW,|LHW|KMG|SYM|
SYM|LYA,|LYA|KHN|KMG|SYM|
SYM|LYG,|LYG|CAN|KMG|SYM|
SYM|LZH,|LZH|CAN|KMG|SYM|
SYM|MEL,|MEL|CAN|KMG|SYM|
SYM|MIG,|MIG|CSX|KMG|SYM|
SYM|MLE,|MLE|CAN|KMG|SYM|
SYM|MNL,|MNL|CAN|KMG|SYM|
SYM|MXZ,|MXZ|CAN|KMG|SYM|
SYM|NAO,|NAO|CAN|KMG|SYM|
SYM|NGB,|NGB|CSX|KMG|SYM|
SYM|NKG,|NKG|KMG|SYM|
SYM|NNY,|NNY|CTU|KMG|SYM|
SYM|PEN,|PEN|CAN|KMG|SYM|
SYM|PER,|PER|BKK|NNG|KMG|SYM|
SYM|PNH,|PNH|CAN|KMG|SYM|
SYM|REP,|REP|CAN|KMG|SYM|
SYM|RGN,|RGN|CAN|KMG|SYM|
SYM|SGN,|SGN|BKK|NNG|KMG|SYM|
SYM|SHA,|SHA|KMG|SYM|
SYM|SIN,|SIN|CAN|KMG|SYM|
SYM|SVO,|SVO|URC|CTU|KMG|SYM|
SYM|SYX,|SYX|KMG|SYM|
SYM|TAO,|TAO|KMG|SYM|
SYM|TEN,|TEN|CAN|KMG|SYM|
SYM|TNA,|TNA|XIY|KMG|SYM|
SYM|TPE,|TPE|KWL|KMG|SYM|
SYM|TSN,|TSN|CKG|KMG|SYM|
SYM|TXN,|TXN|CSX|KMG|SYM|
SYM|TYN,|TYN|XIY|KMG|SYM|
SYM|WNZ,|WNZ|CSX|KMG|SYM|
SYM|WUX,|WUX|CAN|KMG|SYM|
SYM|XFN,|XFN|CAN|KMG|SYM|
SYM|XIY,|XIY|KMG|SYM|
SYM|XUZ,|XUZ|CAN|KMG|SYM|
SYM|YIH,|YIH|CKG|KMG|SYM|
SYM|YIW,|YIW|KMG|SYM|
SYM|YNT,|YNT|CSX|KMG|SYM|
SYM|YNZ,|YNZ|WUH|KMG|SYM|
SYM|YTY,|YTY|CSX|KMG|SYM|
SYM|ZHA,|ZHA|SYX|KMG|SYM|
