NGO|CVG,|CVG|ORD|YVR|ICN|NGO|
NGO|DFW,|DFW|YVR|ICN|NGO|
NGO|DTW,|DTW|ORD|YVR|ICN|NGO|
NGO|DUB,|DUB|IST|ICN|NGO|
NGO|FCO,|FCO|IST|ICN|NGO|
NGO|GCM,|GCM|IAH|YVR|ICN|NGO|
NGO|GGT,|GGT|FLL|DEN|YVR|ICN|NGO|
NGO|GND,|GND|YYZ|PEK|DLC|NGO|
NGO|GRU,|GRU|IST|ICN|NGO|
NGO|HAV,|HAV|YYZ|PEK|DLC|NGO|
NGO|IND,|IND|ORD|YVR|ICN|NGO|
NGO|JFK,|JFK|ICN|NGO|
NGO|KIN,|KIN|YYZ|PEK|DLC|NGO|
NGO|LIM,|LIM|IAH|YVR|ICN|NGO|
NGO|LIR,|LIR|IAH|YVR|ICN|NGO|
NGO|MCI,|MCI|DEN|YVR|ICN|NGO|
NGO|MDT,|MDT|IAD|JFK|ICN|NGO|
NGO|MIA,|MIA|DEN|YVR|ICN|NGO|
NGO|MKE,|MKE|SEA|ICN|NGO|
NGO|MSP,|MSP|DEN|YVR|ICN|NGO|
NGO|NAS,|NAS|ATL|DEN|YVR|ICN|NGO|
NGO|PHL,|PHL|IAD|JFK|ICN|NGO|
NGO|PHX,|PHX|SFO|ICN|NGO|
NGO|PIT,|PIT|ORD|YVR|ICN|NGO|
NGO|PLS,|PLS|EWR|IAD|JFK|ICN|NGO|
NGO|POP,|POP|EWR|IAD|JFK|ICN|NGO|
NGO|RDU,|RDU|IAD|JFK|ICN|NGO|
NGO|ROC,|ROC|YYZ|PEK|DLC|NGO|
NGO|RSW,|RSW|DEN|YVR|ICN|NGO|
NGO|SAN,|SAN|LAX|ICN|NGO|
NGO|SJO,|SJO|IAH|YVR|ICN|NGO|
NGO|STL,|STL|DEN|YVR|ICN|NGO|
NGO|SYR,|SYR|YYZ|PEK|DLC|NGO|
NGO|TLV,|TLV|IST|ICN|NGO|
NGO|TPA,|TPA|DEN|YVR|ICN|NGO|
NGO|UVF,|UVF|EWR|IAD|JFK|ICN|NGO|
NGO|VIE,|VIE|IST|ICN|NGO|
NGO|YAM,|YAM|YYZ|PEK|DLC|NGO|
NGO|YGK,|YGK|YYZ|PEK|DLC|NGO|
NGO|YQG,|YQG|YYC|YVR|ICN|NGO|
NGO|YSB,|YSB|YYZ|PEK|DLC|NGO|
NGO|YTS,|YTS|YYZ|PEK|DLC|NGO|
NGO|YYB,|YYB|YYZ|PEK|DLC|NGO|
NGO|YZR,|YZR|YYZ|PEK|DLC|NGO|
NGO|CAN,|CAN|PVG|NGO|
NGO|URC,|URC|PEK|DLC|NGO|
NGO|CTU,|CTU|WUH|PVG|NGO|
NGO|HGH,|HGH|DLC|NGO|
NGO|XMN,|XMN|WUH|PVG|NGO|
NGO|CGO,|CGO|ICN|NGO|
NGO|CSX,|CSX|PVG|NGO|
NGO|SHE,|SHE|NGO|
NGO|SJW,|SJW|DLC|NGO|
NGO|WUH,|WUH|PVG|NGO|
NGO|SZX,|SZX|PVG|NGO|
NGO|CKG,|CKG|WUH|PVG|NGO|
NGO|KMG,|KMG|KWE|PVG|NGO|
NGO|FOC,|FOC|HGH|DLC|NGO|
NGO|NNG,|NNG|PVG|NGO|
NGO|SWA,|SWA|CSX|PVG|NGO|
NGO|ACX,|ACX|CAN|PVG|NGO|
NGO|AQG,|AQG|CAN|PVG|NGO|
NGO|AVA,|AVA|CAN|PVG|NGO|
NGO|BFJ,|BFJ|CAN|PVG|NGO|
NGO|BHY,|BHY|CAN|PVG|NGO|
NGO|BNE,|BNE|CAN|PVG|NGO|
NGO|CGD,|CGD|PEK|DLC|NGO|
NGO|CGK,|CGK|CAN|PVG|NGO|
NGO|CGQ,|CGQ|ICN|NGO|
NGO|CIH,|CIH|PEK|DLC|NGO|
NGO|CNX,|CNX|CAN|PVG|NGO|
NGO|CZX,|CZX|SHE|NGO|
NGO|DAC,|DAC|CAN|PVG|NGO|
NGO|DAD,|DAD|CAN|PVG|NGO|
NGO|DEL,|DEL|CAN|PVG|NGO|
NGO|DIG,|DIG|KMG|KWE|PVG|NGO|
NGO|DLC,|DLC|NGO|
NGO|DPS,|DPS|SZX|PVG|NGO|
NGO|DXB,|DXB|CAN|PVG|NGO|
NGO|DYG,|DYG|CSX|PVG|NGO|
NGO|FUG,|FUG|CAN|PVG|NGO|
NGO|FUK,|FUK|ICN|NGO|
NGO|HAK,|HAK|PVG|NGO|
NGO|HAN,|HAN|CAN|PVG|NGO|
NGO|HDG,|HDG|CAN|PVG|NGO|
NGO|HET,|HET|DLC|NGO|
NGO|HFE,|HFE|CSX|PVG|NGO|
NGO|HJJ,|HJJ|CSX|PVG|NGO|
NGO|HKT,|HKT|CAN|PVG|NGO|
NGO|HRB,|HRB|ICN|NGO|
NGO|HZH,|HZH|CAN|PVG|NGO|
NGO|JIU,|JIU|CAN|PVG|NGO|
NGO|JJN,|JJN|WUH|PVG|NGO|
NGO|JNG,|JNG|CAN|PVG|NGO|
NGO|KHN,|KHN|DLC|NGO|
NGO|KIX,|KIX|SHE|NGO|
NGO|KOW,|KOW|CAN|PVG|NGO|
NGO|KTM,|KTM|CAN|PVG|NGO|
NGO|KUL,|KUL|PVG|NGO|
NGO|KWE,|KWE|PVG|NGO|
NGO|KWL,|KWL|PVG|NGO|
NGO|LHW,|LHW|TNA|DLC|NGO|
NGO|LYA,|LYA|KHN|DLC|NGO|
NGO|LYG,|LYG|HSN|PEK|DLC|NGO|
NGO|LZH,|LZH|CAN|PVG|NGO|
NGO|MEL,|MEL|SYD|ICN|NGO|
NGO|MIG,|MIG|CSX|PVG|NGO|
