NDG|YAM,|YAM|YYZ|PVG|NDG|
NDG|YGK,|YGK|YYZ|PVG|NDG|
NDG|YQG,|YQG|YYZ|PVG|NDG|
NDG|YSB,|YSB|YYZ|PVG|NDG|
NDG|YTS,|YTS|YYZ|PVG|NDG|
NDG|YYB,|YYB|YYZ|PVG|NDG|
NDG|YZR,|YZR|YYZ|PVG|NDG|
NDG|CAN,|CAN|PVG|NDG|
NDG|URC,|URC|PVG|NDG|
NDG|CTU,|CTU|WUH|PVG|NDG|
NDG|HGH,|HGH|TAO|PVG|NDG|
NDG|XMN,|XMN|WUH|PVG|NDG|
NDG|CGO,|CGO|PVG|NDG|
NDG|CSX,|CSX|PVG|NDG|
NDG|SHE,|SHE|PVG|NDG|
NDG|SJW,|SJW|DLC|PVG|NDG|
NDG|WUH,|WUH|PVG|NDG|
NDG|SZX,|SZX|PVG|NDG|
NDG|CKG,|CKG|WUH|PVG|NDG|
NDG|KMG,|KMG|KWE|PVG|NDG|
NDG|FOC,|FOC|WUH|PVG|NDG|
NDG|NNG,|NNG|PVG|NDG|
NDG|SWA,|SWA|CSX|PVG|NDG|
NDG|ACX,|ACX|CAN|PVG|NDG|
NDG|AQG,|AQG|CAN|PVG|NDG|
NDG|AVA,|AVA|CAN|PVG|NDG|
NDG|BFJ,|BFJ|CAN|PVG|NDG|
NDG|BHY,|BHY|CAN|PVG|NDG|
NDG|BNE,|BNE|CAN|PVG|NDG|
NDG|CGD,|CGD|CAN|PVG|NDG|
NDG|CGK,|CGK|CAN|PVG|NDG|
NDG|CGQ,|CGQ|PVG|NDG|
NDG|CIH,|CIH|PEK|PVG|NDG|
NDG|CNX,|CNX|CAN|PVG|NDG|
NDG|CZX,|CZX|CSX|PVG|NDG|
NDG|DAC,|DAC|CAN|PVG|NDG|
NDG|DAD,|DAD|CAN|PVG|NDG|
NDG|DEL,|DEL|CAN|PVG|NDG|
NDG|DIG,|DIG|KMG|KWE|PVG|NDG|
NDG|DLC,|DLC|PVG|NDG|
NDG|DPS,|DPS|SZX|PVG|NDG|
NDG|DXB,|DXB|CAN|PVG|NDG|
NDG|DYG,|DYG|CSX|PVG|NDG|
NDG|FUG,|FUG|CAN|PVG|NDG|
NDG|FUK,|FUK|ICN|PVG|NDG|
NDG|HAK,|HAK|PVG|NDG|
NDG|HAN,|HAN|CAN|PVG|NDG|
NDG|HDG,|HDG|CAN|PVG|NDG|
NDG|HET,|HET|TAO|PVG|NDG|
NDG|HFE,|HFE|CSX|PVG|NDG|
NDG|HJJ,|HJJ|CSX|PVG|NDG|
