YYC|BSR,|BSR|IST|FRA|YYC|
YYC|BUD,|BUD|IST|FRA|YYC|
YYC|BUS,|BUS|IST|FRA|YYC|
YYC|CAI,|CAI|IST|FRA|YYC|
YYC|CGN,|CGN|IST|FRA|YYC|
YYC|CMN,|CMN|IST|FRA|YYC|
YYC|CND,|CND|IST|FRA|YYC|
YYC|DAR,|DAR|IST|FRA|YYC|
YYC|DLM,|DLM|IST|FRA|YYC|
YYC|DMM,|DMM|IST|FRA|YYC|
YYC|DNK,|DNK|IST|FRA|YYC|
YYC|DNZ,|DNZ|IST|FRA|YYC|
YYC|DOK,|DOK|IST|FRA|YYC|
YYC|DUS,|DUS|ORD|YYC|
YYC|EDI,|EDI|EWR|YYC|
YYC|ELQ,|ELQ|IST|FRA|YYC|
YYC|FDH,|FDH|IST|FRA|YYC|
YYC|GOA,|GOA|IST|FRA|YYC|
YYC|GOT,|GOT|BRU|YUL|YYC|
YYC|HAJ,|HAJ|BRU|YUL|YYC|
YYC|HBE,|HBE|IST|FRA|YYC|
YYC|HEL,|HEL|IST|FRA|YYC|
YYC|HRG,|HRG|IST|FRA|YYC|
YYC|IFN,|IFN|IST|FRA|YYC|
YYC|ISE,|ISE|IST|FRA|YYC|
YYC|ISU,|ISU|IST|FRA|YYC|
YYC|JIB,|JIB|IST|FRA|YYC|
YYC|JRO,|JRO|IST|FRA|YYC|
YYC|KAN,|KAN|IST|FRA|YYC|
YYC|KBL,|KBL|IST|FRA|YYC|
YYC|KBP,|KBP|IST|FRA|YYC|
YYC|KFS,|KFS|IST|FRA|YYC|
YYC|KHI,|KHI|IST|FRA|YYC|
YYC|KIV,|KIV|IST|FRA|YYC|
YYC|KRT,|KRT|IST|FRA|YYC|
YYC|KSH,|KSH|IST|FRA|YYC|
YYC|KVD,|KVD|IST|FRA|YYC|
YYC|KWI,|KWI|SAW|FRA|YYC|
YYC|KYA,|KYA|IST|FRA|YYC|
YYC|KZN,|KZN|IST|FRA|YYC|
YYC|KZR,|KZR|IST|FRA|YYC|
YYC|LED,|LED|VIE|YYZ|YYC|
YYC|LEJ,|LEJ|IST|FRA|YYC|
YYC|LGW,|LGW|IST|FRA|YYC|
YYC|LHE,|LHE|IST|FRA|YYC|
YYC|LIS,|LIS|EWR|YYC|
YYC|LJU,|LJU|IST|FRA|YYC|
YYC|LOS,|LOS|FRA|YYC|
YYC|LUX,|LUX|IST|FRA|YYC|
YYC|LWO,|LWO|IST|FRA|YYC|
YYC|LYS,|LYS|IST|FRA|YYC|
YYC|MAD,|MAD|EWR|YYC|
YYC|MAN,|MAN|EWR|YYC|
YYC|MED,|MED|IST|FRA|YYC|
YYC|MHD,|MHD|IST|FRA|YYC|
YYC|MLA,|MLA|IST|FRA|YYC|
YYC|MRS,|MRS|IST|FRA|YYC|
YYC|MSQ,|MSQ|IST|FRA|YYC|
YYC|MXP,|MXP|EWR|YYC|
YYC|MZH,|MZH|IST|FRA|YYC|
YYC|MZR,|MZR|IST|FRA|YYC|
YYC|NAJ,|NAJ|IST|FRA|YYC|
YYC|NAV,|NAV|IST|FRA|YYC|
YYC|NCE,|NCE|IST|FRA|YYC|
YYC|NIM,|NIM|IST|FRA|YYC|
