MKE|CSX,|CSX|PEK|ORD|MKE|
MKE|SHE,|SHE|PEK|ORD|MKE|
MKE|SJW,|SJW|DLC|PEK|ORD|MKE|
MKE|WUH,|WUH|PEK|ORD|MKE|
MKE|SZX,|SZX|PEK|ORD|MKE|
MKE|CKG,|CKG|PEK|ORD|MKE|
MKE|KMG,|KMG|PEK|ORD|MKE|
MKE|FOC,|FOC|PEK|ORD|MKE|
MKE|NNG,|NNG|PEK|ORD|MKE|
MKE|SWA,|SWA|PEK|ORD|MKE|
MKE|ACX,|ACX|CAN|PEK|ORD|MKE|
MKE|AQG,|AQG|CAN|PEK|ORD|MKE|
MKE|AVA,|AVA|CAN|PEK|ORD|MKE|
MKE|BFJ,|BFJ|CAN|PEK|ORD|MKE|
MKE|BHY,|BHY|CGO|PEK|ORD|MKE|
MKE|BNE,|BNE|CAN|PEK|ORD|MKE|
MKE|CGD,|CGD|PEK|ORD|MKE|
MKE|CGK,|CGK|CAN|PEK|ORD|MKE|
MKE|CGQ,|CGQ|PEK|ORD|MKE|
MKE|CIH,|CIH|PEK|ORD|MKE|
MKE|CNX,|CNX|CAN|PEK|ORD|MKE|
MKE|CZX,|CZX|SHE|PEK|ORD|MKE|
MKE|DAC,|DAC|IST|YYZ|MKE|
MKE|DAD,|DAD|CAN|PEK|ORD|MKE|
MKE|DEL,|DEL|EWR|MKE|
MKE|DIG,|DIG|KMG|PEK|ORD|MKE|
MKE|DLC,|DLC|PEK|ORD|MKE|
MKE|DPS,|DPS|SZX|PEK|ORD|MKE|
MKE|DXB,|DXB|IST|YYZ|MKE|
MKE|DYG,|DYG|PEK|ORD|MKE|
MKE|FUG,|FUG|CAN|PEK|ORD|MKE|
MKE|FUK,|FUK|ICN|SEA|MKE|
MKE|HAK,|HAK|PEK|ORD|MKE|
MKE|HAN,|HAN|PEK|ORD|MKE|
MKE|HDG,|HDG|CAN|PEK|ORD|MKE|
MKE|HET,|HET|DLC|PEK|ORD|MKE|
MKE|HFE,|HFE|XIY|PEK|ORD|MKE|
MKE|HJJ,|HJJ|CSX|PEK|ORD|MKE|
MKE|HKT,|HKT|KWE|PEK|ORD|MKE|
MKE|HRB,|HRB|PEK|ORD|MKE|
MKE|HZH,|HZH|CAN|PEK|ORD|MKE|
MKE|JIU,|JIU|CAN|PEK|ORD|MKE|
MKE|JJN,|JJN|PEK|ORD|MKE|
MKE|JNG,|JNG|CAN|PEK|ORD|MKE|
MKE|KHN,|KHN|DLC|PEK|ORD|MKE|
MKE|KIX,|KIX|SFO|MKE|
MKE|KOW,|KOW|PEK|ORD|MKE|
MKE|KTM,|KTM|IST|YYZ|MKE|
MKE|KUL,|KUL|CAN|PEK|ORD|MKE|
MKE|KWE,|KWE|PEK|ORD|MKE|
MKE|KWL,|KWL|PEK|ORD|MKE|
MKE|LHW,|LHW|CGO|PEK|ORD|MKE|
MKE|LYA,|LYA|KHN|DLC|PEK|ORD|MKE|
MKE|LYG,|LYG|HSN|PEK|ORD|MKE|
MKE|LZH,|LZH|CAN|PEK|ORD|MKE|
MKE|MEL,|MEL|SYD|LAX|MKE|
MKE|MIG,|MIG|CSX|PEK|ORD|MKE|
MKE|MLE,|MLE|IST|YYZ|MKE|
MKE|MNL,|MNL|XMN|PEK|ORD|MKE|
MKE|MXZ,|MXZ|CAN|PEK|ORD|MKE|
MKE|NAO,|NAO|PEK|ORD|MKE|
MKE|NGB,|NGB|PEK|ORD|MKE|
MKE|NKG,|NKG|DLC|PEK|ORD|MKE|
MKE|NNY,|NNY|CGO|PEK|ORD|MKE|
MKE|PEN,|PEN|CAN|PEK|ORD|MKE|
MKE|PER,|PER|CAN|PEK|ORD|MKE|
MKE|PNH,|PNH|CAN|PEK|ORD|MKE|
MKE|REP,|REP|CAN|PEK|ORD|MKE|
MKE|RGN,|RGN|CAN|PEK|ORD|MKE|
MKE|SGN,|SGN|CAN|PEK|ORD|MKE|
MKE|SHA,|SHA|PEK|ORD|MKE|
MKE|SIN,|SIN|HKG|ORD|MKE|
MKE|SVO,|SVO|URC|TSE|FRA|YYZ|MKE|
MKE|SYX,|SYX|PEK|ORD|MKE|
MKE|TAO,|TAO|DLC|PEK|ORD|MKE|
MKE|TEN,|TEN|PEK|ORD|MKE|
MKE|TNA,|TNA|DLC|PEK|ORD|MKE|
MKE|TPE,|TPE|PVG|ORD|MKE|
MKE|TSN,|TSN|DLC|PEK|ORD|MKE|
MKE|TXN,|TXN|DLC|PEK|ORD|MKE|
MKE|TYN,|TYN|DAT|CIH|PEK|ORD|MKE|
MKE|WNZ,|WNZ|CGO|PEK|ORD|MKE|
MKE|WUX,|WUX|CAN|PEK|ORD|MKE|
MKE|XFN,|XFN|XMN|PEK|ORD|MKE|
MKE|XIY,|XIY|PEK|ORD|MKE|
MKE|XUZ,|XUZ|LYG|HSN|PEK|ORD|MKE|
MKE|YIH,|YIH|CKG|PEK|ORD|MKE|
MKE|YIW,|YIW|PEK|ORD|MKE|
MKE|YNT,|YNT|SHE|PEK|ORD|MKE|
MKE|YNZ,|YNZ|DLC|PEK|ORD|MKE|
MKE|YTY,|YTY|DLC|PEK|ORD|MKE|
MKE|ZHA,|ZHA|CAN|PEK|ORD|MKE|
MKE|ZYI,|ZYI|PEK|ORD|MKE|
MKE|BAV,|BAV|CGO|PEK|ORD|MKE|
MKE|CJU,|CJU|DLC|PEK|ORD|MKE|
MKE|DSN,|DSN|CGO|PEK|ORD|MKE|
MKE|HMI,|HMI|URC|TSE|FRA|YYZ|MKE|
MKE|INC,|INC|PEK|ORD|MKE|
MKE|KHH,|KHH|CGO|PEK|ORD|MKE|
MKE|UYN,|UYN|CGO|PEK|ORD|MKE|
MKE|XNN,|XNN|PEK|ORD|MKE|
