KRY|GGT,|GGT|FLL|MCO|FRA|TSE|URC|KRY|
KRY|GND,|GND|YYZ|FRA|TSE|URC|KRY|
KRY|GRU,|GRU|IST|URC|KRY|
KRY|HAV,|HAV|YYZ|FRA|TSE|URC|KRY|
KRY|IND,|IND|YYZ|FRA|TSE|URC|KRY|
KRY|JFK,|JFK|FRA|TSE|URC|KRY|
KRY|KIN,|KIN|YYZ|FRA|TSE|URC|KRY|
KRY|LIM,|LIM|MIA|FRA|TSE|URC|KRY|
KRY|LIR,|LIR|EWR|FRA|TSE|URC|KRY|
KRY|MCI,|MCI|ORD|FRA|TSE|URC|KRY|
KRY|MDT,|MDT|IAD|FRA|TSE|URC|KRY|
KRY|MIA,|MIA|FRA|TSE|URC|KRY|
KRY|MKE,|MKE|YYZ|FRA|TSE|URC|KRY|
KRY|MSP,|MSP|YUL|FRA|TSE|URC|KRY|
KRY|NAS,|NAS|EWR|FRA|TSE|URC|KRY|
KRY|PHL,|PHL|IAD|FRA|TSE|URC|KRY|
KRY|PHX,|PHX|SEA|PEK|URC|KRY|
KRY|PIT,|PIT|YYZ|FRA|TSE|URC|KRY|
KRY|PLS,|PLS|EWR|FRA|TSE|URC|KRY|
KRY|POP,|POP|EWR|FRA|TSE|URC|KRY|
KRY|RDU,|RDU|EWR|FRA|TSE|URC|KRY|
KRY|ROC,|ROC|YYZ|FRA|TSE|URC|KRY|
KRY|RSW,|RSW|MCO|FRA|TSE|URC|KRY|
KRY|SAN,|SAN|LAX|PEK|URC|KRY|
KRY|SJO,|SJO|EWR|FRA|TSE|URC|KRY|
KRY|STL,|STL|DTW|FRA|TSE|URC|KRY|
KRY|SYR,|SYR|EWR|FRA|TSE|URC|KRY|
KRY|TLV,|TLV|SAW|TBS|URC|KRY|
KRY|TPA,|TPA|EWR|FRA|TSE|URC|KRY|
KRY|UVF,|UVF|EWR|FRA|TSE|URC|KRY|
KRY|VIE,|VIE|IST|URC|KRY|
KRY|YAM,|YAM|YYZ|FRA|TSE|URC|KRY|
KRY|YGK,|YGK|YYZ|FRA|TSE|URC|KRY|
KRY|YQG,|YQG|YYZ|FRA|TSE|URC|KRY|
KRY|YSB,|YSB|YYZ|FRA|TSE|URC|KRY|
KRY|YTS,|YTS|YYZ|FRA|TSE|URC|KRY|
KRY|YYB,|YYB|YYZ|FRA|TSE|URC|KRY|
KRY|YZR,|YZR|YYZ|FRA|TSE|URC|KRY|
KRY|CAN,|CAN|URC|KRY|
KRY|URC,|URC|KRY|
KRY|CTU,|CTU|URC|KRY|
KRY|HGH,|HGH|URC|KRY|
KRY|XMN,|XMN|CSX|URC|KRY|
KRY|CGO,|CGO|URC|KRY|
KRY|CSX,|CSX|URC|KRY|
KRY|SHE,|SHE|HET|URC|KRY|
KRY|SJW,|SJW|URC|KRY|
KRY|WUH,|WUH|URC|KRY|
KRY|SZX,|SZX|CKG|URC|KRY|
KRY|CKG,|CKG|URC|KRY|
KRY|KMG,|KMG|CTU|URC|KRY|
KRY|FOC,|FOC|XIY|URC|KRY|
KRY|NNG,|NNG|KWE|URC|KRY|
KRY|SWA,|SWA|CSX|URC|KRY|
KRY|ACX,|ACX|CAN|URC|KRY|
KRY|AQG,|AQG|CAN|URC|KRY|
KRY|AVA,|AVA|CAN|URC|KRY|
KRY|BFJ,|BFJ|CAN|URC|KRY|
KRY|BHY,|BHY|CKG|URC|KRY|
KRY|BNE,|BNE|CAN|URC|KRY|
KRY|CGD,|CGD|PEK|URC|KRY|
KRY|CGK,|CGK|CAN|URC|KRY|
KRY|CGQ,|CGQ|HET|URC|KRY|
KRY|CIH,|CIH|DAT|TYN|URC|KRY|
KRY|CNX,|CNX|CAN|URC|KRY|
KRY|CZX,|CZX|TYN|URC|KRY|
KRY|DAC,|DAC|CAN|URC|KRY|
KRY|DAD,|DAD|CAN|URC|KRY|
KRY|DEL,|DEL|CAN|URC|KRY|
KRY|DIG,|DIG|KMG|CTU|URC|KRY|
KRY|DLC,|DLC|PEK|URC|KRY|
KRY|DPS,|DPS|CAN|URC|KRY|
KRY|DXB,|DXB|IST|URC|KRY|
KRY|DYG,|DYG|CSX|URC|KRY|
KRY|FUG,|FUG|CAN|URC|KRY|
KRY|FUK,|FUK|ICN|PEK|URC|KRY|
KRY|HAK,|HAK|CTU|URC|KRY|
KRY|HAN,|HAN|CAN|URC|KRY|
KRY|HDG,|HDG|CAN|URC|KRY|
KRY|HET,|HET|URC|KRY|
KRY|HFE,|HFE|XIY|URC|KRY|
KRY|HJJ,|HJJ|CSX|URC|KRY|
KRY|HKT,|HKT|KWE|URC|KRY|
KRY|HRB,|HRB|PEK|URC|KRY|
KRY|HZH,|HZH|CAN|URC|KRY|
KRY|JIU,|JIU|CAN|URC|KRY|
KRY|JJN,|JJN|CSX|URC|KRY|
KRY|JNG,|JNG|CAN|URC|KRY|
KRY|KHN,|KHN|XIY|URC|KRY|
KRY|KIX,|KIX|DLC|PEK|URC|KRY|
KRY|KOW,|KOW|CAN|URC|KRY|
KRY|KTM,|KTM|CAN|URC|KRY|
KRY|KUL,|KUL|BKK|NNG|KWE|URC|KRY|
KRY|KWE,|KWE|URC|KRY|
KRY|KWL,|KWL|CKG|URC|KRY|
KRY|LHW,|LHW|URC|KRY|
KRY|LYA,|LYA|KHN|XIY|URC|KRY|
KRY|LYG,|LYG|XUZ|INC|URC|KRY|
KRY|LZH,|LZH|CAN|URC|KRY|
KRY|MEL,|MEL|CAN|URC|KRY|
KRY|MIG,|MIG|CSX|URC|KRY|
KRY|MLE,|MLE|CAN|URC|KRY|
KRY|MNL,|MNL|CAN|URC|KRY|
KRY|MXZ,|MXZ|CAN|URC|KRY|
KRY|NAO,|NAO|PEK|URC|KRY|
KRY|NGB,|NGB|WUH|URC|KRY|
KRY|NKG,|NKG|URC|KRY|
KRY|NNY,|NNY|CGO|URC|KRY|
KRY|PEN,|PEN|CAN|URC|KRY|
KRY|PER,|PER|CAN|URC|KRY|
KRY|PNH,|PNH|CAN|URC|KRY|
KRY|REP,|REP|CAN|URC|KRY|
KRY|RGN,|RGN|CAN|URC|KRY|
KRY|SGN,|SGN|CAN|URC|KRY|
KRY|SHA,|SHA|URC|KRY|
KRY|SIN,|SIN|CAN|URC|KRY|
KRY|SVO,|SVO|URC|KRY|
KRY|SYX,|SYX|CKG|URC|KRY|
KRY|TAO,|TAO|TYN|URC|KRY|
KRY|TEN,|TEN|CAN|URC|KRY|
KRY|TNA,|TNA|URC|KRY|
KRY|TPE,|TPE|URC|KRY|
KRY|TSN,|TSN|HET|URC|KRY|
KRY|TXN,|TXN|TYN|URC|KRY|
KRY|TYN,|TYN|URC|KRY|
KRY|WNZ,|WNZ|XIY|URC|KRY|
KRY|WUX,|WUX|CAN|URC|KRY|
KRY|XFN,|XFN|CAN|URC|KRY|
KRY|XIY,|XIY|URC|KRY|
KRY|XUZ,|XUZ|INC|URC|KRY|
KRY|YIH,|YIH|CKG|URC|KRY|
KRY|YIW,|YIW|URC|KRY|
KRY|YNT,|YNT|SHE|HET|URC|KRY|
KRY|YNZ,|YNZ|WUH|URC|KRY|
KRY|YTY,|YTY|CGO|URC|KRY|
KRY|ZHA,|ZHA|CAN|URC|KRY|
KRY|ZYI,|ZYI|CAN|URC|KRY|
KRY|BAV,|BAV|URC|KRY|
KRY|CJU,|CJU|DLC|PEK|URC|KRY|
KRY|DSN,|DSN|CGO|URC|KRY|
KRY|HMI,|HMI|URC|KRY|
KRY|INC,|INC|URC|KRY|
KRY|KHH,|KHH|WUH|URC|KRY|
KRY|UYN,|UYN|XIY|URC|KRY|
KRY|XNN,|XNN|URC|KRY|
KRY|ZUH,|ZUH|KWE|URC|KRY|
KRY|YNJ,|YNJ|CGQ|HET|URC|KRY|
KRY|DAT,|DAT|TYN|URC|KRY|
KRY|JHG,|JHG|KMG|CTU|URC|KRY|
KRY|LJG,|LJG|KMG|CTU|URC|KRY|
KRY|LXA,|LXA|CKG|URC|KRY|
KRY|YCU,|YCU|CKG|URC|KRY|
KRY|LZO,|LZO|CSX|URC|KRY|
KRY|MDG,|MDG|DLC|PEK|URC|KRY|
KRY|NGO,|NGO|DLC|PEK|URC|KRY|
KRY|TOY,|TOY|DLC|PEK|URC|KRY|
KRY|MFM,|MFM|XMN|CSX|URC|KRY|
KRY|TGO,|TGO|HET|URC|KRY|
KRY|XIL,|XIL|HET|URC|KRY|
KRY|HEK,|HEK|HRB|PEK|URC|KRY|
KRY|KIJ,|KIJ|HRB|PEK|URC|KRY|
KRY|LDS,|LDS|HRB|PEK|URC|KRY|
KRY|OHE,|OHE|HRB|PEK|URC|KRY|
KRY|HSN,|HSN|LYG|XUZ|INC|URC|KRY|
KRY|DLU,|DLU|KMG|CTU|URC|KRY|
KRY|SYM,|SYM|KMG|CTU|URC|KRY|
KRY|ZAT,|ZAT|KMG|CTU|URC|KRY|
KRY|LUN,|LUN|NBO|IST|URC|KRY|
KRY|AOG,|AOG|PEK|URC|KRY|
KRY|GMP,|GMP|PEK|URC|KRY|
KRY|ISB,|ISB|URC|KRY|
KRY|TAS,|TAS|URC|KRY|
KRY|WUS,|WUS|PEK|URC|KRY|
KRY|JMU,|JMU|PVG|URC|KRY|
KRY|NDG,|NDG|PVG|URC|KRY|
KRY|JXA,|JXA|SHE|HET|URC|KRY|
KRY|PUS,|PUS|SHE|HET|URC|KRY|
KRY|BKI,|BKI|SZX|CKG|URC|KRY|
KRY|AKU,|AKU|URC|KRY|
KRY|ALA,|ALA|URC|KRY|
KRY|ASB,|ASB|URC|KRY|
KRY|DNH,|DNH|URC|KRY|
KRY|DYU,|DYU|URC|KRY|
KRY|FRU,|FRU|URC|KRY|
KRY|GYD,|GYD|URC|KRY|
KRY|HTN,|HTN|URC|KRY|
KRY|IKA,|IKA|URC|KRY|
KRY|KCA,|KCA|URC|KRY|
KRY|KHG,|KHG|URC|KRY|
KRY|KRL,|KRL|URC|KRY|
KRY|LBD,|LBD|URC|KRY|
KRY|NLT,|NLT|URC|KRY|
KRY|OSS,|OSS|URC|KRY|
KRY|OVB,|OVB|URC|KRY|
KRY|TBS,|TBS|URC|KRY|
KRY|TCG,|TCG|URC|KRY|
KRY|TSE,|TSE|URC|KRY|
KRY|YIN,|YIN|URC|KRY|
KRY|ENH,|ENH|WUH|URC|KRY|
KRY|ENY,|ENY|XIY|URC|KRY|
KRY|WXN,|WXN|XIY|URC|KRY|
KRY|BLL,|BLL|IST|URC|KRY|
KRY|ESB,|ESB|SAW|TBS|URC|KRY|
KRY|SAW,|SAW|TBS|URC|KRY|
KRY|HAM,|HAM|IST|URC|KRY|
KRY|HRE,|HRE|ADD|IST|URC|KRY|
KRY|JUB,|JUB|CAI|IST|URC|KRY|
KRY|SSG,|SSG|DLA|IST|URC|KRY|
KRY|BGW,|BGW|ESB|SAW|TBS|URC|KRY|
