ZAG|YKA,|YKA|YYC|FRA|IST|ZAG|
ZAG|YPR,|YPR|YVR|MUC|IST|ZAG|
ZAG|YQZ,|YQZ|YVR|MUC|IST|ZAG|
ZAG|YXC,|YXC|YYC|FRA|IST|ZAG|
ZAG|YXJ,|YXJ|YYC|FRA|IST|ZAG|
ZAG|YXS,|YXS|YYC|FRA|IST|ZAG|
ZAG|YXT,|YXT|YVR|MUC|IST|ZAG|
ZAG|YXY,|YXY|YVR|MUC|IST|ZAG|
ZAG|YYD,|YYD|YVR|MUC|IST|ZAG|
ZAG|YYF,|YYF|YVR|MUC|IST|ZAG|
ZAG|YZP,|YZP|YVR|MUC|IST|ZAG|
ZAG|YQT,|YQT|YYZ|IST|ZAG|
ZAG|SJD,|SJD|ORD|IST|ZAG|
ZAG|YQF,|YQF|YYC|FRA|IST|ZAG|
ZAG|YQL,|YQL|YYC|FRA|IST|ZAG|
ZAG|YXH,|YXH|YYC|FRA|IST|ZAG|
ZAG|YWK,|YWK|YYR|YYT|LHR|IST|ZAG|
ZAG|ANU,|ANU|EWR|BHX|IST|ZAG|
ZAG|AUA,|AUA|EWR|BHX|IST|ZAG|
ZAG|AUH,|AUH|IST|ZAG|
ZAG|BCN,|BCN|IST|ZAG|
ZAG|BDA,|BDA|EWR|BHX|IST|ZAG|
ZAG|BGI,|BGI|YYZ|IST|ZAG|
ZAG|BNA,|BNA|YYZ|IST|ZAG|
ZAG|BOG,|BOG|MIA|ZRH|IST|ZAG|
ZAG|BWI,|BWI|EWR|BHX|IST|ZAG|
ZAG|CLE,|CLE|YYZ|IST|ZAG|
ZAG|CLT,|CLT|EWR|BHX|IST|ZAG|
ZAG|CMH,|CMH|YYZ|IST|ZAG|
ZAG|CVG,|CVG|YYZ|IST|ZAG|
ZAG|DFW,|DFW|ORD|IST|ZAG|
ZAG|DTW,|DTW|FRA|IST|ZAG|
ZAG|DUB,|DUB|IST|ZAG|
ZAG|FCO,|FCO|IST|ZAG|
ZAG|GCM,|GCM|EWR|BHX|IST|ZAG|
ZAG|GGT,|GGT|FLL|MCO|FRA|IST|ZAG|
ZAG|GND,|GND|YYZ|IST|ZAG|
ZAG|GRU,|GRU|IST|ZAG|
ZAG|HAV,|HAV|YYZ|IST|ZAG|
ZAG|IND,|IND|YYZ|IST|ZAG|
ZAG|JFK,|JFK|IST|ZAG|
ZAG|KIN,|KIN|YYZ|IST|ZAG|
ZAG|LIM,|LIM|MIA|ZRH|IST|ZAG|
ZAG|LIR,|LIR|EWR|BHX|IST|ZAG|
ZAG|MCI,|MCI|ORD|IST|ZAG|
ZAG|MDT,|MDT|IAD|IST|ZAG|
ZAG|MIA,|MIA|ZRH|IST|ZAG|
ZAG|MKE,|MKE|YYZ|IST|ZAG|
ZAG|MSP,|MSP|YUL|FRA|IST|ZAG|
ZAG|NAS,|NAS|EWR|BHX|IST|ZAG|
ZAG|PHL,|PHL|IAD|IST|ZAG|
ZAG|PHX,|PHX|DEN|FRA|IST|ZAG|
ZAG|PIT,|PIT|YYZ|IST|ZAG|
ZAG|PLS,|PLS|EWR|BHX|IST|ZAG|
ZAG|POP,|POP|EWR|BHX|IST|ZAG|
ZAG|RDU,|RDU|EWR|BHX|IST|ZAG|
ZAG|ROC,|ROC|YYZ|IST|ZAG|
ZAG|RSW,|RSW|MCO|FRA|IST|ZAG|
ZAG|SAN,|SAN|LAX|IST|ZAG|
ZAG|SJO,|SJO|EWR|BHX|IST|ZAG|
ZAG|STL,|STL|ORD|IST|ZAG|
ZAG|SYR,|SYR|EWR|BHX|IST|ZAG|
ZAG|TLV,|TLV|IST|ZAG|
ZAG|TPA,|TPA|EWR|BHX|IST|ZAG|
ZAG|UVF,|UVF|EWR|BHX|IST|ZAG|
ZAG|VIE,|VIE|IST|ZAG|
ZAG|YAM,|YAM|YYZ|IST|ZAG|
ZAG|YGK,|YGK|YYZ|IST|ZAG|
ZAG|YQG,|YQG|YYZ|IST|ZAG|
ZAG|YSB,|YSB|YYZ|IST|ZAG|
ZAG|YTS,|YTS|YYZ|IST|ZAG|
ZAG|YYB,|YYB|YYZ|IST|ZAG|
ZAG|YZR,|YZR|YYZ|IST|ZAG|
ZAG|CAN,|CAN|IST|ZAG|
ZAG|URC,|URC|IST|ZAG|
ZAG|CTU,|CTU|URC|IST|ZAG|
ZAG|HGH,|HGH|URC|IST|ZAG|
ZAG|XMN,|XMN|CSX|URC|IST|ZAG|
ZAG|CGO,|CGO|URC|IST|ZAG|
