ADD|JJN,|JJN|CSX|URC|IST|ADD|
ADD|JNG,|JNG|CAN|IST|ADD|
ADD|KHN,|KHN|XIY|URC|IST|ADD|
ADD|KIX,|KIX|IST|ADD|
ADD|KOW,|KOW|CAN|IST|ADD|
ADD|KTM,|KTM|IST|ADD|
ADD|KUL,|KUL|IST|ADD|
ADD|KWE,|KWE|URC|IST|ADD|
ADD|KWL,|KWL|CKG|URC|IST|ADD|
ADD|LHW,|LHW|URC|IST|ADD|
ADD|LYA,|LYA|KHN|XIY|URC|IST|ADD|
ADD|LYG,|LYG|XUZ|INC|URC|IST|ADD|
ADD|LZH,|LZH|CAN|IST|ADD|
ADD|MEL,|MEL|BKK|IST|ADD|
ADD|MIG,|MIG|CSX|URC|IST|ADD|
ADD|MLE,|MLE|IST|ADD|
ADD|MNL,|MNL|CAN|IST|ADD|
ADD|MXZ,|MXZ|CAN|IST|ADD|
ADD|NAO,|NAO|PEK|IST|ADD|
ADD|NGB,|NGB|WUH|URC|IST|ADD|
ADD|NKG,|NKG|URC|IST|ADD|
ADD|NNY,|NNY|CGO|URC|IST|ADD|
ADD|PEN,|PEN|CAN|IST|ADD|
ADD|PER,|PER|BKK|IST|ADD|
ADD|PNH,|PNH|CAN|IST|ADD|
ADD|REP,|REP|CAN|IST|ADD|
ADD|RGN,|RGN|CAN|IST|ADD|
ADD|SGN,|SGN|BKK|IST|ADD|
ADD|SHA,|SHA|URC|IST|ADD|
ADD|SIN,|SIN|IST|ADD|
ADD|SVO,|SVO|URC|IST|ADD|
ADD|SYX,|SYX|CKG|URC|IST|ADD|
ADD|TAO,|TAO|TYN|URC|IST|ADD|
ADD|TEN,|TEN|CAN|IST|ADD|
ADD|TNA,|TNA|URC|IST|ADD|
ADD|TPE,|TPE|URC|IST|ADD|
ADD|TSN,|TSN|HET|URC|IST|ADD|
ADD|TXN,|TXN|TYN|URC|IST|ADD|
ADD|TYN,|TYN|URC|IST|ADD|
ADD|WNZ,|WNZ|XIY|URC|IST|ADD|
ADD|WUX,|WUX|CAN|IST|ADD|
ADD|XFN,|XFN|CAN|IST|ADD|
ADD|XIY,|XIY|URC|IST|ADD|
ADD|XUZ,|XUZ|INC|URC|IST|ADD|
ADD|YIH,|YIH|CKG|URC|IST|ADD|
ADD|YIW,|YIW|URC|IST|ADD|
ADD|YNT,|YNT|SHE|PEK|IST|ADD|
ADD|YNZ,|YNZ|WUH|URC|IST|ADD|
ADD|YTY,|YTY|CGO|URC|IST|ADD|
ADD|ZHA,|ZHA|CAN|IST|ADD|
ADD|ZYI,|ZYI|CAN|IST|ADD|
ADD|BAV,|BAV|URC|IST|ADD|
ADD|CJU,|CJU|DLC|PEK|IST|ADD|
ADD|DSN,|DSN|CGO|URC|IST|ADD|
ADD|HMI,|HMI|URC|IST|ADD|
ADD|INC,|INC|URC|IST|ADD|
ADD|KHH,|KHH|WUH|URC|IST|ADD|
ADD|UYN,|UYN|XIY|URC|IST|ADD|
ADD|XNN,|XNN|URC|IST|ADD|
ADD|ZUH,|ZUH|KWE|URC|IST|ADD|
ADD|YNJ,|YNJ|PEK|IST|ADD|
ADD|DAT,|DAT|TYN|URC|IST|ADD|
ADD|JHG,|JHG|KMG|CTU|URC|IST|ADD|
ADD|LJG,|LJG|KMG|CTU|URC|IST|ADD|
ADD|LXA,|LXA|CKG|URC|IST|ADD|
ADD|YCU,|YCU|CKG|URC|IST|ADD|
ADD|LZO,|LZO|CSX|URC|IST|ADD|
ADD|MDG,|MDG|DLC|PEK|IST|ADD|
ADD|NGO,|NGO|ICN|IST|ADD|
ADD|TOY,|TOY|DLC|PEK|IST|ADD|
ADD|MFM,|MFM|XMN|CSX|URC|IST|ADD|
ADD|TGO,|TGO|HET|URC|IST|ADD|
ADD|XIL,|XIL|HET|URC|IST|ADD|
ADD|HEK,|HEK|HRB|PEK|IST|ADD|
ADD|KIJ,|KIJ|HRB|PEK|IST|ADD|
ADD|LDS,|LDS|HRB|PEK|IST|ADD|
ADD|OHE,|OHE|HRB|PEK|IST|ADD|
ADD|HSN,|HSN|LYG|XUZ|INC|URC|IST|ADD|
ADD|DLU,|DLU|KMG|CTU|URC|IST|ADD|
ADD|SYM,|SYM|KMG|CTU|URC|IST|ADD|
ADD|ZAT,|ZAT|KMG|CTU|URC|IST|ADD|
ADD|LUN,|LUN|HRE|ADD|
ADD|AOG,|AOG|PEK|IST|ADD|
ADD|GMP,|GMP|PEK|IST|ADD|
ADD|ISB,|ISB|IST|ADD|
ADD|TAS,|TAS|IST|ADD|
ADD|WUS,|WUS|PEK|IST|ADD|
ADD|JMU,|JMU|PVG|IST|ADD|
ADD|NDG,|NDG|PVG|IST|ADD|
ADD|JXA,|JXA|SHE|PEK|IST|ADD|
ADD|PUS,|PUS|SHE|PEK|IST|ADD|
ADD|BKI,|BKI|SZX|CKG|URC|IST|ADD|
ADD|AKU,|AKU|URC|IST|ADD|
ADD|ALA,|ALA|IST|ADD|
ADD|ASB,|ASB|IST|ADD|
ADD|DNH,|DNH|URC|IST|ADD|
ADD|DYU,|DYU|IST|ADD|
ADD|FRU,|FRU|IST|ADD|
ADD|GYD,|GYD|IST|ADD|
ADD|HTN,|HTN|URC|IST|ADD|
ADD|IKA,|IKA|IST|ADD|
ADD|KCA,|KCA|URC|IST|ADD|
ADD|KHG,|KHG|URC|IST|ADD|
ADD|KRL,|KRL|URC|IST|ADD|
ADD|KRY,|KRY|URC|IST|ADD|
ADD|LBD,|LBD|URC|IST|ADD|
ADD|NLT,|NLT|URC|IST|ADD|
ADD|OSS,|OSS|IST|ADD|
ADD|OVB,|OVB|IST|ADD|
ADD|TBS,|TBS|IST|ADD|
ADD|TCG,|TCG|URC|IST|ADD|
ADD|TSE,|TSE|IST|ADD|
ADD|YIN,|YIN|URC|IST|ADD|
ADD|ENH,|ENH|WUH|URC|IST|ADD|
ADD|ENY,|ENY|XIY|URC|IST|ADD|
ADD|WXN,|WXN|XIY|URC|IST|ADD|
ADD|BLL,|BLL|IST|ADD|
ADD|ESB,|ESB|IST|ADD|
ADD|SAW,|SAW|ADB|IST|ADD|
ADD|HAM,|HAM|IST|ADD|
ADD|HRE,|HRE|ADD|
ADD|JUB,|JUB|ADD|
ADD|SSG,|SSG|ADD|
ADD|BGW,|BGW|IST|ADD|
ADD|EBL,|EBL|IST|ADD|
ADD|VKO,|VKO|IST|ADD|
ADD|MCT,|MCT|IST|ADD|
ADD|AYT,|AYT|IST|ADD|
ADD|SCQ,|SCQ|BIO|IST|ADD|
ADD|AAL,|AAL|IST|ADD|
ADD|AOE,|AOE|BRU|IST|ADD|
ADD|JNB,|JNB|IST|ADD|
ADD|LBV,|LBV|DLA|ADD|
ADD|ADA,|ADA|IST|ADD|
ADD|ADB,|ADB|IST|ADD|
ADD|ADF,|ADF|IST|ADD|
ADD|AJI,|AJI|IST|ADD|
ADD|BAL,|BAL|IST|ADD|
ADD|BJV,|BJV|IST|ADD|
ADD|CKZ,|CKZ|ESB|IST|ADD|
ADD|DIY,|DIY|IST|ADD|
ADD|ECN,|ECN|IST|ADD|
ADD|ERC,|ERC|IST|ADD|
ADD|ERZ,|ERZ|IST|ADD|
ADD|EZS,|EZS|IST|ADD|
ADD|GNY,|GNY|IST|ADD|
ADD|GZP,|GZP|ESB|IST|ADD|
ADD|GZT,|GZT|IST|ADD|
ADD|HTY,|HTY|IST|ADD|
ADD|KCM,|KCM|IST|ADD|
ADD|KSY,|KSY|IST|ADD|
ADD|MLX,|MLX|IST|ADD|
ADD|MQM,|MQM|IST|ADD|
ADD|MSR,|MSR|IST|ADD|
ADD|TEQ,|TEQ|ESB|IST|ADD|
ADD|TZX,|TZX|IST|ADD|
ADD|VAN,|VAN|IST|ADD|
ADD|ULN,|ULN|FRU|IST|ADD|
ADD|HIJ,|HIJ|ICN|IST|ADD|
ADD|VVO,|VVO|ICN|IST|ADD|
ADD|ACC,|ACC|IST|ADD|
ADD|AER,|AER|IST|ADD|
ADD|AGP,|AGP|IST|ADD|
ADD|ALG,|ALG|IST|ADD|
ADD|AMM,|AMM|IST|ADD|
ADD|AQJ,|AQJ|IST|ADD|
ADD|ARN,|ARN|IST|ADD|
ADD|ASR,|ASR|IST|ADD|
ADD|ATH,|ATH|IST|ADD|
ADD|BAH,|BAH|IST|ADD|
ADD|BEG,|BEG|IST|ADD|
ADD|BEN,|BEN|IST|ADD|
ADD|BEY,|BEY|IST|ADD|
ADD|BHX,|BHX|IST|ADD|
ADD|BIO,|BIO|IST|ADD|
ADD|BLQ,|BLQ|IST|ADD|
ADD|BOM,|BOM|IST|ADD|
ADD|BRE,|BRE|IST|ADD|
ADD|BSL,|BSL|IST|ADD|
ADD|BSR,|BSR|IST|ADD|
ADD|BUD,|BUD|IST|ADD|
ADD|BUS,|BUS|IST|ADD|
ADD|CAI,|CAI|JUB|ADD|
ADD|CGN,|CGN|IST|ADD|
ADD|CMN,|CMN|IST|ADD|
ADD|CND,|CND|IST|ADD|
ADD|DAR,|DAR|NBO|LUN|HRE|ADD|
ADD|DLM,|DLM|IST|ADD|
ADD|DMM,|DMM|IST|ADD|
ADD|DNK,|DNK|IST|ADD|
ADD|DNZ,|DNZ|IST|ADD|
ADD|DOK,|DOK|IST|ADD|
ADD|DUS,|DUS|IST|ADD|
ADD|EDI,|EDI|IST|ADD|
ADD|ELQ,|ELQ|IST|ADD|
ADD|FDH,|FDH|IST|ADD|
ADD|GOA,|GOA|IST|ADD|
ADD|GOT,|GOT|IST|ADD|
ADD|HAJ,|HAJ|IST|ADD|
ADD|HBE,|HBE|IST|ADD|
ADD|HEL,|HEL|IST|ADD|
ADD|HRG,|HRG|IST|ADD|
ADD|IFN,|IFN|IST|ADD|
ADD|ISE,|ISE|IST|ADD|
ADD|ISU,|ISU|IST|ADD|
ADD|JIB,|JIB|IST|ADD|
ADD|JRO,|JRO|IST|ADD|
ADD|KAN,|KAN|IST|ADD|
ADD|KBL,|KBL|IST|ADD|
ADD|KBP,|KBP|IST|ADD|
ADD|KFS,|KFS|IST|ADD|
ADD|KHI,|KHI|IST|ADD|
ADD|KIV,|KIV|IST|ADD|
ADD|KRT,|KRT|IST|ADD|
ADD|KSH,|KSH|IST|ADD|
ADD|KVD,|KVD|IST|ADD|
ADD|KWI,|KWI|IST|ADD|
ADD|KYA,|KYA|IST|ADD|
ADD|KZN,|KZN|IST|ADD|
ADD|KZR,|KZR|IST|ADD|
ADD|LED,|LED|IST|ADD|
ADD|LEJ,|LEJ|IST|ADD|
ADD|LGW,|LGW|IST|ADD|
ADD|LHE,|LHE|IST|ADD|
ADD|LIS,|LIS|IST|ADD|
ADD|LJU,|LJU|IST|ADD|
ADD|LOS,|LOS|IST|ADD|
ADD|LUX,|LUX|IST|ADD|
ADD|LWO,|LWO|IST|ADD|
ADD|LYS,|LYS|IST|ADD|
ADD|MAD,|MAD|IST|ADD|
ADD|MAN,|MAN|IST|ADD|
ADD|MED,|MED|IST|ADD|
ADD|MHD,|MHD|IST|ADD|
ADD|MLA,|MLA|IST|ADD|
ADD|MRS,|MRS|IST|ADD|
ADD|MSQ,|MSQ|IST|ADD|
ADD|MXP,|MXP|IST|ADD|
ADD|MZH,|MZH|IST|ADD|
ADD|MZR,|MZR|IST|ADD|
ADD|NAJ,|NAJ|IST|ADD|
ADD|NAV,|NAV|IST|ADD|
ADD|NCE,|NCE|IST|ADD|
ADD|NIM,|NIM|IST|ADD|
ADD|NJF,|NJF|IST|ADD|
ADD|NSI,|NSI|DLA|ADD|
ADD|NUE,|NUE|IST|ADD|
ADD|ODS,|ODS|IST|ADD|
ADD|ORN,|ORN|IST|ADD|
ADD|OTP,|OTP|IST|ADD|
ADD|PRG,|PRG|IST|ADD|
ADD|PRN,|PRN|IST|ADD|
ADD|RIX,|RIX|IST|ADD|
ADD|ROV,|ROV|IST|ADD|
ADD|RTM,|RTM|IST|ADD|
ADD|RUH,|RUH|IST|ADD|
ADD|SAH,|SAH|IST|ADD|
ADD|SJJ,|SJJ|IST|ADD|
ADD|SKG,|SKG|IST|ADD|
ADD|SKP,|SKP|IST|ADD|
ADD|SSH,|SSH|IST|ADD|
ADD|STR,|STR|IST|ADD|
ADD|SVX,|SVX|IST|ADD|
ADD|SYZ,|SYZ|IST|ADD|
ADD|SZG,|SZG|IST|ADD|
ADD|TBZ,|TBZ|IST|ADD|
ADD|TGD,|TGD|IST|ADD|
ADD|TIA,|TIA|IST|ADD|
ADD|TIF,|TIF|IST|ADD|
ADD|TIP,|TIP|IST|ADD|
ADD|TLL,|TLL|IST|ADD|
ADD|TLS,|TLS|IST|ADD|
ADD|TRN,|TRN|IST|ADD|
ADD|TUN,|TUN|IST|ADD|
ADD|TXL,|TXL|IST|ADD|
ADD|UFA,|UFA|IST|ADD|
ADD|VAS,|VAS|IST|ADD|
ADD|VCE,|VCE|IST|ADD|
ADD|YNB,|YNB|IST|ADD|
ADD|ZAG,|ZAG|IST|ADD|
ADD|MGQ,|MGQ|JIB|IST|ADD|
ADD|CPT,|CPT|JNB|IST|ADD|
ADD|MBA,|MBA|JRO|IST|ADD|
ADD|NDJ,|NDJ|KAN|IST|ADD|
ADD|CMB,|CMB|MLE|IST|ADD|
ADD|ADE,|ADE|SAH|IST|ADD|
ADD|ASF,|ASF|SAW|ADB|IST|ADD|
ADD|STW,|STW|SAW|ADB|IST|ADD|
ADD|LFW,|LFW|ABJ|OUA|NIM|IST|ADD|
ADD|CEC,|CEC|ACV|SMF|SEA|FRA|JED|ADD|
ADD|SMF,|SMF|SEA|FRA|JED|ADD|
ADD|CDR,|CDR|AIA|DEN|FRA|JED|ADD|
ADD|FMN,|FMN|DEN|FRA|JED|ADD|
ADD|JST,|JST|IAD|FRA|JED|ADD|
ADD|JHW,|JHW|CLE|YYZ|FRA|JED|ADD|
ADD|SHD,|SHD|IAD|FRA|JED|ADD|
ADD|PTY,|PTY|MIA|ZRH|IST|ADD|
ADD|FNA,|FNA|BRU|IST|ADD|
ADD|SXB,|SXB|BRU|IST|ADD|
ADD|ACV,|ACV|SMF|SEA|FRA|JED|ADD|
ADD|MGW,|MGW|IAD|FRA|JED|ADD|
ADD|ALB,|ALB|EWR|FRA|JED|ADD|
ADD|AUS,|AUS|ORD|IST|ADD|
ADD|BFD,|BFD|CLE|YYZ|FRA|JED|ADD|
ADD|BUF,|BUF|EWR|FRA|JED|ADD|
ADD|CHS,|CHS|EWR|FRA|JED|ADD|
ADD|DAY,|DAY|CLE|YYZ|FRA|JED|ADD|
ADD|DUJ,|DUJ|CLE|YYZ|FRA|JED|ADD|
ADD|ERI,|ERI|CLE|YYZ|FRA|JED|ADD|
ADD|FKL,|FKL|CLE|YYZ|FRA|JED|ADD|
ADD|FNT,|FNT|CLE|YYZ|FRA|JED|ADD|
ADD|GRR,|GRR|CLE|YYZ|FRA|JED|ADD|
ADD|GSP,|GSP|EWR|FRA|JED|ADD|
ADD|PBI,|PBI|EWR|FRA|JED|ADD|
