SMF|SWA,|SWA|WUH|ICN|SFO|SMF|
SMF|ACX,|ACX|CAN|PVG|SFO|SMF|
SMF|AQG,|AQG|CAN|PVG|SFO|SMF|
SMF|AVA,|AVA|CAN|PVG|SFO|SMF|
SMF|BFJ,|BFJ|CAN|PVG|SFO|SMF|
SMF|BHY,|BHY|CSX|ICN|SFO|SMF|
SMF|BNE,|BNE|CAN|PVG|SFO|SMF|
SMF|CGD,|CGD|PEK|SFO|SMF|
SMF|CGK,|CGK|CAN|PVG|SFO|SMF|
SMF|CGQ,|CGQ|NRT|SFO|SMF|
SMF|CIH,|CIH|PEK|SFO|SMF|
SMF|CNX,|CNX|CAN|PVG|SFO|SMF|
SMF|CZX,|CZX|SHE|ICN|SFO|SMF|
SMF|DAC,|DAC|CAN|PVG|SFO|SMF|
SMF|DAD,|DAD|CAN|PVG|SFO|SMF|
SMF|DEL,|DEL|CAN|PVG|SFO|SMF|
SMF|DIG,|DIG|KMG|PEK|SFO|SMF|
SMF|DLC,|DLC|ICN|SFO|SMF|
SMF|DPS,|DPS|SZX|PVG|SFO|SMF|
SMF|DXB,|DXB|IST|FRA|SEA|SMF|
SMF|DYG,|DYG|PEK|SFO|SMF|
SMF|FUG,|FUG|CAN|PVG|SFO|SMF|
SMF|FUK,|FUK|ICN|SFO|SMF|
SMF|HAK,|HAK|PVG|SFO|SMF|
SMF|HAN,|HAN|PEK|SFO|SMF|
SMF|HDG,|HDG|CAN|PVG|SFO|SMF|
SMF|HET,|HET|DLC|ICN|SFO|SMF|
SMF|HFE,|HFE|TYN|DLC|ICN|SFO|SMF|
SMF|HJJ,|HJJ|CSX|ICN|SFO|SMF|
SMF|HKT,|HKT|CAN|PVG|SFO|SMF|
SMF|HRB,|HRB|ICN|SFO|SMF|
SMF|HZH,|HZH|CAN|PVG|SFO|SMF|
SMF|JIU,|JIU|CAN|PVG|SFO|SMF|
SMF|JJN,|JJN|HGH|DLC|ICN|SFO|SMF|
SMF|JNG,|JNG|CAN|PVG|SFO|SMF|
SMF|KHN,|KHN|DLC|ICN|SFO|SMF|
SMF|KIX,|KIX|SFO|SMF|
SMF|KOW,|KOW|PEK|SFO|SMF|
SMF|KTM,|KTM|CAN|PVG|SFO|SMF|
SMF|KUL,|KUL|PVG|SFO|SMF|
SMF|KWE,|KWE|PEK|SFO|SMF|
SMF|KWL,|KWL|WUH|ICN|SFO|SMF|
SMF|LHW,|LHW|CGO|PEK|SFO|SMF|
SMF|LYA,|LYA|KHN|DLC|ICN|SFO|SMF|
SMF|LYG,|LYG|HSN|PEK|SFO|SMF|
SMF|LZH,|LZH|CAN|PVG|SFO|SMF|
SMF|MEL,|MEL|SYD|SFO|SMF|
SMF|MIG,|MIG|CSX|ICN|SFO|SMF|
SMF|MLE,|MLE|CAN|PVG|SFO|SMF|
SMF|MNL,|MNL|XMN|YNZ|DLC|ICN|SFO|SMF|
SMF|MXZ,|MXZ|CAN|PVG|SFO|SMF|
SMF|NAO,|NAO|PEK|SFO|SMF|
SMF|NGB,|NGB|DLC|ICN|SFO|SMF|
SMF|NKG,|NKG|DLC|ICN|SFO|SMF|
SMF|NNY,|NNY|CGO|PEK|SFO|SMF|
SMF|PEN,|PEN|CAN|PVG|SFO|SMF|
SMF|PER,|PER|CAN|PVG|SFO|SMF|
SMF|PNH,|PNH|CAN|PVG|SFO|SMF|
SMF|REP,|REP|CAN|PVG|SFO|SMF|
SMF|RGN,|RGN|CAN|PVG|SFO|SMF|
SMF|SGN,|SGN|HKG|SFO|SMF|
SMF|SHA,|SHA|PEK|SFO|SMF|
SMF|SIN,|SIN|NRT|SFO|SMF|
SMF|SVO,|SVO|URC|PEK|SFO|SMF|
SMF|SYX,|SYX|PVG|SFO|SMF|
SMF|TAO,|TAO|DLC|ICN|SFO|SMF|
SMF|TEN,|TEN|PEK|SFO|SMF|
SMF|TNA,|TNA|DLC|ICN|SFO|SMF|
SMF|TPE,|TPE|SFO|SMF|
SMF|TSN,|TSN|DLC|ICN|SFO|SMF|
SMF|TXN,|TXN|DLC|ICN|SFO|SMF|
SMF|TYN,|TYN|DLC|ICN|SFO|SMF|
SMF|WNZ,|WNZ|CGO|PEK|SFO|SMF|
SMF|WUX,|WUX|CAN|PVG|SFO|SMF|
SMF|XFN,|XFN|CAN|PVG|SFO|SMF|
SMF|XIY,|XIY|PEK|SFO|SMF|
SMF|XUZ,|XUZ|LYG|HSN|PEK|SFO|SMF|
SMF|YIH,|YIH|CKG|PEK|SFO|SMF|
SMF|YIW,|YIW|PEK|SFO|SMF|
SMF|YNT,|YNT|SHE|ICN|SFO|SMF|
SMF|YNZ,|YNZ|DLC|ICN|SFO|SMF|
SMF|YTY,|YTY|DLC|ICN|SFO|SMF|
SMF|ZHA,|ZHA|CAN|PVG|SFO|SMF|
SMF|ZYI,|ZYI|PEK|SFO|SMF|
SMF|BAV,|BAV|SJW|DLC|ICN|SFO|SMF|
SMF|CJU,|CJU|DLC|ICN|SFO|SMF|
SMF|DSN,|DSN|CGO|PEK|SFO|SMF|
SMF|HMI,|HMI|CGO|PEK|SFO|SMF|
SMF|INC,|INC|PEK|SFO|SMF|
SMF|KHH,|KHH|WUH|ICN|SFO|SMF|
SMF|UYN,|UYN|CGO|PEK|SFO|SMF|
SMF|XNN,|XNN|PEK|SFO|SMF|
SMF|ZUH,|ZUH|PVG|SFO|SMF|
SMF|YNJ,|YNJ|ICN|SFO|SMF|
SMF|DAT,|DAT|CIH|PEK|SFO|SMF|
SMF|JHG,|JHG|CKG|PEK|SFO|SMF|
SMF|LJG,|LJG|CKG|PEK|SFO|SMF|
SMF|LXA,|LXA|XIY|PEK|SFO|SMF|
SMF|YCU,|YCU|CSX|ICN|SFO|SMF|
SMF|LZO,|LZO|CSX|ICN|SFO|SMF|
SMF|MDG,|MDG|ICN|SFO|SMF|
SMF|NGO,|NGO|ICN|SFO|SMF|
SMF|TOY,|TOY|DLC|ICN|SFO|SMF|
SMF|MFM,|MFM|HGH|DLC|ICN|SFO|SMF|
SMF|TGO,|TGO|HET|DLC|ICN|SFO|SMF|
SMF|XIL,|XIL|HET|DLC|ICN|SFO|SMF|
SMF|HEK,|HEK|HRB|ICN|SFO|SMF|
SMF|KIJ,|KIJ|HRB|ICN|SFO|SMF|
SMF|LDS,|LDS|HRB|ICN|SFO|SMF|
SMF|OHE,|OHE|HRB|ICN|SFO|SMF|
SMF|HSN,|HSN|PEK|SFO|SMF|
SMF|DLU,|DLU|KMG|PEK|SFO|SMF|
SMF|SYM,|SYM|KMG|PEK|SFO|SMF|
SMF|ZAT,|ZAT|KMG|PEK|SFO|SMF|
SMF|LUN,|LUN|NBO|ZRH|SFO|SMF|
SMF|AOG,|AOG|PEK|SFO|SMF|
SMF|GMP,|GMP|PEK|SFO|SMF|
SMF|ISB,|ISB|PEK|SFO|SMF|
SMF|TAS,|TAS|PEK|SFO|SMF|
SMF|WUS,|WUS|PEK|SFO|SMF|
SMF|JMU,|JMU|PVG|SFO|SMF|
SMF|NDG,|NDG|PVG|SFO|SMF|
SMF|JXA,|JXA|SHE|ICN|SFO|SMF|
SMF|PUS,|PUS|SHE|ICN|SFO|SMF|
SMF|BKI,|BKI|SZX|PVG|SFO|SMF|
SMF|AKU,|AKU|URC|PEK|SFO|SMF|
SMF|ALA,|ALA|URC|PEK|SFO|SMF|
SMF|ASB,|ASB|GYD|FRA|SEA|SMF|
SMF|DNH,|DNH|XIY|PEK|SFO|SMF|
SMF|DYU,|DYU|URC|PEK|SFO|SMF|
SMF|FRU,|FRU|URC|PEK|SFO|SMF|
SMF|GYD,|GYD|FRA|SEA|SMF|
SMF|HTN,|HTN|URC|PEK|SFO|SMF|
SMF|IKA,|IKA|SAW|FRA|SEA|SMF|
SMF|KCA,|KCA|URC|PEK|SFO|SMF|
SMF|KHG,|KHG|URC|PEK|SFO|SMF|
SMF|KRL,|KRL|URC|PEK|SFO|SMF|
SMF|KRY,|KRY|URC|PEK|SFO|SMF|
SMF|LBD,|LBD|URC|PEK|SFO|SMF|
SMF|NLT,|NLT|URC|PEK|SFO|SMF|
SMF|OSS,|OSS|URC|PEK|SFO|SMF|
SMF|OVB,|OVB|URC|PEK|SFO|SMF|
SMF|TBS,|TBS|SAW|FRA|SEA|SMF|
SMF|TCG,|TCG|URC|PEK|SFO|SMF|
SMF|TSE,|TSE|FRA|SEA|SMF|
SMF|YIN,|YIN|URC|PEK|SFO|SMF|
SMF|ENH,|ENH|WUH|ICN|SFO|SMF|
SMF|ENY,|ENY|XIY|PEK|SFO|SMF|
SMF|WXN,|WXN|XIY|PEK|SFO|SMF|
SMF|BLL,|BLL|IST|FRA|SEA|SMF|
SMF|ESB,|ESB|FRA|SEA|SMF|
SMF|SAW,|SAW|FRA|SEA|SMF|
SMF|HAM,|HAM|EWR|ORD|SMF|
SMF|HRE,|HRE|ADD|JED|FRA|SEA|SMF|
SMF|JUB,|JUB|CAI|IST|FRA|SEA|SMF|
SMF|SSG,|SSG|DLA|BRU|ORD|SMF|
SMF|BGW,|BGW|ESB|FRA|SEA|SMF|
SMF|EBL,|EBL|IST|FRA|SEA|SMF|
SMF|VKO,|VKO|IST|FRA|SEA|SMF|
SMF|MCT,|MCT|IST|FRA|SEA|SMF|
SMF|AYT,|AYT|IST|FRA|SEA|SMF|
SMF|SCQ,|SCQ|BIO|IST|FRA|SEA|SMF|
SMF|AAL,|AAL|IST|FRA|SEA|SMF|
SMF|AOE,|AOE|BRU|ORD|SMF|
SMF|JNB,|JNB|DKR|IAD|SMF|
SMF|LBV,|LBV|DLA|BRU|ORD|SMF|
SMF|ADA,|ADA|SAW|FRA|SEA|SMF|
SMF|ADB,|ADB|IST|FRA|SEA|SMF|
SMF|ADF,|ADF|ESB|FRA|SEA|SMF|
SMF|AJI,|AJI|ESB|FRA|SEA|SMF|
SMF|BAL,|BAL|ESB|FRA|SEA|SMF|
SMF|BJV,|BJV|IST|FRA|SEA|SMF|
SMF|CKZ,|CKZ|ESB|FRA|SEA|SMF|
SMF|DIY,|DIY|ESB|FRA|SEA|SMF|
SMF|ECN,|ECN|IST|FRA|SEA|SMF|
SMF|ERC,|ERC|ESB|FRA|SEA|SMF|
SMF|ERZ,|ERZ|ESB|FRA|SEA|SMF|
SMF|EZS,|EZS|ESB|FRA|SEA|SMF|
SMF|GNY,|GNY|ESB|FRA|SEA|SMF|
SMF|GZP,|GZP|ESB|FRA|SEA|SMF|
SMF|GZT,|GZT|ESB|FRA|SEA|SMF|
SMF|HTY,|HTY|SAW|FRA|SEA|SMF|
SMF|KCM,|KCM|ESB|FRA|SEA|SMF|
SMF|KSY,|KSY|ESB|FRA|SEA|SMF|
SMF|MLX,|MLX|ESB|FRA|SEA|SMF|
SMF|MQM,|MQM|ESB|FRA|SEA|SMF|
SMF|MSR,|MSR|ESB|FRA|SEA|SMF|
SMF|TEQ,|TEQ|ESB|FRA|SEA|SMF|
SMF|TZX,|TZX|ESB|FRA|SEA|SMF|
SMF|VAN,|VAN|ESB|FRA|SEA|SMF|
SMF|ULN,|ULN|FRU|URC|PEK|SFO|SMF|
SMF|HIJ,|HIJ|ICN|SFO|SMF|
SMF|VVO,|VVO|ICN|SFO|SMF|
SMF|ACC,|ACC|IST|FRA|SEA|SMF|
SMF|AER,|AER|IST|FRA|SEA|SMF|
SMF|AGP,|AGP|IST|FRA|SEA|SMF|
SMF|ALG,|ALG|IST|FRA|SEA|SMF|
