BGW|SWA,|SWA|CSX|URC|TBS|SAW|ESB|BGW|
BGW|ACX,|ACX|CAN|IST|BGW|
BGW|AQG,|AQG|CAN|IST|BGW|
BGW|AVA,|AVA|CAN|IST|BGW|
BGW|BFJ,|BFJ|CAN|IST|BGW|
BGW|BHY,|BHY|CKG|URC|TBS|SAW|ESB|BGW|
BGW|BNE,|BNE|BKK|IST|BGW|
BGW|CGD,|CGD|PEK|IST|BGW|
BGW|CGK,|CGK|SIN|IST|BGW|
BGW|CGQ,|CGQ|HET|URC|TBS|SAW|ESB|BGW|
BGW|CIH,|CIH|PEK|IST|BGW|
BGW|CNX,|CNX|CAN|IST|BGW|
BGW|CZX,|CZX|TYN|URC|TBS|SAW|ESB|BGW|
BGW|DAC,|DAC|IST|BGW|
BGW|DAD,|DAD|CAN|IST|BGW|
BGW|DEL,|DEL|IST|BGW|
BGW|DIG,|DIG|KMG|CTU|URC|TBS|SAW|ESB|BGW|
BGW|DLC,|DLC|PEK|IST|BGW|
BGW|DPS,|DPS|CAN|IST|BGW|
BGW|DXB,|DXB|IST|BGW|
BGW|DYG,|DYG|CSX|URC|TBS|SAW|ESB|BGW|
BGW|FUG,|FUG|CAN|IST|BGW|
BGW|FUK,|FUK|ICN|IST|BGW|
BGW|HAK,|HAK|CTU|URC|TBS|SAW|ESB|BGW|
BGW|HAN,|HAN|CAN|IST|BGW|
BGW|HDG,|HDG|CAN|IST|BGW|
BGW|HET,|HET|URC|TBS|SAW|ESB|BGW|
BGW|HFE,|HFE|XIY|URC|TBS|SAW|ESB|BGW|
BGW|HJJ,|HJJ|CSX|URC|TBS|SAW|ESB|BGW|
BGW|HKT,|HKT|KWE|URC|TBS|SAW|ESB|BGW|
BGW|HRB,|HRB|PEK|IST|BGW|
BGW|HZH,|HZH|CAN|IST|BGW|
BGW|JIU,|JIU|CAN|IST|BGW|
BGW|JJN,|JJN|CSX|URC|TBS|SAW|ESB|BGW|
BGW|JNG,|JNG|CAN|IST|BGW|
BGW|KHN,|KHN|XIY|URC|TBS|SAW|ESB|BGW|
BGW|KIX,|KIX|IST|BGW|
BGW|KOW,|KOW|CAN|IST|BGW|
BGW|KTM,|KTM|IST|BGW|
BGW|KUL,|KUL|IST|BGW|
BGW|KWE,|KWE|URC|TBS|SAW|ESB|BGW|
BGW|KWL,|KWL|CKG|URC|TBS|SAW|ESB|BGW|
BGW|LHW,|LHW|URC|TBS|SAW|ESB|BGW|
BGW|LYA,|LYA|KHN|XIY|URC|TBS|SAW|ESB|BGW|
BGW|LYG,|LYG|XUZ|INC|URC|TBS|SAW|ESB|BGW|
BGW|LZH,|LZH|CAN|IST|BGW|
BGW|MEL,|MEL|BKK|IST|BGW|
BGW|MIG,|MIG|CSX|URC|TBS|SAW|ESB|BGW|
BGW|MLE,|MLE|IST|BGW|
BGW|MNL,|MNL|CAN|IST|BGW|
BGW|MXZ,|MXZ|CAN|IST|BGW|
BGW|NAO,|NAO|PEK|IST|BGW|
BGW|NGB,|NGB|WUH|URC|TBS|SAW|ESB|BGW|
BGW|NKG,|NKG|URC|TBS|SAW|ESB|BGW|
BGW|NNY,|NNY|CGO|URC|TBS|SAW|ESB|BGW|
BGW|PEN,|PEN|CAN|IST|BGW|
BGW|PER,|PER|BKK|IST|BGW|
BGW|PNH,|PNH|CAN|IST|BGW|
BGW|REP,|REP|CAN|IST|BGW|
BGW|RGN,|RGN|CAN|IST|BGW|
BGW|SGN,|SGN|BKK|IST|BGW|
BGW|SHA,|SHA|URC|TBS|SAW|ESB|BGW|
BGW|SIN,|SIN|IST|BGW|
BGW|SVO,|SVO|URC|TBS|SAW|ESB|BGW|
BGW|SYX,|SYX|CKG|URC|TBS|SAW|ESB|BGW|
BGW|TAO,|TAO|TYN|URC|TBS|SAW|ESB|BGW|
BGW|TEN,|TEN|CAN|IST|BGW|
BGW|TNA,|TNA|URC|TBS|SAW|ESB|BGW|
BGW|TPE,|TPE|URC|TBS|SAW|ESB|BGW|
BGW|TSN,|TSN|HET|URC|TBS|SAW|ESB|BGW|
BGW|TXN,|TXN|TYN|URC|TBS|SAW|ESB|BGW|
BGW|TYN,|TYN|URC|TBS|SAW|ESB|BGW|
BGW|WNZ,|WNZ|XIY|URC|TBS|SAW|ESB|BGW|
BGW|WUX,|WUX|CAN|IST|BGW|
BGW|XFN,|XFN|CAN|IST|BGW|
BGW|XIY,|XIY|URC|TBS|SAW|ESB|BGW|
BGW|XUZ,|XUZ|INC|URC|TBS|SAW|ESB|BGW|
BGW|YIH,|YIH|CKG|URC|TBS|SAW|ESB|BGW|
BGW|YIW,|YIW|URC|TBS|SAW|ESB|BGW|
BGW|YNT,|YNT|SHE|PEK|IST|BGW|
BGW|YNZ,|YNZ|WUH|URC|TBS|SAW|ESB|BGW|
BGW|YTY,|YTY|CGO|URC|TBS|SAW|ESB|BGW|
BGW|ZHA,|ZHA|CAN|IST|BGW|
BGW|ZYI,|ZYI|CAN|IST|BGW|
BGW|BAV,|BAV|URC|TBS|SAW|ESB|BGW|
BGW|CJU,|CJU|DLC|PEK|IST|BGW|
BGW|DSN,|DSN|CGO|URC|TBS|SAW|ESB|BGW|
BGW|HMI,|HMI|URC|TBS|SAW|ESB|BGW|
BGW|INC,|INC|URC|TBS|SAW|ESB|BGW|
BGW|KHH,|KHH|WUH|URC|TBS|SAW|ESB|BGW|
BGW|UYN,|UYN|XIY|URC|TBS|SAW|ESB|BGW|
BGW|XNN,|XNN|URC|TBS|SAW|ESB|BGW|
BGW|ZUH,|ZUH|KWE|URC|TBS|SAW|ESB|BGW|
BGW|YNJ,|YNJ|PEK|IST|BGW|
BGW|DAT,|DAT|TYN|URC|TBS|SAW|ESB|BGW|
BGW|JHG,|JHG|KMG|CTU|URC|TBS|SAW|ESB|BGW|
BGW|LJG,|LJG|KMG|CTU|URC|TBS|SAW|ESB|BGW|
BGW|LXA,|LXA|CKG|URC|TBS|SAW|ESB|BGW|
BGW|YCU,|YCU|CKG|URC|TBS|SAW|ESB|BGW|
BGW|LZO,|LZO|CSX|URC|TBS|SAW|ESB|BGW|
BGW|MDG,|MDG|DLC|PEK|IST|BGW|
BGW|NGO,|NGO|ICN|IST|BGW|
BGW|TOY,|TOY|DLC|PEK|IST|BGW|
BGW|MFM,|MFM|XMN|CSX|URC|TBS|SAW|ESB|BGW|
BGW|TGO,|TGO|HET|URC|TBS|SAW|ESB|BGW|
BGW|XIL,|XIL|HET|URC|TBS|SAW|ESB|BGW|
BGW|HEK,|HEK|HRB|PEK|IST|BGW|
BGW|KIJ,|KIJ|HRB|PEK|IST|BGW|
BGW|LDS,|LDS|HRB|PEK|IST|BGW|
BGW|OHE,|OHE|HRB|PEK|IST|BGW|
BGW|HSN,|HSN|LYG|XUZ|INC|URC|TBS|SAW|ESB|BGW|
BGW|DLU,|DLU|KMG|CTU|URC|TBS|SAW|ESB|BGW|
BGW|SYM,|SYM|KMG|CTU|URC|TBS|SAW|ESB|BGW|
BGW|ZAT,|ZAT|KMG|CTU|URC|TBS|SAW|ESB|BGW|
BGW|LUN,|LUN|NBO|IST|BGW|
BGW|AOG,|AOG|PEK|IST|BGW|
BGW|GMP,|GMP|PEK|IST|BGW|
BGW|ISB,|ISB|IST|BGW|
BGW|TAS,|TAS|IST|BGW|
BGW|WUS,|WUS|PEK|IST|BGW|
BGW|JMU,|JMU|PVG|IST|BGW|
BGW|NDG,|NDG|PVG|IST|BGW|
BGW|JXA,|JXA|SHE|PEK|IST|BGW|
BGW|PUS,|PUS|SHE|PEK|IST|BGW|
BGW|BKI,|BKI|SZX|CKG|URC|TBS|SAW|ESB|BGW|
BGW|AKU,|AKU|URC|TBS|SAW|ESB|BGW|
BGW|ALA,|ALA|IST|BGW|
BGW|ASB,|ASB|IST|BGW|
BGW|DNH,|DNH|URC|TBS|SAW|ESB|BGW|
BGW|DYU,|DYU|IST|BGW|
BGW|FRU,|FRU|IST|BGW|
BGW|GYD,|GYD|IST|BGW|
BGW|HTN,|HTN|URC|TBS|SAW|ESB|BGW|
BGW|IKA,|IKA|SAW|ESB|BGW|
BGW|KCA,|KCA|URC|TBS|SAW|ESB|BGW|
BGW|KHG,|KHG|URC|TBS|SAW|ESB|BGW|
BGW|KRL,|KRL|URC|TBS|SAW|ESB|BGW|
BGW|KRY,|KRY|URC|TBS|SAW|ESB|BGW|
BGW|LBD,|LBD|URC|TBS|SAW|ESB|BGW|
BGW|NLT,|NLT|URC|TBS|SAW|ESB|BGW|
BGW|OSS,|OSS|IST|BGW|
BGW|OVB,|OVB|IST|BGW|
BGW|TBS,|TBS|SAW|ESB|BGW|
BGW|TCG,|TCG|URC|TBS|SAW|ESB|BGW|
BGW|TSE,|TSE|IST|BGW|
BGW|YIN,|YIN|URC|TBS|SAW|ESB|BGW|
BGW|ENH,|ENH|WUH|URC|TBS|SAW|ESB|BGW|
BGW|ENY,|ENY|XIY|URC|TBS|SAW|ESB|BGW|
BGW|WXN,|WXN|XIY|URC|TBS|SAW|ESB|BGW|
BGW|BLL,|BLL|IST|BGW|
BGW|ESB,|ESB|BGW|
BGW|SAW,|SAW|ESB|BGW|
BGW|HAM,|HAM|IST|BGW|
BGW|HRE,|HRE|ADD|IST|BGW|
BGW|JUB,|JUB|CAI|IST|BGW|
BGW|SSG,|SSG|DLA|IST|BGW|
BGW|EBL,|EBL|AYT|BGW|
BGW|VKO,|VKO|ESB|BGW|
BGW|MCT,|MCT|BAH|KWI|SAW|ESB|BGW|
BGW|AYT,|AYT|BGW|
BGW|SCQ,|SCQ|BIO|IST|BGW|
BGW|AAL,|AAL|IST|BGW|
BGW|AOE,|AOE|BRU|IST|BGW|
BGW|JNB,|JNB|IST|BGW|
BGW|LBV,|LBV|DLA|IST|BGW|
BGW|ADA,|ADA|ESB|BGW|
BGW|ADB,|ADB|ESB|BGW|
BGW|ADF,|ADF|ESB|BGW|
BGW|AJI,|AJI|ESB|BGW|
BGW|BAL,|BAL|ESB|BGW|
BGW|BJV,|BJV|ESB|BGW|
BGW|CKZ,|CKZ|ESB|BGW|
BGW|DIY,|DIY|ESB|BGW|
BGW|ECN,|ECN|ESB|BGW|
BGW|ERC,|ERC|ESB|BGW|
BGW|ERZ,|ERZ|ESB|BGW|
BGW|EZS,|EZS|ESB|BGW|
BGW|GNY,|GNY|ESB|BGW|
BGW|GZP,|GZP|ESB|BGW|
BGW|GZT,|GZT|ESB|BGW|
BGW|HTY,|HTY|ESB|BGW|
BGW|KCM,|KCM|ESB|BGW|
BGW|KSY,|KSY|ESB|BGW|
BGW|MLX,|MLX|ESB|BGW|
BGW|MQM,|MQM|ESB|BGW|
BGW|MSR,|MSR|ESB|BGW|
BGW|TEQ,|TEQ|ESB|BGW|
BGW|TZX,|TZX|ESB|BGW|
BGW|VAN,|VAN|ESB|BGW|
BGW|ULN,|ULN|FRU|IST|BGW|
BGW|HIJ,|HIJ|ICN|IST|BGW|
BGW|VVO,|VVO|ICN|IST|BGW|
BGW|ACC,|ACC|IST|BGW|
BGW|AER,|AER|IST|BGW|
BGW|AGP,|AGP|IST|BGW|
BGW|ALG,|ALG|IST|BGW|
BGW|AMM,|AMM|IST|BGW|
BGW|AQJ,|AQJ|IST|BGW|
BGW|ARN,|ARN|IST|BGW|
BGW|ASR,|ASR|SAW|ESB|BGW|
BGW|ATH,|ATH|IST|BGW|
BGW|BAH,|BAH|KWI|SAW|ESB|BGW|
BGW|BEG,|BEG|IST|BGW|
BGW|BEN,|BEN|IST|BGW|
BGW|BEY,|BEY|IST|BGW|
BGW|BHX,|BHX|IST|BGW|
BGW|BIO,|BIO|IST|BGW|
BGW|BLQ,|BLQ|IST|BGW|
BGW|BOM,|BOM|IST|BGW|
