ATH|SJJ,|SJJ|IST|ATH|
ATH|SKG,|SKG|IST|ATH|
ATH|SKP,|SKP|IST|ATH|
ATH|SSH,|SSH|IST|ATH|
ATH|STR,|STR|IST|ATH|
ATH|SVX,|SVX|IST|ATH|
ATH|SYZ,|SYZ|IST|ATH|
ATH|SZG,|SZG|IST|ATH|
ATH|TBZ,|TBZ|IST|ATH|
ATH|TGD,|TGD|IST|ATH|
ATH|TIA,|TIA|IST|ATH|
ATH|TIF,|TIF|IST|ATH|
ATH|TIP,|TIP|IST|ATH|
ATH|TLL,|TLL|IST|ATH|
ATH|TLS,|TLS|IST|ATH|
ATH|TRN,|TRN|IST|ATH|
ATH|TUN,|TUN|IST|ATH|
ATH|TXL,|TXL|IST|ATH|
ATH|UFA,|UFA|IST|ATH|
ATH|VAS,|VAS|IST|ATH|
ATH|VCE,|VCE|IST|ATH|
ATH|YNB,|YNB|IST|ATH|
ATH|ZAG,|ZAG|IST|ATH|
ATH|MGQ,|MGQ|JIB|IST|ATH|
ATH|CPT,|CPT|JNB|IST|ATH|
ATH|MBA,|MBA|JRO|IST|ATH|
ATH|NDJ,|NDJ|KAN|IST|ATH|
ATH|CMB,|CMB|MLE|IST|ATH|
ATH|ADE,|ADE|SAH|IST|ATH|
ATH|ASF,|ASF|SAW|ADB|IST|ATH|
ATH|STW,|STW|SAW|ADB|IST|ATH|
ATH|LFW,|LFW|ABJ|OUA|NIM|IST|ATH|
ATH|CEC,|CEC|ACV|SMF|SEA|FRA|IST|ATH|
ATH|SMF,|SMF|SEA|FRA|IST|ATH|
ATH|CDR,|CDR|AIA|DEN|FRA|IST|ATH|
ATH|FMN,|FMN|DEN|FRA|IST|ATH|
ATH|JST,|JST|IAD|IST|ATH|
ATH|JHW,|JHW|CLE|YYZ|IST|ATH|
ATH|SHD,|SHD|IAD|IST|ATH|
ATH|PTY,|PTY|MIA|ZRH|IST|ATH|
ATH|FNA,|FNA|BRU|IST|ATH|
ATH|SXB,|SXB|BRU|IST|ATH|
ATH|ACV,|ACV|SMF|SEA|FRA|IST|ATH|
ATH|MGW,|MGW|IAD|IST|ATH|
ATH|ALB,|ALB|EWR|BHX|IST|ATH|
ATH|AUS,|AUS|ORD|IST|ATH|
ATH|BFD,|BFD|CLE|YYZ|IST|ATH|
ATH|BUF,|BUF|EWR|BHX|IST|ATH|
ATH|CHS,|CHS|EWR|BHX|IST|ATH|
ATH|DAY,|DAY|CLE|YYZ|IST|ATH|
ATH|DUJ,|DUJ|CLE|YYZ|IST|ATH|
ATH|ERI,|ERI|CLE|YYZ|IST|ATH|
ATH|FKL,|FKL|CLE|YYZ|IST|ATH|
ATH|FNT,|FNT|CLE|YYZ|IST|ATH|
ATH|GRR,|GRR|CLE|YYZ|IST|ATH|
ATH|GSP,|GSP|EWR|BHX|IST|ATH|
ATH|PBI,|PBI|EWR|BHX|IST|ATH|
ATH|PKB,|PKB|CLE|YYZ|IST|ATH|
ATH|RIC,|RIC|EWR|BHX|IST|ATH|
ATH|SDF,|SDF|CLE|YYZ|IST|ATH|
ATH|GUM,|GUM|FUK|ICN|IST|ATH|
ATH|WRL,|WRL|CYS|DEN|FRA|IST|ATH|
ATH|LBL,|ATH|
ATH|ABQ,|ABQ|DEN|FRA|IST|ATH|
