OAK|BCN,|BCN|YYZ|DEN|OAK|
OAK|BDA,|BDA|EWR|MDW|OAK|
OAK|BGI,|BGI|YYZ|DEN|OAK|
OAK|BNA,|BNA|DEN|OAK|
OAK|BOG,|BOG|IAH|LAS|OAK|
OAK|BWI,|BWI|DEN|OAK|
OAK|CLE,|CLE|MDW|OAK|
OAK|CLT,|CLT|MDW|OAK|
OAK|CMH,|CMH|DEN|OAK|
OAK|CVG,|CVG|DEN|OAK|
OAK|DFW,|DFW|LAX|OAK|
OAK|DTW,|DTW|ORD|SLC|OAK|
OAK|DUB,|DUB|ORD|SLC|OAK|
OAK|FCO,|FCO|YYZ|DEN|OAK|
OAK|GCM,|GCM|IAH|LAS|OAK|
OAK|GGT,|GGT|FLL|MSY|DAL|ABQ|OAK|
OAK|GND,|GND|YYZ|DEN|OAK|
OAK|GRU,|GRU|IAH|LAS|OAK|
OAK|HAV,|HAV|YYZ|DEN|OAK|
OAK|IND,|IND|DEN|OAK|
OAK|JFK,|JFK|IAD|DEN|OAK|
OAK|KIN,|KIN|YYZ|DEN|OAK|
OAK|LIM,|LIM|IAH|LAS|OAK|
OAK|LIR,|LIR|IAH|LAS|OAK|
OAK|MCI,|MCI|OAK|
OAK|MDT,|MDT|ORD|SLC|OAK|
OAK|MIA,|MIA|MSY|DAL|ABQ|OAK|
OAK|MKE,|MKE|DEN|OAK|
OAK|MSP,|MSP|DEN|OAK|
OAK|NAS,|NAS|IAH|LAS|OAK|
OAK|PHL,|PHL|MDW|OAK|
OAK|PHX,|PHX|OAK|
OAK|PIT,|PIT|MDW|OAK|
OAK|PLS,|PLS|YYZ|DEN|OAK|
OAK|POP,|POP|YYZ|DEN|OAK|
OAK|RDU,|RDU|STL|MCI|OAK|
OAK|ROC,|ROC|ORD|SLC|OAK|
OAK|RSW,|RSW|IAH|LAS|OAK|
OAK|SAN,|SAN|OAK|
OAK|SJO,|SJO|IAH|LAS|OAK|
OAK|STL,|STL|MCI|OAK|
OAK|SYR,|SYR|ORD|SLC|OAK|
OAK|TLV,|TLV|IST|FRA|SEA|OAK|
OAK|TPA,|TPA|LAS|OAK|
OAK|UVF,|UVF|EWR|MDW|OAK|
OAK|VIE,|VIE|ORD|SLC|OAK|
OAK|YAM,|YAM|YYZ|DEN|OAK|
OAK|YGK,|YGK|YYZ|DEN|OAK|
OAK|YQG,|YQG|YYZ|DEN|OAK|
OAK|YSB,|YSB|YYZ|DEN|OAK|
OAK|YTS,|YTS|YYZ|DEN|OAK|
OAK|YYB,|YYB|YYZ|DEN|OAK|
OAK|YZR,|YZR|YYZ|DEN|OAK|
OAK|CAN,|CAN|ICN|SEA|OAK|
OAK|URC,|URC|PEK|SEA|OAK|
OAK|CTU,|CTU|PEK|SEA|OAK|
OAK|HGH,|HGH|DLC|ICN|SEA|OAK|
OAK|XMN,|XMN|PEK|SEA|OAK|
OAK|CGO,|CGO|PEK|SEA|OAK|
OAK|CSX,|CSX|ICN|SEA|OAK|
OAK|SHE,|SHE|ICN|SEA|OAK|
OAK|SJW,|SJW|DLC|ICN|SEA|OAK|
OAK|WUH,|WUH|ICN|SEA|OAK|
OAK|SZX,|SZX|PVG|ICN|SEA|OAK|
OAK|CKG,|CKG|PEK|SEA|OAK|
OAK|KMG,|KMG|PEK|SEA|OAK|
OAK|FOC,|FOC|PEK|SEA|OAK|
OAK|NNG,|NNG|PEK|SEA|OAK|
OAK|SWA,|SWA|PEK|SEA|OAK|
OAK|ACX,|ACX|CAN|ICN|SEA|OAK|
OAK|AQG,|AQG|CAN|ICN|SEA|OAK|
OAK|AVA,|AVA|CAN|ICN|SEA|OAK|
OAK|BFJ,|BFJ|CAN|ICN|SEA|OAK|
OAK|BHY,|BHY|CSX|ICN|SEA|OAK|
OAK|BNE,|BNE|CAN|ICN|SEA|OAK|
OAK|CGD,|CGD|PEK|SEA|OAK|
OAK|CGK,|CGK|CAN|ICN|SEA|OAK|
OAK|CGQ,|CGQ|ICN|SEA|OAK|
OAK|CIH,|CIH|PEK|SEA|OAK|
OAK|CNX,|CNX|CAN|ICN|SEA|OAK|
OAK|CZX,|CZX|SHE|ICN|SEA|OAK|
OAK|DAC,|DAC|CAN|ICN|SEA|OAK|
OAK|DAD,|DAD|CAN|ICN|SEA|OAK|
OAK|DEL,|DEL|CAN|ICN|SEA|OAK|
OAK|DIG,|DIG|KMG|PEK|SEA|OAK|
OAK|DLC,|DLC|ICN|SEA|OAK|
OAK|DPS,|DPS|SZX|PVG|ICN|SEA|OAK|
OAK|DXB,|DXB|IST|FRA|SEA|OAK|
OAK|DYG,|DYG|PEK|SEA|OAK|
OAK|FUG,|FUG|CAN|ICN|SEA|OAK|
OAK|FUK,|FUK|ICN|SEA|OAK|
OAK|HAK,|HAK|CAN|ICN|SEA|OAK|
OAK|HAN,|HAN|PEK|SEA|OAK|
OAK|HDG,|HDG|CAN|ICN|SEA|OAK|
OAK|HET,|HET|DLC|ICN|SEA|OAK|
OAK|HFE,|HFE|TYN|DLC|ICN|SEA|OAK|
OAK|HJJ,|HJJ|CSX|ICN|SEA|OAK|
OAK|HKT,|HKT|KWE|PEK|SEA|OAK|
OAK|HRB,|HRB|ICN|SEA|OAK|
OAK|HZH,|HZH|CAN|ICN|SEA|OAK|
OAK|JIU,|JIU|CAN|ICN|SEA|OAK|
OAK|JJN,|JJN|PEK|SEA|OAK|
OAK|JNG,|JNG|CAN|ICN|SEA|OAK|
OAK|KHN,|KHN|DLC|ICN|SEA|OAK|
OAK|KIX,|KIX|SFO|BUR|OAK|
OAK|KOW,|KOW|PEK|SEA|OAK|
OAK|KTM,|KTM|CAN|ICN|SEA|OAK|
OAK|KUL,|KUL|CAN|ICN|SEA|OAK|
OAK|KWE,|KWE|PEK|SEA|OAK|
OAK|KWL,|KWL|PEK|SEA|OAK|
OAK|LHW,|LHW|CGO|PEK|SEA|OAK|
OAK|LYA,|LYA|KHN|DLC|ICN|SEA|OAK|
OAK|LYG,|LYG|HSN|PEK|SEA|OAK|
OAK|LZH,|LZH|CAN|ICN|SEA|OAK|
OAK|MEL,|MEL|SYD|LAX|OAK|
OAK|MIG,|MIG|CSX|ICN|SEA|OAK|
OAK|MLE,|MLE|CAN|ICN|SEA|OAK|
OAK|MNL,|MNL|XMN|PEK|SEA|OAK|
OAK|MXZ,|MXZ|CAN|ICN|SEA|OAK|
OAK|NAO,|NAO|PEK|SEA|OAK|
OAK|NGB,|NGB|DLC|ICN|SEA|OAK|
OAK|NKG,|NKG|DLC|ICN|SEA|OAK|
OAK|NNY,|NNY|CGO|PEK|SEA|OAK|
OAK|PEN,|PEN|CAN|ICN|SEA|OAK|
OAK|PER,|PER|CAN|ICN|SEA|OAK|
OAK|PNH,|PNH|CAN|ICN|SEA|OAK|
OAK|REP,|REP|ICN|SEA|OAK|
OAK|RGN,|RGN|CAN|ICN|SEA|OAK|
OAK|SGN,|SGN|CAN|ICN|SEA|OAK|
OAK|SHA,|SHA|PEK|SEA|OAK|
OAK|SIN,|SIN|NRT|SEA|OAK|
OAK|SVO,|SVO|URC|PEK|SEA|OAK|
OAK|SYX,|SYX|CAN|ICN|SEA|OAK|
OAK|TAO,|TAO|DLC|ICN|SEA|OAK|
OAK|TEN,|TEN|PEK|SEA|OAK|
OAK|TNA,|TNA|DLC|ICN|SEA|OAK|
OAK|TPE,|TPE|PVG|ICN|SEA|OAK|
OAK|TSN,|TSN|DLC|ICN|SEA|OAK|
OAK|TXN,|TXN|DLC|ICN|SEA|OAK|
OAK|TYN,|TYN|DLC|ICN|SEA|OAK|
OAK|WNZ,|WNZ|CGO|PEK|SEA|OAK|
OAK|WUX,|WUX|CAN|ICN|SEA|OAK|
OAK|XFN,|XFN|CAN|ICN|SEA|OAK|
OAK|XIY,|XIY|PEK|SEA|OAK|
OAK|XUZ,|XUZ|LYG|HSN|PEK|SEA|OAK|
OAK|YIH,|YIH|CKG|PEK|SEA|OAK|
OAK|YIW,|YIW|PEK|SEA|OAK|
OAK|YNT,|YNT|SHE|ICN|SEA|OAK|
OAK|YNZ,|YNZ|DLC|ICN|SEA|OAK|
OAK|YTY,|YTY|DLC|ICN|SEA|OAK|
OAK|ZHA,|ZHA|CAN|ICN|SEA|OAK|
OAK|ZYI,|ZYI|PEK|SEA|OAK|
OAK|BAV,|BAV|SJW|DLC|ICN|SEA|OAK|
OAK|CJU,|CJU|DLC|ICN|SEA|OAK|
OAK|DSN,|DSN|CGO|PEK|SEA|OAK|
OAK|HMI,|HMI|CGO|PEK|SEA|OAK|
OAK|INC,|INC|PEK|SEA|OAK|
OAK|KHH,|KHH|CGO|PEK|SEA|OAK|
OAK|UYN,|UYN|CGO|PEK|SEA|OAK|
OAK|XNN,|XNN|PEK|SEA|OAK|
OAK|ZUH,|ZUH|PVG|ICN|SEA|OAK|
OAK|YNJ,|YNJ|ICN|SEA|OAK|
OAK|DAT,|DAT|CIH|PEK|SEA|OAK|
