AKU|PLS,|PLS|EWR|FRA|TSE|URC|AKU|
AKU|POP,|POP|EWR|FRA|TSE|URC|AKU|
AKU|RDU,|RDU|EWR|FRA|TSE|URC|AKU|
AKU|ROC,|ROC|YYZ|FRA|TSE|URC|AKU|
AKU|RSW,|RSW|MCO|FRA|TSE|URC|AKU|
AKU|SAN,|SAN|LAX|PEK|URC|AKU|
AKU|SJO,|SJO|EWR|FRA|TSE|URC|AKU|
AKU|STL,|STL|DTW|FRA|TSE|URC|AKU|
AKU|SYR,|SYR|EWR|FRA|TSE|URC|AKU|
AKU|TLV,|TLV|SAW|TBS|URC|AKU|
AKU|TPA,|TPA|EWR|FRA|TSE|URC|AKU|
AKU|UVF,|UVF|EWR|FRA|TSE|URC|AKU|
AKU|VIE,|VIE|IST|URC|AKU|
AKU|YAM,|YAM|YYZ|FRA|TSE|URC|AKU|
AKU|YGK,|YGK|YYZ|FRA|TSE|URC|AKU|
AKU|YQG,|YQG|YYZ|FRA|TSE|URC|AKU|
AKU|YSB,|YSB|YYZ|FRA|TSE|URC|AKU|
AKU|YTS,|YTS|YYZ|FRA|TSE|URC|AKU|
AKU|YYB,|YYB|YYZ|FRA|TSE|URC|AKU|
AKU|YZR,|YZR|YYZ|FRA|TSE|URC|AKU|
AKU|CAN,|CAN|URC|AKU|
AKU|URC,|URC|AKU|
AKU|CTU,|CTU|URC|AKU|
AKU|HGH,|HGH|URC|AKU|
AKU|XMN,|XMN|CSX|URC|AKU|
AKU|CGO,|CGO|URC|AKU|
AKU|CSX,|CSX|URC|AKU|
AKU|SHE,|SHE|HET|URC|AKU|
AKU|SJW,|SJW|URC|AKU|
AKU|WUH,|WUH|URC|AKU|
AKU|SZX,|SZX|CKG|URC|AKU|
AKU|CKG,|CKG|URC|AKU|
AKU|KMG,|KMG|CTU|URC|AKU|
AKU|FOC,|FOC|XIY|URC|AKU|
AKU|NNG,|NNG|KWE|URC|AKU|
AKU|SWA,|SWA|CSX|URC|AKU|
AKU|ACX,|ACX|CAN|URC|AKU|
AKU|AQG,|AQG|CAN|URC|AKU|
AKU|AVA,|AVA|CAN|URC|AKU|
AKU|BFJ,|BFJ|CAN|URC|AKU|
AKU|BHY,|BHY|CKG|URC|AKU|
AKU|BNE,|BNE|CAN|URC|AKU|
AKU|CGD,|CGD|PEK|URC|AKU|
AKU|CGK,|CGK|CAN|URC|AKU|
AKU|CGQ,|CGQ|HET|URC|AKU|
AKU|CIH,|CIH|DAT|TYN|URC|AKU|
AKU|CNX,|CNX|CAN|URC|AKU|
AKU|CZX,|CZX|TYN|URC|AKU|
AKU|DAC,|DAC|CAN|URC|AKU|
AKU|DAD,|DAD|CAN|URC|AKU|
AKU|DEL,|DEL|CAN|URC|AKU|
AKU|DIG,|DIG|KMG|CTU|URC|AKU|
AKU|DLC,|DLC|PEK|URC|AKU|
AKU|DPS,|DPS|CAN|URC|AKU|
AKU|DXB,|DXB|IST|URC|AKU|
AKU|DYG,|DYG|CSX|URC|AKU|
AKU|FUG,|FUG|CAN|URC|AKU|
AKU|FUK,|FUK|ICN|PEK|URC|AKU|
AKU|HAK,|HAK|CTU|URC|AKU|
AKU|HAN,|HAN|CAN|URC|AKU|
AKU|HDG,|HDG|CAN|URC|AKU|
AKU|HET,|HET|URC|AKU|
AKU|HFE,|HFE|XIY|URC|AKU|
AKU|HJJ,|HJJ|CSX|URC|AKU|
AKU|HKT,|HKT|KWE|URC|AKU|
AKU|HRB,|HRB|PEK|URC|AKU|
AKU|HZH,|HZH|CAN|URC|AKU|
AKU|JIU,|JIU|CAN|URC|AKU|
AKU|JJN,|JJN|CSX|URC|AKU|
AKU|JNG,|JNG|CAN|URC|AKU|
AKU|KHN,|KHN|XIY|URC|AKU|
AKU|KIX,|KIX|DLC|PEK|URC|AKU|
AKU|KOW,|KOW|CAN|URC|AKU|
AKU|KTM,|KTM|CAN|URC|AKU|
AKU|KUL,|KUL|BKK|NNG|KWE|URC|AKU|
AKU|KWE,|KWE|URC|AKU|
AKU|KWL,|KWL|CKG|URC|AKU|
AKU|LHW,|LHW|URC|AKU|
AKU|LYA,|LYA|KHN|XIY|URC|AKU|
AKU|LYG,|LYG|XUZ|INC|URC|AKU|
AKU|LZH,|LZH|CAN|URC|AKU|
AKU|MEL,|MEL|CAN|URC|AKU|
AKU|MIG,|MIG|CSX|URC|AKU|
AKU|MLE,|MLE|CAN|URC|AKU|
AKU|MNL,|MNL|CAN|URC|AKU|
AKU|MXZ,|MXZ|CAN|URC|AKU|
AKU|NAO,|NAO|PEK|URC|AKU|
AKU|NGB,|NGB|WUH|URC|AKU|
AKU|NKG,|NKG|URC|AKU|
AKU|NNY,|NNY|CGO|URC|AKU|
AKU|PEN,|PEN|CAN|URC|AKU|
AKU|PER,|PER|CAN|URC|AKU|
AKU|PNH,|PNH|CAN|URC|AKU|
AKU|REP,|REP|CAN|URC|AKU|
AKU|RGN,|RGN|CAN|URC|AKU|
AKU|SGN,|SGN|CAN|URC|AKU|
AKU|SHA,|SHA|URC|AKU|
AKU|SIN,|SIN|CAN|URC|AKU|
AKU|SVO,|SVO|URC|AKU|
AKU|SYX,|SYX|CKG|URC|AKU|
AKU|TAO,|TAO|TYN|URC|AKU|
AKU|TEN,|TEN|CAN|URC|AKU|
AKU|TNA,|TNA|URC|AKU|
AKU|TPE,|TPE|URC|AKU|
AKU|TSN,|TSN|HET|URC|AKU|
AKU|TXN,|TXN|TYN|URC|AKU|
AKU|TYN,|TYN|URC|AKU|
AKU|WNZ,|WNZ|XIY|URC|AKU|
AKU|WUX,|WUX|CAN|URC|AKU|
AKU|XFN,|XFN|CAN|URC|AKU|
AKU|XIY,|XIY|URC|AKU|
AKU|XUZ,|XUZ|INC|URC|AKU|
AKU|YIH,|YIH|CKG|URC|AKU|
AKU|YIW,|YIW|URC|AKU|
AKU|YNT,|YNT|SHE|HET|URC|AKU|
AKU|YNZ,|YNZ|WUH|URC|AKU|
AKU|YTY,|YTY|CGO|URC|AKU|
AKU|ZHA,|ZHA|CAN|URC|AKU|
AKU|ZYI,|ZYI|CAN|URC|AKU|
AKU|BAV,|BAV|URC|AKU|
AKU|CJU,|CJU|DLC|PEK|URC|AKU|
AKU|DSN,|DSN|CGO|URC|AKU|
AKU|HMI,|HMI|URC|AKU|
AKU|INC,|INC|URC|AKU|
AKU|KHH,|KHH|WUH|URC|AKU|
AKU|UYN,|UYN|XIY|URC|AKU|
AKU|XNN,|XNN|URC|AKU|
AKU|ZUH,|ZUH|KWE|URC|AKU|
AKU|YNJ,|YNJ|CGQ|HET|URC|AKU|
AKU|DAT,|DAT|TYN|URC|AKU|
AKU|JHG,|JHG|KMG|CTU|URC|AKU|
AKU|LJG,|LJG|KMG|CTU|URC|AKU|
AKU|LXA,|LXA|CKG|URC|AKU|
AKU|YCU,|YCU|CKG|URC|AKU|
AKU|LZO,|LZO|CSX|URC|AKU|
AKU|MDG,|MDG|DLC|PEK|URC|AKU|
AKU|NGO,|NGO|DLC|PEK|URC|AKU|
AKU|TOY,|TOY|DLC|PEK|URC|AKU|
AKU|MFM,|MFM|XMN|CSX|URC|AKU|
AKU|TGO,|TGO|HET|URC|AKU|
AKU|XIL,|XIL|HET|URC|AKU|
AKU|HEK,|HEK|HRB|PEK|URC|AKU|
AKU|KIJ,|KIJ|HRB|PEK|URC|AKU|
AKU|LDS,|LDS|HRB|PEK|URC|AKU|
AKU|OHE,|OHE|HRB|PEK|URC|AKU|
AKU|HSN,|HSN|LYG|XUZ|INC|URC|AKU|
AKU|DLU,|DLU|KMG|CTU|URC|AKU|
AKU|SYM,|SYM|KMG|CTU|URC|AKU|
AKU|ZAT,|ZAT|KMG|CTU|URC|AKU|
AKU|LUN,|LUN|NBO|IST|URC|AKU|
AKU|AOG,|AOG|PEK|URC|AKU|
AKU|GMP,|GMP|PEK|URC|AKU|
AKU|ISB,|ISB|URC|AKU|
AKU|TAS,|TAS|URC|AKU|
AKU|WUS,|WUS|PEK|URC|AKU|
AKU|JMU,|JMU|PVG|URC|AKU|
AKU|NDG,|NDG|PVG|URC|AKU|
AKU|JXA,|JXA|SHE|HET|URC|AKU|
AKU|PUS,|PUS|SHE|HET|URC|AKU|
AKU|BKI,|BKI|SZX|CKG|URC|AKU|
AKU|ALA,|ALA|URC|AKU|
AKU|ASB,|ASB|URC|AKU|
AKU|DNH,|DNH|URC|AKU|
AKU|DYU,|DYU|URC|AKU|
AKU|FRU,|FRU|URC|AKU|
AKU|GYD,|GYD|URC|AKU|
AKU|HTN,|HTN|URC|AKU|
AKU|IKA,|IKA|URC|AKU|
AKU|KCA,|KCA|URC|AKU|
AKU|KHG,|KHG|URC|AKU|
AKU|KRL,|KRL|URC|AKU|
AKU|KRY,|KRY|URC|AKU|
AKU|LBD,|LBD|URC|AKU|
AKU|NLT,|NLT|URC|AKU|
AKU|OSS,|OSS|URC|AKU|
AKU|OVB,|OVB|URC|AKU|
AKU|TBS,|TBS|URC|AKU|
AKU|TCG,|TCG|URC|AKU|
AKU|TSE,|TSE|URC|AKU|
AKU|YIN,|YIN|URC|AKU|
AKU|ENH,|ENH|WUH|URC|AKU|
AKU|ENY,|ENY|XIY|URC|AKU|
AKU|WXN,|WXN|XIY|URC|AKU|
AKU|BLL,|BLL|IST|URC|AKU|
AKU|ESB,|ESB|SAW|TBS|URC|AKU|
AKU|SAW,|SAW|TBS|URC|AKU|
AKU|HAM,|HAM|IST|URC|AKU|
AKU|HRE,|HRE|ADD|IST|URC|AKU|
AKU|JUB,|JUB|CAI|IST|URC|AKU|
AKU|SSG,|SSG|DLA|IST|URC|AKU|
AKU|BGW,|BGW|ESB|SAW|TBS|URC|AKU|
AKU|EBL,|EBL|IST|URC|AKU|
AKU|VKO,|VKO|IST|URC|AKU|
AKU|MCT,|MCT|IST|URC|AKU|
