JAN|FOC,|FOC|PEK|ORD|JAN|
JAN|NNG,|NNG|PEK|ORD|JAN|
JAN|SWA,|SWA|PEK|ORD|JAN|
JAN|ACX,|ACX|CAN|PEK|ORD|JAN|
JAN|AQG,|AQG|CAN|PEK|ORD|JAN|
JAN|AVA,|AVA|CAN|PEK|ORD|JAN|
JAN|BFJ,|BFJ|CAN|PEK|ORD|JAN|
JAN|BHY,|BHY|CGO|PEK|ORD|JAN|
JAN|BNE,|BNE|CAN|PEK|ORD|JAN|
JAN|CGD,|CGD|PEK|ORD|JAN|
JAN|CGK,|CGK|CAN|PEK|ORD|JAN|
JAN|CGQ,|CGQ|PEK|ORD|JAN|
JAN|CIH,|CIH|PEK|ORD|JAN|
JAN|CNX,|CNX|CAN|PEK|ORD|JAN|
JAN|CZX,|CZX|SHE|PEK|ORD|JAN|
JAN|DAC,|DAC|IST|ORD|JAN|
JAN|DAD,|DAD|CAN|PEK|ORD|JAN|
JAN|DEL,|DEL|EWR|MDW|JAN|
JAN|DIG,|DIG|KMG|PEK|ORD|JAN|
JAN|DLC,|DLC|PEK|ORD|JAN|
JAN|DPS,|DPS|SZX|PEK|ORD|JAN|
JAN|DXB,|DXB|IST|ORD|JAN|
JAN|DYG,|DYG|PEK|ORD|JAN|
JAN|FUG,|FUG|CAN|PEK|ORD|JAN|
JAN|FUK,|FUK|ICN|YVR|IAH|JAN|
JAN|HAK,|HAK|PEK|ORD|JAN|
JAN|HAN,|HAN|PEK|ORD|JAN|
JAN|HDG,|HDG|CAN|PEK|ORD|JAN|
JAN|HET,|HET|DLC|PEK|ORD|JAN|
JAN|HFE,|HFE|XIY|PEK|ORD|JAN|
JAN|HJJ,|HJJ|CSX|PEK|ORD|JAN|
JAN|HKT,|HKT|KWE|PEK|ORD|JAN|
JAN|HRB,|HRB|PEK|ORD|JAN|
JAN|HZH,|HZH|CAN|PEK|ORD|JAN|
JAN|JIU,|JIU|CAN|PEK|ORD|JAN|
JAN|JJN,|JJN|PEK|ORD|JAN|
JAN|JNG,|JNG|CAN|PEK|ORD|JAN|
JAN|KHN,|KHN|DLC|PEK|ORD|JAN|
JAN|KIX,|KIX|SFO|IAH|JAN|
JAN|KOW,|KOW|PEK|ORD|JAN|
JAN|KTM,|KTM|IST|ORD|JAN|
JAN|KUL,|KUL|CAN|PEK|ORD|JAN|
