UFA|YYB,|YYB|YYZ|IST|UFA|
UFA|YZR,|YZR|YYZ|IST|UFA|
UFA|CAN,|CAN|IST|UFA|
UFA|URC,|URC|IST|UFA|
UFA|CTU,|CTU|URC|IST|UFA|
UFA|HGH,|HGH|URC|IST|UFA|
UFA|XMN,|XMN|CSX|URC|IST|UFA|
UFA|CGO,|CGO|URC|IST|UFA|
UFA|CSX,|CSX|URC|IST|UFA|
UFA|SHE,|SHE|PEK|IST|UFA|
UFA|SJW,|SJW|URC|IST|UFA|
UFA|WUH,|WUH|URC|IST|UFA|
UFA|SZX,|SZX|CKG|URC|IST|UFA|
UFA|CKG,|CKG|URC|IST|UFA|
UFA|KMG,|KMG|CTU|URC|IST|UFA|
UFA|FOC,|FOC|XIY|URC|IST|UFA|
UFA|NNG,|NNG|KWE|URC|IST|UFA|
UFA|SWA,|SWA|CAN|IST|UFA|
UFA|ACX,|ACX|CAN|IST|UFA|
UFA|AQG,|AQG|CAN|IST|UFA|
UFA|AVA,|AVA|CAN|IST|UFA|
UFA|BFJ,|BFJ|CAN|IST|UFA|
UFA|BHY,|BHY|CKG|URC|IST|UFA|
UFA|BNE,|BNE|BKK|IST|UFA|
UFA|CGD,|CGD|PEK|IST|UFA|
UFA|CGK,|CGK|SIN|IST|UFA|
UFA|CGQ,|CGQ|HET|URC|IST|UFA|
UFA|CIH,|CIH|PEK|IST|UFA|
UFA|CNX,|CNX|CAN|IST|UFA|
UFA|CZX,|CZX|TYN|URC|IST|UFA|
UFA|DAC,|DAC|IST|UFA|
UFA|DAD,|DAD|CAN|IST|UFA|
UFA|DEL,|DEL|IST|UFA|
UFA|DIG,|DIG|KMG|CTU|URC|IST|UFA|
UFA|DLC,|DLC|PEK|IST|UFA|
UFA|DPS,|DPS|CAN|IST|UFA|
UFA|DXB,|DXB|IST|UFA|
UFA|DYG,|DYG|CSX|URC|IST|UFA|
UFA|FUG,|FUG|CAN|IST|UFA|
UFA|FUK,|FUK|ICN|IST|UFA|
UFA|HAK,|HAK|CTU|URC|IST|UFA|
UFA|HAN,|HAN|CAN|IST|UFA|
UFA|HDG,|HDG|CAN|IST|UFA|
UFA|HET,|HET|URC|IST|UFA|
UFA|HFE,|HFE|XIY|URC|IST|UFA|
UFA|HJJ,|HJJ|CSX|URC|IST|UFA|
UFA|HKT,|HKT|KWE|URC|IST|UFA|
UFA|HRB,|HRB|PEK|IST|UFA|
UFA|HZH,|HZH|CAN|IST|UFA|
UFA|JIU,|JIU|CAN|IST|UFA|
UFA|JJN,|JJN|CSX|URC|IST|UFA|
UFA|JNG,|JNG|CAN|IST|UFA|
UFA|KHN,|KHN|XIY|URC|IST|UFA|
UFA|KIX,|KIX|IST|UFA|
UFA|KOW,|KOW|CAN|IST|UFA|
UFA|KTM,|KTM|IST|UFA|
UFA|KUL,|KUL|IST|UFA|
UFA|KWE,|KWE|URC|IST|UFA|
UFA|KWL,|KWL|CKG|URC|IST|UFA|
UFA|LHW,|LHW|URC|IST|UFA|
