SYD|YKA,|YKA|YVR|SYD|
SYD|YPR,|YPR|YVR|SYD|
SYD|YQZ,|YQZ|YVR|SYD|
SYD|YXC,|YXC|YVR|SYD|
SYD|YXJ,|YXJ|YVR|SYD|
SYD|YXS,|YXS|YVR|SYD|
SYD|YXT,|YXT|YVR|SYD|
SYD|YXY,|YXY|YVR|SYD|
SYD|YYD,|YYD|YVR|SYD|
SYD|YYF,|YYF|YVR|SYD|
SYD|YZP,|YZP|YVR|SYD|
SYD|YQT,|YQT|YWG|YVR|SYD|
SYD|SJD,|SJD|LAX|SYD|
SYD|YQF,|YQF|YYC|YVR|SYD|
SYD|YQL,|YQL|YYC|YVR|SYD|
SYD|YXH,|YXH|YYC|YVR|SYD|
SYD|YWK,|YWK|YZV|YUL|SFO|SYD|
SYD|ANU,|ANU|EWR|LAX|SYD|
SYD|AUA,|AUA|ATL|LAX|SYD|
SYD|AUH,|AUH|IST|BKK|SYD|
SYD|BCN,|BCN|IST|BKK|SYD|
SYD|BDA,|BDA|EWR|LAX|SYD|
SYD|BGI,|BGI|YYZ|LAX|SYD|
SYD|BNA,|BNA|LAX|SYD|
SYD|BOG,|BOG|IAH|LAX|SYD|
SYD|BWI,|BWI|LAX|SYD|
SYD|CLE,|CLE|LAX|SYD|
SYD|CLT,|CLT|IAH|LAX|SYD|
SYD|CMH,|CMH|STL|LAX|SYD|
SYD|CVG,|CVG|DEN|LAX|SYD|
SYD|DFW,|DFW|LAX|SYD|
SYD|DTW,|DTW|MDW|LAX|SYD|
SYD|DUB,|DUB|IST|BKK|SYD|
SYD|FCO,|FCO|IST|BKK|SYD|
SYD|GCM,|GCM|IAH|LAX|SYD|
SYD|GGT,|GGT|FLL|PHX|LAX|SYD|
SYD|GND,|GND|YYZ|LAX|SYD|
SYD|GRU,|GRU|IAH|LAX|SYD|
SYD|HAV,|HAV|YYZ|LAX|SYD|
SYD|IND,|IND|MCI|LAX|SYD|
SYD|JFK,|JFK|LAX|SYD|
SYD|KIN,|KIN|YYZ|LAX|SYD|
SYD|LIM,|LIM|IAH|LAX|SYD|
SYD|LIR,|LIR|IAH|LAX|SYD|
SYD|MCI,|MCI|LAX|SYD|
SYD|MDT,|MDT|ORD|LAX|SYD|
SYD|MIA,|MIA|IAH|LAX|SYD|
SYD|MKE,|MKE|LAX|SYD|
SYD|MSP,|MSP|SFO|SYD|
SYD|NAS,|NAS|IAH|LAX|SYD|
SYD|PHL,|PHL|STL|LAX|SYD|
SYD|PHX,|PHX|LAX|SYD|
SYD|PIT,|PIT|LAX|SYD|
SYD|PLS,|PLS|YYZ|LAX|SYD|
SYD|POP,|POP|YYZ|LAX|SYD|
SYD|RDU,|RDU|BNA|LAX|SYD|
SYD|ROC,|ROC|ORD|LAX|SYD|
SYD|RSW,|RSW|IAH|LAX|SYD|
SYD|SAN,|SAN|LAX|SYD|
SYD|SJO,|SJO|IAH|LAX|SYD|
SYD|STL,|STL|LAX|SYD|
SYD|SYR,|SYR|ORD|LAX|SYD|
SYD|TLV,|TLV|IST|BKK|SYD|
SYD|TPA,|TPA|MSY|LAX|SYD|
SYD|UVF,|UVF|EWR|LAX|SYD|
SYD|VIE,|VIE|IST|BKK|SYD|
SYD|YAM,|YAM|YYZ|LAX|SYD|
SYD|YGK,|YGK|YYZ|LAX|SYD|
SYD|YQG,|YQG|YYC|YVR|SYD|
SYD|YSB,|YSB|YYZ|LAX|SYD|
SYD|YTS,|YTS|YYZ|LAX|SYD|
SYD|YYB,|YYB|YYZ|LAX|SYD|
SYD|YZR,|YZR|YYZ|LAX|SYD|
SYD|CAN,|CAN|SYD|
SYD|URC,|URC|CAN|SYD|
SYD|CTU,|CTU|CAN|SYD|
SYD|HGH,|HGH|CAN|SYD|
SYD|XMN,|XMN|CAN|SYD|
SYD|CGO,|CGO|CAN|SYD|
SYD|CSX,|CSX|CAN|SYD|
SYD|SHE,|SHE|ICN|SYD|
SYD|SJW,|SJW|CAN|SYD|
SYD|WUH,|WUH|CAN|SYD|
