FAY|RSW,|RSW|MCO|IAD|FAY|
FAY|SAN,|SAN|IAD|FAY|
FAY|SJO,|SJO|IAD|FAY|
FAY|STL,|STL|IAD|FAY|
FAY|SYR,|SYR|IAD|FAY|
FAY|TLV,|TLV|EWR|IAD|FAY|
FAY|TPA,|TPA|IAD|FAY|
FAY|UVF,|UVF|EWR|IAD|FAY|
FAY|VIE,|VIE|IAD|FAY|
FAY|YAM,|YAM|YYZ|IAD|FAY|
FAY|YGK,|YGK|YYZ|IAD|FAY|
FAY|YQG,|YQG|YYZ|IAD|FAY|
FAY|YSB,|YSB|YYZ|IAD|FAY|
FAY|YTS,|YTS|YYZ|IAD|FAY|
FAY|YYB,|YYB|YYZ|IAD|FAY|
FAY|YZR,|YZR|YYZ|IAD|FAY|
FAY|CAN,|CAN|PEK|IAD|FAY|
FAY|URC,|URC|TSE|FRA|IAD|FAY|
FAY|CTU,|CTU|PEK|IAD|FAY|
FAY|HGH,|HGH|PEK|IAD|FAY|
FAY|XMN,|XMN|PEK|IAD|FAY|
FAY|CGO,|CGO|PEK|IAD|FAY|
FAY|CSX,|CSX|PEK|IAD|FAY|
FAY|SHE,|SHE|PEK|IAD|FAY|
FAY|SJW,|SJW|DLC|PEK|IAD|FAY|
FAY|WUH,|WUH|PEK|IAD|FAY|
FAY|SZX,|SZX|PEK|IAD|FAY|
FAY|CKG,|CKG|PEK|IAD|FAY|
FAY|KMG,|KMG|PEK|IAD|FAY|
FAY|FOC,|FOC|PEK|IAD|FAY|
FAY|NNG,|NNG|PEK|IAD|FAY|
FAY|SWA,|SWA|PEK|IAD|FAY|
FAY|ACX,|ACX|CAN|PEK|IAD|FAY|
FAY|AQG,|AQG|CAN|PEK|IAD|FAY|
FAY|AVA,|AVA|CAN|PEK|IAD|FAY|
FAY|BFJ,|BFJ|CAN|PEK|IAD|FAY|
FAY|BHY,|BHY|CGO|PEK|IAD|FAY|
FAY|BNE,|BNE|CAN|PEK|IAD|FAY|
FAY|CGD,|CGD|PEK|IAD|FAY|
FAY|CGK,|CGK|CAN|PEK|IAD|FAY|
FAY|CGQ,|CGQ|PEK|IAD|FAY|
FAY|CIH,|CIH|PEK|IAD|FAY|
FAY|CNX,|CNX|CAN|PEK|IAD|FAY|
FAY|CZX,|CZX|SHE|PEK|IAD|FAY|
FAY|DAC,|DAC|IST|IAD|FAY|
FAY|DAD,|DAD|CAN|PEK|IAD|FAY|
FAY|DEL,|DEL|EWR|IAD|FAY|
FAY|DIG,|DIG|KMG|PEK|IAD|FAY|
FAY|DLC,|DLC|PEK|IAD|FAY|
FAY|DPS,|DPS|SZX|PEK|IAD|FAY|
FAY|DXB,|DXB|IAD|FAY|
FAY|DYG,|DYG|PEK|IAD|FAY|
FAY|FUG,|FUG|CAN|PEK|IAD|FAY|
FAY|FUK,|FUK|ICN|JFK|IAD|FAY|
FAY|HAK,|HAK|PEK|IAD|FAY|
FAY|HAN,|HAN|PEK|IAD|FAY|
FAY|HDG,|HDG|CAN|PEK|IAD|FAY|
FAY|HET,|HET|DLC|PEK|IAD|FAY|
FAY|HFE,|HFE|XIY|PEK|IAD|FAY|
FAY|HJJ,|HJJ|CSX|PEK|IAD|FAY|
FAY|HKT,|HKT|KWE|PEK|IAD|FAY|
FAY|HRB,|HRB|PEK|IAD|FAY|
FAY|HZH,|HZH|CAN|PEK|IAD|FAY|
FAY|JIU,|JIU|CAN|PEK|IAD|FAY|
FAY|JJN,|JJN|PEK|IAD|FAY|
FAY|JNG,|JNG|CAN|PEK|IAD|FAY|
FAY|KHN,|KHN|DLC|PEK|IAD|FAY|
FAY|KIX,|KIX|SFO|IAD|FAY|
FAY|KOW,|KOW|PEK|IAD|FAY|
FAY|KTM,|KTM|IST|IAD|FAY|
FAY|KUL,|KUL|CAN|PEK|IAD|FAY|
FAY|KWE,|KWE|PEK|IAD|FAY|
FAY|KWL,|KWL|PEK|IAD|FAY|
FAY|LHW,|LHW|CGO|PEK|IAD|FAY|
FAY|LYA,|LYA|KHN|DLC|PEK|IAD|FAY|
FAY|LYG,|LYG|HSN|PEK|IAD|FAY|
FAY|LZH,|LZH|CAN|PEK|IAD|FAY|
FAY|MEL,|MEL|SYD|LAX|IAD|FAY|
FAY|MIG,|MIG|CSX|PEK|IAD|FAY|
FAY|MLE,|MLE|IST|IAD|FAY|
FAY|MNL,|MNL|XMN|PEK|IAD|FAY|
FAY|MXZ,|MXZ|CAN|PEK|IAD|FAY|
FAY|NAO,|NAO|PEK|IAD|FAY|
FAY|NGB,|NGB|PEK|IAD|FAY|
FAY|NKG,|NKG|DLC|PEK|IAD|FAY|
FAY|NNY,|NNY|CGO|PEK|IAD|FAY|
FAY|PEN,|PEN|CAN|PEK|IAD|FAY|
FAY|PER,|PER|CAN|PEK|IAD|FAY|
FAY|PNH,|PNH|CAN|PEK|IAD|FAY|
FAY|REP,|REP|CAN|PEK|IAD|FAY|
FAY|RGN,|RGN|CAN|PEK|IAD|FAY|
FAY|SGN,|SGN|CAN|PEK|IAD|FAY|
FAY|SHA,|SHA|PEK|IAD|FAY|
FAY|SIN,|SIN|CAN|PEK|IAD|FAY|
FAY|SVO,|SVO|URC|TSE|FRA|IAD|FAY|
FAY|SYX,|SYX|PEK|IAD|FAY|
FAY|TAO,|TAO|DLC|PEK|IAD|FAY|
FAY|TEN,|TEN|PEK|IAD|FAY|
FAY|TNA,|TNA|DLC|PEK|IAD|FAY|
FAY|TPE,|TPE|PVG|YYZ|IAD|FAY|
FAY|TSN,|TSN|DLC|PEK|IAD|FAY|
FAY|TXN,|TXN|DLC|PEK|IAD|FAY|
FAY|TYN,|TYN|DAT|CIH|PEK|IAD|FAY|
FAY|WNZ,|WNZ|CGO|PEK|IAD|FAY|
FAY|WUX,|WUX|CAN|PEK|IAD|FAY|
FAY|XFN,|XFN|XMN|PEK|IAD|FAY|
FAY|XIY,|XIY|PEK|IAD|FAY|
FAY|XUZ,|XUZ|LYG|HSN|PEK|IAD|FAY|
FAY|YIH,|YIH|CKG|PEK|IAD|FAY|
FAY|YIW,|YIW|PEK|IAD|FAY|
FAY|YNT,|YNT|SHE|PEK|IAD|FAY|
FAY|YNZ,|YNZ|DLC|PEK|IAD|FAY|
FAY|YTY,|YTY|DLC|PEK|IAD|FAY|
FAY|ZHA,|ZHA|CAN|PEK|IAD|FAY|
FAY|ZYI,|ZYI|PEK|IAD|FAY|
FAY|BAV,|BAV|CGO|PEK|IAD|FAY|
FAY|CJU,|CJU|DLC|PEK|IAD|FAY|
FAY|DSN,|DSN|CGO|PEK|IAD|FAY|
FAY|HMI,|HMI|URC|TSE|FRA|IAD|FAY|
FAY|INC,|INC|PEK|IAD|FAY|
FAY|KHH,|KHH|CGO|PEK|IAD|FAY|
FAY|UYN,|UYN|CGO|PEK|IAD|FAY|
FAY|XNN,|XNN|PEK|IAD|FAY|
FAY|ZUH,|ZUH|PEK|IAD|FAY|
FAY|YNJ,|YNJ|ICN|JFK|IAD|FAY|
FAY|DAT,|DAT|CIH|PEK|IAD|FAY|
FAY|JHG,|JHG|CKG|PEK|IAD|FAY|
FAY|LJG,|LJG|CKG|PEK|IAD|FAY|
FAY|LXA,|LXA|XIY|PEK|IAD|FAY|
FAY|YCU,|YCU|CSX|PEK|IAD|FAY|
FAY|LZO,|LZO|CSX|PEK|IAD|FAY|
FAY|MDG,|MDG|ICN|JFK|IAD|FAY|
FAY|NGO,|NGO|ICN|JFK|IAD|FAY|
FAY|TOY,|TOY|DLC|PEK|IAD|FAY|
FAY|MFM,|MFM|XMN|PEK|IAD|FAY|
FAY|TGO,|TGO|HET|DLC|PEK|IAD|FAY|
FAY|XIL,|XIL|HET|DLC|PEK|IAD|FAY|
FAY|HEK,|HEK|HRB|PEK|IAD|FAY|
FAY|KIJ,|KIJ|HRB|PEK|IAD|FAY|
FAY|LDS,|LDS|HRB|PEK|IAD|FAY|
FAY|OHE,|OHE|HRB|PEK|IAD|FAY|
FAY|HSN,|HSN|PEK|IAD|FAY|
FAY|DLU,|DLU|KMG|PEK|IAD|FAY|
FAY|SYM,|SYM|KMG|PEK|IAD|FAY|
FAY|ZAT,|ZAT|KMG|PEK|IAD|FAY|
FAY|LUN,|LUN|NBO|ZRH|IAD|FAY|
FAY|AOG,|AOG|PEK|IAD|FAY|
FAY|GMP,|GMP|PEK|IAD|FAY|
FAY|ISB,|ISB|IST|IAD|FAY|
FAY|TAS,|TAS|IST|IAD|FAY|
FAY|WUS,|WUS|PEK|IAD|FAY|
FAY|JMU,|JMU|PVG|YYZ|IAD|FAY|
FAY|NDG,|NDG|PVG|YYZ|IAD|FAY|
FAY|JXA,|JXA|SHE|PEK|IAD|FAY|
FAY|PUS,|PUS|SHE|PEK|IAD|FAY|
FAY|BKI,|BKI|SZX|PEK|IAD|FAY|
FAY|AKU,|AKU|URC|TSE|FRA|IAD|FAY|
FAY|ALA,|ALA|TSE|FRA|IAD|FAY|
FAY|ASB,|ASB|GYD|FRA|IAD|FAY|
FAY|DNH,|DNH|URC|TSE|FRA|IAD|FAY|
FAY|DYU,|DYU|IST|IAD|FAY|
FAY|FRU,|FRU|IST|IAD|FAY|
FAY|GYD,|GYD|FRA|IAD|FAY|
FAY|HTN,|HTN|URC|TSE|FRA|IAD|FAY|
FAY|IKA,|IKA|SAW|FRA|IAD|FAY|
FAY|KCA,|KCA|URC|TSE|FRA|IAD|FAY|
FAY|KHG,|KHG|URC|TSE|FRA|IAD|FAY|
FAY|KRL,|KRL|URC|TSE|FRA|IAD|FAY|
FAY|KRY,|KRY|URC|TSE|FRA|IAD|FAY|
FAY|LBD,|LBD|URC|TSE|FRA|IAD|FAY|
FAY|NLT,|NLT|URC|TSE|FRA|IAD|FAY|
FAY|OSS,|OSS|IST|IAD|FAY|
FAY|OVB,|OVB|IST|IAD|FAY|
FAY|TBS,|TBS|SAW|FRA|IAD|FAY|
FAY|TCG,|TCG|URC|TSE|FRA|IAD|FAY|
FAY|TSE,|TSE|FRA|IAD|FAY|
FAY|YIN,|YIN|URC|TSE|FRA|IAD|FAY|
FAY|ENH,|ENH|WUH|PEK|IAD|FAY|
FAY|ENY,|ENY|XIY|PEK|IAD|FAY|
FAY|WXN,|WXN|XIY|PEK|IAD|FAY|
FAY|BLL,|BLL|IST|IAD|FAY|
FAY|ESB,|ESB|VIE|IAD|FAY|
FAY|SAW,|SAW|FRA|IAD|FAY|
FAY|HAM,|HAM|EWR|IAD|FAY|
FAY|HRE,|HRE|ADD|JED|FRA|IAD|FAY|
FAY|JUB,|JUB|CAI|JFK|IAD|FAY|
FAY|SSG,|SSG|DLA|BRU|IAD|FAY|
FAY|BGW,|BGW|ESB|VIE|IAD|FAY|
FAY|EBL,|EBL|IST|IAD|FAY|
FAY|VKO,|VKO|IST|IAD|FAY|
FAY|MCT,|MCT|IST|IAD|FAY|
FAY|AYT,|AYT|IST|IAD|FAY|
FAY|SCQ,|SCQ|BIO|IST|IAD|FAY|
FAY|AAL,|AAL|IST|IAD|FAY|
FAY|AOE,|AOE|BRU|IAD|FAY|
FAY|JNB,|JNB|DKR|IAD|FAY|
FAY|LBV,|LBV|DLA|BRU|IAD|FAY|
FAY|ADA,|ADA|SAW|FRA|IAD|FAY|
FAY|ADB,|ADB|HAM|EWR|IAD|FAY|
FAY|ADF,|ADF|ESB|VIE|IAD|FAY|
FAY|AJI,|AJI|ESB|VIE|IAD|FAY|
FAY|BAL,|BAL|ESB|VIE|IAD|FAY|
FAY|BJV,|BJV|IST|IAD|FAY|
FAY|CKZ,|CKZ|ESB|VIE|IAD|FAY|
FAY|DIY,|DIY|ESB|VIE|IAD|FAY|
FAY|ECN,|ECN|IST|IAD|FAY|
FAY|ERC,|ERC|ESB|VIE|IAD|FAY|
FAY|ERZ,|ERZ|ESB|VIE|IAD|FAY|
FAY|EZS,|EZS|ESB|VIE|IAD|FAY|
FAY|GNY,|GNY|ESB|VIE|IAD|FAY|
FAY|GZP,|GZP|ESB|VIE|IAD|FAY|
FAY|GZT,|GZT|ESB|VIE|IAD|FAY|
FAY|HTY,|HTY|SAW|FRA|IAD|FAY|
FAY|KCM,|KCM|ESB|VIE|IAD|FAY|
FAY|KSY,|KSY|ESB|VIE|IAD|FAY|
FAY|MLX,|MLX|ESB|VIE|IAD|FAY|
FAY|MQM,|MQM|ESB|VIE|IAD|FAY|
FAY|MSR,|MSR|ESB|VIE|IAD|FAY|
FAY|TEQ,|TEQ|ESB|VIE|IAD|FAY|
FAY|TZX,|TZX|ESB|VIE|IAD|FAY|
FAY|VAN,|VAN|ESB|VIE|IAD|FAY|
FAY|ULN,|ULN|FRU|IST|IAD|FAY|
FAY|HIJ,|HIJ|ICN|JFK|IAD|FAY|
FAY|VVO,|VVO|ICN|JFK|IAD|FAY|
FAY|ACC,|ACC|IST|IAD|FAY|
FAY|AER,|AER|IST|IAD|FAY|
FAY|AGP,|AGP|IST|IAD|FAY|
FAY|ALG,|ALG|IST|IAD|FAY|
FAY|AMM,|AMM|IST|IAD|FAY|
FAY|AQJ,|AQJ|IST|IAD|FAY|
FAY|ARN,|ARN|EWR|IAD|FAY|
FAY|ASR,|ASR|SAW|FRA|IAD|FAY|
FAY|ATH,|ATH|IST|IAD|FAY|
FAY|BAH,|BAH|KWI|IAD|FAY|
FAY|BEG,|BEG|IST|IAD|FAY|
FAY|BEN,|BEN|IST|IAD|FAY|
FAY|BEY,|BEY|IST|IAD|FAY|
FAY|BHX,|BHX|EWR|IAD|FAY|
FAY|BIO,|BIO|IST|IAD|FAY|
FAY|BLQ,|BLQ|IST|IAD|FAY|
FAY|BOM,|BOM|EWR|IAD|FAY|
FAY|BRE,|BRE|IST|IAD|FAY|
FAY|BSL,|BSL|IST|IAD|FAY|
FAY|BSR,|BSR|IST|IAD|FAY|
FAY|BUD,|BUD|IST|IAD|FAY|
FAY|BUS,|BUS|IST|IAD|FAY|
FAY|CAI,|CAI|JFK|IAD|FAY|
FAY|CGN,|CGN|IST|IAD|FAY|
FAY|CMN,|CMN|IST|IAD|FAY|
FAY|CND,|CND|IST|IAD|FAY|
