NAS|LUN,|LUN|NBO|ZRH|EWR|NAS|
NAS|AOG,|AOG|PEK|YYZ|NAS|
NAS|GMP,|GMP|PEK|YYZ|NAS|
NAS|ISB,|ISB|IST|BHX|EWR|NAS|
NAS|TAS,|TAS|IST|BHX|EWR|NAS|
NAS|WUS,|WUS|PEK|YYZ|NAS|
NAS|JMU,|JMU|PVG|ORD|NAS|
NAS|NDG,|NDG|PVG|ORD|NAS|
NAS|JXA,|JXA|SHE|PEK|YYZ|NAS|
NAS|PUS,|PUS|SHE|PEK|YYZ|NAS|
NAS|BKI,|BKI|SZX|PEK|YYZ|NAS|
NAS|AKU,|AKU|URC|TSE|FRA|EWR|NAS|
NAS|ALA,|ALA|TSE|FRA|EWR|NAS|
NAS|ASB,|ASB|GYD|FRA|EWR|NAS|
NAS|DNH,|DNH|URC|TSE|FRA|EWR|NAS|
NAS|DYU,|DYU|IST|BHX|EWR|NAS|
NAS|FRU,|FRU|IST|BHX|EWR|NAS|
NAS|GYD,|GYD|FRA|EWR|NAS|
NAS|HTN,|HTN|URC|TSE|FRA|EWR|NAS|
NAS|IKA,|IKA|SAW|FRA|EWR|NAS|
NAS|KCA,|KCA|URC|TSE|FRA|EWR|NAS|
NAS|KHG,|KHG|URC|TSE|FRA|EWR|NAS|
NAS|KRL,|KRL|URC|TSE|FRA|EWR|NAS|
NAS|KRY,|KRY|URC|TSE|FRA|EWR|NAS|
NAS|LBD,|LBD|URC|TSE|FRA|EWR|NAS|
NAS|NLT,|NLT|URC|TSE|FRA|EWR|NAS|
NAS|OSS,|OSS|IST|BHX|EWR|NAS|
NAS|OVB,|OVB|IST|BHX|EWR|NAS|
NAS|TBS,|TBS|SAW|FRA|EWR|NAS|
NAS|TCG,|TCG|URC|TSE|FRA|EWR|NAS|
NAS|TSE,|TSE|FRA|EWR|NAS|
NAS|YIN,|YIN|URC|TSE|FRA|EWR|NAS|
NAS|ENH,|ENH|WUH|PEK|YYZ|NAS|
NAS|ENY,|ENY|XIY|PEK|YYZ|NAS|
NAS|WXN,|WXN|XIY|PEK|YYZ|NAS|
NAS|BLL,|BLL|IST|BHX|EWR|NAS|
NAS|ESB,|ESB|FRA|EWR|NAS|
NAS|SAW,|SAW|FRA|EWR|NAS|
NAS|HAM,|HAM|EWR|NAS|
NAS|HRE,|HRE|ADD|JED|FRA|EWR|NAS|
NAS|JUB,|JUB|CAI|IST|BHX|EWR|NAS|
NAS|SSG,|SSG|DLA|BRU|EWR|NAS|
NAS|BGW,|BGW|ESB|FRA|EWR|NAS|
NAS|EBL,|EBL|IST|BHX|EWR|NAS|
NAS|VKO,|VKO|IST|BHX|EWR|NAS|
NAS|MCT,|MCT|IST|BHX|EWR|NAS|
NAS|AYT,|AYT|IST|BHX|EWR|NAS|
NAS|SCQ,|SCQ|BIO|IST|BHX|EWR|NAS|
NAS|AAL,|AAL|IST|BHX|EWR|NAS|
NAS|AOE,|AOE|BRU|EWR|NAS|
NAS|JNB,|JNB|DKR|IAD|ATL|NAS|
NAS|LBV,|LBV|DLA|BRU|EWR|NAS|
NAS|ADA,|ADA|SAW|FRA|EWR|NAS|
NAS|ADB,|ADB|HAM|EWR|NAS|
NAS|ADF,|ADF|ESB|FRA|EWR|NAS|
NAS|AJI,|AJI|ESB|FRA|EWR|NAS|
NAS|BAL,|BAL|ESB|FRA|EWR|NAS|
NAS|BJV,|BJV|IST|BHX|EWR|NAS|
NAS|CKZ,|CKZ|ESB|FRA|EWR|NAS|
NAS|DIY,|DIY|ESB|FRA|EWR|NAS|
NAS|ECN,|ECN|IST|BHX|EWR|NAS|
NAS|ERC,|ERC|ESB|FRA|EWR|NAS|
NAS|ERZ,|ERZ|ESB|FRA|EWR|NAS|
NAS|EZS,|EZS|ESB|FRA|EWR|NAS|
NAS|GNY,|GNY|ESB|FRA|EWR|NAS|
NAS|GZP,|GZP|ESB|FRA|EWR|NAS|
NAS|GZT,|GZT|ESB|FRA|EWR|NAS|
NAS|HTY,|HTY|SAW|FRA|EWR|NAS|
NAS|KCM,|KCM|ESB|FRA|EWR|NAS|
NAS|KSY,|KSY|ESB|FRA|EWR|NAS|
NAS|MLX,|MLX|ESB|FRA|EWR|NAS|
NAS|MQM,|MQM|ESB|FRA|EWR|NAS|
NAS|MSR,|MSR|ESB|FRA|EWR|NAS|
NAS|TEQ,|TEQ|ESB|FRA|EWR|NAS|
NAS|TZX,|TZX|ESB|FRA|EWR|NAS|
NAS|VAN,|VAN|ESB|FRA|EWR|NAS|
NAS|ULN,|ULN|FRU|IST|BHX|EWR|NAS|
NAS|HIJ,|HIJ|ICN|YVR|DEN|ATL|NAS|
NAS|VVO,|VVO|ICN|YVR|DEN|ATL|NAS|
NAS|ACC,|ACC|IST|BHX|EWR|NAS|
NAS|AER,|AER|IST|BHX|EWR|NAS|
NAS|AGP,|AGP|IST|BHX|EWR|NAS|
NAS|ALG,|ALG|IST|BHX|EWR|NAS|
NAS|AMM,|AMM|IST|BHX|EWR|NAS|
NAS|AQJ,|AQJ|IST|BHX|EWR|NAS|
NAS|ARN,|ARN|EWR|NAS|
NAS|ASR,|ASR|SAW|FRA|EWR|NAS|
NAS|ATH,|ATH|IST|BHX|EWR|NAS|
NAS|BAH,|BAH|IST|BHX|EWR|NAS|
NAS|BEG,|BEG|IST|BHX|EWR|NAS|
NAS|BEN,|BEN|IST|BHX|EWR|NAS|
NAS|BEY,|BEY|IST|BHX|EWR|NAS|
NAS|BHX,|BHX|EWR|NAS|
NAS|BIO,|BIO|IST|BHX|EWR|NAS|
NAS|BLQ,|BLQ|IST|BHX|EWR|NAS|
NAS|BOM,|BOM|EWR|NAS|
NAS|BRE,|BRE|IST|BHX|EWR|NAS|
NAS|BSL,|BSL|IST|BHX|EWR|NAS|
NAS|BSR,|BSR|IST|BHX|EWR|NAS|
NAS|BUD,|BUD|IST|BHX|EWR|NAS|
NAS|BUS,|BUS|IST|BHX|EWR|NAS|
NAS|CAI,|CAI|IST|BHX|EWR|NAS|
NAS|CGN,|CGN|IST|BHX|EWR|NAS|
NAS|CMN,|CMN|IST|BHX|EWR|NAS|
NAS|CND,|CND|IST|BHX|EWR|NAS|
NAS|DAR,|DAR|NBO|ZRH|EWR|NAS|
NAS|DLM,|DLM|IST|BHX|EWR|NAS|
NAS|DMM,|DMM|IST|BHX|EWR|NAS|
NAS|DNK,|DNK|IST|BHX|EWR|NAS|
NAS|DNZ,|DNZ|IST|BHX|EWR|NAS|
NAS|DOK,|DOK|IST|BHX|EWR|NAS|
NAS|DUS,|DUS|EWR|NAS|
NAS|EDI,|EDI|EWR|NAS|
NAS|ELQ,|ELQ|IST|BHX|EWR|NAS|
NAS|FDH,|FDH|IST|BHX|EWR|NAS|
NAS|GOA,|GOA|IST|BHX|EWR|NAS|
NAS|GOT,|GOT|BRU|EWR|NAS|
NAS|HAJ,|HAJ|BRU|EWR|NAS|
NAS|HBE,|HBE|IST|BHX|EWR|NAS|
NAS|HEL,|HEL|IST|BHX|EWR|NAS|
NAS|HRG,|HRG|IST|BHX|EWR|NAS|
NAS|IFN,|IFN|IST|BHX|EWR|NAS|
NAS|ISE,|ISE|IST|BHX|EWR|NAS|
NAS|ISU,|ISU|IST|BHX|EWR|NAS|
NAS|JIB,|JIB|IST|BHX|EWR|NAS|
NAS|JRO,|JRO|IST|BHX|EWR|NAS|
NAS|KAN,|KAN|IST|BHX|EWR|NAS|
NAS|KBL,|KBL|IST|BHX|EWR|NAS|
NAS|KBP,|KBP|IST|BHX|EWR|NAS|
NAS|KFS,|KFS|IST|BHX|EWR|NAS|
NAS|KHI,|KHI|IST|BHX|EWR|NAS|
NAS|KIV,|KIV|IST|BHX|EWR|NAS|
NAS|KRT,|KRT|IST|BHX|EWR|NAS|
NAS|KSH,|KSH|IST|BHX|EWR|NAS|
NAS|KVD,|KVD|IST|BHX|EWR|NAS|
NAS|KWI,|KWI|SAW|FRA|EWR|NAS|
NAS|KYA,|KYA|IST|BHX|EWR|NAS|
NAS|KZN,|KZN|IST|BHX|EWR|NAS|
NAS|KZR,|KZR|IST|BHX|EWR|NAS|
NAS|LED,|LED|VIE|YYZ|NAS|
NAS|LEJ,|LEJ|IST|BHX|EWR|NAS|
NAS|LGW,|LGW|IST|BHX|EWR|NAS|
NAS|LHE,|LHE|IST|BHX|EWR|NAS|
NAS|LIS,|LIS|EWR|NAS|
NAS|LJU,|LJU|IST|BHX|EWR|NAS|
NAS|LOS,|LOS|IAH|NAS|
NAS|LUX,|LUX|IST|BHX|EWR|NAS|
NAS|LWO,|LWO|IST|BHX|EWR|NAS|
NAS|LYS,|LYS|IST|BHX|EWR|NAS|
NAS|MAD,|MAD|EWR|NAS|
NAS|MAN,|MAN|EWR|NAS|
NAS|MED,|MED|IST|BHX|EWR|NAS|
NAS|MHD,|MHD|IST|BHX|EWR|NAS|
NAS|MLA,|MLA|IST|BHX|EWR|NAS|
NAS|MRS,|MRS|IST|BHX|EWR|NAS|
NAS|MSQ,|MSQ|IST|BHX|EWR|NAS|
NAS|MXP,|MXP|EWR|NAS|
NAS|MZH,|MZH|IST|BHX|EWR|NAS|
NAS|MZR,|MZR|IST|BHX|EWR|NAS|
NAS|NAJ,|NAJ|IST|BHX|EWR|NAS|
NAS|NAV,|NAV|IST|BHX|EWR|NAS|
NAS|NCE,|NCE|IST|BHX|EWR|NAS|
NAS|NIM,|NIM|IST|BHX|EWR|NAS|
NAS|NJF,|NJF|IST|BHX|EWR|NAS|
NAS|NSI,|NSI|BRU|EWR|NAS|
NAS|NUE,|NUE|IST|BHX|EWR|NAS|
NAS|ODS,|ODS|IST|BHX|EWR|NAS|
NAS|ORN,|ORN|IST|BHX|EWR|NAS|
NAS|OTP,|OTP|IST|BHX|EWR|NAS|
NAS|PRG,|PRG|BRU|EWR|NAS|
NAS|PRN,|PRN|IST|BHX|EWR|NAS|
NAS|RIX,|RIX|IST|BHX|EWR|NAS|
NAS|ROV,|ROV|IST|BHX|EWR|NAS|
NAS|RTM,|RTM|IST|BHX|EWR|NAS|
NAS|RUH,|RUH|IST|BHX|EWR|NAS|
NAS|SAH,|SAH|IST|BHX|EWR|NAS|
NAS|SJJ,|SJJ|IST|BHX|EWR|NAS|
NAS|SKG,|SKG|IST|BHX|EWR|NAS|
NAS|SKP,|SKP|IST|BHX|EWR|NAS|
NAS|SSH,|SSH|IST|BHX|EWR|NAS|
NAS|STR,|STR|EWR|NAS|
NAS|SVX,|SVX|IST|BHX|EWR|NAS|
NAS|SYZ,|SYZ|IST|BHX|EWR|NAS|
NAS|SZG,|SZG|IST|BHX|EWR|NAS|
NAS|TBZ,|TBZ|IST|BHX|EWR|NAS|
NAS|TGD,|TGD|IST|BHX|EWR|NAS|
NAS|TIA,|TIA|IST|BHX|EWR|NAS|
NAS|TIF,|TIF|IST|BHX|EWR|NAS|
