OHE|ANU,|ANU|EWR|PEK|HRB|OHE|
OHE|AUA,|AUA|EWR|PEK|HRB|OHE|
OHE|AUH,|AUH|IST|PEK|HRB|OHE|
OHE|BCN,|BCN|IST|PEK|HRB|OHE|
OHE|BDA,|BDA|EWR|PEK|HRB|OHE|
OHE|BGI,|BGI|YYZ|PEK|HRB|OHE|
OHE|BNA,|BNA|ORD|PEK|HRB|OHE|
OHE|BOG,|BOG|IAH|YVR|ICN|HRB|OHE|
OHE|BWI,|BWI|YYZ|PEK|HRB|OHE|
OHE|CLE,|CLE|YYZ|PEK|HRB|OHE|
OHE|CLT,|CLT|YYZ|PEK|HRB|OHE|
OHE|CMH,|CMH|ORD|PEK|HRB|OHE|
OHE|CVG,|CVG|ORD|PEK|HRB|OHE|
OHE|DFW,|DFW|YVR|ICN|HRB|OHE|
OHE|DTW,|DTW|PEK|HRB|OHE|
OHE|DUB,|DUB|IST|PEK|HRB|OHE|
OHE|FCO,|FCO|IST|PEK|HRB|OHE|
OHE|GCM,|GCM|IAH|YVR|ICN|HRB|OHE|
OHE|GGT,|GGT|YYZ|PEK|HRB|OHE|
OHE|GND,|GND|YYZ|PEK|HRB|OHE|
OHE|GRU,|GRU|IST|PEK|HRB|OHE|
OHE|HAV,|HAV|YYZ|PEK|HRB|OHE|
OHE|IND,|IND|ORD|PEK|HRB|OHE|
OHE|JFK,|JFK|PEK|HRB|OHE|
OHE|KIN,|KIN|YYZ|PEK|HRB|OHE|
OHE|LIM,|LIM|IAH|YVR|ICN|HRB|OHE|
OHE|LIR,|LIR|IAH|YVR|ICN|HRB|OHE|
OHE|MCI,|MCI|DEN|YVR|ICN|HRB|OHE|
OHE|MDT,|MDT|YYZ|PEK|HRB|OHE|
OHE|MIA,|MIA|ORD|PEK|HRB|OHE|
OHE|MKE,|MKE|ORD|PEK|HRB|OHE|
OHE|MSP,|MSP|DEN|YVR|ICN|HRB|OHE|
OHE|NAS,|NAS|YYZ|PEK|HRB|OHE|
OHE|PHL,|PHL|YYZ|PEK|HRB|OHE|
OHE|PHX,|PHX|SFO|ICN|HRB|OHE|
OHE|PIT,|PIT|YYZ|PEK|HRB|OHE|
OHE|PLS,|PLS|EWR|PEK|HRB|OHE|
OHE|POP,|POP|EWR|PEK|HRB|OHE|
OHE|RDU,|RDU|YYZ|PEK|HRB|OHE|
OHE|ROC,|ROC|YYZ|PEK|HRB|OHE|
OHE|RSW,|RSW|ORD|PEK|HRB|OHE|
OHE|SAN,|SAN|LAX|ICN|HRB|OHE|
OHE|SJO,|SJO|IAH|YVR|ICN|HRB|OHE|
OHE|STL,|STL|ORD|PEK|HRB|OHE|
OHE|SYR,|SYR|YYZ|PEK|HRB|OHE|
OHE|TLV,|TLV|IST|PEK|HRB|OHE|
OHE|TPA,|TPA|ORD|PEK|HRB|OHE|
OHE|UVF,|UVF|EWR|PEK|HRB|OHE|
OHE|VIE,|VIE|IST|PEK|HRB|OHE|
OHE|YAM,|YAM|YYZ|PEK|HRB|OHE|
OHE|YGK,|YGK|YYZ|PEK|HRB|OHE|
OHE|YQG,|YQG|YYZ|PEK|HRB|OHE|
OHE|YSB,|YSB|YYZ|PEK|HRB|OHE|
OHE|YTS,|YTS|YYZ|PEK|HRB|OHE|
OHE|YYB,|YYB|YYZ|PEK|HRB|OHE|
OHE|YZR,|YZR|YYZ|PEK|HRB|OHE|
OHE|CAN,|CAN|HRB|OHE|
OHE|URC,|URC|PEK|HRB|OHE|
OHE|CTU,|CTU|PEK|HRB|OHE|
OHE|HGH,|HGH|HRB|OHE|
OHE|XMN,|XMN|YIW|HRB|OHE|
OHE|CGO,|CGO|HRB|OHE|
OHE|CSX,|CSX|HRB|OHE|
OHE|SHE,|SHE|ICN|HRB|OHE|
OHE|SJW,|SJW|HRB|OHE|
OHE|WUH,|WUH|TNA|HRB|OHE|
OHE|SZX,|SZX|HRB|OHE|
OHE|CKG,|CKG|TSN|HRB|OHE|
OHE|KMG,|KMG|CKG|TSN|HRB|OHE|
OHE|FOC,|FOC|HRB|OHE|
OHE|NNG,|NNG|KWL|TNA|HRB|OHE|
OHE|SWA,|SWA|NKG|HRB|OHE|
OHE|ACX,|ACX|CAN|HRB|OHE|
OHE|AQG,|AQG|CAN|HRB|OHE|
OHE|AVA,|AVA|CAN|HRB|OHE|
OHE|BFJ,|BFJ|CAN|HRB|OHE|
OHE|BHY,|BHY|CSX|HRB|OHE|
OHE|BNE,|BNE|CAN|HRB|OHE|
OHE|CGD,|CGD|PEK|HRB|OHE|
OHE|CGK,|CGK|XMN|YIW|HRB|OHE|
OHE|CGQ,|CGQ|ICN|HRB|OHE|
OHE|CIH,|CIH|PEK|HRB|OHE|
OHE|CNX,|CNX|CAN|HRB|OHE|
OHE|CZX,|CZX|SHE|ICN|HRB|OHE|
OHE|DAC,|DAC|CAN|HRB|OHE|
OHE|DAD,|DAD|CAN|HRB|OHE|
OHE|DEL,|DEL|CAN|HRB|OHE|
OHE|DIG,|DIG|KMG|CKG|TSN|HRB|OHE|
OHE|DLC,|DLC|ICN|HRB|OHE|
OHE|DPS,|DPS|SZX|HRB|OHE|
OHE|DXB,|DXB|CAN|HRB|OHE|
OHE|DYG,|DYG|PEK|HRB|OHE|
OHE|FUG,|FUG|CAN|HRB|OHE|
OHE|FUK,|FUK|ICN|HRB|OHE|
OHE|HAK,|HAK|CSX|HRB|OHE|
OHE|HAN,|HAN|PEK|HRB|OHE|
